科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"245,285,111.08","204,033,872.03","185,478,245.77","150,016,793.67","193,668,134.52","317,658,798.57","97,002,360.73","251,496,799.63","366,053,622.13","498,783,233.46","75,225,783.22","183,969,107.40","282,435,027.53","331,413,077.54","38,968,536.26","135,218,963.73","180,884,981.36","336,629,166.55","46,392,294.10","152,420,159.73","228,717,128.89","508,513,712.52","142,914,353.75","294,581,644.04","470,605,558.18","661,844,338.93","181,590,022.02","391,245,206.79","538,859,630.51","756,745,103.25","156,580,157.98","473,090,919.90","666,178,157.64","1,098,141,370.92"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,"45,679,510.66",,,,,,,,,,,,
收到的税费返还,"4,008,328.38","5,253,965.43","3,572,542.27",,,"297,891.50","128,989.44","128,989.44","128,989.44","137,673.11",,,,"25,118.58",,,,,,,"2,386,115.82","5,495,821.18",,,"335,061.89",,"417,459.29",,,"212,112.80",,"22,562.01","22,562.01","1,015,615.99"
支付其他与投资活动有关的现金,,,,,,,,,,,,,"2,174,921.72",,,,,,,,,,,,,,,"498,000,000.00","1,007,002,698.00","1,416,504,820.60","80,006,000.00","570,006,000.00","575,006,000.00","840,000,000.00"
收到其他与经营活动有关的现金,"16,089,356.97","4,995,098.08","10,346,743.72","624,448.72","821,873.39","4,983,747.48","7,407,963.55","12,727,657.69","19,331,848.40","15,666,554.71","2,984,049.24","12,434,016.69","15,102,765.08","37,632,310.67","3,318,127.49","10,391,598.09","16,890,157.86","33,070,324.50","3,671,376.39","8,422,563.27","20,022,694.53","42,204,002.68","7,492,335.35","21,962,869.53","29,209,180.56","67,125,522.36","6,482,825.13","29,684,208.74","58,896,151.30","50,643,147.98","13,623,792.76","21,055,314.71","46,684,645.42","26,642,231.43"
投资活动现金流出小计,"28,161,782.13","2,310,160.00","14,315,790.33","1,456,495.22","2,178,741.88","3,604,728.47","1,962,250.08","14,883,896.59","31,827,777.15","41,894,501.43","26,056,255.44","32,351,809.98","120,107,506.93","125,420,061.07","26,721,603.60","44,635,051.26","125,981,392.62","147,786,076.98","-20,314,710.12","4,037,110.00","97,000,334.88","54,545,003.61","11,324,226.55","16,700,984.33","17,346,499.87","31,357,825.64","37,178,022.00","540,442,576.33","1,052,524,624.33","1,531,392,154.48","94,734,456.29","592,097,091.29","602,330,946.66","977,828,452.90"
经营活动现金流入小计,"265,382,796.43","214,282,935.54","199,397,531.76","150,641,242.39","197,690,007.91","322,940,437.55","104,539,313.72","264,353,446.76","385,514,459.97","514,587,461.28","78,209,832.46","196,403,124.09","297,537,792.61","369,070,506.79","42,286,663.75","145,610,561.82","197,775,139.22","369,699,491.05","50,063,670.49","160,842,723.00","251,125,939.24","556,213,536.38","150,406,689.10","316,544,513.57","500,149,800.63","728,969,861.29","188,490,306.44","420,929,415.53","597,755,781.81","807,600,364.03","170,203,950.74","494,168,796.62","712,885,365.07","1,125,799,218.34"
投资活动产生的现金流量净额,"-27,685,424.75","-2,088,112.25","-14,134,323.63","-1,332,084.79","-2,029,557.55","-3,201,739.71","-1,962,250.08","-13,292,970.18","-29,070,788.27","-37,433,300.49","-18,274,395.54","-23,074,717.77","-107,221,400.07","-109,120,061.07","-24,772,634.67","-44,498,587.02","-125,844,115.88","-147,386,056.28","20,315,610.12","19,171,340.00","-73,791,884.88","-54,537,926.28","-11,324,226.55","-16,700,984.33","-17,346,499.87","-26,869,734.51","-37,178,022.00","-540,441,826.33","-541,517,293.50","-596,157,441.73","26,649,982.07","-13,893,267.99","-24,124,527.96","-139,840,446.49"
购买商品、接受劳务支付的现金,"132,445,510.35","134,947,182.95","106,910,879.93","105,045,490.89","138,963,910.06","221,733,673.78","83,515,578.16","192,651,341.52","287,556,135.69","380,098,873.48","48,846,268.29","109,297,332.84","182,102,820.92","205,697,309.14","28,865,337.84","65,201,125.24","101,781,690.87","217,765,993.83","20,400,382.18","143,552,126.14","189,392,270.07","305,528,191.67","82,447,658.04","237,691,881.80","360,906,177.68","325,512,143.49","161,391,870.27","311,797,070.82","416,919,063.61","433,430,088.42","125,157,788.33","306,293,226.15","389,535,972.74","481,202,305.93"
吸收投资收到的现金,,,,,,"504,275,100.00",,,,,,,"6,000,000.00","6,000,000.00",,,,,,"4,500,000.00","4,500,000.00","4,500,000.00",,,"19,714,080.00","992,254,598.73",,,,,,,,
