科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"23,412,446.06","18,872,847.43","132,463,652.56","22,877,529.65","33,660,792.99","776,352,607.33","764,024,170.23","746,774,991.54","751,675,402.86","664,675,804.80","607,201,041.04","601,866,373.10","556,095,701.11","489,218,368.87","484,194,241.40","417,744,925.35","372,632,691.46","283,748,472.78","378,967,050.10","423,863,279.24","79,786,646.02","147,027,148.17","215,774,855.06","589,005,444.28","186,528,837.08","181,816,417.93","135,572,747.03","129,565,095.07","101,359,235.17","131,658,435.92","551,398,999.46","321,323,273.57","182,972,376.49","291,625,014.31","218,392,441.15","310,448,197.36","311,014,626.04","470,599,947.55","257,758,579.26"
短期借款,"76,617,609.62","128,720,190.70","165,349,998.87","57,916,817.99","51,053,710.78","50,530,169.05","17,330,532.12","26,364,695.84","35,365,473.45","35,612,469.42","59,598,731.40","51,193,930.35","46,802,480.30","34,926,999.27","76,944,303.07","123,423,415.56","114,186,831.02","49,316,909.57","91,838,856.41","176,618,552.10","112,607,838.57","180,672,365.46","290,508,799.60","447,409,200.72","321,718,889.04","272,650,829.62","215,431,856.88","260,160,944.00","153,000,000.00","90,000,000.00","144,147,550.00","127,208,723.72","260,000,000.00","285,000,000.00","228,000,000.00","242,000,000.00","197,862,304.54","329,238,370.40","385,500,000.00"
交易性金融资产,,,,,,,,,,"70,000,000.00","117,000,000.00","44,000,000.00","31,000,000.00",,"24,000,000.00",,,,"226,500,000.00","204,500,000.00","471,500,000.00",,,"2,435,151.98","103,969.70",,,"568,722.00",,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,"453,042.00",,,,"1,017,429.03",,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,"146,000.00",,"100,000.00",,,,,,,,,,,,,"61,717.50",,,"300,000.00",,,,,"524,300.00","2,028,080.00","4,754,555.20"
应付票据,"1,800,000.00",,"5,344,532.64",,,,,,"6,037,298.60","15,284,063.24","14,752,380.64","9,528,952.80","7,909,546.00","5,577,915.00","3,434,705.00","2,336,000.00",,,,,"93,613,099.07",,,,,"2,720,000.00","2,720,000.00",,"3,400,000.00","3,400,000.00",,,,,,"6,810,053.18",,"13,628,471.35",
应收账款,"31,770,059.09","21,601,831.18","31,021,358.85","33,450,923.73","34,870,654.70","46,121,244.37","44,936,942.98","42,733,692.03","46,878,536.21","52,108,048.94","52,660,065.88","42,197,893.67","47,538,041.68","57,436,417.74","46,937,760.34","45,027,508.09","54,721,721.73","55,427,790.84","52,921,299.62","55,058,490.09","59,001,454.30","58,399,516.03","45,155,285.35","47,540,332.25","52,973,957.37","51,829,474.15","53,849,217.59","56,055,781.86","42,317,958.56","56,366,350.48","67,025,691.09","70,700,426.50","65,583,279.73","62,908,250.26","63,896,360.29","70,486,526.03","80,168,683.79","93,527,312.98","90,339,552.30"
应付账款,"62,785,974.01","22,408,442.60","39,414,081.99","47,187,209.93","43,892,509.06","44,502,938.57","47,606,060.78","58,423,944.33","35,612,674.41","84,104,691.99","47,881,152.98","84,253,296.02","34,860,846.89","102,391,937.55","93,422,347.34","120,950,533.16","129,813,538.87","104,521,718.74","82,566,843.58","99,265,835.80","2,745,096.37","118,078,333.41","68,813,370.06","39,877,837.95","57,523,480.65","73,504,651.11","27,059,003.38","54,739,717.72","61,814,778.48","138,618,869.75","110,046,685.09","88,383,777.04","149,515,410.14","176,928,180.34","132,864,997.54","166,575,077.42",,"163,053,667.12",
预付款项,"2,378,489.94","3,862,609.75","2,446,410.87","606,212.79","2,450,936.00","2,149,030.42","3,397,356.43","4,108,904.56","37,442,943.30","20,222,792.10","39,767,648.47","40,125,756.77","51,654,979.18","22,063,745.67","21,109,167.85","30,458,488.32","26,044,881.06","15,919,724.94","22,295,286.84","23,204,325.42","20,091,097.53","2,733,368.79","4,136,330.36","1,659,419.38","1,852,830.11","619,243.06","1,193,022.60","4,583,964.96","4,309,472.48","2,062,719.05","6,615,411.58","4,119,952.13","8,592,371.32","5,910,077.01","9,864,019.80","14,944,200.82","7,676,465.40","23,239,941.66","32,011,937.80"
预收款项,"4,338,631.70","2,048,686.82","3,575,247.71","3,242,431.12","3,492,309.78","4,405,604.20","5,175,416.55","3,462,391.53","4,552,168.91","3,829,907.02","3,121,828.96","3,739,746.34","4,128,054.63","5,110,341.25","5,520,762.77","2,760,736.60","2,565,266.82","2,658,578.46","3,835,721.41","3,264,225.61",,"2,573,328.99","3,535,879.53","3,562,041.51","2,826,042.26","3,607,831.23","3,981,322.23","3,254,857.04","3,228,827.63","6,269,749.56","5,799,053.88","5,311,332.93","5,678,076.98","4,159,071.02","19,408,615.44","9,642,177.37","16,846,585.95","9,224,806.72","17,162,724.96"
