科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"591,175,128.06","880,157,401.50","922,221,499.72","687,773,137.83","1,051,973,898.82","243,949,968.34","506,408,278.27","787,159,185.06","1,473,133,852.51","303,311,109.39","774,259,735.45","1,219,226,249.67","1,791,665,498.96","351,129,402.83","830,585,641.36","1,317,513,463.71","2,072,199,103.64","484,712,382.89","1,143,023,977.28","1,660,338,449.10","2,329,813,987.04","428,692,423.79","1,045,235,166.88","1,417,846,554.35","1,967,360,902.49","333,506,106.87","551,164,182.71","986,828,541.48","1,195,145,239.06","3,014,428,097.13","6,977,752,513.56","9,015,430,956.11","10,403,683,552.02","1,187,243,020.09","3,979,685,521.90","5,551,255,391.17","7,700,163,469.11","2,193,031,863.97"
二、营业利润,"47,573,260.89","119,223,399.16","132,014,955.78","80,632,069.80","146,475,822.09","23,028,340.15","50,867,696.00","65,851,834.37","162,611,800.42","24,720,518.78","62,942,751.72","81,289,430.06","128,355,664.32","17,752,161.00","51,776,048.45","71,878,413.38","130,227,006.77","28,324,667.08","46,128,613.98","56,780,145.99","46,383,920.02","25,117,635.80","50,150,304.79","46,721,464.65","-2,443,511.89","-15,144,673.84","-42,708,678.29","-78,884,179.02","-360,039,973.89","57,808,601.24","168,204,274.13","266,166,018.44","275,913,083.79","-44,994,865.86","153,694,560.05","266,265,795.74","210,409,820.40","26,126,091.84"
减:营业成本,"495,254,382.91","675,468,415.12","670,071,194.04","518,439,035.70","763,670,291.31","188,435,470.48","386,553,196.22","605,969,359.66","1,102,188,142.46","226,740,731.66","593,623,465.80","943,636,220.59","1,362,927,049.01","283,042,768.72","640,360,956.60","1,019,443,700.12","1,606,114,874.74","381,731,703.67","899,639,084.31","1,309,192,275.68","1,820,432,394.83","333,393,067.98","800,292,933.48","1,072,489,765.51","1,519,622,763.16","274,517,155.28","432,762,104.59","792,466,023.64","979,838,375.11","2,796,591,830.21","6,471,174,667.77","8,175,517,212.99","9,281,399,493.10","1,028,865,442.49","3,554,254,933.96","4,766,993,370.79","6,558,209,775.93","1,982,377,461.53"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,704,840.82","1,767,939.28","7,015,963.56","3,840,107.86","6,418,090.04","586,133.47","1,373,450.83","1,388,258.07","3,412,705.60","6,080.43","21,590.21","40,767.47","6,737,954.46","897,355.10","4,136,637.40","6,950,910.39","12,603,204.45","1,780,832.39","5,788,315.21","8,981,633.76","13,795,929.18","1,279,162.99","4,636,861.27","6,677,182.84","15,831,474.53","1,387,316.07","2,634,364.69","4,004,902.01","20,190,136.08","8,376,152.10","21,931,905.81","26,666,581.70","36,205,191.82","4,042,784.98","9,944,896.95","14,533,418.40","26,398,820.23","5,280,810.08"
营业外收入,"12,616,498.94","3,928,259.34","15,071,221.15","13,904,415.09","15,468,920.44","465,500.00","5,590,513.75","9,553,874.54","12,034,598.46","922,232.68","2,976,106.68","4,975,019.14","6,992,696.64","12,871,125.60","16,976,371.35","22,439,291.98","30,873,635.00","7,817,923.16","9,448,264.83","13,321,507.35","22,468,019.82","1,940,975.03","5,223,483.91","8,658,461.51","19,229,907.69","5,053,082.84","18,823,143.31","20,867,746.76","24,882,165.53","5,030,443.47","10,598,460.04","13,197,553.55","6,646,149.79","1,716,139.25","1,706,803.41","2,195,978.65","3,367,168.84","228,464.31"
销售费用,"8,678,726.82","14,504,819.48","17,665,782.98","18,467,581.27","26,482,259.33","6,289,003.79","14,255,301.11","25,118,486.31","30,634,381.38","7,817,098.35","18,888,370.17","27,992,964.21","34,372,438.97","6,201,001.74","14,046,173.33","25,145,865.28","31,275,228.71","6,953,142.80","15,046,505.15","22,713,153.73","34,180,144.42","4,652,984.73","9,869,279.60","14,636,269.73","24,938,927.41","7,244,255.29","13,516,140.62","23,423,273.37","39,772,376.07","23,876,632.57","35,366,183.32","60,226,620.76","89,749,951.89","13,976,699.10","28,527,419.68","41,840,635.92","57,561,291.12","13,320,501.97"
减:营业外支出,"6,999,808.49","6,246,149.73","2,402,975.27","1,467,569.88","1,468,569.88","43,500.00","502,645.13","1,785,086.00","2,287,486.00","795,558.90","1,890,839.39","4,123,495.81","5,077,160.79","207,034.98","261,843.51","926,368.51","13,025,019.64","118,290.00","300,742.49","849,510.84","2,868,675.29","3,870.77","774,860.25","2,110,540.30","7,228,747.08","191,320.32","592,389.53","3,151,020.83","8,198,986.78","152,630.04","2,040,240.58","2,750,466.73","15,357,876.50","553,462.28","537,108.67","676,863.25","12,274,753.91","208,255.93"
管理费用,"28,334,113.65","37,809,217.66","49,847,089.66","43,393,529.18","62,233,217.68","18,856,934.49","39,990,805.39","64,850,582.61","90,280,551.38","27,961,646.58","56,032,562.64","89,362,571.43","116,832,857.35","24,328,715.30","65,305,134.88","112,292,241.75","155,322,180.51","41,155,472.26","96,210,861.63","143,812,057.05","211,190,518.73","32,993,635.36","86,215,640.03","134,030,797.13","172,472,318.86","36,125,346.03","89,852,828.11","144,028,511.93","232,825,511.12","65,468,613.23","147,232,865.98","223,926,664.13","321,377,260.93","68,981,927.30","136,203,531.11","175,300,382.20","276,204,029.09","56,936,315.00"
其中:非流动资产处置净损失,"5,708,415.61","4,077,676.98","724,144.06","538,847.68","538,847.68",,"81,184.94","107,145.05","107,145.05",,"148,982.89","659,599.31","1,027,309.48",,"6,506.33","6,506.33","104,028.35",,"63,102.49","106,201.88","836,677.24",,"54,775.00","113,996.26","113,996.26",,192.31,"1,058,358.67","1,230,693.97",,"27,897.12","28,222.84",,,,,,
