科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"23,326,833.64","47,135,403.27","46,180,726.68","1,049,280,665.42","969,376,352.35","914,117,298.09","883,866,774.52","887,456,681.23","848,227,965.82","810,472,479.14","850,609,774.09","881,076,202.99","614,541,992.30","422,472,208.99","398,047,697.82","319,826,138.34","358,732,866.59","288,055,450.18","312,125,212.73","265,826,361.90","205,407,856.73","189,068,681.07","161,802,272.11","257,658,114.92","152,035,558.69","126,610,106.84","79,889,115.49","122,543,121.52","64,331,747.93","77,451,938.23"
短期借款,"68,000,000.00","20,000,000.00","40,000,000.00","26,000,000.00",,,,,,,,,,,"100,000,000.00","160,000,000.00","260,000,000.00","260,000,000.00","480,000,000.00","790,000,000.00","790,000,000.00","760,100,000.00","760,000,000.00","800,000,000.00","750,000,000.00","730,000,000.00","710,000,000.00","680,000,000.00","610,000,000.00","600,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"49,102,266.46","38,483,400.90","55,764,706.77","41,264,892.42","40,060,807.05","63,529,620.68","115,662,701.22","73,551,738.65","103,577,002.20","106,141,793.96","92,193,634.29","81,188,316.21","103,471,272.32","117,710,808.37","140,070,342.90","91,072,863.25","89,780,069.01","88,476,409.68","106,136,340.58","72,775,507.88","66,491,648.49","70,171,193.06","79,298,171.76","55,798,887.22","79,799,903.86","72,830,661.85","81,101,577.91","66,804,744.25","79,190,287.33","87,647,934.87"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"68,288,645.78","74,985,155.78","87,712,574.68","139,928,250.88","180,209,796.08","162,339,940.82","170,671,397.27","174,223,769.36","193,424,121.13","190,595,595.70","179,662,728.52","178,331,106.73","177,027,745.12","171,895,687.94","163,185,503.04","186,083,172.18","173,641,131.93","190,640,338.97","169,873,542.08","218,264,241.33","283,834,042.06","282,399,184.97","172,562,957.25","196,285,425.82","185,889,049.86","184,673,655.04","201,451,245.14","222,840,878.85","192,025,497.12","174,058,038.75"
应付账款,"6,584,853.93","10,020,368.68","7,340,487.28","14,353,360.32","11,246,110.53","12,014,246.55","12,119,113.24","11,448,276.84","14,964,558.08","15,040,788.14","18,093,170.35","18,860,474.43","17,198,756.29","14,636,997.73","19,649,212.49","31,195,023.30","18,759,055.64","25,076,963.39","134,598,339.51","60,261,802.82","67,823,705.01","76,322,102.28","24,142,876.37","15,672,810.32","48,004,765.90","24,977,076.48","19,989,011.61","19,089,948.94","30,532,955.62","32,038,957.13"
预付款项,"8,582,266.40","5,818,754.98","7,140,368.10","6,873,994.68","5,055,335.47","12,209,907.95","4,851,674.16","35,309,354.40","35,939,048.82","44,562,743.95","5,663,943.18","2,561,901.60","5,489,459.00","3,830,463.27","18,871,462.06","13,180,754.52","4,909,857.63","54,735,615.33","72,170,395.88","174,067,748.73","256,684,774.12","233,954,228.25","84,497,865.35","3,920,475.53","15,540,506.69","14,550,360.22","13,988,686.92","22,222,973.20","22,903,115.24","26,874,193.68"
预收款项,"807,438.80","19,548,334.84","2,245,766.76","2,869,740.02","484,063.12","1,373,717.70","258,959.22","1,568,724.60","931,096.50","1,877,073.65","1,665,366.70","1,803,229.95","1,446,157.48","3,947,540.30","1,340,290.89","1,692,764.36","6,193,280.16","6,643,205.44","14,059,090.57","14,238,966.99","43,031,839.96","17,156,077.61","4,497,005.15","6,820,518.12","7,601,293.21","13,535,395.97","3,806,011.61","22,965,279.20","22,672,309.25","14,881,212.92"
其他应收款,"17,603,224.01","18,507,514.75","17,622,611.88","18,598,412.23","20,541,900.57","32,927,168.44","22,513,197.32","23,116,986.15","21,632,762.74","22,076,085.15","16,615,869.03","15,621,551.59","12,411,184.37","33,319,322.55","14,842,342.27","13,992,588.36","13,174,111.65","88,149,457.03","14,048,177.73","14,508,973.18","19,071,504.60","43,006,088.08","16,834,266.43","20,294,380.69","22,248,740.31","18,022,393.64","10,506,997.73","16,414,202.48","12,406,168.76","10,449,259.46"
应付职工薪酬,"955,428.50","670,163.15","4,281,501.34","5,589,735.80","3,982,115.55","5,016,329.48","7,505,461.16","9,858,893.25","8,933,603.51","11,090,607.61","7,345,196.21","7,128,685.22","12,974,049.40","5,070,513.65","9,191,581.62","9,336,977.95","11,416,477.20","10,500,525.21","12,943,868.90","9,884,843.87","8,596,419.31","6,910,993.50","8,003,034.74","8,488,363.56","12,214,205.68","7,880,912.10","12,733,161.82","13,644,777.50","11,975,278.33","3,933,718.71"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"11,951,463.58","4,351,614.95","11,282,107.25","2,657,472.84","9,723,440.86","7,583,228.94","2,415,789.08","-6,642,590.20","-5,564,800.86","1,883,523.83","4,366,518.20","7,606,384.95","3,069,180.58","15,495,854.76","9,526,320.59","9,966,152.18","12,159,534.83","19,467,365.74","2,884,023.11","9,684,080.79","5,311,646.69","18,805,730.63","16,790,934.53","13,392,641.23","19,525,590.75","5,785,836.27","9,041,999.80","11,186,261.90","10,219,239.17","16,961,313.80"
应收利息,,,,,"6,741,583.00","12,051,202.85","17,799,369.45","24,474,291.67","5,880,180.44","11,506,283.10","15,901,496.86","21,359,774.53","1,427,599.47","2,704,276.58","3,993,906.20","3,541,366.96","1,394,816.38","1,670,659.85","1,192,598.80","1,433,419.13",,,,,,,,,,
应付利息,"615,000.00","390,000.00",,"43,179.00","86,358.00","129,537.00",,"30,712.50","61,425.00","92,137.50",,"28,518.75","57,037.50","85,556.25",,"28,518.75","57,037.50","72,806.24","948,136.83","1,580,334.25","1,228,888.89","1,157,222.24","1,023,750.00","1,067,043.76","1,026,661.40","1,099,121.82","943,708.33","852,989.56","718,965.41","1,004,099.80"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,"22,063,440.00",,,,,,,,,,,,,,,,,,,,,,
存货,"70,936,591.47","68,825,637.99","98,524,418.21","105,854,003.19","119,536,382.41","143,677,856.02","133,839,570.11","130,646,105.19","136,856,004.13","191,728,383.70","195,280,400.09","201,498,852.62","285,759,314.15","359,534,941.48","475,557,528.82","684,324,179.23","718,545,759.73","695,980,108.79","1,212,009,999.97","1,336,379,975.39","1,296,190,308.93","1,337,969,986.89","1,448,653,427.38","1,495,907,183.84","1,617,966,126.29","1,629,485,578.15","1,621,781,126.59","1,626,207,748.05","1,657,597,716.64","1,682,151,063.00"
其他应付款,"24,119,036.69","72,312,162.43","73,566,045.36","89,818,638.13","78,503,577.59","55,887,068.28","22,779,113.12","12,730,625.27","18,835,963.40","20,795,154.38","22,110,747.80","23,704,437.59","19,887,877.08","29,133,125.59","39,120,765.50","73,215,334.15","52,643,545.18","39,421,368.57","55,131,182.27","36,996,957.37","18,271,543.88","72,326,773.72","40,873,340.82","70,265,680.55","104,975,782.10","117,147,439.86","78,750,554.13","93,919,423.73","84,967,205.87","110,698,735.39"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
