科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"490,022,594.75","522,223,616.11","581,421,436.36","84,732,048.56","267,019,044.72","416,752,816.47","755,069,515.50","93,611,622.16","368,273,739.56","504,320,544.75","759,413,395.92","101,690,554.06","309,589,440.71","419,908,492.97","700,260,932.88","94,139,405.67","266,660,772.27","384,909,568.59","570,126,976.95","108,658,598.99","204,284,592.84","293,465,568.26","456,570,966.91","66,831,338.12","178,867,544.40","241,560,416.77","374,521,423.13","70,692,207.31","164,683,074.70","283,681,133.69","414,174,681.91","91,801,721.60","184,389,203.36"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"934,285.73","1,344,907.26","1,639,983.10",,"725,525.70","2,313,785.47","2,313,785.47","801,931.18","801,931.18","1,047,517.76","1,047,517.76","909,152.85","909,152.85","1,483,179.20","4,443,441.12",,118.23,"1,442,079.87","1,442,079.87",,"546,437.30","763,976.57","563,747.73","508,266.92","508,266.92","508,266.92","283,406.36",,,,,"76,522.84","449,169.38"
支付其他与投资活动有关的现金,"8,830,000.00","17,800,000.00","20,879,000.00","9,500,000.00","27,819,500.00","27,750,000.00","19,749,500.00","2,100,000.00",,,"4,682,700.00",,,,"86,000,000.00",,"15,000,000.00","15,000,000.00","15,000,000.00","94,133.91",,"450,000.00",,,,,,,,,,,"2,900,000.00"
收到其他与经营活动有关的现金,"12,999,626.79","5,742,189.87","7,747,956.77","1,786,790.07","4,164,656.25","7,861,908.12","10,280,047.64","4,290,557.42","9,298,343.93","10,988,548.25","8,577,255.95","4,810,757.47","11,268,142.64","17,322,441.32","9,104,546.25","6,306,138.81","8,415,693.15","19,418,278.28","15,335,034.35","5,210,033.26","9,659,572.36","10,638,522.81","7,171,580.20","3,500,325.92","4,381,508.47","6,999,743.95","6,006,271.09","6,825,457.75","10,604,191.04","13,019,780.32","12,107,273.00","2,198,528.61","4,964,949.48"
投资活动现金流出小计,"21,717,941.65","25,913,740.87","38,312,005.29","14,972,430.69","51,961,013.11","64,609,333.41","87,786,944.67","25,337,623.21","40,980,318.68","49,215,775.86","66,253,061.76","5,537,675.38","25,397,587.27","42,317,677.45","129,990,254.20","8,251,672.24","32,232,161.33","38,056,735.02","43,444,988.72","8,729,618.18","13,061,198.22","17,108,881.41","14,151,799.80","1,270,653.11","1,240,290.59","2,338,084.54","2,804,073.10","116,581,246.97","119,595,596.62","121,221,231.94","123,284,604.38","64,303.45","3,325,426.17"
经营活动现金流入小计,"503,956,507.27","529,310,713.24","590,809,376.23","86,518,838.63","271,909,226.67","426,928,510.06","767,663,348.61","98,704,110.76","378,374,014.67","516,356,610.76","769,038,169.63","107,410,464.38","321,766,736.20","438,714,113.49","713,808,920.25","100,445,544.48","275,076,583.65","405,769,926.74","586,904,091.17","113,868,632.25","214,490,602.50","304,868,067.64","464,306,294.84","70,839,930.96","183,757,319.79","249,068,427.64","380,811,100.58","77,517,665.06","175,287,265.74","296,700,914.01","426,281,954.91","94,076,773.05","189,803,322.22"
投资活动产生的现金流量净额,"-14,265,391.65","-17,083,440.87","-20,495,052.20","-14,962,701.45","-31,069,805.42","-43,718,125.72","-66,895,736.98","-5,588,123.21","-40,971,269.35","-49,215,475.86","-66,252,761.76","-5,537,675.38","-24,964,887.27","-41,878,240.41","-40,700,889.16","-8,251,672.24","-32,232,161.33","-37,981,695.81","-41,774,832.30","-8,709,614.30","1,958,805.66","-2,086,877.53","99,430,374.23","-1,270,653.11","-1,220,678.94","-2,318,472.89","88,138,208.33","-116,041,047.50","-115,930,261.44","-117,181,237.14","-119,585,929.40","-64,303.45","-3,325,426.17"
购买商品、接受劳务支付的现金,"314,138,914.45","286,785,557.23","375,672,064.02","99,458,158.78","243,298,586.20","394,147,947.02","554,736,401.19","109,820,387.17","252,349,524.91","412,719,406.97","453,167,210.59","78,145,479.77","216,088,623.10","331,981,444.46","434,039,943.36","75,799,903.88","190,233,119.07","269,037,253.21","339,138,712.53","52,407,374.19","125,956,587.98","185,786,733.58","257,245,226.02","49,174,897.79","98,828,389.89","172,288,454.06","205,851,267.20","35,859,361.31","104,163,636.75","215,676,822.74","259,730,343.90","79,826,766.87","132,156,772.74"
吸收投资收到的现金,,,,,"361,821,860.00","360,821,860.00","360,821,860.00",,"17,000,000.00","17,000,000.00","17,000,000.00",,,"980,000.00","980,000.00",,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"60,141,660.49","65,654,910.63","72,751,972.93","27,532,640.72","47,409,254.93","72,543,127.63","93,584,835.90","35,132,662.65","63,881,667.37","92,342,530.64","118,403,608.19","41,955,455.19","71,522,629.87","105,164,336.03","136,864,735.34","40,883,149.11","69,584,708.16","98,495,802.96","125,849,989.20","33,126,076.12","55,218,426.01","77,533,020.84","97,724,668.55","27,588,270.47","46,744,727.82","63,699,447.55","81,388,023.92","30,311,630.23","50,618,059.15","69,409,085.41","87,560,890.06","28,268,083.36","45,808,262.66"
取得借款收到的现金,"125,178,918.60","80,000,000.00","99,500,000.00","20,500,000.00","20,500,000.00","99,500,000.00","124,500,000.00","78,000,000.00","107,500,000.00","137,500,000.00","172,500,000.00","50,000,000.00","167,101,404.00","229,100,452.00","289,100,452.00","82,000,000.00","170,000,000.00","242,000,000.00","294,000,000.00","55,000,000.00","191,000,000.00","191,000,000.00","254,000,000.00",,"55,000,000.00","55,000,000.00","55,000,000.00","20,000,000.00","90,000,000.00","90,000,000.00","110,000,000.00",,
支付的各项税费,"37,270,855.31","37,099,998.17","37,802,809.49","12,300,503.51","21,032,107.69","26,636,450.30","54,190,350.67","15,197,262.39","33,552,966.13","39,944,064.46","63,331,352.56","23,384,128.56","37,173,641.42","41,642,267.91","68,023,548.65","7,231,129.35","18,754,549.03","20,968,055.63","32,972,611.87","5,476,137.53","12,403,909.26","17,456,401.67","28,178,362.03","10,376,309.59","17,319,122.93","21,920,027.68","29,152,053.67","17,924,020.10","22,780,835.68","26,007,194.83","34,988,360.79","10,764,064.80","13,811,688.73"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,"450,000.00",,,,,,"70,000,000.00","1,309,000.00","39,610.09","145,279,000.00",,
支付其他与经营活动有关的现金,"50,471,725.80","54,662,790.80","66,599,353.51","17,178,607.56","35,638,624.20","68,786,024.30","101,893,364.44","33,504,436.28","77,080,174.01","106,259,919.47","125,703,777.80","47,010,255.79","78,320,282.81","108,283,174.73","128,218,959.70","38,875,141.31","61,721,502.15","98,168,996.53","103,878,483.30","17,062,554.80","31,918,956.56","48,798,349.98","53,644,366.38","17,886,629.71","31,453,045.93","34,862,867.70","50,889,632.03","15,487,289.63","27,025,839.80","38,952,299.34","53,971,581.05","21,082,156.35","88,202,416.33"
筹资活动现金流入小计,"125,178,918.60","80,000,000.00","99,500,000.00","20,500,000.00","382,321,860.00","460,321,860.00","485,321,860.00","78,000,000.00","124,500,000.00","154,500,000.00","189,500,000.00","50,000,000.00","167,101,404.00","230,080,452.00","290,080,452.00","82,000,000.00","170,000,000.00","242,000,000.00","294,000,000.00","55,000,000.00","191,000,000.00","191,450,000.00","254,000,000.00",,"55,000,000.00","55,000,000.00","55,000,000.00","90,000,000.00","91,309,000.00","90,039,610.09","255,279,000.00",,
经营活动现金流出小计,"462,023,156.05","444,203,256.83","552,826,199.95","156,469,910.57","347,378,573.02","562,113,549.25","804,404,952.20","193,654,748.49","426,864,332.42","651,265,921.54","760,605,949.14","190,495,319.31","403,105,177.20","587,071,223.13","767,147,187.05","162,789,323.65","340,293,878.41","486,670,108.33","601,839,796.90","108,072,142.64","225,497,879.81","329,574,506.07","436,792,622.98","105,026,107.56","194,345,286.57","292,770,796.99","367,280,976.82","99,582,301.27","204,588,371.38","350,045,402.32","436,251,175.80","139,941,071.38","279,979,140.46"
偿还债务支付的现金,"123,978,918.60","100,000,000.00","90,000,000.00",,"49,500,000.00","52,000,000.00","90,000,000.00","39,500,000.00","69,000,000.00","89,000,000.00","196,500,000.00","30,000,000.00","131,000,000.00","163,100,452.00","239,100,452.00","54,000,000.00","84,000,000.00","136,000,000.00","223,000,000.00","96,000,000.00","206,000,000.00","206,000,000.00","375,000,000.00",,"60,000,000.00","67,000,000.00","115,000,000.00",,"20,000,000.00","20,000,000.00","110,000,000.00",,
经营活动产生的现金流量净额,"41,933,351.22","85,107,456.41","37,983,176.28","-69,951,071.94","-75,469,346.35","-135,185,039.19","-36,741,603.59","-94,950,637.73","-48,490,317.75","-134,909,310.78","8,432,220.49","-83,084,854.93","-81,338,441.00","-148,357,109.64","-53,338,266.80","-62,343,779.17","-65,217,294.76","-80,900,181.59","-14,935,705.73","5,796,489.61","-11,007,277.31","-24,706,438.43","27,513,671.86","-34,186,176.60","-10,587,966.78","-43,702,369.35","13,530,123.76","-22,064,636.21","-29,301,105.64","-53,344,488.31","-9,969,220.89","-45,864,298.33","-90,175,818.24"
分配股利、利润或偿还利息支付的现金,"9,670,912.13","9,050,300.00","3,862,944.53","783,326.14","1,727,263.79","39,946,361.37","41,261,556.93","2,889,972.88","14,266,049.04","16,653,553.06","18,990,762.13","1,315,560.70","12,984,217.57","15,030,071.35","17,725,011.34","2,186,299.99","5,148,299.99","8,796,033.31","12,656,153.30","2,949,761.09","5,697,369.20","8,255,111.44","10,168,883.03","762,464.38","1,500,333.13","2,175,253.77","2,695,513.79","175,087.50","343,079.13","1,470,078.46","2,770,665.30",,
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,351,598.29",,,,,,
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,079,000.00",,
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000,000.00","3,000,000.00","3,000,000.00",,
筹资活动现金流出小计,"133,649,830.73","109,050,300.00","93,862,944.53","783,326.14","51,227,263.79","91,946,361.37","131,261,556.93","42,389,972.88","83,266,049.04","105,653,553.06","215,490,762.13","31,315,560.70","143,984,217.57","178,130,523.35","256,825,463.34","56,186,299.99","89,148,299.99","144,796,033.31","235,656,153.30","98,949,761.09","211,697,369.20","214,255,111.44","385,168,883.03","762,464.38","61,500,333.13","69,175,253.77","117,695,513.79","175,087.50","20,343,079.13","21,470,078.46","184,849,665.30",,
处置固定资产、无形资产和其他长期资产收回的现金净额,"2,550.00",300.00,"16,953.09","9,729.24","12,207.69","12,207.69","12,207.69",,"9,049.33",300.00,300.00,,,"6,737.04","6,665.04",,,"75,039.21","30,594.17","20,003.88","20,003.88","22,003.88","96,932,499.03",,"19,611.65","19,611.65","266,896.24","18,667.74","68,452.94","443,112.56","101,792.74",,
筹资活动产生的现金流量净额,"-8,470,912.13","-29,050,300.00","5,637,055.47","19,716,673.86","331,094,596.21","368,375,498.63","354,060,303.07","35,610,027.12","41,233,950.96","48,846,446.94","-25,990,762.13","18,684,439.30","23,117,186.43","51,949,928.65","33,254,988.66","25,813,700.01","80,851,700.01","97,203,966.69","58,343,846.70","-43,949,761.09","-20,697,369.20","-22,805,111.44","-131,168,883.03","-762,464.38","-6,500,333.13","-14,175,253.77","-62,695,513.79","89,824,912.50","70,965,920.87","68,569,531.63","70,429,334.70",,
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,518,786.90","521,531.73","596,882.24","596,882.24","596,882.24",,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"7,450,000.00","8,830,000.00","17,800,000.00",,"20,879,000.00","20,879,000.00","20,879,000.00","19,749,500.00",,,,,"432,700.00","432,700.00","89,282,700.00",,,,"1,639,562.25",,"15,000,000.00","15,000,000.00","16,649,675.00",,,,"2,805,000.00",,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"7,452,550.00","8,830,300.00","17,816,953.09","9,729.24","20,891,207.69","20,891,207.69","20,891,207.69","19,749,500.00","9,049.33",300.00,300.00,,"432,700.00","439,437.04","89,289,365.04",,,"75,039.21","1,670,156.42","20,003.88","15,020,003.88","15,022,003.88","113,582,174.03",,"19,611.65","19,611.65","90,942,281.43","540,199.47","3,665,335.18","4,039,994.80","3,698,674.98",,
五、现金及现金等价物净增加额,"19,197,047.44","38,973,715.54","23,125,179.55","-65,197,099.53","224,555,444.44","189,472,333.72","250,422,962.50","-64,928,733.82","-48,227,636.14","-135,278,339.70","-83,811,303.40","-69,938,091.01","-83,186,141.84","-138,285,421.40","-60,784,167.30","-44,781,751.40","-16,597,756.08","-21,677,910.71","1,633,308.67","-46,862,885.78","-29,745,840.85","-49,598,427.40","-4,224,836.94","-36,219,294.09","-18,308,978.85","-60,196,096.01","38,972,818.30","-48,280,771.21","-74,265,446.21","-101,956,193.82","-59,125,815.59","-45,928,601.78","-93,501,244.41"
购建固定资产、无形资产和其他长期资产支付的现金,"12,887,941.65","8,113,740.87","17,433,005.29","5,472,430.69","24,141,513.11","36,859,333.41","51,037,444.67","23,237,623.21","40,980,318.68","49,215,775.86","61,570,361.76","5,537,675.38","24,377,587.27","42,317,677.45","43,990,254.20","8,251,672.24","17,232,161.33","23,056,735.02","28,444,988.72","8,635,484.27","13,061,198.22","16,658,881.41","14,151,799.80","1,270,653.11","1,240,290.59","2,338,084.54","2,804,073.10","181,246.97","3,195,596.62","4,821,231.94","6,884,604.38","64,303.45","425,426.17"
期初现金及现金等价物余额,"45,736,198.08","64,933,245.52","103,906,961.06","127,032,140.61","127,032,140.61","127,032,140.61","127,032,140.61","394,455,103.11","377,455,103.11","377,455,103.11","377,455,103.11","295,443,799.71","293,643,799.71","293,643,799.71","293,643,799.71","232,859,632.41","232,859,632.41","232,859,632.41","232,859,632.41","234,507,386.32","234,492,941.08","234,492,941.08","234,492,941.08","230,268,104.14","230,268,104.14","230,268,104.14","230,268,104.14","269,240,922.44","269,240,922.44","269,240,922.44","269,240,922.44","241,375,155.51","210,115,106.85"
投资支付的现金,,,,,,,"17,000,000.00",,,,,,"1,020,000.00",,,,,,,,,,,,,,,"116,400,000.00","116,400,000.00","116,400,000.00","116,400,000.00",,
期末现金及现金等价物余额,"64,933,245.52","103,906,961.06","127,032,140.61","61,835,041.08","351,587,585.05","316,504,474.33","377,455,103.11","329,526,369.29","329,227,466.97","242,176,763.41","293,643,799.71","225,505,708.70","210,457,657.87","155,358,378.31","232,859,632.41","188,077,881.01","216,261,876.33","211,181,721.70","234,492,941.08","187,644,500.54","204,747,100.23","184,894,513.68","230,268,104.14","194,048,810.05","211,959,125.29","170,072,008.13","269,240,922.44","220,960,151.23","194,975,476.23","167,284,728.62","210,115,106.85","195,446,553.73","116,613,862.44"
