科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"485,322,988.92","412,505,013.74","365,879,108.37","81,839,872.62","177,186,708.88","275,321,757.99","311,956,387.62","194,025,741.10","305,190,288.79","410,937,949.73","501,139,110.76","110,446,836.56","261,259,582.95","423,612,146.40","649,344,962.14","117,342,368.13","383,329,280.93","679,125,958.95","999,657,858.94","215,779,852.09","440,984,340.59","767,233,660.56","1,294,371,982.73","353,623,407.03","678,520,075.03","1,060,964,459.78","2,025,463,797.14","436,202,658.17","941,789,943.82","2,035,586,083.41","2,602,434,123.96","704,475,805.18","1,666,294,321.39"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,"4,500,000.00",,,,,,,"34,538,105.70",,,,,,"10,000,000.00","61,468,140.06","61,468,140.06","66,468,140.06","10,000,000.00","15,000,000.00"
收到的税费返还,,,,,,"423,309.76","87,490.51","138,034.19","174,898.69","247,548.27","210,683.77","657,658.78","657,658.78","662,144.34","739,661.83","739,329.58","743,556.18","749,053.08","740,925.96",,"2,374.15","6,443,536.89","11,130,100.52","8,089,284.56","14,859,292.55","31,610,677.23","52,487,305.03","20,218,631.44","38,010,889.77","59,138,193.87","82,345,086.61","23,001,994.91","51,032,216.92"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,"316,323.09","17,712,285.60","551,164.95","1,161,366.45","1,481,150.00","1,621,150.00","110,000.00","110,000.00","110,000.00","7,856,564.22",,"21,450.00","21,450.00",,"3,500.00","12,855.00",615.28,"36,000,000.00",,
收到其他与经营活动有关的现金,"40,685,081.01","27,893,102.89","20,433,530.00","7,285,051.97","20,611,649.33","32,414,143.95","55,887,747.79","12,372,022.85","23,667,402.85","42,827,722.21","59,397,916.76","25,871,076.43","206,990,135.04","243,937,102.48","28,570,828.25","81,256,541.35","25,945,951.37","46,709,080.52","66,177,955.94","8,237,821.24","20,201,715.66","64,606,469.43","67,133,044.35","27,271,522.69","63,004,424.83","140,456,501.31","159,122,192.47","128,837,517.63","370,746,061.09","298,542,718.38","185,177,636.44","315,373,633.44","136,222,190.02"
投资活动现金流出小计,"110,102,682.37","666,219,324.60","126,024,509.46","1,853,037.49","5,146,229.22","10,964,783.69","239,155,082.78","314,300,456.10","531,779,108.54","925,652,556.60","1,309,197,834.80","133,905,935.62","353,649,529.82","647,029,422.23","734,607,771.56","108,982,298.32","290,652,765.98","603,047,011.57","946,547,727.31","226,389,806.48","425,342,614.65","599,937,541.08","746,671,380.11","196,345,219.27","903,383,357.07","1,103,780,406.18","2,356,371,297.83","828,309,951.72","1,144,591,277.71","1,331,186,050.22","1,743,497,601.59","81,870,191.17","102,118,359.18"
经营活动现金流入小计,"526,008,069.93","440,398,116.63","386,312,638.37","89,124,924.59","197,798,358.21","308,159,211.70","367,931,625.92","206,535,798.14","329,032,590.33","454,013,220.21","560,747,711.29","136,975,571.77","468,907,376.77","668,211,393.22","678,655,452.22","199,338,239.06","410,018,788.48","726,584,092.55","1,066,576,740.84","224,017,673.33","461,188,430.40","838,283,666.88","1,372,635,127.60","388,984,214.28","756,383,792.41","1,233,031,638.32","2,237,073,294.64","585,258,807.24","1,350,546,894.68","2,393,266,995.66","2,869,956,847.01","1,042,851,433.53","1,853,548,728.33"
投资活动产生的现金流量净额,"-109,971,602.41","-666,039,324.60","-126,024,509.46","-1,853,037.49","-5,146,229.22","-10,964,783.69","-239,155,082.78","-11,006,209.52","-127,178,012.64","-217,332,772.16","-294,614,934.49","-133,905,935.62","-349,436,821.84","-642,663,572.75","-712,928,530.70","-107,562,030.71","-288,737,134.62","-569,511,777.88","-673,317,680.52","-184,700,446.92","-312,195,678.81","-483,723,935.55","-544,691,703.96","-196,279,942.25","-882,115,252.59","-1,075,089,402.36","-2,340,217,797.83","-608,613,759.77","-624,894,482.05","-808,178,802.29","-678,947,474.18","-81,870,191.17","-101,819,175.88"
购买商品、接受劳务支付的现金,"346,386,236.07","191,372,797.20","155,456,099.97","30,076,660.13","111,382,605.02","163,934,156.67","222,561,506.10","28,430,434.20","76,048,860.75","107,791,839.65","145,618,930.43","36,721,427.79","79,170,045.28","185,603,232.42","348,358,652.06","110,454,826.67","184,706,426.01","379,266,187.90","502,444,648.32","136,156,925.97","249,283,450.31","513,609,876.36","730,116,015.57","199,837,062.47","310,199,484.64","612,339,261.27","1,176,872,362.74","278,554,427.06","657,295,153.64","1,214,458,613.01","1,803,252,051.45","519,117,794.64","1,110,624,747.86"
吸收投资收到的现金,,,,,"1,597,850,000.00","1,597,850,000.00","1,597,850,000.00","18,214,300.00","18,214,300.00","18,214,300.00","18,214,300.00",,,,,"135,630.00",,"35,000,000.00","35,000,000.00",,"4,000,000.00","8,000,000.00","8,000,000.00",,"220,000,000.00","220,000,000.00","301,247,131.00","144,755.70","144,755.70","144,755.70","87,568,463.99","10,000,000.00","12,469,376.00"
