科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"322,968,649.39","561,626,511.17","649,427,206.79","135,008,246.75","302,466,893.61","421,198,665.12","564,549,476.71","107,620,383.75","245,613,523.53","336,639,420.42","459,730,262.31","107,177,738.34","212,057,347.49","297,283,365.45","395,953,455.02","167,607,261.16","301,750,760.79","409,451,973.63","521,330,089.22","97,868,610.09","230,345,347.34","354,158,566.36","500,281,098.83","139,725,506.54","256,058,307.95","419,130,133.41","574,380,778.68","149,642,239.19","288,256,282.57","374,409,883.57","499,797,145.50","127,092,256.67"
二、营业利润,"46,354,018.12","117,224,008.44","139,161,737.87","28,967,775.54","66,312,995.61","93,006,016.01","121,379,499.40","32,229,650.65","57,964,484.15","75,449,776.78","93,081,084.30","21,894,696.17","35,706,193.74","38,872,715.96","36,695,866.34","52,840,205.26","81,603,617.72","86,348,669.68","52,536,937.47","-7,898,914.43","-4,496,144.08","-27,524,034.28","-599,131,552.53","-662,435.89","131,232.92","1,388,049.74","-5,242,883.76","9,049,905.91","13,864,933.09","7,742,561.77","10,659,735.40","9,698,985.19"
减:营业成本,"244,991,890.67","387,579,874.20","439,423,523.76","90,630,594.79","204,181,351.35","284,478,773.20","383,824,454.87","72,428,430.26","165,870,231.11","228,334,652.26","309,761,027.90","70,981,102.25","141,292,831.28","202,358,086.11","271,183,450.08","85,905,678.34","154,599,932.07","218,350,047.85","301,957,065.88","69,365,198.10","149,683,913.09","235,700,337.00","350,440,828.64","101,172,947.68","185,379,734.07","306,358,091.09","423,188,563.09","108,342,332.63","208,131,891.70","272,396,791.90","363,907,301.04","93,156,715.67"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"153,827.21","528,816.20","671,195.20","611,504.26","2,188,368.13","3,247,769.24","4,495,786.17","575,660.93","1,484,892.81","2,006,176.06","2,990,552.95","888,695.78","1,243,517.00","1,934,623.75","2,625,634.60","1,164,889.28","1,536,106.57","2,004,860.46","2,831,248.84","955,545.31","1,733,140.68","2,698,182.61","3,661,060.72","1,012,994.37","1,589,283.00","3,053,026.64","5,816,393.56","1,957,953.06","3,658,264.02","4,858,576.11","5,967,044.11","1,828,786.29"
营业外收入,"853,287.79","955,362.91","2,765,308.30","1,093,319.51","1,161,679.85","1,211,228.59","2,078,414.44","1,250,401.04","1,590,562.07","2,343,223.87","1,972,860.72","311,802.88","908,500.08","3,192,546.71","3,648,871.10","1,636,661.50","4,637,649.37","5,150,659.85","5,776,949.30","2,735,183.77","3,808,049.05","4,162,483.24","107,638,793.47","223,156,404.33","223,672,358.78","2,959,529.82","6,949,778.92","2,246,818.91","1,582,118.63","6,978,568.32","2,421,086.90","117,298.64"
销售费用,"12,137,457.30","27,975,093.24","33,952,038.84","5,381,652.16","14,439,811.42","23,702,669.44","31,608,241.59","5,660,319.27","13,348,050.30","22,452,635.44","32,330,505.79","11,015,662.61","24,816,861.76","41,167,377.45","63,157,647.24","19,217,111.70","39,916,093.33","63,243,747.61","99,137,490.98","16,767,110.14","36,895,661.32","65,761,222.40","127,750,494.71","17,756,158.35","37,178,982.05","58,177,800.17","90,530,655.27","16,364,010.59","39,925,618.81","58,433,174.37","89,400,051.65","13,533,555.91"
减:营业外支出,"344,517.50","694,013.12","352,902.98","79,391.88","880,447.37","1,427,101.70","1,863,117.61","4,741,891.47","4,986,514.30","5,801,606.84","6,816,143.78","5,892.24","390,251.07","456,315.75","1,037,272.49","28,017.18","59,487.80","111,277.92","339,118.16","16,650.79","58,871.33","71,426.39","6,662,302.94","52,046.52","282,082.13","248,339.63","1,751,548.18","227,170.05","301,172.87","828,735.50","1,026,846.73","61,691.27"
管理费用,"17,190,633.78","27,157,568.60","33,851,554.50","9,703,115.88","20,266,465.83","29,746,638.86","39,802,224.97","10,318,713.67","21,734,336.92","32,054,965.69","47,258,555.78","10,270,088.68","22,652,509.06","34,533,230.27","47,728,876.32","15,231,484.88","33,538,866.78","53,170,991.29","77,381,299.67","17,750,316.06","47,650,636.15","79,897,166.69","104,865,096.01","25,393,625.78","47,577,220.37","70,126,560.13","80,621,327.46","14,256,337.49","27,834,564.06","40,420,468.00","46,889,694.61","11,572,267.80"
其中:非流动资产处置净损失,"105,513.35","607,383.44","222,806.17",,"824,858.88","1,379,053.79","1,807,382.66","4,621,277.31","4,385,741.04","4,719,231.32","5,928,598.31","4,778.84","268,642.07","330,770.24","829,375.49","15,091.25","46,561.87","48,351.99","193,265.10","14,290.36","44,285.74","48,988.84","6,645,696.70","6,117.05","110,406.41","75,331.97","92,726.56","46,791.42","89,469.20","218,187.63",,
