科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"237,544,924.55","266,126,605.54","364,965,244.19","222,692,434.38","332,677,250.53","422,049,001.90","80,621,753.63","180,038,157.81","278,380,001.64","407,084,467.69","100,539,548.31","213,859,098.91","340,217,606.36","475,417,868.06","103,094,090.10","211,531,554.92","300,827,563.22","925,784,337.73","26,380,072.73","247,677,059.01","522,982,667.32","1,129,371,418.10","118,539,481.74","2,114,629,021.89","3,542,183,937.62","6,158,831,750.74","1,910,221,140.30","3,588,045,578.56","5,524,268,248.60","7,929,815,019.06","1,802,655,008.09"
二、营业利润,"31,927,356.40","42,194,497.58","58,828,678.77","32,455,216.62","48,358,886.72","53,405,549.76","7,846,359.14","18,011,574.26","26,800,814.69","26,578,038.73","5,828,613.22","10,642,078.07","16,878,153.53","16,065,902.93","2,635,312.91","-12,968,010.83","-23,909,624.25","266,298,036.66","-29,391,671.79","27,761,739.41","78,678,614.53","327,792,979.90","-1,221,394.72","319,276,568.07","647,955,605.71","1,201,046,103.12","308,653,533.93","623,868,524.61","988,836,173.64","1,589,446,159.84","395,461,498.16"
减:营业成本,"163,216,574.28","178,297,310.15","235,486,245.88","151,193,633.04","225,077,763.84","285,607,631.56","56,200,307.02","127,163,703.07","192,963,548.22","281,804,730.34","68,574,296.57","149,752,633.61","239,447,894.58","333,890,208.64","75,500,882.33","161,185,372.72","227,586,163.60","467,944,265.36","19,642,309.20","122,057,182.31","295,629,587.64","562,384,751.17","46,711,971.12","672,603,120.46","1,190,964,992.26","2,404,279,192.56","835,352,691.49","1,578,318,870.72","2,355,493,610.09","3,381,232,156.86","697,261,269.53"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,365,649.01","1,598,491.81","1,780,995.10","1,067,792.59","1,214,581.23","1,467,440.05","287,176.16","925,724.22","1,506,246.57","1,918,760.77","150,357.42","755,506.72","1,658,315.56","2,108,756.88","579,075.49","1,104,869.73","1,729,521.99","9,968,192.50","246,834.42","1,265,519.32","3,182,170.56","8,678,996.18","2,169,818.10","27,795,743.52","35,291,811.52","53,572,948.78","15,533,941.32","26,629,798.75","42,147,481.46","63,766,865.61","14,083,859.18"
营业外收入,"2,979,844.00","714,984.43","1,530,401.08","9,844,151.34","9,983,809.34","10,950,373.91","5,190,893.74","5,560,273.62","5,935,431.50","6,073,589.38","350,254.15","555,461.15","976,930.37","2,316,135.76","482,205.40","1,424,231.31","2,090,433.08","21,896,959.71","12,506,816.45","28,092,907.05","39,266,124.79","57,001,197.76","15,653,337.95","72,775,942.63","99,829,739.29","156,937,078.75","26,303,109.11","45,707,177.37","56,170,664.48","72,046,247.76","24,644,030.87"
销售费用,"27,152,924.29","27,872,656.99","40,053,425.58","20,027,155.23","30,609,640.18","43,114,997.60","9,914,853.78","19,211,820.82","32,377,198.52","50,191,271.13","15,495,746.74","32,472,027.18","49,364,029.10","70,276,743.79","15,815,049.73","31,223,500.87","44,923,494.49","90,836,218.85","17,687,312.06","50,915,614.40","62,109,200.25","79,631,606.51","11,719,494.22","321,272,592.44","533,236,124.70","755,347,016.98","167,789,543.52","352,687,191.92","571,067,042.29","743,510,874.43","166,875,011.96"
减:营业外支出,"2,450,196.48","755,437.25","623,004.11","253,692.43","442,669.16","577,153.06","111,766.16","290,718.54","437,406.88","665,452.57","205,095.85","328,648.36","531,873.08","862,863.24","139,909.74","867,478.96","1,003,856.59","286,153.51",463.97,463.97,"8,526.11","8,526.11","2,640.21","804,285.86","1,108,698.88","2,002,863.68","1,908,739.31","2,652,576.00","3,366,614.19","12,639,122.26","155,924.83"
管理费用,"9,640,776.24","11,579,365.73","25,290,023.17","12,782,540.45","19,472,841.60","26,828,736.54","7,433,865.07","15,874,474.35","26,665,152.70","39,353,080.71","9,118,444.00","17,860,479.27","30,949,087.47","40,131,976.80","9,464,679.29","18,493,087.72","34,051,065.88","58,030,465.01","13,967,653.12","37,820,438.28","60,502,037.00","108,880,007.10","27,893,295.43","788,189,018.37","1,225,490,966.12","1,835,581,301.61","558,680,000.01","1,035,256,142.96","1,550,318,051.18","2,072,868,040.48","551,096,820.70"
其中:非流动资产处置净损失,,"1,909,056.55","407,673.74","21,038.86","3,991.92","48,936.55",,"60,026.90","60,026.90","85,657.00",,,,"96,820.23",,475.00,475.00,"196,404.51",463.97,463.97,"1,585.70","1,585.70","2,640.21","258,355.52","547,599.71","816,159.48","787,187.81","1,375,217.85","2,027,674.95",,
