科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"2,128,349,437.94","2,854,433,429.43","3,159,918,973.79","663,278,499.38","1,601,154,604.65","2,557,412,319.03","3,087,749,420.32","614,461,593.68","1,449,646,325.06","2,571,617,975.67","4,283,170,382.72","1,108,507,973.97","2,475,660,376.05","3,789,524,692.39","4,443,449,243.71","848,907,670.59","2,289,466,122.74","3,899,514,608.95","4,922,496,800.81","1,136,478,196.29","2,370,103,500.53","4,096,083,797.87","5,212,404,814.78","1,425,145,025.75","2,918,588,154.70","4,948,207,704.84","6,959,533,313.67","1,763,859,208.92","3,305,588,173.68","5,490,212,628.51","7,737,707,618.03","1,930,945,280.62"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,000,000.00",
收到的税费返还,"137,773,801.71","214,424,064.23","225,932,132.53","62,091,524.51","100,794,770.10","155,512,627.66","217,834,584.14","54,818,613.61","81,669,722.84","132,032,791.87","215,229,392.24","77,347,232.42","106,049,224.26","159,791,785.01","240,889,099.89","136,585,172.03","193,234,974.30","281,813,499.46","362,238,214.74","81,133,007.37","181,237,322.69","240,482,408.35","300,394,643.61","109,565,333.92","251,934,850.83","406,388,579.49","476,705,995.10","191,031,821.94","301,300,033.79","480,004,330.91","647,343,272.62","158,930,512.10"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"537,008.37","11,348.06"
收到其他与经营活动有关的现金,"19,437,166.04","38,939,279.68","39,773,602.01","18,697,401.32","22,627,779.62","28,456,805.33","58,396,347.85","2,584,485.79","16,150,939.63","38,075,447.46","44,721,995.97","6,424,588.55","41,188,065.28","44,463,497.59","57,150,309.38","5,986,428.39","15,573,387.41","35,518,823.63","124,671,239.53","1,031,364.74","28,307,132.09","34,758,488.53","154,348,834.81","11,903,072.43","47,408,829.28","61,433,737.35","93,544,179.84","18,200,018.31","58,939,930.24","89,967,455.10","281,507,059.80","984,573,801.56"
投资活动现金流出小计,"19,268,356.76","152,761,250.06","199,365,771.39","16,737,868.21","42,748,558.52","153,634,012.08","165,485,144.52","14,400,026.07","50,447,600.06","73,818,016.07","918,949,444.43","545,591,391.40","1,014,459,962.64","1,565,660,045.58","2,222,528,724.67","575,074,207.18","1,871,516,328.22","3,304,011,633.17","5,823,623,242.25","886,208,060.53","1,525,819,831.72","1,893,145,902.84","3,216,489,820.02","205,341,312.54","5,037,279,784.66","6,226,669,718.36","7,645,485,289.76","544,426,162.53","3,139,294,865.87","4,248,921,392.74","3,731,643,793.53","12,609,485.17"
经营活动现金流入小计,"2,285,560,405.69","3,107,796,773.34","3,425,624,708.33","744,067,425.21","1,724,577,154.37","2,741,381,752.02","3,363,980,352.31","671,864,693.08","1,547,466,987.53","2,741,726,215.00","4,543,121,770.93","1,192,279,794.94","2,622,897,665.59","3,993,779,974.99","4,741,488,652.98","991,479,271.01","2,498,274,484.45","4,216,846,932.04","5,409,406,255.08","1,218,642,568.40","2,579,647,955.31","4,371,324,694.75","5,667,148,293.20","1,552,389,348.18","3,247,162,013.43","5,490,206,445.50","7,666,384,205.22","2,251,708,372.62","4,064,638,613.24","6,186,864,528.40","9,238,241,531.43","3,099,815,228.90"
投资活动产生的现金流量净额,"-19,268,356.76","-152,761,250.06","-199,365,771.39","-16,503,768.21","-42,514,458.52","-153,399,912.08","-165,485,144.52","-11,895,622.91","-50,431,100.06","-73,785,016.07","-185,163,193.18","-18,669,246.24","36,333,340.58","-88,093,640.17","-259,212,414.89","-142,823,744.90","-200,941,951.51","-336,121,033.44","-1,096,846,246.35","251,002,732.63","149,665,610.16","220,343,690.97","-81,892,702.79","-199,523,210.01","-2,388,151,964.32","-2,919,106,933.94","-3,674,323,449.47","322,548,394.30","253,525,135.71","520,189,796.92","1,084,754,056.97","226,836,812.87"
购买商品、接受劳务支付的现金,"2,111,640,731.88","2,474,664,699.58","2,629,213,102.41","740,512,650.77","1,650,764,963.83","2,281,413,292.78","2,743,501,624.82","574,118,431.13","1,086,887,552.57","1,904,961,758.42","3,314,802,254.01","933,874,509.50","1,983,870,383.06","2,960,760,554.67","3,183,795,587.69","724,246,878.87","1,675,664,924.11","2,775,381,715.25","3,427,548,000.44","1,023,206,020.66","1,618,887,959.87","2,719,310,639.04","3,600,116,731.67","1,355,127,391.85","2,257,071,288.46","3,542,876,488.56","4,888,114,422.83","1,444,675,029.24","2,810,169,326.48","3,985,345,588.99","5,765,678,368.20","1,587,461,939.67"
吸收投资收到的现金,,,,,"415,312,650.00","415,312,650.00","415,312,650.00",,,,,,,,,,,,,,,,"25,900,000.00","1,890,098,999.98","1,890,098,999.98","1,890,098,999.98","1,890,098,999.98","4,130,510.12","50,812,329.80","50,812,329.80","50,812,330.80",
