科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"1,162,395,686.38","1,328,229,188.04","1,618,179,750.84","310,015,709.28","879,049,935.47","1,206,206,986.37","1,625,489,070.60","417,886,719.70","1,031,738,929.58","1,831,930,924.10","2,954,131,046.79","616,490,457.10","1,484,762,570.67","2,221,479,019.63","3,399,487,611.50","492,047,640.28","1,167,457,967.08","1,811,538,466.90","3,005,377,954.34","295,368,653.72","1,076,378,624.82","1,920,773,489.41","3,212,128,767.23","581,804,059.66","1,587,917,576.83","2,485,832,847.23","3,985,081,605.72","692,910,996.68","1,862,338,340.35"
二、营业利润,"115,750,928.02","140,140,511.42","139,941,377.49","25,154,741.21","73,732,763.81","76,919,173.01","98,396,974.40","17,029,840.09","81,536,367.73","133,743,224.84","246,259,100.95","38,657,440.12","147,584,839.90","199,691,582.13","270,683,041.26","30,537,534.10","104,362,974.41","132,757,810.12","134,478,174.28","-46,734,205.86","1,573,370.49","42,512,663.79","69,053,165.95","9,149,018.50","101,230,085.70","134,031,544.70","220,221,471.64","14,035,577.39","136,348,171.60"
减:营业成本,"895,631,348.55","1,013,094,495.11","1,246,748,856.50","239,815,473.80","686,844,686.71","944,492,892.84","1,266,566,488.21","325,491,184.09","798,119,627.19","1,454,433,588.64","2,301,809,197.62","481,361,435.35","1,108,638,197.87","1,683,721,388.86","2,607,937,195.86","369,948,499.90","871,657,123.50","1,375,972,781.20","2,347,333,720.96","252,071,131.34","874,042,207.42","1,540,163,664.43","2,598,912,709.49","459,835,381.95","1,247,270,771.74","1,994,960,624.05","3,145,634,209.20","573,365,594.62","1,466,908,864.16"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"28,311,633.59","30,908,785.75","40,553,419.81","7,420,644.50","22,883,661.48","30,642,276.66","34,698,869.94","11,559,867.97","20,613,481.01","35,140,910.95","56,641,699.77","10,836,892.55","32,539,835.92","44,086,245.00","71,462,738.26","13,531,829.14","29,824,422.86","45,614,738.88","69,825,803.78","5,800,707.62","11,624,420.68","4,094,348.24","32,706,035.06","3,620,311.89","12,931,712.43","16,227,611.92","21,780,236.99","2,755,515.96","8,105,693.15"
营业外收入,"2,819,889.75","6,169,967.08","5,500,438.04","173,045.00","1,323,788.84","1,473,475.25","4,313,833.44","400,563.66","636,741.70","2,137,570.97","1,635,361.15","361,146.61","6,413,156.85","8,304,485.23","18,556,048.15","3,425,880.65","7,825,918.71","8,925,987.10","14,780,502.11","1,592,383.92","2,769,597.75","4,008,460.47","8,274,223.23","879,248.63","2,296,802.51","6,076,275.89","6,524,326.92","132,157.32","977,600.34"
销售费用,"21,452,575.40","24,671,712.45","25,210,392.05","2,536,365.20","5,642,665.07","10,266,267.45","17,518,653.38","4,851,917.88","12,498,126.35","18,651,352.45","34,012,298.09","7,589,623.18","13,103,362.75","22,431,226.08","40,263,769.55","8,423,416.34","15,845,762.82","24,763,358.48","35,370,948.62","10,838,408.58","20,153,102.78","31,384,009.43","39,774,157.52","12,011,583.06","25,425,954.10","36,997,169.98","62,297,533.22","11,939,716.94","29,664,346.66"
减:营业外支出,"3,058,668.76","10,858,828.67","1,514,533.54","10,180.72","735,654.10","1,638,564.91","797,997.91","16,124.09","149,267.09","1,490,576.01","10,748,559.19","43,643.82","880,895.74","1,219,667.27","4,057,816.98","10,650.91","237,988.13","549,511.09","2,246,561.04","157,282.87","360,692.03","1,212,093.89","3,243,873.53","123,976.21","774,221.42","2,479,891.13","5,822,709.34","14,666.54","321,887.47"
管理费用,"89,517,440.96","103,940,847.06","130,128,359.26","26,908,897.00","69,100,310.58","122,095,873.81","179,004,112.34","47,511,304.96","91,895,816.37","155,762,769.83","263,549,449.75","54,745,016.74","134,123,030.67","209,250,439.02","327,708,973.08","59,666,693.92","125,881,733.39","199,675,260.72","333,517,860.46","61,834,034.75","126,175,934.56","213,968,653.95","393,276,290.06","78,992,271.46","153,675,797.97","232,840,590.00","397,770,472.08","77,603,282.12","177,716,521.07"
其中:非流动资产处置净损失,"640,283.53","9,082,578.36","962,301.75",,44.03,44.03,44.03,124.09,124.09,"1,027,957.63","8,577,940.81","7,917.08","463,099.85","384,078.65","2,440,864.05",646.44,"173,896.34","367,126.61","568,999.33","159,785.04","253,269.25","507,636.76","2,068,449.34","21,595.92","129,226.72","797,794.47",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"5,479,623.58","15,091,188.10","30,341,883.18","8,098,185.24","16,806,558.58","19,992,247.96","23,504,341.43","6,271,943.23","13,710,787.50","22,688,932.53","37,549,699.73","12,806,139.12","29,411,986.00","43,471,265.41","56,002,789.96","9,333,287.15","17,405,943.93","25,914,054.04","36,221,793.47","12,284,984.10","31,700,089.24","52,813,718.76","56,025,740.79","16,754,974.48","36,843,834.91","51,012,361.03","73,395,361.72","22,394,381.87","42,105,555.95"
三、利润总额,"115,512,149.01","135,451,649.83","143,927,281.99","25,317,605.49","74,320,898.55","76,754,083.35","101,912,809.93","17,414,279.66","82,023,842.34","134,390,219.80","237,145,902.91","38,974,942.91","153,117,101.01","206,776,400.09","285,181,272.43","33,952,763.84","111,950,904.99","141,134,286.13","147,012,115.35","-45,299,104.81","3,982,276.21","45,309,030.37","74,083,515.65","9,904,290.92","102,752,666.79","137,627,929.46","220,923,089.22","14,153,068.17","137,003,884.47"
资产减值损失,"5,346,261.72","660,328.33","6,336,931.36",,"4,254,893.83","2,247,227.59","6,230,215.61","5,198,638.43","13,487,386.17","11,569,017.50","16,088,149.53","10,574,119.10","19,496,451.65","18,981,571.14","25,933,671.42","564,604.50","3,702,727.86","7,557,611.20","51,712,970.84","1,518,011.67","15,687,518.71","41,501,988.74","26,847,327.11","2,006,188.05","13,588,725.18","31,699,040.87","83,645,631.20","-6,862,596.91","15,814,580.97"
减:所得税,"30,227,822.43","26,227,345.20","20,869,597.94","3,887,173.38","11,218,088.67","10,438,844.07","15,658,391.95","3,392,115.97","11,569,159.89","22,445,749.22","53,032,933.04","10,616,068.70","35,894,398.59","47,240,472.95","56,025,335.38","6,361,556.00","15,775,080.29","22,006,269.59","16,866,056.10","-7,428,658.05","-1,683,503.58","8,467,770.98","6,605,877.24","1,698,181.92","17,989,157.21","17,917,938.92","40,419,478.30","4,969,264.97","21,665,350.73"
