科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"1,104,729,628.06","1,383,728,851.52","989,888,400.00","1,406,848,460.58","852,924,854.24","1,253,161,000.00","1,736,087,423.96","303,673,760.82","872,575,815.65","1,310,927,333.83","1,772,179,721.30","397,839,908.00","1,120,574,839.09","1,686,784,391.32","2,305,772,602.99","563,403,839.82","1,432,372,930.59","2,165,972,611.84","2,999,518,206.95","827,236,309.85","1,894,863,438.46","2,818,285,264.39"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,"100,933,870.38",,"-535,697.50","54,028,180.44","54,028,180.44",,,
收到的税费返还,"432,946.11",,,,,,,,,,,,,,"280,000.00",,,"338,000.00","338,000.00",,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,"14,761.55",,,,,,,
收到其他与经营活动有关的现金,"36,500,678.64","28,634,187.09","54,420,200.00","73,185,075.94","29,760,062.67","45,507,500.00","40,675,441.92","10,717,104.86","40,676,265.40","65,365,053.86","61,587,497.88","14,724,899.97","39,939,469.66","64,026,833.93","111,952,927.85","26,559,434.27","39,407,826.12","110,144,614.08","93,825,275.35","30,202,928.72","34,385,400.35","115,245,827.35"
投资活动现金流出小计,"14,928,591.93","22,369,394.68","81,544,800.00","86,364,242.49","12,037,112.76","24,471,900.00","34,579,395.03","16,557,334.02","1,145,796,255.01","1,367,236,648.26","2,226,816,462.32","478,439,720.77","1,852,727,511.78","2,921,996,097.91","3,400,706,939.36","757,466,370.58","1,376,940,435.28","1,660,301,516.95","1,729,240,926.91","969,472,754.23","1,395,427,015.35","2,316,412,511.01"
经营活动现金流入小计,"1,141,663,252.81","1,412,363,038.61","1,044,308,600.00","1,480,033,536.52","882,684,916.91","1,298,668,500.00","1,776,762,865.88","314,390,865.68","913,252,081.05","1,376,292,387.69","1,833,767,219.18","412,564,807.97","1,160,514,308.75","1,750,811,225.25","2,418,005,530.84","589,963,274.09","1,471,780,756.71","2,276,455,225.92","3,093,681,482.30","857,439,238.57","1,929,248,838.81","2,933,531,091.74"
投资活动产生的现金流量净额,"-14,676,805.11","-22,227,798.40","-81,446,300.00","-86,233,674.88","-11,781,142.82","-24,192,100.00","-34,296,738.36","-16,551,904.02","-843,732,696.60","-457,905,163.20","-395,302,068.63","-428,362,907.54","-631,539,390.19","-496,888,651.31","-229,035,760.34","-486,225,817.62","-643,793,259.04","-817,662,342.10","-31,650,056.25","-735,181,592.59","-622,135,636.34","-826,447,132.83"
购买商品、接受劳务支付的现金,"572,905,894.92","714,834,825.01","468,628,600.00","681,315,332.60","308,861,882.62","494,250,400.00","744,639,379.61","164,095,262.98","385,919,442.85","625,142,471.87","921,573,692.42","209,221,759.98","435,945,008.41","724,386,555.40","1,061,538,784.41","260,444,445.96","531,003,300.02","939,829,050.87","1,397,654,192.53","368,113,151.54","756,553,755.68","1,256,269,739.35"
吸收投资收到的现金,,,,,,,,"474,138,196.24","474,138,196.24","474,138,196.24","474,138,196.24",,"3,700,000.00","4,750,000.00",,,,"59,857,843.00","59,857,843.00",,,
