科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"54,736,078.85","87,822,366.99","121,441,590.31","126,153,827.04","181,192,652.78","336,543,539.08","371,385,885.91","325,737,481.22","316,699,168.78","272,082,202.20","403,646,538.72","386,338,818.08","472,555,542.47","463,286,998.37","457,649,300.43","404,527,574.34","422,463,980.98","247,654,696.77","230,873,285.82","337,563,368.76"
短期借款,,,,,,,,,,,,,,,,,,,,
交易性金融资产,"6,006,567.12",,,,,,,"60,000,000.00",,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,
应收票据,"1,840,000.00","1,488,498.00","1,600,000.00",,,,,,,,,,,,"2,006,804.62","5,261,014.06","11,389,199.49","4,757,702.33","248,170.10","5,006,117.04"
应付票据,,,,,,,,,,,,,,,,,"11,782,700.00","22,675,880.88","42,717,821.88","46,001,941.00"
应收账款,"2,431,535.57","2,010,549.17","1,726,071.83","1,938,921.65","1,341,808.87","1,542,798.90","1,648,855.10","1,558,156.50","2,493,681.28","4,620,482.79","6,238,872.34","9,552,925.36","8,232,864.43","9,452,867.31","13,254,467.33","16,976,375.56","19,311,399.13","15,692,725.14","23,560,557.65","28,149,225.46"
应付账款,"11,100,655.91","11,019,208.71","18,954,894.13","23,258,655.46","25,063,958.80","26,052,516.94","24,977,762.63","24,559,668.58","30,296,819.15","32,750,361.42","32,137,644.76","36,578,137.87","34,355,936.38","38,187,255.98","55,837,165.99","42,043,166.86","53,132,997.49","60,552,928.57","71,374,694.66","45,769,542.32"
预付款项,"4,991,947.95","4,651,292.70","8,017,563.65","8,827,690.54","6,894,797.07","8,731,999.68","8,495,629.19","14,545,910.62","7,145,162.20","11,453,280.73","11,775,446.61","14,035,459.14","5,375,611.65","8,718,654.55","11,297,699.57","125,245,358.75","25,118,213.90","47,047,052.17","54,828,917.40","40,495,072.67"
预收款项,"3,916,822.60","3,173,235.69","5,970,386.74","4,255,272.41","6,578,409.26","13,706,853.13","6,478,981.72","11,754,111.68","1,674,760.54","22,510,600.28","11,787,744.13","13,993,735.24","6,811,680.02","8,232,226.33","10,733,844.74","27,739,681.77","16,731,266.23","162,066,641.80","158,821,475.19","140,438,573.81"
其他应收款,"2,204,947.11","2,483,094.85","1,211,957.38","241,784.11","141,571.35","298,466.33","520,479.44","556,567.70","3,087,763.59","3,564,152.13","3,456,935.70","3,609,148.14","2,970,711.32","3,287,352.35","3,296,092.43","3,694,977.55","2,900,111.01","4,509,249.34","5,817,968.36","6,123,060.80"
应付职工薪酬,"1,349,025.95","2,181,299.44","2,635,212.74","3,405,862.10","4,980,343.19","2,584,093.09","3,269,660.63","2,974,677.04","6,147,946.27","3,338,528.88","2,803,064.54","2,811,408.27","6,767,402.53","3,449,118.53","3,671,678.88","3,911,160.24","8,200,244.95","4,864,032.43","4,818,775.21","5,366,127.28"
应收关联公司款,,,,,,,,,,,,,,,,,,,,
应交税费,"7,495,693.62","8,778,597.27","9,444,301.38","7,360,357.75","11,658,846.15","3,191,485.24","13,081,150.04","9,578,998.41","12,086,764.30","5,659,795.96","9,775,399.71","3,532,902.96","12,554,821.73","6,906,065.04","17,128,411.30","7,774,327.82","16,155,823.87","5,753,443.34","17,461,576.44","10,179,686.55"
应收利息,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,0.01,,,,,,,,,,,,,
存货,"18,840,795.31","18,552,428.03","19,831,227.29","19,916,987.93","24,459,835.28","35,098,772.10","21,949,814.49","28,876,493.43","21,938,997.16","34,395,631.38","29,659,588.94","30,391,849.14","25,767,257.04","31,854,578.69","28,864,365.33","39,569,423.61","42,523,617.36","45,602,011.26","68,135,824.23","66,585,961.74"
其他应付款,"849,742.60","3,389,161.93","1,331,987.06","1,997,440.68","2,957,589.91","6,438,337.64","7,194,524.07","6,729,158.52","6,184,395.22","6,790,351.10","7,822,086.30","8,016,813.62","8,448,561.16","10,638,269.51","19,733,629.56","16,528,077.07","17,321,209.86","18,591,840.74","19,433,890.25","17,990,901.31"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,"75,000,000.00","125,000,000.00",,"40,000,000.00",,,"40,000,000.00","290,000,000.00","310,765,189.01","310,296,853.15","321,972,360.97","175,079,897.45"
其他流动负债,,,,,"52,200.00","52,200.00","52,200.00","52,200.00","149,559.29","149,559.29","149,559.29","37,389.83","149,559.29","112,169.48","74,779.67","37,389.86","149,559.24","112,169.43","74,779.62","112,169.43"
流动资产合计,"91,051,871.91","117,008,229.74","153,828,410.46","157,079,211.27","214,030,665.35","382,215,576.09","404,000,664.13","431,274,609.47","426,364,773.01","451,115,749.23","454,777,382.31","483,928,199.86","514,901,986.91","516,600,451.27","556,368,729.71","885,274,723.87","834,471,710.88","675,560,290.16","705,437,084.53","659,002,703.92"
流动负债合计,"24,711,940.68","28,541,503.04","38,336,782.05","40,277,588.40","51,291,347.31","52,025,486.04","55,054,279.10","55,648,814.23","56,540,244.77","71,199,196.93","64,475,498.73","64,970,387.79","69,087,961.11","67,525,104.87","107,179,510.14","98,033,803.62","123,473,801.64","274,616,937.19","314,703,013.25","265,858,941.70"
可供出售金融资产,,,,,,,,,,,,,,,,,,,"300,000,000.00","300,000,000.00"
长期借款,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,"300,000,000.00",,"1,500,000.00"
专项应付款,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,"1,772,434.00","1,756,794.88","1,741,155.76","1,725,516.64","1,709,877.52","1,694,238.40","1,678,599.28","1,662,960.16"
预计负债,,,,,,,,,,,,,,,,,,,,
固定资产,"10,455,364.81","13,428,492.36","62,153,741.47","62,749,334.34","90,971,171.35","89,348,873.79","90,096,170.38","89,703,600.72","96,881,302.49","95,032,397.08","93,774,358.03","91,365,018.74","90,913,037.67","88,220,800.45","87,156,931.26","85,579,314.35","85,380,375.34","83,284,636.42","84,564,802.87","178,681,681.50"
递延所得税负债,,,,,,,,,,,,,,,,,,,,
在建工程,,"29,459,509.76","1,678,240.00","16,723,121.58","400,994.17","418,668.53","444,513.56","1,957,035.89","842,188.68","1,567,213.68","2,325,608.33","3,091,369.15","18,972,955.17","30,482,442.52","37,138,901.51","54,373,352.85","75,859,440.10","104,573,779.43","117,821,034.21","141,469,217.53"
其他非流动负债,,,,,"795,600.00","795,600.00","795,600.00","795,600.00",,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,
非流动负债合计,,,,,"795,600.00","795,600.00","795,600.00","795,600.00","1,514,161.06","1,514,161.06","1,514,161.06","1,514,161.06","1,364,601.79","1,364,601.79","1,364,601.79","1,364,601.79","1,215,042.60","1,215,042.60","1,215,042.60","1,140,262.98"
固定资产清理,,,,,,,,,,,,,,,,,,,,
负债合计,"24,711,940.68","28,541,503.04","38,336,782.05","40,277,588.40","52,086,947.31","52,821,086.04","55,849,879.10","56,444,414.23","58,054,405.83","72,713,357.99","65,989,659.79","66,484,548.85","70,452,562.90","68,889,706.66","108,544,111.93","99,398,405.41","124,688,844.24","275,831,979.79","315,918,055.85","266,999,204.68"
生产性生物资产,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"45,000,000.00","45,000,000.00","45,000,000.00","45,000,000.00","45,000,000.00","51,600,000.00","51,600,000.00","51,600,000.00","51,600,000.00","51,600,000.00","82,560,000.00","82,560,000.00","82,560,000.00","82,560,000.00","82,560,000.00","87,631,886.00","87,631,886.00","87,631,886.00","87,631,886.00","87,631,886.00"
油气资产,,,,,,,,,,,,,,,,,,,,
资本公积,"5,347,189.00","5,347,189.00","5,347,189.00","5,347,189.00","5,347,189.00","158,995,989.00","158,995,989.00","158,995,989.00","158,995,989.00","158,995,989.00","128,035,989.00","128,035,989.00","128,035,989.00","128,035,989.00","128,035,989.00","450,597,884.31","450,597,884.31","450,597,884.31","450,597,884.31","450,597,884.31"
无形资产,"29,328,702.31","29,283,987.17","29,040,008.98","28,738,088.27","27,610,353.36","27,450,274.11","27,284,140.73","27,144,807.73","60,695,682.84","60,332,249.49","65,064,094.71","64,777,277.72","65,352,670.34","65,048,899.80","64,626,789.24","64,328,406.58","63,944,116.11","65,502,950.45","65,107,995.27","64,646,898.48"
