科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"159,196,531.91","235,800,073.59","258,382,760.96","608,411,389.30","597,042,190.51","643,403,931.77","659,245,958.48","651,957,745.94","486,188,803.32","496,607,424.72","527,521,170.55","629,053,240.29","485,746,619.73","541,542,921.48","589,325,525.26","527,028,491.43","446,192,461.11"
短期借款,"25,500,000.00","30,000,000.00",,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,
应收票据,"250,000.00","915,275.00",,"1,629,197.40","1,234,548.00","6,917,396.94","9,618,113.04","4,265,299.48","1,695,570.08","4,172,238.00","6,632,419.70","11,384,645.00","6,778,303.00","13,068,703.00","17,949,933.00","12,882,537.40","12,974,274.40"
应付票据,,"28,275,000.00","14,306,000.00","16,086,000.00","4,730,000.00","1,400,000.00","4,021,200.00","8,421,200.00","4,400,000.00",,,"4,365,000.00","8,185,100.00","6,815,100.00","15,705,000.00","16,880,000.00","20,910,000.00"
应收账款,"17,236,747.78","23,320,982.35","24,012,159.28","29,291,484.28","39,043,730.31","38,508,384.25","20,651,254.21","26,395,641.76","38,075,534.91","31,871,587.74","22,713,017.30","25,703,749.86","33,412,483.30","32,425,291.95","21,818,067.42","29,500,913.56","37,669,582.60"
应付账款,"4,098,023.01","2,796,783.26","6,142,165.53","16,286,451.58","6,563,429.51","15,213,316.46","6,913,136.35","8,667,028.05","9,275,712.44","5,287,884.10","11,795,444.59","9,869,538.56","16,714,038.40","6,703,243.34","10,048,358.09","17,333,636.95","16,180,759.42"
预付款项,"14,572,478.23","32,791,039.96","26,507,283.70","33,200,186.63","16,133,886.25","16,741,071.66","11,008,907.19","19,876,937.17","5,836,310.65","7,933,728.08","8,763,480.56","23,219,077.08","11,033,824.54","17,848,302.79","17,775,011.29","25,600,725.67","16,714,969.96"
预收款项,"27,540,936.62","23,480,738.09","21,367,784.73","14,431,784.21","6,482,682.53","10,706,498.31","24,096,259.89","13,436,115.89","8,220,397.92","12,887,911.03","36,954,832.54","37,135,536.06","26,208,087.29","18,197,758.40","51,007,117.20","48,295,881.61","33,435,412.59"
其他应收款,"2,966,140.23","6,014,477.75","6,745,248.76","22,711,002.34","4,838,089.56","4,917,026.04","3,602,968.59","4,411,225.35","3,596,000.44","4,694,101.37","5,187,544.33","5,116,534.93","5,179,491.29","2,378,668.36","2,266,045.41","3,832,220.77","6,551,496.77"
应付职工薪酬,"10,330,618.56","11,942,171.91","14,601,292.30","4,831,826.35","12,762,401.44","14,001,551.43","17,351,825.10","5,623,017.54","13,756,299.07","14,173,218.06","22,489,588.32","7,995,401.62","13,885,785.87","22,019,785.68","24,261,647.39","4,022,644.92","18,334,633.40"
应收关联公司款,,,,,,,,,,,,,,,,,
应交税费,"2,373,508.35","3,166,393.43","1,186,333.44","22,820,527.27","15,718,627.18","5,765,474.83","3,578,373.99","7,630,640.72","21,274,801.89","4,865,702.08","4,981,428.70","5,516,755.58","16,810,565.16","7,843,990.04","5,958,323.73","10,629,570.31","18,650,522.20"
应收利息,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,
存货,"105,939,234.15","125,171,043.60","114,218,080.51","122,085,594.58","132,954,458.91","110,890,074.51","123,428,558.24","139,146,053.09","119,482,458.43","103,533,632.31","117,616,295.43","131,904,951.29","124,202,534.74","97,890,666.31","119,983,998.77","135,347,260.55","140,421,010.98"
其他应付款,"38,542,605.23","39,442,381.90","21,624,887.40","16,454,689.37","22,139,446.89","29,554,120.42","18,554,156.45","14,693,207.03","21,167,703.52","23,954,912.51","17,924,511.31","14,572,231.13","18,434,973.03","15,010,072.16","9,882,605.88","7,445,529.89","12,217,205.67"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,
其他流动资产,"14,328,546.94",,"2,891,351.35","1,204,085.74","62,062.49","871,521.48","2,592,549.77",,,,"200,615,236.79","45,969,749.23","82,468,051.75","51,186,786.92","51,580,208.18","53,799,947.31","55,443,904.82"
其他流动负债,,,,,,,,,,,,,,,,,
流动资产合计,"314,489,679.24","424,012,892.25","432,756,884.56","818,532,940.27","791,308,966.03","822,249,406.65","830,148,309.52","846,052,902.79","654,874,677.83","648,812,712.22","889,049,164.66","872,351,947.68","748,821,308.35","756,341,340.81","820,698,789.33","787,992,096.69","715,967,700.64"
流动负债合计,"108,385,691.77","139,103,468.59","79,228,463.40","90,911,278.78","68,396,587.55","76,640,961.45","74,514,951.78","58,471,209.23","78,094,914.84","61,169,627.78","94,145,805.46","79,454,462.95","100,238,549.75","76,589,949.62","116,863,052.29","104,607,263.68","119,728,533.28"
可供出售金融资产,"3,200,000.00","3,200,000.00","3,200,000.00","3,200,000.00","3,200,000.00","3,200,000.00","3,200,000.00","3,200,000.00","203,200,000.00","203,200,000.00","3,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00"
长期借款,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,"45,000,000.00","44,669,435.17"
专项应付款,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,
固定资产,"20,512,655.76","19,473,831.44","19,739,729.44","19,091,833.46","18,475,956.98","17,868,911.35","17,896,501.62","17,193,409.94","17,149,889.64","16,403,143.53","15,518,194.44","16,683,901.97","16,492,982.43","15,901,378.05","15,712,480.93","17,940,767.95","17,814,036.08"
递延所得税负债,,,,,,,,,,,,,,,,,
在建工程,"1,008,210.09","1,100,398.12","3,978,725.36","8,206,196.72","13,905,250.30","18,443,564.47","23,553,458.15","24,163,220.10","25,748,739.80","29,591,011.92","38,566,306.87","50,839,927.58","55,967,272.50","57,084,189.47","70,862,762.23","92,547,014.84","108,284,969.39"
其他非流动负债,,,"3,400,000.00","3,950,000.00",,"3,950,000.00",,"3,950,000.00","169,355.00","781,355.00","812,705.00","900,369.00","891,063.58","853,763.58","9,286,593.47","11,154,145.81","14,751,220.58"
工程物资,,,"61,261.11","5,705.56",150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,,,
非流动负债合计,,,"3,400,000.00","3,950,000.00","3,950,000.00","3,950,000.00","3,950,000.00","3,950,000.00","4,119,355.00","4,631,355.00","4,662,705.00","4,750,369.00","4,041,063.58","4,003,763.58","12,436,593.47","14,304,145.81","17,901,220.58"
固定资产清理,,,,,,,,,,,,,,,,,
负债合计,"108,385,691.77","139,103,468.59","82,628,463.40","94,861,278.78","72,346,587.55","80,590,961.45","78,464,951.78","62,421,209.23","82,214,269.84","65,800,982.78","98,808,510.46","84,204,831.95","104,279,613.33","80,593,713.20","129,299,645.76","118,911,409.49","137,629,753.86"
生产性生物资产,,,,,,,,,,,,,,,,,
实收资本(或股本),"60,000,000.00","60,000,000.00","60,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","127,500,000.00"
油气资产,,,,,,,,,,,,,,,,,
资本公积,"715,557.02","715,557.02","715,557.02","330,635,557.02","330,635,557.02","330,635,557.02","330,635,557.02","330,635,557.02","330,635,557.02","330,635,557.02","330,635,557.02","330,635,557.02","330,635,557.02","330,635,557.02","330,635,557.02","330,635,557.02","278,135,557.02"
无形资产,"26,749,606.61","26,473,203.14","31,133,194.31","30,926,869.10","31,050,831.74","30,855,292.52","30,678,240.70","30,464,978.02","30,321,758.07","30,102,127.86","32,595,528.00","32,329,737.81","32,063,947.62","31,798,157.43","31,532,367.24","31,542,520.44","31,484,654.78"
盈余公积,"18,251,025.29","23,775,005.59","25,759,841.78","25,759,841.78","28,082,054.47","28,082,054.47","49,947,580.66","49,947,580.66","53,070,638.82","53,070,638.82","67,801,312.98","67,801,312.98","67,801,312.98","67,801,312.98","67,801,312.98","67,801,312.98","67,801,312.98"
开发支出,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,
未分配利润,"182,343,584.58","254,856,113.06","326,458,083.48","358,331,778.47","356,889,072.43","382,347,758.57","376,084,261.27","408,566,082.46","401,589,768.25","424,372,738.77","422,477,125.00","461,609,426.73","322,523,743.97","357,427,072.15","382,774,560.01","432,048,629.13","370,983,204.63"
长期待摊费用,"559,758.35","454,900.98","513,881.47","449,829.27","405,351.06","360,872.85","316,394.64","271,916.43","227,438.22","325,059.83","285,720.14","771,895.81","667,800.64","695,420.68","164,474.90","134,163.59","103,852.28"
少数股东权益,,,,,,,,,,,,,,,,,
递延所得税资产,"3,175,948.61","3,734,918.33","4,178,269.43","4,175,081.67","4,606,765.36","3,678,133.67","4,339,296.10","5,223,852.09","5,063,453.85","4,846,705.03","5,875,261.30","3,892,879.18","2,453,816.16","2,365,570.50","2,081,230.43","2,081,230.43","2,221,235.04"
外币报表折算价差,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,"5,924,126.52","15,599,007.00","9,632,180.05","9,180,688.65","10,572,949.60","14,071,448.41","11,258,970.71","13,959,114.68","28,303,945.11"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,
非流动资产合计,"55,206,179.42","54,437,252.01","62,805,061.12","66,055,515.78","71,644,305.44","74,406,924.86","79,984,041.21","80,517,526.58","287,635,556.10","300,067,205.17","105,673,340.80","146,899,181.00","151,418,918.95","155,116,314.54","164,812,286.44","236,404,811.93","266,082,127.85"
所有者权益(或股东权益)合计,"261,310,166.89","339,346,675.67","412,933,482.28","789,727,177.27","790,606,683.92","816,065,370.06","831,667,398.95","864,149,220.14","860,295,964.09","883,078,934.61","895,913,995.00","935,046,296.73","795,960,613.97","830,863,942.15","856,211,430.01","905,485,499.13","844,420,074.63"
资产总计,"369,695,858.66","478,450,144.26","495,561,945.68","884,588,456.05","862,953,271.47","896,656,331.51","910,132,350.73","926,570,429.37","942,510,233.93","948,879,917.39","994,722,505.46","1,019,251,128.68","900,240,227.30","911,457,655.35","985,511,075.77","1,024,396,908.62","982,049,828.49"
