科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"4,976,572,253.65","4,413,975,283.96","3,132,578,588.77","568,688,200.00","1,373,715,362.78","2,191,869,755.95","3,710,546,151.79","576,067,985.56","1,524,726,131.45","2,569,735,532.39","3,595,007,734.38","735,626,268.51","2,224,028,765.41","3,994,011,296.85","5,380,662,496.25","1,090,360,823.66","2,329,324,452.11"
二、营业利润,"54,957,367.91","57,269,213.97","124,358,462.89","51,153,800.00","61,762,327.86","128,883,969.01","168,081,230.84","72,216,096.99","128,026,581.46","178,750,125.13","217,198,095.54","46,588,330.26","107,772,385.92","174,182,510.23","82,335,400.24","49,122,023.96","88,343,741.13"
减:营业成本,"4,845,051,269.17","4,262,958,285.31","2,963,433,860.02",,"1,283,255,561.96","2,057,998,018.97","3,506,130,283.37","530,533,158.27","1,413,245,270.17","2,396,447,390.66","3,369,647,405.82","694,018,568.60","2,086,713,214.51","3,724,024,347.65","5,023,437,497.15","1,004,160,914.96","2,115,709,768.87"
加:补贴收入,,,,,,,,,,,,,,,,,
营业税金及附加,"1,823,945.42","665,721.03","701,784.54",,"325,897.89","548,165.87","693,762.08","291,782.60","522,881.53","722,505.49","990,983.20","341,141.54","643,706.80","985,241.95","1,497,340.35","383,664.78","2,355,217.84"
营业外收入,"129,157.00","4,049,785.30","981,412.08",,"30,962,512.50","30,963,185.27","31,862,127.72","233,777.19","6,244,471.60","7,021,037.97","8,603,273.55","2,497,714.39","5,522,611.43","5,908,367.00","468,456.93","85,732.08","60,042.34"
销售费用,"43,517,224.16","48,436,685.28","67,434,311.67",,"17,238,571.16","26,892,005.84","43,755,532.25","8,280,810.50","18,962,126.24","28,193,539.03","39,530,401.74","7,381,997.15","20,607,734.97","48,077,525.29","120,926,792.62","10,818,801.37","56,557,765.37"
减:营业外支出,"110,521.76","126,891.32","464,686.36",,"23,962.38","72,866.02","119,607.12","1,352.11","9,520.93","436,816.47","759,673.88","476,619.85","568,169.26","658,618.60","878,704.28","21,699.77","179,639.02"
管理费用,"35,731,468.31","42,676,544.34","62,437,598.06",,"38,613,333.22","57,953,029.43","86,643,096.00","19,191,052.96","39,455,373.74","63,781,668.36","107,207,247.00","23,179,320.30","49,323,710.75","79,886,346.56","126,093,152.26","25,310,259.27","56,229,531.06"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,
堪探费用,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,
财务费用,"4,514,286.00","130,177,892.31","411,558,244.13",,"125,601,074.96","154,841,835.40","256,258,213.72","58,566,793.13","295,356,495.75","347,122,005.03","185,224,078.15","-5,736,238.46","24,755,060.46","53,619,674.87","58,372,533.75","25,526,385.54","74,608,519.85"
三、利润总额,"54,976,003.15","61,192,107.95","124,875,188.61","51,649,900.00","92,700,877.98","159,774,288.26","199,823,751.44","72,448,522.07","134,261,532.13","185,334,346.63","225,041,695.21","48,609,424.80","112,726,828.09","179,432,258.63","81,925,152.89","49,186,056.27","88,224,144.45"
资产减值损失,"8,339,948.30","27,247,702.23","3,171,134.18",,"291,398.74","1,833,202.02","4,957,939.94","-4,150,720.01","325,894.29","-557,768.57","5,963,325.47","583,096.66","2,368,611.46","61,974,325.01","144,003,682.31","1,887,760.63","7,647,723.07"
减:所得税,"8,513,398.46","10,721,954.38","16,904,044.03",,"13,379,789.55","30,830,529.90","28,884,175.76","11,426,475.08","20,554,580.36","28,746,343.77","34,133,307.04","8,254,745.38","18,717,603.88","29,608,632.62","13,678,150.31","8,088,597.05","14,246,612.18"
加:公允价值变动净收益,"927,739.55","8,381,949.84","14,434,421.97",,"-55,216,522.09","-84,570,029.68","-67,230,917.67","-88,014,123.73","-10,244,909.08","34,464,686.34","66,690,168.39","29,995,767.95","56,309,737.53","92,100,400.06","83,883,181.92","-8,020,150.41","-1,102,397.84"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,
投资收益,"16,435,516.07","147,074,810.67","486,082,384.75",,"208,589,325.10","321,650,500.27","423,204,824.08","196,875,112.61","381,413,400.81","410,259,246.40","264,063,634.15","734,179.59","11,845,921.93","56,638,274.65","86,576,335.51","34,191,837.26","56,458,313.92"
四、净利润,"46,462,604.69","50,470,153.57","107,971,144.58","43,210,100.00","79,321,088.43","128,943,758.36","170,939,575.68","61,022,046.99","113,706,951.77","156,588,002.86","190,908,388.17","40,354,679.42","94,009,224.21","149,823,626.01","68,247,002.58","41,097,459.22","73,977,532.27"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"46,604,567.07","50,972,858.44","107,743,342.21",,"79,321,088.43","128,943,758.36","170,939,575.68","61,022,046.99","113,706,951.77","156,588,002.86","190,908,388.17","40,354,679.42","94,009,224.21","149,823,626.01","68,247,002.58","41,097,459.22","73,977,821.39"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,
少数股东损益,"-141,962.38","-502,704.87","227,802.37",,,,,,,,,,,,,,-289.12
