科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"517,648,087.38","628,741,710.30","622,090,654.19","570,270,643.57","458,487,869.25",,"1,149,238,699.58","808,482,627.39","798,859,902.98","638,027,633.05","661,765,652.39","867,992,451.77","755,269,417.29","901,943,467.19"
短期借款,"298,000,000.00","460,000,000.00","610,000,000.00","650,000,000.00","710,000,000.00",,"800,000,000.00","770,000,000.00","1,080,000,000.00","1,047,581,765.00","993,618,992.00","1,382,200,000.00","1,352,200,000.00","1,405,161,019.68"
交易性金融资产,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,
应收票据,"13,300,000.00","5,100,000.00","988,038.00","7,676,038.00","8,633,677.00",,"26,529,336.83","9,590,840.67","21,373,564.67","42,678,833.66","28,442,633.66","26,111,152.45","20,321,828.13","30,803,915.49"
应付票据,,,,,,,"4,104,441.72","6,834,999.55","11,730,279.12","11,432,500.08","42,146,950.00","46,980,728.79","51,557,649.67","84,204,081.78"
应收账款,"812,238,701.64","1,269,476,063.02","1,703,404,494.49","1,634,640,814.99","1,925,093,325.92",,"1,939,906,626.65","1,930,265,826.83","2,064,857,195.92","2,263,308,020.94","2,434,339,441.00","2,154,736,091.58","2,446,914,068.49","2,472,131,355.47"
应付账款,"551,550,225.38","860,958,883.45","978,677,517.27","769,726,123.37","896,238,013.58",,"888,321,658.74","535,713,527.64","391,673,654.00","460,874,433.40","679,696,661.02","300,784,356.55","400,155,107.11","359,948,378.57"
预付款项,"18,178,925.71","23,537,824.94","23,745,291.69","33,528,055.51","34,373,656.93",,"46,559,209.93","60,231,610.72","51,564,470.84","55,959,118.36","54,491,206.11","59,083,863.32","48,436,416.84","50,044,764.28"
预收款项,"24,847,141.87","40,633,671.66","18,257,472.30","32,144,768.76","28,296,482.17",,"74,145,475.61","78,207,895.68","81,239,066.65","103,601,911.76","87,638,783.68","86,647,002.46","81,883,633.50","157,600,235.30"
其他应收款,"22,265,735.98","57,040,206.33","53,375,358.01","52,501,202.14","66,672,739.97",,"72,475,685.14","84,783,851.44","95,530,374.90","100,668,433.71","91,499,609.98","85,931,097.50","95,929,587.35","106,222,496.98"
应付职工薪酬,"6,240,943.25","7,277,218.38","8,889,392.71","6,869,851.49","6,910,212.35",,"11,423,871.68","7,531,757.98","7,869,826.98","8,594,173.03","13,002,051.21","9,247,881.17","10,432,362.05","10,552,941.17"
应收关联公司款,,,,,,,,,,,,,,
应交税费,"69,783,523.37","81,511,281.49","107,606,528.44","117,896,145.33","114,098,317.89",,"135,236,323.68","143,695,357.28","98,079,883.66","113,310,754.55","136,806,469.44","150,543,497.23","154,787,730.57","168,377,083.48"
应收利息,,,,,,,,,,,"2,933,450.00","2,970,383.33",,
应付利息,,,,,,,,,,,"1,456,343.50","1,456,343.50",,
应收股利,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,"11,025,000.00",
存货,"70,458,772.21","83,909,891.86","97,782,659.26","105,134,893.77","117,740,882.21",,"133,626,774.32","138,904,850.93","138,707,458.27","143,389,999.73","147,019,262.76","280,180,549.88","172,258,837.43","188,825,220.73"
其他应付款,"3,211,162.78","1,645,959.95","1,273,049.94","938,419.13","970,386.78",,"7,344,160.06","897,395.66","936,447.78","1,581,129.64","3,535,437.57","2,230,695.41","3,813,593.39","2,596,909.63"
其中:消耗性生物资产,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,
一年内到期的非流动负债,"21,820,000.00",,,,,,,,,,,,,
其他流动资产,,,,,,,,,,"45,000,000.00","45,000,000.00","45,000,000.00","49,586,231.79","81,067.23"
其他流动负债,,,,,,,,,,,,,,
流动资产合计,"1,454,090,222.92","2,067,805,696.45","2,501,386,495.64","2,403,751,647.98","2,611,002,151.28",,"3,368,336,332.45","3,032,259,607.98","3,170,892,967.58","3,289,032,039.45","3,465,491,255.90","3,522,005,589.83","3,588,716,387.32","3,750,052,287.37"
流动负债合计,"975,452,996.65","1,452,027,014.93","1,724,703,960.66","1,577,575,308.08","1,756,513,412.77",,"1,920,575,931.49","1,542,880,933.79","1,671,529,158.19","1,746,976,667.46","1,957,901,688.42","1,980,090,505.11","2,065,855,076.29","2,188,440,649.61"
可供出售金融资产,,,,,,,,,,,,,,
长期借款,,,"2,392,870.33","2,271,418.58","2,145,394.16",,"1,930,065.32","1,797,623.75","1,613,891.80","1,473,597.40","1,331,126.04","1,234,423.99","1,039,516.79","890,309.76"
持有至到期投资,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,"-54,873.63",,"48,716,087.98","73,350,654.34","128,706,207.86","138,934,633.29"
专项应付款,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,
固定资产,"81,756,197.40","73,097,195.54","63,592,827.46","60,804,542.58","61,208,845.48",,"55,590,918.64","52,696,572.81","53,055,395.79","51,178,718.08","50,444,611.83","49,206,252.29","50,662,350.36","49,814,148.20"
递延所得税负债,,,,,,,,,,,,,,
在建工程,,,"439,782.00","2,763,867.66",,,,"979,365.00","979,365.00","1,679,365.00","1,679,365.00","1,760,379.50","2,083,580.70","17,615,182.80"
其他非流动负债,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,
非流动负债合计,,,"2,392,870.33","2,271,418.58","2,145,394.16",,"1,930,065.32","1,797,623.75","1,613,891.80","1,473,597.40","1,331,126.04","1,234,423.99","1,039,516.79","890,309.76"
固定资产清理,,,,,,,,,,,,,,
负债合计,"975,452,996.65","1,452,027,014.93","1,727,096,830.99","1,579,846,726.66","1,758,658,806.93","1,813,012,500.00","1,922,505,996.81","1,544,678,557.54","1,673,143,049.99","1,748,450,264.86","1,959,232,814.46","1,981,324,929.10","2,066,894,593.08","2,189,330,959.37"
生产性生物资产,,,,,,,,,,,,,,
实收资本(或股本),"180,000,000.00","180,000,000.00","180,000,000.00","180,000,000.00","180,000,000.00",,"225,000,000.00","225,000,000.00","225,000,000.00","225,000,000.00","225,000,000.00","225,000,000.00","225,000,000.00","225,000,000.00"
油气资产,,,,,,,,,,,,,,
资本公积,"220,569,563.26","220,569,563.26","220,569,563.26","220,569,563.26","220,569,563.26",,"706,702,063.26","706,702,063.26","708,785,863.26","715,037,263.26","716,018,110.80","720,640,251.43","725,262,392.06","729,884,532.69"
无形资产,"20,054,956.36","19,555,841.20","18,953,689.15","18,812,171.10","18,655,567.99",,"18,348,437.17","18,198,185.57","18,052,192.78","17,892,393.37","17,731,666.87","17,587,907.04","17,501,102.58","17,412,817.37"
盈余公积,"17,884,547.95","29,337,617.55","42,544,118.41","42,544,118.41","42,544,118.41",,"53,890,581.73","53,890,581.73","53,890,581.73","53,890,581.73","64,368,820.97","64,368,820.97","64,368,820.97","64,368,820.97"
开发支出,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,
商誉,"472,355.08","472,355.08","472,355.08","472,355.08","472,355.08",,"472,355.08","472,355.08","472,355.08","472,355.08","472,355.08","472,355.08","472,355.08","472,355.08"
未分配利润,"170,723,931.71","286,020,054.06","421,760,073.64","470,793,612.23","496,302,283.98",,"540,761,544.60","580,088,959.15","588,095,481.70","623,126,225.35","625,985,740.64","666,658,919.97","684,670,047.28","745,433,374.92"
长期待摊费用,"8,185,988.36","6,960,757.01","7,071,947.38","7,095,946.57","6,682,363.16",,"6,067,568.40","5,709,500.58","5,472,999.42","5,204,889.56","4,768,210.17","4,589,160.31","3,798,912.20","4,188,207.48"
少数股东权益,,,,,,,,,,,,"12,281,310.96","27,060,232.15","25,777,922.40"
递延所得税资产,"71,319.45","62,404.52","53,489.59","53,489.59","53,489.59",,"44,574.66","44,574.66","44,574.66","44,574.66","1,325,642.50","1,325,642.50","1,325,642.50","1,325,642.50"
外币报表折算价差,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,
非正常经营项目收益调整,,,,,,,,,,,,,,
非流动资产合计,"110,540,816.65","100,148,553.35","90,584,090.66","90,002,372.58","87,072,621.30",,"80,523,853.95","78,100,553.70","78,022,009.10","76,472,295.75","125,137,939.43","148,292,351.06","204,550,151.28","229,762,986.72"
所有者权益(或股东权益)合计,"589,178,042.92","715,927,234.87","864,873,755.31","913,907,293.90","939,415,965.65","981,259,300.00","1,526,354,189.59","1,565,681,604.14","1,575,771,926.69","1,617,054,070.34","1,631,396,380.87","1,688,973,011.79","1,726,371,945.52","1,790,484,314.72"
资产总计,"1,564,631,039.57","2,167,954,249.80","2,591,970,586.30","2,493,754,020.56","2,698,074,772.58","2,794,271,800.00","3,448,860,186.40","3,110,360,161.68","3,248,914,976.68","3,365,504,335.20","3,590,629,195.33","3,670,297,940.89","3,793,266,538.60","3,979,815,274.09"
负债和所有者(或股东权益)合计,"1,564,631,039.57","2,167,954,249.80","2,591,970,586.30","2,493,754,020.56","2,698,074,772.58","2,794,271,800.00","3,448,860,186.40","3,110,360,161.68","3,248,914,976.68","3,365,504,335.20","3,590,629,195.33","3,670,297,940.89","3,793,266,538.60","3,979,815,274.09"
