科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"121,002,487.54","129,961,291.91","80,841,910.09","28,911,445.61","87,719,049.18","49,804,970.48","146,465,095.78","110,656,881.60","92,602,639.63","89,851,039.30","118,389,147.20","80,802,486.75","98,379,179.37","83,614,442.53","133,181,107.78","65,418,438.31","66,187,577.06"
短期借款,"238,135,287.77","239,611,924.41","250,949,903.94","245,930,988.39","280,353,701.56","249,870,919.53","226,436,348.23","239,328,158.52","263,108,449.19","276,029,867.89","260,874,891.83","261,459,717.69","289,766,486.22","315,095,216.48","350,506,761.01","321,997,221.30","323,003,148.04"
交易性金融资产,"128,817.01","715,400.00",,,,,,,,,,,,,,,
交易性金融负债,,,"490,700.00","490,700.00",,,,,,,,,,,,,
应收票据,"1,750,000.00","150,000.00","2,131,649.91","4,789,600.91","2,022,100.00","1,205,000.00","591,728.00","126,350.37","2,704,022.70","200,000.00","5,910,000.00","1,350,000.00","5,858,071.27","3,153,539.10","6,860,000.00","10,130,000.00","1,208,739.18"
应付票据,"5,300,000.00","5,300,000.00",,,"11,600,000.00","34,800,000.00","33,900,000.00","18,600,000.00","12,600,000.00","17,582,500.00","29,000,000.00","29,000,000.00","24,000,000.00","19,250,000.00","5,000,000.00","5,000,000.00","11,160,000.00"
应收账款,"329,521,958.62","365,586,406.53","369,956,295.29","373,845,221.82","386,827,255.85","443,976,241.64","431,524,983.33","418,051,829.59","486,145,185.45","453,870,373.96","518,949,194.02","508,574,254.46","492,771,942.11","506,911,445.50","551,226,890.35","512,543,908.05","519,010,633.48"
应付账款,"80,710,161.49","89,962,966.67","71,000,037.62","65,612,251.39","68,208,696.64","78,578,105.07","89,707,662.64","76,144,788.62","106,005,649.08","92,476,550.21","136,863,856.42","103,944,756.67","149,947,611.05","129,005,429.60","113,316,937.66","87,272,030.07","110,253,395.32"
预付款项,"39,035,810.27","42,348,619.72","52,043,242.02","59,269,383.64","65,300,959.58","67,662,583.73","81,268,206.93","97,947,167.89","108,841,431.56","104,191,613.10","90,595,969.96","109,012,688.00","99,509,512.81","115,678,399.28","96,883,706.11","113,494,731.88","111,983,126.14"
预收款项,"9,542,354.94","5,436,106.72","4,662,108.90","11,573,434.96","4,752,862.94","9,431,292.00","5,905,892.82","13,213,915.49","31,262,804.12","27,625,273.66","12,843,347.58","23,222,422.60","20,486,901.89","13,182,506.26","23,545,762.52","25,060,786.63","23,345,953.39"
其他应收款,"15,505,954.38","23,589,600.91","20,021,392.33","44,199,485.18","20,751,043.48","14,147,564.10","17,653,497.32","16,009,483.21","23,120,222.43","20,664,991.90","16,284,858.24","15,490,962.50","18,318,391.54","18,034,853.16","25,040,565.10","22,880,747.71","24,499,424.82"
