科目,2007年度,2008年度,2009年1-9月,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"61,690,620.99","89,633,247.84","79,130,722.17","213,454,080.41","240,853,130.96","232,582,892.60","48,105,020.44","113,423,173.63","203,837,356.94","295,277,213.68","74,980,890.13","153,878,077.57","222,213,415.52"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,
收到的税费返还,,,,"676,612.37","1,577,258.39","391,415.07","661,965.09","749,263.19","1,319,810.52","1,933,206.92","1,678,327.43","2,449,873.34","2,831,020.34"
支付其他与投资活动有关的现金,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"11,592,038.74","6,945,737.25","1,536,228.64","2,797,520.20","4,988,014.46","2,260,542.55","2,247,238.79","960,460.50","2,548,054.02","3,524,704.98","714,153.08","1,553,669.43","2,560,361.55"
投资活动现金流出小计,"1,802,499.01","712,984.00","20,800,161.03","157,942,020.09","275,051,836.35","203,231,356.21","42,099,880.72","68,318,382.94","94,700,365.69","300,776,530.54","111,260,943.00","235,717,002.00","359,451,040.40"
经营活动现金流入小计,"73,282,659.73","96,578,985.09","80,666,950.81","216,928,212.98","247,418,403.81","235,234,850.22","51,014,224.32","115,132,897.32","207,705,221.48","300,735,125.58","77,373,370.64","157,881,620.34","227,604,797.41"
投资活动产生的现金流量净额,"-1,802,499.01","-712,984.00","-20,800,161.03","-15,036,793.92","-14,252,885.92","-11,438,864.76","-24,046,190.31","-7,218,875.09","-34,131,137.35","-192,343,865.03","7,476,077.51","18,240,081.09","24,803,013.71"
购买商品、接受劳务支付的现金,"32,337,286.41","51,838,600.03","40,665,692.95","136,762,423.72","158,459,560.80","164,089,779.55","37,506,720.44","70,216,757.75","150,735,056.87","191,090,307.72","55,926,046.28","115,446,854.91","182,797,178.64"
吸收投资收到的现金,,,"25,000,000.00",,,,,,"190,699,300.00","203,500,000.00",,,
