科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"119,168,546.30","212,016,616.88","114,811,214.69","179,169,767.07","293,553,869.66","67,809,552.45","154,014,301.79","254,685,042.77","434,057,101.30","115,924,715.63","249,331,750.23","429,820,218.80","753,703,565.80","200,859,440.19","379,940,795.46","624,380,247.62","1,105,531,033.07","274,115,717.75","514,006,811.27","832,604,108.30","1,445,348,131.00","318,050,505.11","622,450,583.75","1,007,797,724.26","1,715,241,927.09","384,169,723.10","676,023,623.40","1,941,301,442.74","3,807,592,035.26","514,275,338.02","1,087,439,635.63","1,699,980,275.04","2,877,833,342.57","623,603,272.49","1,277,534,180.70","1,954,973,233.00"
二、营业利润,"16,792,531.47","33,185,989.49","24,099,172.29","31,018,292.78","46,294,098.02","11,718,841.67","27,606,508.23","34,171,726.85","65,011,837.57","23,555,366.80","51,456,428.84","64,601,669.65","123,478,156.27","48,848,865.07","84,221,265.42","114,990,629.62","192,951,998.59","67,977,430.29","109,494,076.29","155,874,311.76","267,461,848.01","87,503,997.55","132,265,336.58","195,707,116.71","324,343,397.49","112,802,173.70","164,438,463.14","183,093,165.17","274,653,933.34","73,172,179.26","79,783,181.29","82,168,569.62","99,595,610.74","55,088,593.34","61,075,161.27","83,747,788.64"
减:营业成本,"76,911,692.60","116,258,323.95","62,545,436.53","97,763,622.92","152,969,298.25","34,851,993.66","79,971,180.12","132,642,581.56","221,154,284.24","58,331,451.52","125,046,144.37","220,333,954.74","395,477,123.00","95,096,703.74","186,913,414.83","313,271,072.17","542,369,141.14","136,613,171.45","263,356,787.90","424,546,370.98","722,380,341.69","159,406,853.69","314,649,429.95","509,727,634.49","877,509,997.38","188,400,236.69","329,228,279.97","1,410,120,149.16","2,901,090,185.24","325,091,065.01","728,746,206.44","1,194,838,512.48","2,035,896,138.40","460,278,023.84","983,259,098.67","1,541,683,156.17"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"340,176.34","1,054,204.86","716,281.21","1,005,459.55","1,777,200.08","84,477.18","714,572.51","1,080,955.55","2,313,958.34","293,228.68","933,668.49","1,156,363.89","3,547,894.44","1,137,700.15","3,014,272.75","3,521,293.35","8,279,536.84","1,776,257.23","2,875,441.10","3,151,991.27","10,274,696.66","993,386.23","2,771,935.07","4,506,192.84","12,062,129.85","2,542,767.05","4,016,846.24","7,358,991.20","15,178,788.06","3,773,167.93","5,507,027.98","7,177,386.58","19,441,696.42","1,533,947.95","5,806,869.95","6,887,047.65"
营业外收入,"173,593.75","2,338,098.87","1,887,252.58","3,585,805.46","6,349,579.19","1,141,409.24","2,736,267.28","3,191,046.60","3,393,883.50","33,360.80","102,050.50","125,436.21","1,518,332.85","83,607.66","177,634.70","590,360.33","2,796,649.44","3,036,147.43","6,165,238.52","8,022,064.16","15,295,355.52","4,253,896.73","8,287,121.02","8,821,359.20","11,229,470.61","935,489.83","4,782,402.71","16,213,610.40","21,300,530.30","2,351,591.37","22,555,879.59","24,033,847.17","37,551,746.45","3,547,253.50","28,055,951.00","5,638,515.47"
销售费用,"19,087,890.00","36,738,148.32","14,964,971.40","30,670,635.39","56,702,508.11","14,543,486.61","29,793,117.61","60,019,114.54","92,289,433.18","21,136,954.67","42,208,953.77","84,928,029.78","118,044,388.38","34,349,983.01","71,478,755.83","127,839,829.04","204,939,199.00","43,352,332.48","87,101,089.37","154,700,431.33","253,288,879.14","46,600,964.99","104,018,683.29","176,176,448.24","287,124,851.49","55,545,242.49","113,296,658.00","225,093,835.36","344,723,192.40","62,036,446.24","162,721,436.48","244,956,303.11","384,869,670.91","62,453,423.40","166,097,176.09","238,093,091.61"
减:营业外支出,"141,186.65","1,516,463.08","462,022.17","617,706.38","928,448.70","125,098.95","348,125.19","1,041,891.75","4,216,349.04","50,465.63","156,007.07","166,571.40","324,263.61","38,900.00","150,016.98","161,767.22","372,577.69","103,285.86","357,911.83","496,276.07","777,023.12","107,513.93","2,413,617.51","2,482,521.22","3,331,055.65","3,089,119.77","3,268,709.61","3,285,838.03","3,943,111.49","206,292.71","3,140,983.07","3,214,943.82","4,372,078.06","1,533,141.40","3,285,063.04","3,583,769.55"
管理费用,"5,460,587.74","23,804,588.43","11,960,383.91","18,312,265.82","32,155,422.45","7,569,083.06","17,535,274.63","28,689,047.23","53,763,715.78","13,722,746.62","31,693,822.54","53,512,196.09","91,414,145.42","22,187,407.96","43,701,079.67","75,338,976.66","135,659,158.35","26,454,189.26","56,180,784.02","102,135,156.33","156,621,750.32","26,951,532.07","55,391,972.29","110,905,700.57","174,522,007.05","27,217,116.87","58,049,744.25","109,942,209.59","218,332,933.39","48,610,192.73","108,147,336.67","178,255,595.08","286,820,228.40","50,400,330.18","105,341,666.87","163,094,517.73"
其中:非流动资产处置净损失,"36,557.75","774,435.94","35,828.01","35,828.01","109,094.09","22,092.24","22,365.64","22,365.64","22,401.41",,,,"106,252.73",,,,,"3,004.15","3,168.46","8,778.61","8,778.61","7,073.82","7,257.30","58,618.17","72,590.97","3,735.16","24,060.90","25,205.82","27,828.78",,"118,892.34","118,892.34","118,075.71",,"3,191.24","3,191.24"
