科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"43,158,705.26","32,448,315.55","25,977,605.40","347,687,903.09","338,812,780.01","343,362,755.49","327,752,220.85","320,714,279.57","336,499,383.48","329,656,086.96","280,807,072.23","259,729,426.38","258,356,968.01","241,965,105.19","197,448,758.29","202,084,350.66","217,820,196.25","215,461,464.91","204,210,912.39","219,267,291.87","230,915,849.72","223,187,294.43","174,159,926.42","194,034,911.15","181,942,352.43","139,009,381.20","92,144,511.05","147,323,066.21","89,358,046.00","151,951,396.57","155,932,693.87","59,826,949.96","152,027,628.72","51,382,989.56","81,541,499.14","79,572,508.74"
短期借款,"22,000,000.00","22,050,000.00","20,850,000.00","17,000,000.00",,,"13,000,000.00","10,700,000.00","7,700,000.00","7,700,000.00","4,700,000.00","4,700,000.00","3,700,000.00",,,,,,,,,,,"6,000,000.00",,,,,,,"10,000,000.00","10,000,000.00","10,000,000.00",,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"5,744,531.54","19,659,527.43","13,207,966.52","14,553,998.76","25,022,368.09","17,283,393.23","15,368,488.42","17,127,606.28","31,191,264.94","22,244,966.29","19,608,648.56","25,616,044.41","53,465,058.55","40,148,469.02","38,438,838.33","46,631,134.27","54,288,162.55","50,704,139.06","52,445,406.47","47,849,625.89","87,023,942.98","75,934,120.24","62,038,201.83","53,155,788.08","86,236,019.02","68,289,108.06","60,680,433.72","59,602,930.36","72,413,106.18","62,833,368.07","48,977,492.79","27,604,109.21","67,421,392.76","70,772,366.98","74,299,160.10","68,742,283.40"
应付票据,"1,338,170.00","1,141,703.00","1,564,300.00","2,072,000.00","892,000.00","400,000.00","890,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"22,902,326.71","30,122,813.85","32,401,153.49","39,461,411.55","31,333,103.12","34,677,983.84","42,958,184.66","47,191,570.22","40,660,219.31","45,831,066.58","52,111,770.48","54,214,128.08","47,664,188.35","55,653,990.73","60,272,743.53","65,875,759.76","59,050,578.12","66,843,098.92","74,498,768.24","83,378,243.94","73,525,520.16","88,127,592.72","88,566,407.53","98,682,133.24","90,959,079.09","103,239,946.12","103,830,288.69","120,805,817.47","119,953,785.30","131,488,823.12","169,156,395.84","195,301,001.92","188,085,244.16","191,269,285.16","200,943,057.67","235,217,369.55"
应付账款,"19,336,149.79","17,530,744.54","17,954,121.04","15,979,774.38","17,816,501.36","16,387,314.65","17,261,828.25","16,536,048.18","14,228,368.67","15,721,930.15","18,390,750.23","16,346,930.71","18,546,921.31","20,273,673.88","17,566,957.40","19,577,807.26","34,251,428.83","32,401,033.14","31,006,630.10","27,825,265.83","38,144,832.12","29,769,028.91","33,664,913.48","31,105,364.80","35,372,213.39","32,724,282.65","33,977,048.90","32,717,700.26","38,990,141.81","36,663,967.66","38,538,149.35","34,139,069.73","56,032,309.30","52,592,016.65","51,912,665.41","48,184,245.99"
预付款项,"2,526,686.20","2,419,657.71","4,937,347.63","3,756,146.08","3,221,971.93","3,755,028.66","4,985,857.19","8,809,117.79","7,082,893.23","8,607,739.82","23,091,231.44","44,571,523.34","25,266,442.13","42,149,608.76","60,932,614.52","72,386,291.23","14,148,787.23","18,784,545.81","22,614,016.75","15,875,741.43","6,108,665.96","10,742,174.55","15,060,338.43","25,271,019.53","7,515,942.91","8,683,650.63","8,669,299.16","7,741,556.79","8,793,005.19","8,144,080.34","10,547,571.71","31,239,633.25","11,084,266.61","12,010,857.20","14,507,798.01","15,555,175.94"
预收款项,"7,199,885.76","7,790,086.99","5,380,235.27","5,654,695.45","7,096,944.99","5,631,678.00","3,752,570.87","2,841,393.44","5,600,467.72","4,503,464.80","4,687,535.06","4,264,220.79","8,428,373.76","10,087,862.60","6,563,089.92","10,409,653.58","9,340,376.52","7,736,310.40","5,560,749.24","6,844,423.98","11,196,404.23","10,539,004.14","7,713,050.88","9,852,440.28","6,320,058.97","8,061,614.96","6,004,426.01","12,311,293.33","10,009,837.62","10,787,280.07","10,523,993.81","13,246,286.83","12,524,127.27","15,624,061.40","14,606,080.62","16,119,822.83"
其他应收款,"14,347,814.42","5,721,539.52","8,237,498.13","10,560,000.26","4,958,295.52","12,862,842.58","12,595,280.38","15,826,349.12","10,318,665.30","19,856,922.13","14,706,924.34","20,236,248.99","12,940,742.10","20,451,960.33","17,010,543.16","18,967,967.75","13,824,242.06","21,083,997.20","23,533,056.72","24,254,508.98","13,120,727.01","23,162,119.91","26,459,331.14","29,954,556.70","14,584,830.06","25,148,712.19","27,611,561.80","28,854,143.66","21,520,637.99","35,049,186.71","38,758,557.38","56,706,970.58","20,864,679.68","41,372,384.03","39,265,673.60","93,770,354.80"
