科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"53,894,561.63","10,089,760.47","32,148,355.47","29,041,051.62","658,200,775.82","622,545,574.76","590,133,331.21","607,300,560.85","616,253,434.32","599,738,143.87","540,956,313.17","529,408,394.54","532,616,235.79","514,490,175.28","410,941,209.41","395,354,599.04","310,571,844.94","242,798,839.14","176,490,232.29","72,973,980.00","69,086,529.59","110,292,534.03","86,484,546.97","116,593,743.73","127,392,198.59","258,403,671.25","334,414,300.47","276,112,085.42","296,699,087.49","268,750,462.03","304,485,667.54","2,354,817,236.64","2,259,509,963.96","2,102,160,042.02","2,096,238,929.26","1,736,617,814.95","1,537,950,472.46","1,359,648,925.38"
短期借款,"103,357,181.05","74,398,596.80","56,500,000.00","29,500,000.00","24,500,000.00",,,,,,,,,,"15,000,000.00","56,886,076.21","80,251,581.35","92,586,731.82","125,133,682.67","90,722,741.21","139,913,884.60","217,638,194.52","217,107,040.00","247,014,280.97","487,050,000.00","624,108,540.87","678,065,151.03","765,888,657.03","839,474,400.00","984,787,225.00","1,148,847,225.00","904,353,305.00","808,400,000.00","848,300,000.00","1,586,545,000.00","1,784,132,560.00","1,816,528,660.00","1,799,941,100.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"175,249,496.43","161,090,136.12",,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,836,004.60","2,356,896.50","7,841,650.75","7,497,358.43","9,280,497.33","14,136,490.63","9,056,182.98","14,354,511.20","13,828,471.03","15,673,970.16","11,993,972.14","12,606,766.25","19,658,372.72","19,870,912.02","8,761,191.28","10,302,039.74","6,462,817.64","10,805,514.98","5,928,685.49","4,162,130.70","7,770,715.34","16,815,283.86","8,636,221.86","12,170,776.72","181,507,454.35","189,819,379.58","201,751,127.66","82,559,281.77","161,967,809.01","96,319,683.68","121,339,874.94","193,443,136.71","349,107,762.27","349,369,800.80","153,579,153.72","187,814,301.99","209,618,847.29","205,220,251.35"
应付票据,"64,000,000.00",,,,,,,,,,,,,,"500,000.00","731,224.80","6,980,035.28","5,177,325.00","9,323,728.68","6,283,231.70","9,619,371.55","10,463,321.26","31,058,022.00","56,503,592.40","63,510,676.32","67,147,155.02","63,697,453.05","73,611,584.76","163,941,522.01","90,467,128.51","89,082,072.02","158,534,662.08","134,410,949.88","208,413,248.75","208,745,202.29","121,955,711.28","157,667,144.73","97,190,617.48"
应收账款,"36,770,674.78","45,176,454.15","76,670,677.66","80,203,224.58","101,107,719.79","97,837,543.24","90,880,807.19","80,188,144.10","72,659,292.58","81,190,578.29","83,871,781.66","86,063,311.09","76,421,805.82","81,331,379.92","93,802,593.53","95,064,150.08","90,748,333.19","79,410,235.58","121,848,831.08","152,561,994.53","152,344,371.08","154,506,131.49","192,649,764.72","199,710,264.56","581,032,524.78","653,667,000.47","580,205,904.31","832,243,081.15","879,547,904.91","1,006,686,983.80","964,973,683.35","775,198,534.08","712,060,945.43","644,008,220.00","955,291,570.79","1,009,373,848.21","1,065,424,493.33","1,013,965,188.65"
应付账款,"37,984,628.62","40,617,997.93","42,654,607.18","41,761,912.86","56,470,431.22","45,074,202.29","21,888,597.93","29,931,697.53","42,255,208.55","25,778,116.71","45,249,748.49","45,208,696.24","44,688,148.50","30,741,846.53","41,330,265.15","43,292,810.79","81,303,055.24","58,982,360.57","77,096,808.37","101,332,262.01","104,123,485.64","116,409,232.22","153,345,017.43","193,822,177.23","464,530,923.35","435,979,253.21","473,122,135.96","524,524,167.90","566,378,495.22","606,354,000.66","703,849,770.26","552,049,554.55","663,811,254.72","444,860,122.84","607,487,887.65","655,965,804.79","731,084,909.49","706,608,690.38"
预付款项,"11,499,052.00","10,260,807.06","5,055,113.13","9,589,073.85","13,886,063.24","24,035,689.99","14,397,355.71","14,218,887.18","9,984,300.20","16,555,625.16","27,658,347.93","33,555,369.74","34,823,753.72","27,782,777.44","161,287,628.82","183,105,990.48","25,706,282.71","80,597,561.87","30,083,957.90","28,441,198.50","31,563,367.79","34,300,905.05","35,116,896.27","57,735,247.58","39,470,982.35","43,600,413.86","32,606,573.82","96,832,976.53","43,281,407.22","40,356,221.37","94,361,670.35","203,430,007.35","165,164,826.34","149,808,827.41","270,782,551.14","259,232,196.91","300,911,176.45","306,005,824.79"
预收款项,"598,772.09","2,362,032.65","891,487.90","880,698.90","903,275.22","1,204,018.93","2,605,317.35","1,054,420.66","505,668.70","841,174.72","1,621,360.78","2,878,178.97","2,949,533.28","6,045,416.49","4,267,498.09","4,834,678.40","4,311,415.87","11,993,816.68","10,829,098.25","12,399,262.85","10,048,867.96","11,040,199.95","11,060,485.04","11,892,787.99","8,506,028.00","9,162,438.01","9,442,397.45","15,714,274.24","16,055,988.74","15,914,491.06","29,365,791.76","22,343,867.66","27,619,965.43","33,124,407.66","8,554,328.71","21,331,646.27","100,196,537.28","88,254,715.85"
其他应收款,"115,271,407.68","2,997,076.94","4,263,822.00","1,239,367.94","427,430.50","499,063.37","157,579.21","573,963.50","457,310.47","675,936.66","3,341,096.89","1,981,455.19","651,684.36","2,370,992.32","1,788,009.12","1,504,730.11","14,743,226.11","12,919,065.53","6,866,015.70","6,493,284.13","11,318,133.38","9,250,300.72","6,993,927.23","10,294,712.46","31,388,874.06","14,145,290.00","20,434,635.14","45,126,426.15","32,303,921.93","20,727,949.00","17,543,569.87","26,215,716.43","64,835,242.77","115,363,786.16","150,977,996.10","166,469,832.73","119,325,690.33","135,671,703.34"
应付职工薪酬,"4,685,414.62","4,145,234.51","5,256,119.11","5,138,590.32","5,610,763.20","4,074,606.69","4,455,672.38","4,175,228.51","4,939,773.16","4,279,459.65","6,043,269.56","6,568,375.86","7,013,055.38","7,383,275.50","6,122,941.16","6,967,620.90","6,388,112.73","6,741,923.46","8,039,914.92","9,808,588.33","9,880,557.83","10,486,625.75","11,970,407.84","16,333,661.88","31,809,963.71","31,064,810.36","37,110,900.46","41,301,020.28","42,742,091.35","37,955,395.78","42,416,945.87","43,093,369.32","44,894,316.15","43,017,918.63","60,568,811.00","58,171,805.91","58,785,636.85","46,260,397.12"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"5,458,212.16","-2,345,437.15","2,199,609.55","4,174,090.19","1,600,473.80","1,646,525.31","1,425,006.44","1,761,816.82","4,896,050.54","4,217,240.75","4,878,427.12","2,443,974.74","3,155,950.86","2,218,450.57","1,557,655.35","-731,103.31","6,028,436.81","6,894,550.17","7,941,662.15","5,666,294.07","9,479,077.75","5,168,110.92","10,515,582.83","10,880,227.68","59,898,851.00","63,517,886.19","54,482,075.32","55,021,590.09","71,520,950.14","50,018,654.51","24,799,883.96","35,779,367.01","48,880,497.41","47,214,562.80","71,453,936.79","44,523,503.52","65,898,776.46","41,842,929.59"
应收利息,,,,,,,,,"7,664,721.23","8,350,140.41","10,851,010.28","13,344,760.28","7,715,992.29","2,402,738.45","4,004,194.37","4,167,610.20","2,586,149.32","533,854.12","477,954.45","460,420.67","657,585.66",,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,"443,666.00",,"466,815.03","853,690.93","321,220.00","1,471,347.57","747,712.00","264,491.10","331,911.04","310,138.62","617,881.50","685,487.50","765,860.67","939,893.33"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,"117,293.34","7,195,535.76","7,195,535.76",,,,,,,,,,,,,,,,,,,,,,,,"-3,440,000.00",,,,,,,,,,,
存货,"32,420,396.80","58,471,007.11","36,113,706.37","19,392,615.50","22,593,789.50","19,304,221.87","20,050,467.75","18,421,863.70","29,387,638.11","18,561,062.72","52,066,322.51","65,469,106.36","75,869,227.02","86,607,257.96","92,219,431.44","103,201,455.11","102,164,353.63","102,461,853.75","118,909,654.13","145,728,527.03","147,693,346.08","154,334,506.98","179,704,756.35","217,341,560.97","434,982,720.48","464,055,541.68","538,235,787.26","609,072,726.74","644,334,477.98","733,362,483.16","811,770,962.92","769,883,673.55","578,127,271.42","614,658,346.23","820,807,701.39","927,973,206.82","723,313,456.08","749,229,196.46"
其他应付款,"13,507,675.81","2,548,844.55","1,691,564.58","370,322.09","3,592,256.88","3,525,659.16","198,018.28","173,577.22","338,790.52","126,715.78","269,732.97","373,293.51","473,096.00","327,344.99","450,419.94","2,437,511.18","1,753,281.13","2,206,973.99","3,348,957.55","3,422,404.38","12,237,060.38","8,017,109.57","20,742,340.08","32,611,699.75","65,463,972.51","59,158,673.54","7,258,702.46","20,544,775.98","24,015,594.25","7,342,409.55","39,047,035.05","22,963,156.12","33,981,945.86","36,127,253.36","360,889,208.84","27,441,992.45","28,003,454.23","28,453,907.78"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
