科目,2007-12-31,2008-12-31,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"8,168,962.19","28,182,310.91","21,954,505.72","601,472,570.05","574,833,579.50","469,068,976.42","448,480,015.20","502,231,268.30","435,942,789.26","396,094,057.63","393,593,382.57","347,607,404.18","319,710,270.79","292,168,240.03","210,780,241.13","232,112,062.44","188,018,497.23","212,145,989.54","193,187,984.43","170,761,792.10","117,960,992.72","99,047,078.83","67,606,420.67","58,826,257.74","106,751,063.94","84,184,392.66","108,470,484.35","298,399,645.71","149,325,050.70","164,934,926.26","223,005,821.82","729,931,712.80","1,176,173,515.34","1,061,638,803.37","2,270,596,041.45","2,165,858,305.35","2,050,853,700.81","1,817,476,754.36"
短期借款,"6,000,000.00","15,000,000.00","73,000,000.00","62,000,000.00","71,000,000.00","53,000,000.00","70,000,000.00","120,000,000.00","120,000,000.00","140,000,000.00","160,000,000.00","120,000,000.00","138,000,000.00","138,000,000.00","100,100,000.00","140,000,000.00","147,000,000.00","214,000,000.00","266,800,000.00","257,600,000.00","280,120,000.00","345,600,000.00","306,000,000.00","338,000,000.00","338,000,000.00","345,000,000.00","350,000,000.00","308,000,000.00","268,000,000.00","330,000,000.00","340,100,000.00","550,100,000.00","710,000,000.00","735,000,000.00","777,000,000.00","836,000,000.00","769,000,000.00","758,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,"5,000,000.00",,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,"2,176,000.00","2,300,000.00",,,"500,000.00","1,500,000.00","2,200,000.00","3,300,000.00","5,355,374.52","2,332,958.00","1,700,000.00","500,000.00","2,744,009.98","300,000.00","2,443,713.45","2,728,833.45","285,120.00","2,000,000.00","2,000,000.00",,,"300,000.00","3,728,517.10","1,300,000.00","1,628,300.00","1,100,000.00","700,000.00"
应付票据,,"2,000,000.00","5,000,000.00",,"8,000,000.00",,"58,136,407.00","85,258,595.00","50,951,611.00","89,335,702.00","127,655,528.00","93,900,636.00","94,147,268.00","162,144,597.00","132,560,463.25","106,821,528.00","61,183,358.00","54,346,738.72","72,765,342.00","38,536,044.00","16,537,453.00","25,400,000.00","17,800,000.00","7,000,000.00","35,000,000.00","55,000,000.00","108,250,480.00","120,250,480.00","85,000,000.00","140,000,000.00","237,500,000.00","366,780,000.00","306,780,000.00","388,780,000.00","370,280,000.00","167,350,000.00","169,348,743.00","222,798,743.00"
应收账款,"23,148,689.60","88,765,388.07","197,244,481.52","225,294,470.54","229,190,597.70","279,900,231.33","337,835,297.03","299,601,720.38","245,396,995.72","291,831,447.89","309,715,611.92","276,278,688.23","311,072,367.51","369,676,945.99","341,757,834.54","347,866,828.64","437,249,940.12","584,950,930.96","617,026,049.14","711,624,007.27","759,956,937.68","789,719,288.68","865,537,545.74","942,474,454.12","920,211,226.72","977,609,522.99","1,025,469,656.37","848,898,214.71","879,751,013.39","807,256,174.87","940,323,182.40","942,130,598.39","1,241,291,514.05","1,198,949,948.17","1,241,540,252.50","1,188,333,920.45","1,057,464,998.70","1,200,328,603.26"
应付账款,"14,268,266.51","66,721,556.16","64,987,470.83","91,907,795.22","56,818,302.58","80,121,052.29","86,869,191.45","36,104,251.00","30,008,296.22","58,531,957.81","65,984,441.97","42,579,086.92","40,495,104.69","37,771,026.46","20,592,621.94","47,226,229.15","65,412,512.68","122,356,445.71","115,433,028.77","143,534,211.40","131,551,210.61","153,600,466.04","250,296,410.85","241,748,536.56","220,401,021.38","204,704,455.75","203,853,140.59","134,633,323.92","141,513,965.80","150,868,693.23","188,906,229.81","323,379,568.72","376,444,371.67","371,971,722.51","311,019,977.43","312,499,766.92","402,251,995.14","374,934,854.33"
预付款项,"347,172.66","2,987,015.60","9,447,757.81","541,236.99","5,776,968.28","25,882,903.13","54,314,920.40","67,599,789.83","62,420,658.01","95,726,712.60","104,467,250.01","49,751,065.17","78,912,543.48","80,453,724.44","62,543,040.74","48,211,179.32","43,465,276.25","43,959,785.87","62,025,930.26","66,909,513.71","88,412,983.80","93,629,791.73","118,042,195.27","88,934,854.31","144,852,977.68","153,021,079.14","126,170,780.01","116,786,035.69","102,045,665.18","122,832,932.51","184,599,760.44","220,266,648.16","278,772,260.12","234,205,671.71","329,128,607.36","269,047,304.81","456,619,552.81","655,397,495.58"
预收款项,"184,560.00","19,008.00",,,,,"221,689.20","1,912,779.04","2,592,462.10","2,381,569.28","3,091,548.47","865,305.80","2,465,305.80","797,000.00","2,047,969.50","305,000.00","1,435,000.00","905,075.28","778,425.28","14,428,970.46","11,700,290.46","19,894,221.70","17,961,538.03","5,715,444.70","5,611,393.54","12,241,769.71","6,125,565.56","23,034,832.86","25,740,836.58","30,807,005.24","43,364,051.16","72,392,825.40","97,547,350.35","52,349,303.16","58,189,873.97","105,198,527.51","207,941,317.33","137,968,747.00"
其他应收款,"699,912.52","4,261,337.67","5,781,796.13","4,157,472.47","12,531,541.94","11,678,149.68","16,643,434.43","9,022,358.02","16,649,754.21","6,918,490.99","12,376,432.81","6,020,829.23","7,803,596.86","11,711,333.60","10,978,378.40","10,855,310.02","21,867,567.21","14,290,109.06","42,552,842.96","26,567,126.55","21,734,583.37","45,709,959.34","40,535,285.81","26,290,626.91","48,381,715.37","44,365,172.59","54,592,656.59","36,940,131.51","88,678,069.94","72,851,415.15","74,821,278.98","92,993,360.19","196,858,942.92","136,370,616.64","127,694,575.80","107,865,796.83","197,700,987.78","176,444,709.52"
应付职工薪酬,"76,360.05","1,650,000.00","329,419.46","900,000.00","1,045.72",536.00,"1,376.00","141,524.00",35.38,35.38,,,"257,062.00","533,123.55","696,832.86","957,720.45","870,939.75","654,865.64","667,456.04","724,660.10","1,179,168.87","1,669,678.47","1,596,493.87","1,699,916.85","839,222.90","301,587.44","192,121.37","516,364.86","475,288.69","786,714.63","994,100.43","1,260,313.52","14,443,152.57","20,193,959.16","17,547,299.80","20,123,020.53","18,131,044.62","28,180,994.25"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"335,474.61","4,523,873.05","16,736,537.56","19,949,767.93","21,047,592.61","29,469,416.05","36,699,406.82","18,738,259.84","16,999,274.07","23,137,005.47","24,423,785.40","21,620,803.39","24,830,764.51","46,140,052.99","50,698,823.94","34,948,372.08","37,533,432.96","52,997,790.47","51,188,171.88","76,115,177.58","77,831,060.89","71,627,639.70","80,886,475.62","93,958,217.76","88,226,163.54","87,625,494.99","100,205,537.92","95,389,193.37","91,821,170.26","80,588,779.38","94,151,833.24","109,684,454.22","95,972,093.19","86,965,768.62","76,083,281.43","126,052,784.32","88,889,070.92","87,012,677.73"
