科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"58,370,384.42","127,039,411.75","181,102,745.23","324,262,259.04","99,228,834.72","172,935,620.32","269,279,200.20","413,151,458.35","92,540,034.27","177,786,893.79","252,157,658.74","397,952,456.84","58,375,180.46","119,891,042.47","202,208,241.22","361,929,876.06","84,284,548.38","180,782,646.91","270,075,901.11","408,102,100.56","97,313,956.78","206,295,546.46","323,236,452.34","490,437,336.81","133,838,667.72","232,160,278.32","371,059,015.70",,"161,744,275.83","303,720,390.90","486,229,329.07","814,811,745.61","126,134,434.32","251,851,242.48","414,633,500.49","920,933,889.12","230,858,384.50"
取得子公司及其他营业单位支付的现金净额,,"8,183,419.25","106,730.86","106,730.86",,,,,,,,"6,698,270.00",,"7,000,000.00","15,000,000.00",,,,,,,,,,"111,430,799.99","111,430,799.99",,"114,431,300.00",,,,,,"8,190,269.41","235,191,926.64","348,276,900.00",
收到的税费返还,"4,234,786.56","5,956,140.80","14,961,824.36","19,603,192.12","3,120,806.18","8,701,148.19","14,582,401.61","20,677,305.65","5,222,325.25","5,370,342.32","5,570,079.38","13,333,361.45","2,485,211.84","5,033,120.91","15,551,973.51","12,033,604.05","1,952,335.54","4,703,842.58","6,061,587.17","8,387,685.80","1,730,708.48","4,882,141.92","7,594,734.38","12,247,702.22","4,061,421.24","6,858,892.34","10,119,269.71","12,907,576.66","5,692,936.20","8,117,023.37","8,870,511.83","18,943,870.64","3,401,721.93","7,609,186.63","8,902,054.43","10,994,558.02","4,254,488.62"
支付其他与投资活动有关的现金,,,,,"10,670.20",,,,,,,,"200,159.71",,,,,,,,,,,,"19,244.43","5,000,000.00","10,000,000.00","35,019,244.43","50,000,000.00","50,000,000.00","105,000,000.00",,,"34,000,000.00","34,000,000.00","126,000,000.00",
收到其他与经营活动有关的现金,"647,699.82","1,693,909.67","1,284,529.52","4,098,587.12","2,252,274.90","8,137,849.77","13,880,433.50","19,529,168.70","23,580,123.53","27,538,343.11","31,682,951.31","32,419,701.68","28,405,311.29","29,011,168.46","43,912,750.14","40,487,917.38","29,242,962.26","41,486,431.52","49,232,848.63","56,863,245.14","707,018.76","40,107,495.93","47,555,293.41","57,665,295.18","6,478,992.96","50,678,249.26","57,924,573.43","69,778,939.63","10,525,479.26","37,692,020.16","47,420,793.18","56,139,091.82","13,968,878.27","22,378,448.71","45,695,951.92","96,730,219.14","15,223,106.01"
投资活动现金流出小计,"4,870,250.33","17,407,546.95","23,666,909.80","38,598,837.87","2,538,729.27","845,195,768.37","877,476,720.90","105,542,930.11","2,716,238.70","10,815,650.94","32,933,414.30","83,050,042.37","5,993,702.69","30,949,324.53","42,974,816.31","108,648,176.84","5,811,062.62","21,687,997.24","28,562,418.86","56,889,954.13","7,538,425.86","13,238,740.47","24,782,273.38","32,916,993.03","121,296,451.60","129,897,106.52","138,797,798.49","193,649,693.59","63,937,894.00","73,621,345.59","128,645,188.79","380,960,933.31","225,174,855.49","265,096,505.76","295,317,470.80","749,205,064.36","36,469,897.89"
经营活动现金流入小计,"63,252,870.80","134,689,462.22","197,349,099.11","347,964,038.28","104,601,915.80","189,774,618.28","297,742,035.31","453,357,932.70","121,342,483.05","210,695,579.22","289,410,689.43","443,705,519.97","89,265,703.59","153,935,331.84","261,672,964.87","414,451,397.49","115,479,846.18","226,972,921.01","325,370,336.91","473,353,031.50","99,751,684.02","251,285,184.31","378,386,480.13","560,350,334.21","144,379,081.92","289,697,419.92","439,102,858.84","683,493,377.84","177,962,691.29","349,529,434.43","542,520,634.08","889,894,708.07","143,505,034.52","281,838,877.82","469,231,506.84","1,028,658,666.28","250,335,979.13"
投资活动产生的现金流量净额,"2,923,285.24","-17,355,366.95","-23,442,512.53","-38,469,471.32","-2,538,729.27","-845,195,768.37","-877,460,420.90","-101,505,780.11","47,309,895.30","39,210,696.06","17,104,384.48","-32,986,142.37","-5,956,202.69","-25,827,363.15","-37,847,964.42","-103,485,692.04","-5,804,610.00","-21,670,542.70","-28,541,967.72","-56,733,636.13","4,039,749.18","-1,710,680.58","-10,564,794.90","29,039,908.04","-121,295,481.20","-129,907,570.55","-138,807,512.52","-187,220,225.21","-38,835,474.00","-48,517,825.59","-103,467,678.79","-331,378,682.13","-225,173,455.49","-219,123,829.97","-249,341,996.71","-642,444,566.21","-1,250,115.89"
购买商品、接受劳务支付的现金,"19,183,992.98","48,987,424.60","90,868,157.25","142,879,102.45","33,039,876.78","60,262,294.34","90,163,283.30","158,709,093.50","30,928,889.74","63,926,571.95","83,371,457.74","171,648,340.29","34,388,682.74","68,545,761.97","104,288,146.91","171,118,500.13","22,926,112.09","50,920,330.05","74,320,337.33","119,448,307.77","33,900,954.25","63,836,989.51","94,715,827.07","177,805,936.50","55,367,789.97","97,586,916.42","144,617,414.10","285,553,745.03","62,734,945.26","100,063,025.34","159,509,304.11","247,099,784.29","39,764,368.12","67,828,270.37","149,845,533.87","331,516,579.96","205,173,003.10"
吸收投资收到的现金,,,,,"1,181,720,000.00","1,183,568,000.00","1,183,568,000.00","1,183,568,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00",,,,,,,"400,000.00","1,000,000.00",,,,,,,,,,,,"3,500,000.00",,"600,000.00","175,353,544.68","178,207,344.68","4,719,114.53"
支付给职工以及为职工支付的现金,"13,797,577.08","21,094,797.37","25,071,494.70","36,601,595.04","25,531,854.95","34,836,773.63","46,479,426.37","62,238,001.12","43,866,018.74","65,012,488.95","91,732,338.04","99,869,566.70","49,999,944.05","85,980,480.92","126,534,533.74","135,980,846.37","53,228,661.66","91,111,550.04","128,607,406.53","164,679,163.19","49,123,761.33","85,888,594.63","118,548,760.26","115,956,400.58","56,534,881.12","100,240,635.80","145,592,629.42","162,018,225.70","63,640,859.82","110,496,883.67","156,964,315.04","208,146,880.90","66,661,437.51","118,619,938.02","172,856,787.95","240,041,416.26","84,410,638.12"
取得借款收到的现金,"10,000,000.00","14,000,000.00","19,000,000.00","19,000,000.00",,,,,,,,,,,,,,"11,716,759.04","16,626,220.10","22,353,607.20",,,,,,,"10,927,000.00","135,827,000.00","40,000,000.00","50,000,000.00","85,000,000.00","85,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","108,878,784.83","50,000,000.00"
支付的各项税费,"9,185,317.55","15,469,258.03","35,180,290.27","49,319,578.33","17,260,140.77","33,931,415.26","44,903,934.59","59,413,714.32","22,216,363.44","38,285,165.83","46,980,493.10","54,518,780.70","15,850,020.74","26,435,059.26","36,360,689.91","42,118,566.78","9,679,533.89","14,364,372.01","18,861,442.22","22,027,475.97","10,599,865.29","16,879,974.39","25,765,388.62","34,075,012.76","12,957,475.91","26,620,463.09","37,800,708.25","50,097,719.08","50,845,148.12","86,229,796.02","96,929,230.06","76,487,453.80","44,319,275.82","65,867,171.05","73,914,344.50","81,801,111.15","70,905,338.66"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,"35,000,000.00","35,180,000.00","35,000,000.00","130,000.00","130,000.00","130,000.00",,,,,,,,,"39,541,314.07",
支付其他与经营活动有关的现金,"8,011,152.12","17,018,616.72","21,647,749.36","37,848,799.11","12,803,606.73","33,607,761.80","58,288,164.25","75,832,299.41","27,181,623.20","57,153,314.50","90,258,926.36","57,381,898.67","34,764,632.69","56,561,865.49","99,499,475.14","54,438,039.71","32,855,979.51","60,259,720.85","109,018,222.51","152,045,233.38","30,712,310.18","61,842,058.93","92,708,197.04","116,351,401.84","51,368,880.02","78,557,371.20","114,272,787.25","104,132,452.52","40,184,121.08","74,253,928.84","111,537,323.21","117,914,899.58","33,520,915.18","66,268,853.70","122,669,581.15","165,755,595.81","40,759,603.12"
筹资活动现金流入小计,"10,000,000.00","14,000,000.00","19,000,000.00","19,000,000.00","1,181,720,000.00","1,183,568,000.00","1,183,568,000.00","1,183,568,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00",,,,,,"11,716,759.04","17,026,220.10","23,353,607.20",,"35,000,000.00","35,180,000.00","35,000,000.00","130,000.00","130,000.00","11,057,000.00","135,827,000.00","40,000,000.00","50,000,000.00","85,000,000.00","88,500,000.00","50,000,000.00","50,600,000.00","225,353,544.68","326,627,443.58","54,719,114.53"
