科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"33,090,463.89","76,125,863.45","96,073,116.01","46,451,241.82","731,997,486.61","727,720,811.61","774,570,706.59","759,872,338.45","730,103,865.54","710,223,557.18","736,117,964.85","701,416,267.26","680,237,201.10","644,793,513.24","666,714,686.65","602,221,059.18","564,247,979.05","550,176,684.12","689,294,474.03","655,425,397.86","607,067,202.00","563,574,221.85","547,524,539.13","527,721,805.08","498,269,092.03","499,973,887.15","583,794,508.77","251,306,666.19","245,962,172.69","170,518,133.21","400,515,544.35","229,306,059.59","153,555,283.45","524,313,403.05","694,675,773.87","552,866,869.36"
短期借款,,,,,,,,,,,,,,,,,,"35,494,370.75","84,394,955.10","112,963,809.96","122,250,000.00","119,750,000.00","125,139,030.75","125,436,077.14","142,413,650.35","149,882,270.61","145,105,044.90","141,033,373.82","138,939,571.20","144,457,299.45","112,500,000.00","75,000,000.00","101,676,472.14","99,495,315.91","89,790,217.00","89,772,680.02"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,"600,000.00","600,000.00","205,560.00","205,560.00","1,583,000.00","593,000.00",,,"1,016,400.00","1,016,400.00",,"255,900.00","300,000.00","439,200.00","243,000.00",,"2,280,000.00","1,700,800.00",,"1,388,750.00",,,"140,000.00","165,600.00","2,917,031.00",,,,"50,000.00",
应付票据,,,,,,,,,,,,,,,,,,"2,694,606.00","1,378,080.00","2,424,293.00","4,681,947.00","12,992,810.03","6,819,724.28","2,774,101.68","3,762,030.30","4,935,995.00","15,360,635.48","8,111,822.30","4,260,234.30","10,275,793.68","3,591,816.44","4,858,323.00","7,398,535.00","4,888,505.00","20,351,179.75","13,892,607.75"
应收账款,"5,830,302.80","4,985,831.99","7,955,190.00","7,241,278.26","20,104,756.30","22,253,047.96","36,569,213.82","33,395,072.22","43,083,559.94","50,049,679.04","74,393,220.36","79,767,420.29","96,155,770.99","112,167,501.29","153,805,820.12","148,503,223.13","197,455,235.48","220,314,570.16","206,278,465.62","207,697,866.41","267,248,334.42","326,303,978.89","364,451,160.39","370,051,631.11","429,073,519.87","457,618,904.32","488,407,779.69","519,609,629.83","574,426,436.37","623,301,232.71","682,737,784.18","672,668,937.13","778,447,386.62","740,745,203.02","1,024,697,948.34","969,027,677.80"
应付账款,"1,659,400.00","503,300.00","2,181,564.80","760,118.80","1,110,118.80","887,607.60","825,069.85","449,069.85","519,669.85","1,005,734.85","1,142,251.85","1,538,325.85","1,266,373.85","1,627,052.28","41,400,062.05","33,188,915.38","29,616,671.41","23,928,347.53","35,098,627.31","24,988,475.12","24,611,390.61","23,533,771.49","53,481,183.89","57,604,157.23","62,683,777.47","52,810,539.32","96,433,472.69","102,958,381.91","189,314,523.47","133,196,627.68","196,930,071.82","194,145,684.18","179,315,587.04","176,394,613.25","298,930,488.20","272,066,454.64"
预付款项,,,"14,139,882.12","31,564,416.05","2,640,601.63","2,743,552.63",,,,,"1,940,400.00","770,400.00","1,218,880.00","780,400.00","1,344,500.00","217,500.00","51,272.00","398,000.00","3,901,315.97","93,218.97","2,271,409.55","1,672,088.23","8,237,868.25","10,345,355.70","6,386,771.47","6,358,104.24","1,578,899.37","1,508,001.16","27,616,693.55","14,654,700.08","26,242,418.26","19,397,846.87","14,870,149.08","32,144,784.59","50,443,207.48","61,616,465.90"
预收款项,"2,789,958.03",,,,,,,,,,,,,,"5,179,440.79","6,736,820.79","23,750,628.91","16,909,735.00","9,797,965.04","11,929,760.20","12,706,016.83","14,920,812.96","8,093,084.72","12,604,335.64","11,565,584.14","9,240,715.22","41,202,320.06","44,081,527.34","64,179,633.40","62,500,680.01","125,107,975.15","121,930,778.59","93,009,354.85","37,131,533.38","125,938,504.19","123,309,477.14"
其他应收款,"3,883,858.87","4,948,058.53","4,153,809.11","8,789,991.38","5,574,241.18","7,708,909.05","6,544,160.93","8,501,971.05","6,513,479.43","10,780,904.55","9,283,748.94","11,904,118.21","11,988,998.26","16,743,109.93","36,739,890.15","42,038,200.59","28,473,870.90","39,417,693.93","48,910,706.03","49,722,325.13","57,824,280.54","66,766,751.67","58,480,330.14","53,290,621.84","80,395,295.18","90,008,529.32","68,431,960.85","94,172,474.90","141,657,518.00","166,777,605.32","110,891,202.46","200,487,897.08","193,688,043.03","224,607,600.41","151,023,861.15","202,279,946.19"
应付职工薪酬,"44,021.79","844,120.46","2,154,791.82","1,269,232.98","1,486,705.67","1,684,140.80","1,857,749.07","2,834,743.40","3,109,261.18","3,511,349.34","3,601,021.44","4,224,299.98","4,094,215.25","4,086,227.14","5,601,541.27","4,678,392.56","4,511,075.41","5,163,818.59","3,498,562.30","5,541,788.33","5,946,163.77","6,906,084.98","7,681,729.53","9,569,618.73","11,329,263.81","19,705,256.90","17,774,002.56","23,933,337.21","25,951,722.89","33,197,326.98","18,774,513.49","31,304,049.06","34,440,409.79","40,842,911.72","20,609,102.40","32,439,455.85"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
