科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"87,746,969.25","122,260,183.78","163,623,622.79","34,295,440.08","53,326,375.22","67,855,292.10","180,305,245.84","43,723,992.12","71,047,205.97","119,089,123.84","279,089,342.67","84,387,205.80","152,656,890.53","227,659,083.68","406,748,489.16","70,980,299.90","134,410,504.15","205,706,926.05","466,066,716.75","82,048,210.77","163,127,295.90","232,815,650.60","469,022,777.13","89,403,545.38","173,323,580.89","283,853,441.39","607,448,026.24","94,781,530.41","182,055,655.11","276,662,105.23","757,218,222.05","93,987,789.33","204,113,457.33","277,312,945.91","947,465,898.19"
二、营业利润,"16,884,532.47","24,336,366.42","31,098,218.20","4,676,620.93","11,417,715.52","8,420,283.03","28,906,873.74","4,462,408.31","1,573,949.67","-1,352,563.11","25,778,912.13","9,327,560.72","9,105,745.52","9,072,741.35","27,897,155.99","4,072,425.32","-5,635,962.21","-14,694,056.99","26,526,868.21","5,954,718.42","-2,028,413.69","-7,535,422.30","15,207,114.56","6,383,077.07","-511,040.60","-9,130,601.55","39,045,447.36","1,549,447.53","-8,930,877.89","-16,908,152.53","42,626,299.47","3,665,245.73","-8,025,746.47","-40,808,371.73","104,949,694.25"
减:营业成本,"49,306,415.53","68,227,188.48","93,479,285.64","20,724,550.71","27,215,535.29","38,712,077.63","107,364,409.48","28,228,587.95","46,821,044.62","83,774,738.17","184,570,881.41","52,850,769.91","94,858,535.57","145,528,697.99","262,035,876.71","40,603,749.52","82,373,066.51","139,999,970.64","304,120,626.23","50,806,067.71","108,165,438.03","153,340,200.36","310,195,559.54","52,845,965.87","104,878,366.74","183,267,656.89","375,523,917.84","57,841,097.88","108,646,287.34","169,422,241.30","485,061,729.20","62,569,332.53","117,916,475.33","168,379,029.45","560,619,331.71"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"32,190.00","1,771,827.75","144,500.60",,,,185.70,,,,"3,020.75",,,"34,866.38","93,314.65",,"42,800.00","43,578.40","96,126.24",,,,"11,185.08","8,330.75","12,641.43","39,620.41","66,810.54","79,512.80","274,301.57","593,883.11","3,359,300.41","279,562.47","2,716,138.29","3,518,523.85","8,034,560.06"
营业外收入,"206,000.00","1,628,254.17","4,161,000.00","1,765,868.00","1,787,368.00","1,828,458.00","6,657,240.60","644,944.80","2,513,695.53","3,008,724.73","3,466,399.70","266,400.00","1,003,601.29","5,692,234.21","8,907,502.44","353,500.00","481,425.78","4,135,183.97","3,635,060.63","714,000.00","1,589,833.90","1,750,833.90","11,748,690.20","325,537.16","672,869.66","2,429,150.75","5,592,397.65","2,680,795.36","4,922,796.64","7,177,916.81","13,460,152.27","1,798,068.48","3,001,846.27","4,491,153.05","138,157.00"
销售费用,"14,378,666.77","17,607,493.74","22,017,966.99","4,777,071.60","8,365,369.52","11,224,771.88","22,975,414.02","5,350,625.34","12,579,934.15","19,779,236.76","38,939,442.56","13,569,204.41","29,547,183.62","41,338,500.02","62,437,677.42","13,362,185.01","31,232,675.43","41,696,635.68","68,009,692.86","13,665,600.04","32,581,376.81","48,662,665.19","75,276,632.39","16,037,666.80","35,770,820.64","54,673,034.51","84,863,692.60","14,917,899.19","37,136,347.55","56,325,984.56","110,399,770.13","16,993,466.73","42,898,285.63","69,909,456.06","138,409,058.69"
减:营业外支出,"77,980.00","330,381.00","362,718.76",,"50,000.00","52,000.00","53,839.41",,"64,725.02","118,753.03","183,713.62","82,322.41","83,322.41","96,820.00","329,874.22","88,167.00","3,611,227.51","3,827,836.59","3,793,337.85",,"151,000.00","192,260.00","380,407.13","220,000.00","310,924.03","332,886.26","788,539.85","275,961.06","1,176,908.49","1,296,908.49","1,683,039.78","692,981.79","780,146.02","1,220,899.34","3,102,176.86"
管理费用,"7,305,178.39","9,675,964.25","13,889,593.30","3,880,292.29","6,514,057.63","10,348,031.90","23,481,979.37","6,662,270.39","14,036,601.31","21,591,394.00","36,804,424.86","10,642,480.51","22,937,136.67","37,122,024.64","52,890,372.61","11,675,957.45","23,532,378.94","35,149,941.69","55,450,033.79","12,265,253.27","26,098,072.39","40,993,705.02","65,182,921.05","14,946,849.29","37,028,064.99","58,940,980.92","104,097,342.15","20,604,413.17","45,740,619.49","69,645,576.92","108,193,104.25","20,746,289.46","49,390,869.69","75,860,093.68","131,001,356.45"
其中:非流动资产处置净损失,,,,,,,,,"30,960.36",,"95,278.15",,,,"20,842.49",,"74,376.64",,"84,169.58",,,,"84,313.85",,,,"213,329.79","271,887.48","312,834.91","312,834.91","564,193.36","13,284.06","18,448.29","34,501.88",
