科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"27,480,791.26","69,722,537.26","52,830,694.48","57,700,361.57","1,268,082,401.45","1,237,609,397.07","1,151,359,007.72","1,036,255,022.75","883,687,427.20","877,210,246.18","848,698,831.37","745,257,802.30","738,623,541.37","769,704,053.90","640,212,177.96","631,683,885.57","656,664,113.69","671,993,946.20","680,592,023.41","455,999,145.28","416,964,570.71","381,907,495.59","330,170,097.03","282,158,787.07","225,007,430.14","400,762,673.70","248,738,500.10","321,526,064.90","235,573,161.16","256,818,766.17","225,273,816.22","204,759,644.97","524,986,285.89","1,994,518,688.18","1,719,427,268.76","1,306,871,228.67"
短期借款,"43,600,000.00","75,000,000.00","30,000,000.00","42,000,000.00",,,,,,,,,,,,,,,,"47,804,148.00",,,,"90,000,000.00","90,180,893.50","34,500,000.00",,,,,"40,000,000.00","40,000,000.00","229,773,600.00","593,455,793.06","584,937,167.40","565,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,"100,000,000.00","101,841,095.89",,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89,812,960.00","89,812,960.00",
应收票据,"907,424.01","4,314,898.00","11,472,309.20","9,138,854.90","7,051,681.64","22,673,917.12","17,987,809.06","34,997,899.64","26,189,261.18","45,354,915.30","57,370,744.10","76,925,924.15","94,144,581.74","104,173,674.50","106,917,696.04","120,135,305.29","128,819,448.04","164,351,976.76","153,401,863.58","137,315,383.06","156,613,910.35","151,754,409.02","130,573,012.45","120,531,427.06","116,672,336.54","209,160,528.85","232,520,612.46","251,965,163.43","239,810,311.51","330,633,944.87","397,300,056.93","436,172,730.05","430,374,344.38","392,971,177.43","344,499,541.06","332,645,647.73"
应付票据,"20,269,302.27","8,800,000.00",,,,,,,,,,,"7,811,826.40","16,808,844.88","25,285,764.08","34,483,737.98","40,746,157.63","43,137,262.89","60,699,619.40","53,722,538.51","83,368,757.02","109,626,605.65","107,374,545.30","82,959,131.34","121,319,040.37","169,968,017.47","192,171,907.02","238,583,347.39","248,098,064.07","192,603,605.79","195,971,494.61","165,790,227.60","254,896,853.19","293,778,288.53","224,627,505.62","353,196,007.58"
应收账款,"41,276,242.48","87,349,539.60","89,724,317.78","121,511,046.37","139,543,747.08","132,327,426.93","159,519,192.42","184,351,883.09","215,119,874.56","218,566,604.91","261,253,305.78","274,352,763.76","277,490,961.64","269,434,848.15","332,347,950.30","310,723,188.18","341,341,308.62","345,194,541.59","356,585,722.36","357,826,278.83","344,651,329.11","291,080,111.60","295,047,788.65","308,376,296.92","422,794,300.76","365,686,756.17","401,203,524.01","449,541,371.03","631,779,117.21","607,409,469.26","619,358,564.54","615,022,847.91","584,045,478.68","535,170,882.29","531,466,201.64","570,057,300.35"
应付账款,"15,571,187.63","13,548,354.48","18,789,011.16","24,165,436.78","23,473,638.56","28,870,372.99","22,884,159.66","45,974,335.72","65,736,178.43","81,638,736.70","62,739,427.51","64,405,120.10","55,165,554.47","57,623,926.10","61,947,632.63","61,128,687.24","71,494,459.73","75,412,307.23","73,434,181.96","101,990,701.18","92,440,891.69","135,980,998.54","120,338,724.47","145,852,265.36","257,021,892.66","225,341,591.32","215,191,004.74","238,190,670.14","225,878,255.08","185,796,277.83","170,641,302.96","184,477,352.86","155,361,746.02","181,737,169.94","229,302,189.77","246,607,293.49"
预付款项,"6,412,473.22","8,447,830.29","8,865,724.86","13,346,341.91","16,780,936.46","44,247,277.50","67,593,196.80","29,479,533.28","10,156,260.60","4,400,473.03","6,094,279.51","5,436,549.26","8,063,895.52","24,801,421.22","14,605,859.07","19,372,462.86","104,440,031.80","10,395,215.35","17,896,230.95","67,119,860.50","95,104,621.30","6,944,414.85","10,484,401.65","109,713,973.02","44,936,738.28","13,022,036.86","26,532,423.76","34,972,220.29","33,828,777.56","12,264,175.43","19,034,722.83","77,494,649.59","96,803,579.22","49,915,440.13","21,806,616.19","25,863,474.19"
预收款项,"2,155,917.55","3,771,859.37","1,747,974.06","3,126,172.85",,"4,112,678.13","4,282,473.09","4,554,386.89","4,411,057.99","3,781,515.13","5,626,008.54","4,688,789.81","4,928,831.18","3,914,817.97","3,650,672.09","4,668,040.66","4,485,820.86","9,225,915.77","8,495,524.55","9,558,324.67","14,181,014.77","4,556,800.65","5,490,290.12","4,778,657.56","3,129,649.21","3,795,872.82","7,952,655.87","14,995,966.32","7,112,472.67","2,632,391.11","3,586,862.87","4,480,655.61","3,952,371.49","7,295,816.66","6,364,756.03","2,568,816.12"
