科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"32,924,014.03","103,840,515.64","77,995,327.62","167,457,664.53","80,941,809.32","129,170,795.29","183,159,979.21","28,316,037.72","86,184,322.29","135,077,984.74","221,335,037.86","37,162,602.18","110,166,294.30","173,454,515.30","287,741,255.23","71,883,520.55","204,222,121.16","292,826,552.33","428,684,777.56","123,299,226.23","275,162,829.58","395,842,416.02","562,202,589.73","98,839,229.58","221,120,525.25","335,445,568.98","485,205,964.34","163,037,567.75","374,843,668.58","588,205,956.72","871,085,862.48","234,446,001.30","540,125,531.96","891,646,925.69","1,251,380,233.49","282,244,068.53"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,"4,414,582.26","4,414,582.26",,,,"11,488.15","11,488.15","11,488.15",,,,,,,,,"950,491.78",,"142,684.41","142,684.41","18,765.53","44,269.27","120,267.48","172,969.79","301,172.92",,"12,300,900.54","14,982,562.38","6,274,973.47","8,244,889.04","8,959,163.38","8,991,218.78","9,041,485.42","1,320,154.92"
支付其他与投资活动有关的现金,,,,,,,,,,"4,500,000.00",,,,,,,,,,,,,,,,,"380,000,000.00",,"70,000,000.00","220,000,000.00","190,000,000.00","140,000,000.00","140,000,000.00","140,000,000.00","160,000,000.00",
收到其他与经营活动有关的现金,"2,778,608.87","9,045,016.95","30,284,615.43","56,497,906.26","7,344,446.25","14,377,920.07","34,214,499.81","12,786,186.59","20,564,271.59","43,952,769.33","32,782,046.52","7,898,054.75","26,655,764.24","41,086,691.94","88,800,062.48","3,883,116.95","7,809,531.03","16,097,603.54","12,613,127.59","12,737,818.17","4,761,172.38","8,230,183.00","50,492,252.86","4,173,667.82","41,588,918.62","106,190,366.19","62,931,725.90","9,188,901.79","21,130,479.75","47,209,229.60","43,241,081.07","8,860,556.98","21,671,913.04","39,490,275.55","67,318,637.73","27,014,315.17"
投资活动现金流出小计,"26,858,085.49","45,280,243.92","10,125,240.24","66,297,292.31","50,720,777.56","61,570,342.96","481,417,955.62","563,082,037.34","658,754,246.34","258,791,006.02","1,438,528,990.91","176,512,482.62","203,543,874.85","619,777,960.74","855,575,655.21","307,717,602.50","516,852,841.13","683,151,198.91","731,616,312.11","11,205,829.12","337,505,791.32","574,718,009.02","795,133,792.34","27,003,304.81","187,248,474.86","340,420,472.66","1,016,498,930.91","58,607,531.03","181,320,245.81","373,681,756.03","438,759,606.28","177,713,850.45","316,836,682.73","465,330,964.09","763,902,348.79","259,483,361.19"
经营活动现金流入小计,"35,702,622.90","112,885,532.59","112,694,525.31","228,370,153.05","88,286,255.57","143,548,715.36","217,374,479.02","41,113,712.46","106,760,082.03","179,042,242.22","254,117,084.38","45,060,656.93","136,822,058.54","214,541,207.24","376,541,317.71","75,766,637.50","212,031,652.19","308,924,155.87","442,248,396.93","136,037,044.40","280,066,686.37","404,215,283.43","612,713,608.12","103,057,166.67","262,829,711.35","441,808,904.96","548,438,863.16","172,226,469.54","408,275,048.87","650,397,748.70","920,601,917.02","251,551,447.32","570,756,608.38","940,128,420.02","1,327,740,356.64","310,578,538.62"
投资活动产生的现金流量净额,"-26,858,085.49","-36,475,243.92","-10,018,573.24","-66,190,625.31","-50,720,777.56","-61,570,342.96","-479,973,068.71","-528,738,953.55","-519,967,870.12","-258,791,006.02","-392,534,463.52","35,857,556.10","9,379,437.85","-24,314,400.12","-62,281,742.49","-68,113,048.67","-40,844,557.43","-98,700,908.12","68,103,903.80","51,044,424.50","-271,890,222.22","-141,605,570.73","-260,158,864.94","-25,782,170.00","-184,992,992.40","-330,737,976.14","-881,903,081.48","-8,233,321.08","204,464,556.92","129,256,830.15","200,062,482.67","-55,344,791.55","-143,702,293.69","-199,611,386.70","-427,251,268.18","-259,413,361.19"
购买商品、接受劳务支付的现金,"28,762,610.20","48,763,282.85","12,721,359.46","19,538,724.95","17,977,783.82","31,123,904.91","21,893,266.03","19,479,694.76","39,612,687.27","75,263,837.57","135,148,021.45","25,227,425.55","51,406,924.35","80,622,841.99","144,160,269.11","32,597,892.23","81,722,435.18","108,406,783.18","180,177,854.90","59,112,916.73","101,502,805.57","168,009,178.47","247,418,261.23","68,174,990.35","121,915,550.24","223,149,670.82","417,550,201.37","157,553,625.41","329,134,917.27","493,092,606.09","701,452,301.68","126,694,383.46","264,679,886.94","414,875,691.23","442,867,375.09","199,931,847.95"
吸收投资收到的现金,,"71,672,860.00",,,,"1,272,081,250.00","1,272,081,250.00",,,,,,,,,,,,,,,,,,,,"771,149,978.34",,,,,,,,"53,562,000.00",
支付给职工以及为职工支付的现金,"5,598,500.09","11,048,612.76","5,450,160.91","14,609,390.41","9,487,849.17","15,383,230.92","19,176,592.39","11,222,347.79","19,527,320.80","29,569,005.04","42,460,793.49","14,346,696.96","25,938,548.44","38,539,804.49","52,905,142.04","19,286,552.85","34,005,103.77","47,898,526.91","62,402,859.98","26,492,641.26","46,667,986.83","67,377,642.91","93,297,015.05","36,344,632.87","62,882,563.39","95,317,758.04","135,278,490.25","47,501,776.90","85,674,768.49","124,776,837.83","178,686,128.84","61,128,644.61","104,559,344.60","151,121,049.21","207,446,867.58","85,073,795.50"
