科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"53,891,385.96","68,560,679.08","85,206,733.82","55,644,767.17","76,518,646.82","120,207,843.81","20,999,441.72","60,452,879.38","97,067,373.42","140,796,988.63","27,063,860.96","77,122,809.32","114,163,252.33","158,537,282.74","18,083,027.91","51,560,598.21","89,346,064.42","165,449,475.42","28,601,955.46","99,512,930.62","201,876,907.51","408,655,658.90","93,067,328.08","263,999,208.15","394,697,449.44","692,724,316.16","75,426,684.29","202,555,898.80","447,958,706.80","612,086,469.85","69,118,841.68","331,363,005.02","468,636,134.59","606,423,671.24","97,245,638.70","328,124,175.10","528,142,028.26","624,779,161.31","202,403,833.03"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,"-78,027,697.11",,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,163,943.41","2,163,943.41",,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,"1,500,000.00","1,500,000.00",,,,,"60,000,000.00",,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"1,521,918.53","189,149.99","503,739.83","1,023,022.33","1,130,053.73","1,154,033.13","188,616.21","1,931,678.23","2,254,781.93","2,852,542.81","34,980.43","211,348.35","678,382.67","3,646,492.87","1,542,829.28","14,709,672.43","18,538,172.77","10,114,084.96","784,457.28","7,285,121.76","9,616,357.08","17,088,287.36","4,594,331.11","24,007,102.30","20,643,918.12","34,806,132.23","6,516,435.60","8,655,964.47","41,850,674.41","65,725,483.70","39,981,182.06","37,256,549.81","44,128,695.68","148,813,883.75","30,088,990.75","53,613,695.65","88,950,479.39","196,965,648.38","266,572,244.28"
投资活动现金流出小计,"10,175,330.73","14,568,636.52","16,053,520.80","20,171,769.50","27,059,916.04","79,453,166.30","20,994,230.15","61,492,827.18","96,905,417.66","144,820,779.79","22,270,657.24","40,283,055.73","47,289,479.73","47,321,739.77","4,086,847.00","9,257,777.20","18,803,850.58","35,022,754.97","2,083,047.50","8,966,394.49","144,187,157.95","55,875,755.83","9,823,946.20","62,160,639.35","105,055,250.39","106,753,872.73","3,168,089.53","22,673,214.76","24,959,402.72","220,362,800.90","22,331,232.48","99,923,662.48","138,565,041.19","241,984,901.95","163,532,971.96","357,961,007.47","521,802,463.06","836,467,837.32","430,871,049.71"
经营活动现金流入小计,"55,413,304.49","68,749,829.07","85,710,473.65","56,667,789.50","77,648,700.55","121,361,876.94","21,188,057.93","62,384,557.61","99,322,155.35","143,649,531.44","27,098,841.39","77,334,157.67","114,841,635.00","162,183,775.61","19,625,857.19","66,270,270.64","107,884,237.19","175,563,560.38","29,386,412.74","106,798,052.38","211,493,264.59","425,743,946.26","97,661,659.19","288,006,310.45","415,341,367.56","727,530,448.39","81,943,119.89","211,211,863.27","489,809,381.21","677,811,953.55","109,100,023.74","370,783,498.24","514,928,773.68","755,237,554.99","127,334,629.45","381,737,870.75","617,092,507.65","821,744,809.69","468,976,077.31"
投资活动产生的现金流量净额,"-10,169,343.53","-14,568,636.52","-16,045,966.80","-20,171,769.50","-27,059,916.04","-79,453,166.30","-20,994,230.15","-61,482,259.98","-96,894,850.46","-144,807,533.94","-22,270,657.24","-40,283,055.73","-47,289,479.73","-47,321,739.77","-4,086,847.00","-9,257,777.20","-18,803,850.58","-35,022,754.97","-2,083,047.50","-8,966,394.49","-144,187,157.95","-55,875,755.83","50,176,053.80","-62,160,639.35","-45,055,250.39","-46,738,749.44","-3,168,089.53","-3,633,547.86","-24,959,402.72","-206,149,760.90","-22,331,232.48","-99,923,662.48","-136,265,041.19","-237,460,392.08","-163,517,971.96","-354,750,341.74","-458,185,851.03","-758,309,948.21","-422,758,977.88"
购买商品、接受劳务支付的现金,"21,532,572.76","39,167,940.42","36,393,138.70","31,585,591.87","49,579,066.79","70,550,170.62","14,273,477.15","28,912,724.45","50,652,983.69","76,863,292.47","13,892,987.36","35,824,776.20","59,436,705.30","93,099,223.84","29,323,140.52","43,748,482.53","85,365,761.10","98,805,135.54","40,606,930.20","60,986,322.62","130,198,896.07","244,162,896.91","132,215,601.03","234,952,029.11","330,630,546.13","408,097,925.71","113,259,957.79","204,704,765.00","498,089,263.15","380,339,285.48","94,536,460.73","198,896,650.67","301,398,887.01","492,177,165.07","97,429,033.61","258,799,424.04","415,456,538.66","531,191,844.65","170,272,447.74"
吸收投资收到的现金,"11,100,000.00",,,,"244,272,000.00","244,272,000.00","10,000,000.00","10,000,000.00",,,,,,,,,,,,,"133,767,996.32","133,767,996.32",,"130,000,000.00",,,,,,,,,,"121,800,000.00",,,,,
