科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"140,461,057.97","231,985,924.34","303,609,483.99","157,034,336.36","225,187,768.02","355,620,100.29","79,196,127.83","169,588,987.61","257,050,666.28","416,309,847.73","95,749,253.92","198,096,714.63","320,387,614.56","606,517,622.24","165,789,461.05","318,267,466.09","496,648,313.93","876,350,743.67","201,506,070.80","363,644,465.91","663,156,890.58","931,878,135.14","230,022,869.31","431,967,507.28","674,137,959.89","1,143,658,935.88","258,938,184.89","610,186,166.00","892,304,888.48","1,161,619,408.55","252,802,471.47","643,172,565.07","896,888,859.12"
取得子公司及其他营业单位支付的现金净额,,"10,073,500.00",,,,,,,,,,,,"85,627,029.15",,,"23,865,601.30","60,825,344.67",,"5,000,000.00","10,000,000.00","-683,876.74","660,000.00","660,000.00","660,000.00","901,029.32",,,,,,,
收到的税费返还,"149,266.30",,,,,,,,,,,,,,,,,,,,,"1,042,185.00",,,,,,,,"69,376.08",,,
支付其他与投资活动有关的现金,,,,,,,,"602,000.00","1,262,000.00",,"580,000.00","867,700.00","987,700.00",,,,,,,,,"600,000.00",,,,,,,,,,,
收到其他与经营活动有关的现金,"2,905,020.57","4,188,751.33","10,688,835.75","6,666,602.77","6,843,966.05","15,772,827.27","6,860,444.93","7,681,127.35","13,024,498.00","22,053,598.12","1,182,216.78","1,884,189.58","39,499,802.65","9,430,925.30","14,644,005.52","15,366,914.43","17,004,262.64","8,766,940.53","2,971,615.21","4,008,850.48","7,410,859.10","3,349,055.46","3,306,649.32","9,781,098.24","11,792,617.74","17,140,649.68","5,678,173.27","6,420,509.90","36,582,124.43","17,464,247.62","4,666,060.67","5,240,706.85","26,548,318.05"
投资活动现金流出小计,"8,856,786.93","140,897,706.48","97,246,387.05","36,213,619.19","51,967,396.41","67,098,330.34","19,827,960.46","69,883,368.06","136,676,275.82","232,825,050.09","58,398,236.87","167,476,405.18","370,129,713.42","356,055,425.95","90,601,322.12","138,245,337.25","203,745,142.09","288,519,732.56","55,223,598.66","172,679,562.23","208,469,138.24","259,715,914.68","49,155,868.10","123,797,856.26","133,553,094.11","157,634,550.62","17,942,797.25","57,498,826.71","88,356,475.62","168,951,735.20","12,418,312.30","45,979,201.99","58,306,930.33"
经营活动现金流入小计,"143,515,344.84","236,174,675.67","314,298,319.74","163,700,939.13","232,031,734.07","371,392,927.56","86,056,572.76","177,270,114.96","270,075,164.28","438,363,445.85","96,931,470.70","199,980,904.21","359,887,417.21","615,948,547.54","180,433,466.57","333,634,380.52","513,652,576.57","885,117,684.20","204,477,686.01","367,653,316.39","670,567,749.68","936,269,375.60","233,329,518.63","441,748,605.52","685,930,577.63","1,160,799,585.56","264,616,358.16","616,606,675.90","928,887,012.91","1,179,153,032.25","257,468,532.14","648,413,271.92","923,437,177.17"
投资活动产生的现金流量净额,"-8,774,255.03","-140,726,981.61","-96,551,002.64","-36,152,279.89","-51,510,052.93","-66,613,305.58","-18,587,956.12","-67,189,600.60","-133,684,646.11","-222,758,109.64","-55,716,797.93","-163,727,702.68","-366,049,106.38","-353,325,596.07","-90,542,088.78","-138,186,103.91","-203,685,908.75","-285,894,750.80","-55,220,342.96","-172,076,405.23","-206,304,765.92","-228,071,618.44","-49,155,868.10","-123,562,968.76","-132,970,079.20","-156,331,788.64","-17,942,797.25","-57,498,826.71","-88,356,475.62","-168,214,763.18","-12,418,312.30","-45,979,201.99","-58,306,930.33"
购买商品、接受劳务支付的现金,"85,981,774.34","93,785,873.69","130,444,184.00","43,687,112.50","63,250,325.58","116,127,292.56","11,435,315.11","44,512,533.15","77,995,959.78","159,043,317.34","24,711,811.15","50,361,186.06","82,068,346.04","227,126,137.55","57,261,458.62","84,837,590.44","132,600,826.60","392,811,249.08","73,922,733.88","106,043,922.06","222,993,550.06","334,558,548.59","86,096,217.08","157,930,207.16","243,297,277.29","482,134,859.14","76,384,051.56","284,207,764.63","374,217,528.44","399,632,609.87","85,499,495.64","158,124,650.99","269,699,350.61"
吸收投资收到的现金,,,"32,000,000.00",,"722,868,080.00","714,029,741.30",,,,,"33,971,325.00","33,971,325.00","33,971,325.00",,,,,"52,994,048.06",,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"14,276,578.52","17,742,451.96","34,721,718.99","22,173,824.64","32,966,714.65","49,277,960.02","16,385,014.30","31,235,995.49","45,319,431.69","65,563,951.54","21,420,373.09","41,166,768.20","62,263,467.82","82,939,384.29","34,972,043.85","70,130,582.10","107,336,865.83","147,404,199.74","47,495,576.63","88,290,456.71","128,383,208.98","187,233,089.18","51,573,959.52","105,050,176.01","138,518,204.37","197,079,332.41","46,905,673.15","87,927,895.95","129,203,581.88","188,149,375.34","46,866,923.08","90,925,547.13","137,094,269.91"
取得借款收到的现金,"153,700,000.00","322,800,000.00","225,200,000.00","220,914,413.21","220,923,313.21","220,914,413.21","200,000,000.00","200,000,000.00","400,000,000.00","400,000,000.00","200,000,000.00","200,000,000.00","500,000,000.00","560,000,000.00","200,000,000.00","250,000,000.00","545,000,000.00","860,000,000.00","180,000,000.00","320,000,000.00","665,000,000.00","875,000,000.00","290,900,000.00","451,900,000.00","771,900,000.00","1,025,900,000.00","399,500,000.00","452,500,000.00","751,000,000.00","847,000,000.00","263,000,000.00","400,000,000.00","732,500,000.00"
支付的各项税费,"21,099,284.69","37,973,519.08","35,864,798.97","29,660,113.40","47,873,591.23","59,411,789.38","18,342,129.76","36,036,064.38","51,054,825.06","64,497,159.86","13,753,901.37","38,774,488.07","53,957,368.48","74,915,795.83","28,585,897.06","54,663,828.31","83,801,011.25","108,235,474.25","33,504,651.97","73,543,493.33","99,880,831.15","124,901,107.56","24,868,967.83","61,188,661.30","104,562,552.61","147,608,304.07","38,711,731.26","66,386,412.77","109,500,526.85","144,076,818.74","36,673,426.93","79,416,003.62","117,309,517.86"
收到其他与筹资活动有关的现金,"33,043,660.43","29,059,899.72",,,,"8,838,338.70",,,,,,,,"36,032,589.28","19,565.69","28,139.08","28,139.08","30,000,000.00","11,181.38","46,077.86","80,532.80",,,,,,"120,000,000.00","120,000,000.00","245,000,000.00","245,000,000.00","140,000,000.00","140,000,000.00","140,000,000.00"
支付其他与经营活动有关的现金,"14,497,807.53","29,428,532.19","74,640,020.73","34,931,188.24","46,156,888.54","68,967,133.42","24,399,121.64","41,010,532.36","66,358,447.05","89,728,131.47","24,542,075.20","49,831,345.63","74,736,648.17","131,524,446.08","30,467,667.15","58,900,183.43","115,140,823.30","196,887,700.45","40,885,495.82","71,270,785.12","141,571,449.59","224,014,544.58","66,096,713.33","98,035,080.91","174,513,180.94","315,210,135.04","94,163,326.18","157,831,659.18","211,587,031.37","265,644,118.12","67,284,931.92","143,300,528.23","233,424,946.68"
筹资活动现金流入小计,"186,743,660.43","351,859,899.72","257,200,000.00","220,914,413.21","943,791,393.21","943,782,493.21","200,000,000.00","200,000,000.00","400,000,000.00","400,000,000.00","233,971,325.00","233,971,325.00","533,971,325.00","596,032,589.28","200,019,565.69","250,028,139.08","545,028,139.08","942,994,048.06","180,011,181.38","320,046,077.86","665,080,532.80","875,000,000.00","290,900,000.00","451,900,000.00","771,900,000.00","1,025,900,000.00","519,500,000.00","572,500,000.00","996,000,000.00","1,092,000,000.00","403,000,000.00","540,000,000.00","872,500,000.00"
经营活动现金流出小计,"135,855,445.08","178,930,376.92","275,670,722.69","130,452,238.78","190,247,520.00","293,784,175.38","70,561,580.81","152,795,125.38","240,728,663.58","378,832,560.21","84,428,160.81","180,133,787.96","273,025,830.51","516,505,763.75","151,287,066.68","268,532,184.28","438,879,526.98","845,338,623.52","195,808,458.30","339,148,657.22","592,829,039.78","870,707,289.91","228,635,857.76","422,204,125.38","660,891,215.21","1,142,032,630.66","256,164,782.15","596,353,732.53","824,508,668.54","997,502,922.07","236,324,777.57","471,766,729.97","757,528,085.06"
偿还债务支付的现金,"134,460,000.00","208,500,000.00","204,200,000.00","210,000,000.00","453,425,228.21","490,914,413.21","200,000,000.00","200,000,000.00","400,000,000.00","400,000,000.00","20,000,000.00","200,000,000.00","380,000,000.00","461,000,000.00","80,000,000.00","160,000,000.00","415,000,000.00","420,000,000.00","255,000,000.00","315,000,000.00","649,120,230.47","698,550,000.00","215,000,000.00","337,550,000.00","627,550,000.00","840,100,000.00","415,650,000.00","498,200,000.00","848,850,000.00","1,114,020,000.00","327,350,000.00","466,750,000.00","703,200,000.00"
经营活动产生的现金流量净额,"7,659,899.76","57,244,298.75","38,627,597.05","33,248,700.35","41,784,214.07","77,608,752.18","15,494,991.95","24,474,989.58","29,346,500.70","59,530,885.64","12,503,309.89","19,847,116.25","86,861,586.70","99,442,783.79","29,146,399.89","65,102,196.24","74,773,049.59","39,779,060.68","8,669,227.71","28,504,659.17","77,738,709.90","65,562,085.69","4,693,660.87","19,544,480.14","25,039,362.42","18,766,954.90","8,451,576.01","20,252,943.37","104,378,344.37","181,650,110.18","21,143,754.57","176,646,541.95","165,909,092.11"
分配股利、利润或偿还利息支付的现金,"8,985,609.59","11,238,673.03","15,836,071.03","8,226,493.10","12,687,010.27","12,523,131.79","871,111.11","871,111.11","1,735,277.78","2,092,204.74","537,089.28","42,587,043.24","44,997,508.52","7,521,593.75","4,329,956.10","10,546,521.26","14,814,454.00","23,727,446.75","6,385,652.62","59,910,484.00","74,232,892.38","87,059,851.70","12,579,154.34","66,003,280.72","76,016,297.55","86,988,488.85","13,362,061.31","25,951,156.52","33,759,856.08","50,447,519.21","13,091,483.41","25,575,620.02","34,914,962.95"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"40,418,163.30","13,528,145.35",,,,"7,708,660.99",,"500,000.00","500,000.00",,,,,"60,000,000.00",,"10,856,651.94","10,856,651.94","11,637,202.28",,"80,356.51","445,079.17","86,013,674.64","29,266,492.98","80,366,541.19","95,151,479.12","21,256,304.37","32,177,478.02","61,041,998.12","119,291,553.99","55,381,382.49","39,631,822.00","66,230,253.97","109,040,281.05"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,"183,863,772.89","233,266,818.38","220,036,071.03","218,226,493.10","466,112,238.48","511,146,205.99","200,871,111.11","201,371,111.11","402,235,277.78","402,092,204.74","20,537,089.28","242,587,043.24","424,997,508.52","528,521,593.75","84,329,956.10","181,403,173.20","440,671,105.94","455,364,649.03","261,385,652.62","374,990,840.51","723,798,202.02","871,623,526.34","256,845,647.32","483,919,821.91","798,717,776.67","948,344,793.22","461,189,539.33","585,193,154.64","1,001,901,410.07","1,219,848,901.70","380,073,305.41","558,555,873.99","847,155,244.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"7,500.00","1,000.00","19,950.00","2,000.00","15,000.00","15,000.00","15,000.00","17,000.00",,,,,,,,"1,348,195.00",,,,"196,426.00",,"234,887.50","238,887.50",,,,,300.00,,,
筹资活动产生的现金流量净额,"2,879,887.54","118,593,081.34","37,163,928.97","2,687,920.11","477,679,154.73","432,636,287.22","-871,111.11","-1,371,111.11","-2,235,277.78","-2,092,204.74","213,434,235.72","-8,615,718.24","108,973,816.48","67,510,995.53","115,689,609.59","68,624,965.88","104,357,033.14","487,629,399.03","-81,374,471.24","-54,944,762.65","-58,717,669.22","3,376,473.66","34,054,352.68","-32,019,821.91","-26,817,776.67","77,555,206.78","58,310,460.67","-12,693,154.64","-5,901,410.07","-127,848,901.70","22,926,694.59","-18,555,873.99","25,344,756.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,"30,000,000.00",,,,,,,,,,,
四、汇率变动对现金的影响,"-21,910.01",,"-6,987.37","168,540.54",,"-154,357.16",,,,"-143,269.43",,,,"1,228,062.33",,,,"710,467.16",,,,"1,154,537.19","-67,262.33","-103,344.57","-427,816.66","-100,669.41",,"16,219.57",17.12,"-304,220.35",,"14,325.85","-26,758.40"
收到其他与投资活动有关的现金,"82,531.90","170,724.87","687,884.41","60,339.30","437,393.48","483,024.76","1,225,004.34","2,678,767.46","2,976,629.71","10,049,940.45","2,681,438.94","3,748,702.50","4,080,607.04","2,729,829.88","59,233.34","59,233.34","59,233.34","1,276,786.76","3,255.70","603,157.00","2,164,372.32","1,447,870.24",,,"344,127.41","1,302,761.98",,,,"736,672.02",,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"82,531.90","170,724.87","695,384.41","61,339.30","457,343.48","485,024.76","1,240,004.34","2,693,767.46","2,991,629.71","10,066,940.45","2,681,438.94","3,748,702.50","4,080,607.04","2,729,829.88","59,233.34","59,233.34","59,233.34","2,624,981.76","3,255.70","603,157.00","2,164,372.32","31,644,296.24",,"234,887.50","583,014.91","1,302,761.98",,,,"736,972.02",,,
五、现金及现金等价物净增加额,"1,743,622.26","35,110,398.48","-20,766,463.99","-47,118.89","467,953,315.87","443,477,376.66","-3,964,075.28","-44,085,722.13","-106,573,423.19","-165,462,698.17","170,220,747.68","-152,496,304.67","-170,213,703.20","-185,143,754.42","54,293,920.70","-4,458,941.79","-24,555,826.02","242,224,176.07","-127,925,586.49","-198,516,508.71","-187,283,725.24","-157,978,521.90","-10,475,116.88","-136,141,655.10","-135,176,310.11","-60,110,296.37","48,819,239.43","-49,922,818.41","10,120,475.80","-114,717,775.05","31,652,136.86","112,125,791.82","132,920,159.38"
购建固定资产、无形资产和其他长期资产支付的现金,"8,856,786.93","130,824,206.48","97,246,387.05","36,213,619.19","51,967,396.41","67,098,330.34","19,827,960.46","69,281,368.06","135,414,275.82","232,825,050.09","57,818,236.87","166,608,705.18","236,142,013.42","270,428,396.80","60,601,322.12","108,245,337.25","149,879,540.79","227,694,387.89","55,223,598.66","167,679,562.23","198,469,138.24","259,799,791.42","48,495,868.10","123,137,856.26","132,893,094.11","156,733,521.30","17,942,797.25","57,498,826.71","88,356,475.62","168,951,735.20","12,418,312.30","45,979,201.99","58,306,930.33"
期初现金及现金等价物余额,"11,696,166.25","13,439,788.51","48,550,186.99","27,783,723.00","27,783,723.00","27,783,723.00","471,261,099.66","471,261,099.66","471,261,099.66","471,261,099.66","305,798,401.49","305,798,401.49","305,798,401.49","305,798,401.49","120,654,647.07","120,654,647.07","120,654,647.07","120,654,647.07","362,878,823.14","362,878,823.14","367,058,498.86","362,878,823.14","204,900,301.24","204,900,301.24","204,919,271.92","204,900,301.24","144,790,004.87","144,790,004.87","144,790,004.87","144,790,004.87","30,159,349.82","30,159,349.82","30,159,349.82"
投资支付的现金,,,,,,,,,,,,,"133,000,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00",,,,,,,,,,,,,,,,
期末现金及现金等价物余额,"13,439,788.51","48,550,186.99","27,783,723.00","27,736,604.11","495,737,038.87","471,261,099.66","467,297,024.38","427,175,377.53","364,687,676.47","305,798,401.49","476,019,149.17","153,302,096.82","182,845,885.34","120,654,647.07","174,948,567.77","116,195,705.28","96,098,821.05","362,878,823.14","234,953,236.65","164,362,314.43","179,774,773.62","204,900,301.24","194,425,184.36","68,758,646.14","69,742,961.81","144,790,004.87","193,609,244.30","94,867,186.46","154,910,480.67","30,072,229.82","61,811,486.68","142,285,141.64","163,079,509.20"
