科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"41,169,050.28","48,064,542.42","40,349,399.69","65,871,858.93","738,421,737.31","660,737,200.17","652,872,969.19","591,860,846.32","609,265,031.45","688,200,547.06","721,722,861.86","654,085,690.44","654,932,989.84","642,639,599.80","648,447,621.26","559,037,019.65","560,992,937.07","590,578,079.97","622,204,617.32","586,436,354.06","593,742,294.40","622,726,778.52","464,151,098.02","229,205,910.30","234,827,895.45","184,023,247.90","212,796,415.63","243,858,588.54","206,040,224.61","222,780,337.19","236,089,508.31","313,059,709.89","113,631,513.75","151,687,538.49"
短期借款,"30,000,000.00","75,794,122.13","50,813,549.86","99,414,628.99","87,477,912.09",,,"34,671,045.62",,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"2,106,545.00","2,272,000.00","2,018,566.34","6,047,697.52","5,183,663.42","5,761,164.09","5,314,856.23","5,184,873.21","10,657,174.88","9,376,416.70","10,805,951.40","13,481,872.85","6,419,323.74","9,929,529.49","15,869,362.54","12,383,062.35","19,719,894.12","23,888,694.83","24,407,777.38","28,437,386.69","29,447,337.47","24,974,469.20","24,688,428.00","27,378,052.02","24,504,764.63","24,878,656.44","20,723,008.19","21,048,079.71","20,606,874.57","29,934,326.44","28,731,077.18","34,136,759.65","48,513,279.77","51,929,939.75"
应付票据,"25,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"67,408,839.53","46,711,977.88","79,130,483.21","86,652,300.97","82,204,318.86","84,354,571.86","95,354,056.37","107,502,750.53","147,139,442.00","121,565,228.69","106,702,057.89","129,355,793.55","122,527,005.44","116,165,371.92","100,462,030.73","101,766,157.98","101,250,948.32","103,519,430.91","96,071,522.53","98,295,960.49","102,954,429.34","100,990,443.30","93,826,791.88","93,978,579.23","114,593,866.73","111,713,532.30","101,861,731.25","109,236,904.32","112,250,294.74","126,924,074.69","130,796,742.76","122,652,091.32","137,413,232.42","147,150,280.64"
应付账款,"31,746,039.75","4,988,221.17","34,718,035.25","40,788,899.58","35,779,321.57","36,211,136.12","52,968,063.09","28,399,140.44","10,656,097.50","20,733,447.35","48,797,737.90","87,308,834.97","62,733,475.76","26,763,376.41","33,927,264.88","19,515,913.06","50,163,525.88","18,021,453.73","19,466,429.84","19,274,256.79","24,977,147.05","24,869,049.85","27,938,483.95","21,137,447.85","19,009,471.36","24,891,722.68","17,655,253.95","36,382,522.63","18,179,105.26","32,174,949.17","31,070,584.82","35,155,757.71","29,042,957.54","27,173,288.73"
预付款项,"10,023,660.33","1,589,884.65","815,156.99","1,580,846.92","9,992,356.63","3,611,800.51","10,986,968.96","25,409,760.50","21,903,584.21","3,650,087.55","20,819,986.65","14,506,628.45","14,810,546.54","4,416,838.27","4,874,334.16","7,597,144.90","4,959,626.83","2,298,097.27","4,427,411.16","8,226,403.99","12,880,879.55","5,311,881.82","5,645,454.29","1,356,767.14","5,350,792.28","1,072,309.65","1,222,626.38","13,856,437.76","1,064,340.38","2,984,091.47","784,999.94","1,044,103.99","2,267,210.39","9,202,183.22"
预收款项,"967,970.02","120,456.98","387,463.44","303,614.55","439,361.11","409,012.08","529,491.01","5,035,281.36","8,183,346.34","3,260,910.23","2,832,111.31","1,459,122.22","1,338,014.94","570,742.22","1,653,993.77","1,321,269.82","988,650.41","689,644.23","690,616.90","971,705.92","865,249.45","1,107,777.52","3,449,787.18","2,371,284.12","2,088,670.51","924,119.05","996,163.32","1,020,402.04","1,552,030.35","5,606,120.62","4,814,766.95","3,297,969.37","2,411,052.46","5,645,751.50"
