科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"50,025,395.10","89,638,569.40","127,531,652.55","79,243,954.57","107,783,833.30","170,402,501.17","30,711,997.08","81,624,043.33","127,420,662.96","198,684,392.59","36,304,841.60","86,321,138.18","134,963,843.36","202,121,011.48","39,102,365.32","90,410,592.30","150,346,661.73","218,792,882.05","46,662,280.38","117,214,479.54","177,313,982.28","488,052,193.65","160,914,391.66","368,010,872.26","523,265,380.60","820,910,860.36","194,049,760.23","398,546,214.08","569,088,179.65","820,027,412.57","145,936,040.41","371,910,063.02","646,906,744.47","693,576,434.10","106,465,176.00"
取得子公司及其他营业单位支付的现金净额,"2,654,808.11",,,,,,,,,,,,,,,,,,,,,"115,365,672.95",,,,"58,799,997.19",,,,,,,,,
收到的税费返还,,"325,370.95","326,741.03","1,412,988.53","2,312,914.41","3,086,337.73","111,482.35","323,551.20","434,207.35","2,899,738.67",,"1,572,611.44","3,442,168.24","2,860,185.47",,"2,897,777.81","3,267,277.46","7,865,763.50","3,782,561.96","5,939,916.96","12,618,593.36","19,141,451.56","10,493,819.03","11,746,979.15","18,672,604.16","26,611,396.46","1,998,036.23","6,638,095.85","12,254,278.59","13,222,029.51","5,343,325.41","8,399,480.98","16,060,836.51","20,841,858.60","5,131,318.09"
支付其他与投资活动有关的现金,,,,,"931,715.28",,,,,"42,463,095.17",,,,,,,,,,,,,,,,,,,,,,"17,523,253.65","17,523,253.65","17,523,253.65",
收到其他与经营活动有关的现金,"23,113,825.22","3,972,805.16","1,918,469.40","6,527,431.58","7,279,074.16","9,420,415.15","2,461,102.23","7,508,595.98","13,850,169.74","8,725,450.28","5,263,819.69","12,908,277.36","18,280,119.39","12,566,102.45","6,729,948.39","9,102,059.58","26,344,724.45","35,258,733.02","6,274,215.90","12,293,819.25","15,282,116.87","17,516,950.34","1,361,968.02","4,558,858.50","9,680,968.28","12,847,025.35","1,042,112.32","19,730,706.45","20,325,334.44","25,940,828.07","639,930.12","964,322.24","24,232,500.51","9,554,281.54","39,470,925.56"
投资活动现金流出小计,"44,430,062.37","130,885,641.00","51,409,694.44","10,804,443.69","15,738,555.60","22,535,452.81","856,646.98","7,438,420.98","42,813,249.21","103,947,702.74","30,513,690.84","46,770,261.58","54,566,571.57","131,384,338.83","13,615,114.65","38,300,217.86","50,898,765.87","110,372,647.89","7,119,302.00","22,913,849.00","158,468,008.55","152,881,388.12","18,430,920.67","106,336,586.28","153,067,808.42","195,640,261.98","10,984,407.09","19,015,455.45","25,874,763.69","32,031,495.99","5,683,818.02","51,619,841.78","53,619,920.25","53,861,277.44","7,696,326.03"
经营活动现金流入小计,"73,139,220.32","93,936,745.51","129,776,862.98","87,184,374.68","117,375,821.87","182,909,254.05","33,284,581.66","89,456,190.51","141,705,040.05","210,309,581.54","41,568,661.29","100,802,026.98","156,686,130.99","217,547,299.40","45,832,313.71","102,410,429.69","179,958,663.64","261,917,378.57","56,719,058.24","135,448,215.75","205,214,692.51","524,710,595.55","172,770,178.71","384,316,709.91","551,618,953.04","860,369,282.17","197,089,908.78","424,915,016.38","601,667,792.68","859,190,270.15","151,919,295.94","381,273,866.24","687,200,081.49","723,972,574.24","151,067,419.65"
投资活动产生的现金流量净额,"-44,430,062.37","-130,726,061.78","-48,792,141.22","-10,804,443.69","-15,738,555.60","-22,535,452.81","-856,646.98","-6,546,754.54","-41,921,582.77","-103,947,702.74","-30,485,690.84","-46,742,261.58","-50,459,626.78","-130,428,076.74","-13,615,114.65","-38,287,217.86","-40,879,848.06","-80,234,983.10","-7,068,602.50","-22,853,033.72","-158,406,264.84","-152,466,464.02","-18,430,920.67","-103,804,911.89","-150,600,571.20","-192,024,853.81","-10,984,407.09","-19,009,239.53","-25,125,057.37","-31,289,547.80","-683,818.02","-21,590,160.80","-2,912,070.19","4,172,573.41","-6,713,721.33"
购买商品、接受劳务支付的现金,"33,524,336.63","50,005,628.97","89,285,214.85","55,075,825.59","77,208,323.03","104,621,802.45","28,581,869.35","61,551,910.67","96,980,963.29","131,847,932.38","32,728,762.41","73,171,304.83","101,377,683.98","131,777,278.32","20,466,309.82","49,486,933.26","82,416,922.45","118,001,747.26","29,356,041.59","65,775,043.32","90,990,454.51","243,483,924.40","92,173,933.66","186,890,183.16","240,774,288.38","421,445,350.70","74,424,393.83","153,229,545.87","197,466,279.53","321,452,858.18","63,248,705.79","160,486,321.12","346,380,103.73","346,595,026.11","96,025,540.43"
吸收投资收到的现金,"47,105,000.00","28,528,500.00",,,,,"492,000,000.00","492,000,000.00","492,000,000.00","520,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"3,004,198.38","8,575,278.21","10,483,521.26","8,141,136.04","12,468,161.90","17,859,375.93","5,929,955.32","12,562,789.75","19,764,294.52","24,484,435.27","8,114,766.68","18,060,742.83","25,869,230.16","36,254,247.24","8,015,618.22","16,716,692.32","25,849,687.73","35,575,571.77","8,305,830.41","18,330,665.99","28,415,368.75","100,344,057.98","51,313,108.62","106,432,088.21","156,527,513.90","210,021,023.58","59,184,814.42","114,791,162.94","171,690,467.76","212,784,418.42","64,138,375.05","111,892,568.54","127,927,809.72","208,031,388.31","35,301,256.64"
取得借款收到的现金,"27,900,000.00","141,500,000.00","89,000,000.00","102,000,000.00","107,000,000.00","107,000,000.00",,,"117,000,000.00","117,000,000.00","117,000,000.00","117,000,000.00","202,000,000.00","202,000,000.00",,,,,,"15,000,000.00","188,000,000.00","188,000,000.00",,"2,229,835.00","63,593,285.40","128,211,875.14",,"12,274,129.71","74,665,562.40","114,905,013.82",,"188,110,065.81","192,152,861.60","197,240,897.07","30,000,000.00"
