科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"205,633,524.08","283,540,507.96","290,370,964.40","141,493,184.60","227,558,158.36","336,401,382.54","116,113,948.14","229,969,658.57","334,837,605.36","512,288,600.00","136,617,530.24","320,776,714.31","522,083,567.65","728,491,178.60","199,029,458.91","409,101,761.92","658,880,277.97","975,391,789.85","291,796,686.29","589,844,326.83","907,416,716.55","1,231,437,596.32","337,545,146.58","703,494,177.74","1,059,345,901.01","1,430,904,548.25","421,931,227.54","798,281,597.11","1,137,780,791.36","1,519,258,936.27","414,179,433.01","980,350,186.88","2,123,654,803.59","3,093,075,875.62","1,147,103,431.02","2,253,434,378.79","2,839,210,265.20","3,515,415,995.39","442,432,405.51"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"189,656,305.44","283,866,166.48","283,866,166.42",
收到的税费返还,"4,387,300.59","7,343,173.91","3,144,514.99","84,929.20","1,584,929.20","4,926,387.50","1,720,982.94","4,338,501.06","8,685,236.10","15,420,039.09","4,340,105.20","22,665,552.44","28,668,641.66","34,971,539.24","12,476,756.57","26,179,169.82","32,519,851.30","50,201,956.81","20,011,327.60","35,837,701.39","50,722,265.34","68,887,194.98","16,461,787.00","41,253,324.55","58,264,846.29","83,878,135.68","22,904,030.62","47,519,180.81","62,448,775.69","74,843,654.83","19,073,960.88","33,080,824.00","55,693,129.03","79,265,066.54","16,058,823.20","39,207,919.44","70,848,780.76","90,445,937.67","16,126,297.33"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,453,544.47",
收到其他与经营活动有关的现金,"832,452.91","2,219,656.22","3,618,681.07","6,310,467.50","7,176,975.98","7,601,038.56","2,231,155.06","2,668,109.29","3,869,740.97","7,765,472.33","2,150,066.18","3,894,354.16","4,838,143.05","7,879,479.86","4,298,379.93","6,460,516.58","7,591,056.02","10,497,356.24","3,693,305.56","5,679,207.90","7,883,733.93","8,538,714.51","26,299,519.74","21,293,086.12","23,684,772.88","27,175,121.55","4,083,944.40","49,827,422.59","53,251,895.52","15,616,469.21","728,835.59","23,326,464.43","237,312,120.19","750,245,258.41","861,548,143.10","27,882,120.68","75,394,930.44","34,088,510.18","8,628,569.97"
投资活动现金流出小计,"82,061,356.88","20,053,813.51","32,539,439.09","33,971,070.99","61,925,197.79","105,116,318.01","66,525,040.87","142,819,391.43","193,185,923.43","249,848,730.88","24,667,096.32","68,061,045.33","148,697,589.12","204,685,937.04","72,468,830.66","183,847,935.52","240,182,418.88","330,452,099.33","80,595,786.13","190,096,981.40","264,115,089.27","274,734,996.60","25,122,343.17","63,976,945.53","98,323,369.99","137,047,893.80","33,881,317.29","50,091,683.03","85,052,987.01","95,823,738.46","15,226,794.36","47,865,672.25","110,724,010.52","176,895,283.03","58,989,682.07","374,660,483.89","548,070,155.64","626,795,110.78","42,206,045.86"
经营活动现金流入小计,"210,853,277.58","293,103,338.09","297,134,160.46","147,888,581.30","236,320,063.54","348,928,808.60","120,066,086.14","236,976,268.92","347,392,582.43","535,474,111.42","143,107,701.62","347,336,620.91","555,590,352.36","771,342,197.70","215,804,595.41","441,741,448.32","698,991,185.29","1,036,091,102.90","315,501,319.45","631,361,236.12","966,022,715.82","1,308,863,505.81","380,306,453.32","766,040,588.41","1,141,295,520.18","1,541,957,805.48","448,919,202.56","895,628,200.51","1,253,481,462.57","1,609,719,060.31","433,982,229.48","1,036,757,475.31","2,416,660,052.81","3,922,586,200.57","2,024,710,397.32","2,320,524,418.91","2,985,453,976.40","3,639,950,443.24","467,187,272.81"
投资活动产生的现金流量净额,"-82,061,356.88","-20,053,813.51","-32,539,439.09","-32,695,791.70","-60,649,918.50","-103,835,338.72","-66,518,720.87","-142,797,423.35","-193,143,255.35","-249,806,062.80","-24,666,921.32","-68,060,870.33","-148,696,114.12","-204,679,262.04","-72,467,292.20","-183,845,738.94","-240,178,547.30","-330,448,115.87","-80,595,786.13","-144,665,048.40","-264,104,402.27","-274,697,371.30","-27,743,799.90","-63,974,929.31","-98,321,056.97","-137,043,850.78","-33,881,317.29","-50,090,023.03","-85,046,437.01","-95,817,188.46","-15,226,794.36","-47,857,627.25","-110,688,381.52","-176,638,203.39","-58,849,881.33","-373,212,638.07","-544,839,597.58","-597,383,648.38","37,884,754.36"
购买商品、接受劳务支付的现金,"139,360,600.84","203,607,316.36","150,489,747.18","96,491,405.27","161,517,091.24","226,569,326.38","96,102,996.57","196,950,298.69","271,082,928.98","396,796,605.22","102,794,065.48","226,599,923.83","368,201,588.61","525,421,967.59","144,755,531.50","236,018,298.62","435,049,602.19","647,381,922.66","263,622,651.01","538,463,741.39","706,355,233.28","1,005,886,355.36","208,079,172.76","403,299,993.16","629,279,140.83","939,309,922.69","340,240,121.17","724,473,471.34","864,715,804.07","1,049,338,066.29","223,976,625.93","528,038,417.31","804,065,459.25","1,080,145,113.29","302,406,945.67","653,913,376.20","838,082,467.49","1,226,114,635.32","346,882,851.35"
吸收投资收到的现金,,,"1,505,620.80",,,,"339,738,400.00","339,738,400.00","339,738,400.00","339,738,400.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"19,730,728.80","28,900,622.05","26,719,402.68","20,804,107.48","41,175,741.55","42,218,372.91","16,119,394.17","32,099,506.49","47,694,045.71","65,710,834.02","13,857,920.17","25,843,878.18","38,462,086.86","83,253,401.92","17,275,881.63","32,586,013.40","69,475,409.24","141,694,101.22","41,818,900.29","39,979,065.12","122,606,506.70","178,156,218.57","47,652,945.11","104,654,833.40","146,302,588.23","208,262,927.84","56,074,774.11","111,971,796.02","165,651,412.38","222,746,087.49","62,934,238.62","147,549,597.77","396,021,585.85","725,268,623.15","408,138,157.49","792,332,177.81","1,090,210,641.85","1,299,332,942.44","71,327,692.35"
取得借款收到的现金,"164,248,228.83","164,888,510.47","51,500,000.00","114,250,000.00","126,050,000.00","262,834,320.00","49,585,560.74","93,834,304.55","190,924,304.55","242,924,304.55","23,000,000.00","77,754,717.90","108,754,717.90","236,800,000.00","108,000,000.00","196,447,418.58","281,447,418.58","515,079,838.58","216,279,254.00","374,237,060.48","562,504,633.27","736,716,204.51","104,500,000.00","264,052,369.23","462,790,873.46","781,280,733.22","167,490,943.44","261,524,911.68","394,755,140.87","529,734,570.65","125,327,789.85","222,610,449.80","317,134,606.25","513,571,464.98","190,000,000.00","200,000,000.00","508,623,115.33","699,575,252.41","71,234,675.00"
支付的各项税费,"4,110,300.64","9,268,634.33","14,236,724.89","5,047,911.42","2,370,164.50","10,040,000.13","5,683,909.18","8,282,459.86","14,222,583.59","16,122,292.87","2,741,184.35","4,688,035.79","12,465,998.19","17,505,690.92","3,254,088.37","6,040,996.78","9,132,301.30","14,170,167.19","2,228,100.26","4,861,189.65","8,422,368.98","11,206,729.04","4,799,527.07","8,805,784.66","13,836,205.86","15,954,116.52","5,135,197.97","10,255,813.15","13,398,619.23","17,796,593.49","6,301,043.67","16,048,086.05","65,872,182.58","190,619,358.56","118,437,557.44","239,816,918.69","332,672,660.33","336,786,897.42","31,947,163.78"
收到其他与筹资活动有关的现金,,,,,,,,,"188,664.26","988,641.60",,"635,579.58","696,896.60",,,,,,,,"1,834.64",,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"17,621,580.13","11,103,699.43","12,369,183.33","7,664,954.54","10,073,651.40","20,737,658.94","6,115,997.01","10,067,609.73","17,011,770.47","29,437,907.12","6,586,317.66","24,572,805.40","46,268,766.58","50,187,774.49","21,372,624.42","39,949,436.17","66,197,634.59","45,997,975.71","21,148,776.73","46,086,927.54","87,490,880.14","55,822,266.14","65,068,043.31","69,699,971.35","105,558,505.50","110,524,499.48","11,811,586.44","40,540,259.59","67,466,939.60","66,622,041.94","14,109,857.79","60,236,464.98","375,908,121.40","942,212,950.70","1,060,633,632.74","361,733,819.98","441,736,233.79","540,228,978.32","80,068,332.87"
筹资活动现金流入小计,"164,248,228.83","164,888,510.47","53,005,620.80","114,250,000.00","126,050,000.00","262,834,320.00","389,323,960.74","433,572,704.55","530,851,368.81","583,651,346.15","23,000,000.00","78,390,297.48","109,451,614.50","236,800,000.00","108,000,000.00","196,447,418.58","281,447,418.58","515,079,838.58","216,279,254.00","374,237,060.48","562,506,467.91","736,716,204.51","104,500,000.00","264,052,369.23","462,790,873.46","781,280,733.22","167,490,943.44","261,524,911.68","394,755,140.87","529,734,570.65","125,327,789.85","222,610,449.80","317,134,606.25","513,571,464.98","190,000,000.00","200,000,000.00","508,623,115.33","699,575,252.41","71,234,675.00"
经营活动现金流出小计,"180,823,210.41","252,880,272.17","203,815,058.08","130,008,378.71","215,136,648.69","299,565,358.36","124,022,296.93","247,399,874.77","350,011,328.75","508,067,639.23","125,979,487.66","281,704,643.20","465,398,440.24","676,368,834.92","186,658,125.92","314,594,744.97","579,854,947.32","849,244,166.78","328,818,428.29","629,390,923.70","924,874,989.10","1,251,071,569.11","325,599,688.25","586,460,582.57","894,976,440.42","1,274,051,466.53","413,261,679.69","887,241,340.10","1,111,232,775.28","1,356,502,789.21","307,321,766.01","751,872,566.11","1,641,867,349.08","2,938,246,045.70","1,889,616,293.34","2,047,796,292.68","2,702,702,003.46","3,402,463,453.50","530,226,040.35"
偿还债务支付的现金,"87,483,751.42","159,589,799.19","66,833,611.21","77,845,143.34","86,952,707.14","171,187,447.12","220,091,142.73","232,943,505.53","241,463,505.53","275,427,489.52","38,061,999.98","51,123,999.96","96,445,166.53","153,753,888.18","27,044,160.05","81,473,866.07","117,120,238.76","275,366,611.44","147,077,124.59","250,040,163.95","347,599,064.93","513,141,857.71","142,597,488.50","333,763,899.53","577,787,417.11","752,253,069.57","168,800,297.74","240,575,677.68","457,361,011.70","686,271,805.05","177,412,917.77","261,960,779.55","389,581,405.68","524,710,213.39","152,914,137.35","221,621,643.18","406,823,206.12","566,220,608.50","89,070,491.07"
经营活动产生的现金流量净额,"30,030,067.17","40,223,065.92","93,319,102.38","17,880,202.59","21,183,414.85","49,363,450.24","-3,956,210.79","-10,423,605.85","-2,618,746.32","27,406,472.19","17,128,213.96","65,631,977.71","90,191,912.12","94,973,362.78","29,146,469.49","127,146,703.35","119,136,237.97","186,846,936.12","-13,317,108.84","1,970,312.42","41,147,726.72","57,791,936.70","54,706,765.07","179,580,005.84","246,319,079.76","267,906,338.95","35,657,522.87","8,386,860.41","142,248,687.29","253,216,271.10","126,660,463.47","284,884,909.20","774,792,703.73","984,340,154.87","135,094,103.98","272,728,126.23","282,751,972.94","237,486,989.74","-63,038,767.54"
分配股利、利润或偿还利息支付的现金,"13,015,170.29","11,635,180.25","41,479,051.88","19,282,027.87","21,724,838.77","24,539,912.39","3,321,657.65","4,220,792.58","5,918,604.34","8,982,337.69","3,591,730.88","21,728,495.23","28,955,385.98","34,244,497.10","5,057,436.08","13,320,034.99","26,890,394.98","37,342,611.93","5,909,384.72","22,425,742.58","32,477,486.51","57,870,080.45","8,956,260.88","32,205,060.42","38,649,035.52","68,196,786.85","7,960,174.77","35,768,222.17","47,082,828.38","57,484,205.55","5,981,152.57","36,877,803.23","44,421,137.05","60,298,982.53","5,489,855.70","129,114,078.01","149,272,573.66","160,951,312.60","10,882,525.28"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,000,000.00",
支付其他与筹资活动有关的现金,,,,,,,"5,260,100.00","5,642,910.28","5,864,556.97","5,933,852.80","471,283.71","1,074,233.31","1,781,436.94","464,546.52","1,016,702.98","2,093,691.88","2,414,914.16","4,194,052.06","9,611,523.00",,"-203,373.18","2,470,011.00",,"494,250.00","1,318,175.59","11,418,317.53",,"243,356.09","1,252,574.15","6,304,000.00",,,,,,"45,821,351.41","60,289,081.41","96,825,428.39",
取得投资收益收到的现金,,,,"1,262,579.29","1,262,579.29","1,262,579.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,000,000.00"
