科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"478,771,377.41","346,263,412.38","381,007,474.92","238,911,811.12","494,810,009.95","64,102,092.46","165,450,179.21","247,126,045.06","530,306,587.60","95,748,873.02","219,879,064.36","357,985,897.65","538,721,087.09","114,602,637.66","298,725,435.09","424,377,596.53","663,854,785.85","151,816,250.39","403,498,670.37","614,245,198.50","860,370,244.49","182,971,402.42","476,954,699.59","655,062,300.10","916,893,619.51","223,811,555.88","429,427,185.38","614,527,141.08","1,116,274,169.74","245,469,497.00","626,097,709.64","1,163,514,655.92","1,682,637,673.48","328,704,122.52","929,633,455.07","1,301,524,606.56","1,725,910,628.36","472,311,111.64"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,"58,129,430.95",,,,,,,,,,,,"155,028,232.09",,,,,
收到的税费返还,"474,749.46","842,327.06",,"554,227.75","554,227.75","2,594,131.77","5,886,822.27","6,026,617.81","5,641,738.55","4,785,753.53","8,520,925.87","13,228,809.14","16,423,208.53","3,420,062.17","4,844,523.54","5,774,709.84","9,045,986.98","3,997,264.94","6,231,706.37","15,518,399.85","15,518,399.85","474,492.76","3,313,178.19","3,357,733.47","4,927,470.36","4,414,656.63","4,825,823.88","6,435,665.43","6,435,665.43","318,684.77","5,306,463.02","8,032,218.59","14,559,767.51","6,166,397.58","11,627,460.92","31,870,460.76","19,585,290.17","477,357.65"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,"28,194,352.16","1,141,347.60","2,909,978.40","13,685,032.52","4,016,700.62","15,206,878.84","17,138,000.00","40,029,957.28","24,760,000.00","833,942.20","3,975,000.00","4,915,145.00","69,845,353.56","9,475,000.00","9,975,000.00","10,175,000.00","11,900,931.32",
收到其他与经营活动有关的现金,"3,727,437.22","1,152,815.12","7,213,258.45","7,436,553.88","7,900,581.33","74,603.40","5,467,656.73","7,146,313.12","14,137,789.01","11,542,542.17","14,891,554.37","18,537,356.16","17,896,365.18","26,384,083.91","31,300,462.93","35,987,958.07","15,301,171.32","4,886,226.60","7,687,216.17","13,106,112.42","11,429,900.01","2,860,578.42","4,400,928.47","8,117,246.29","14,931,353.51","2,584,839.95","7,301,455.97","35,979,577.42","26,411,083.78","2,788,627.27","6,258,168.63","20,315,385.83","14,415,195.42","10,408,753.38","14,816,624.64","27,278,863.93","56,835,090.37","36,527,586.07"
投资活动现金流出小计,"10,812,473.57","9,282,243.92","21,163,871.23","38,589,300.71","112,694,332.56","12,232,216.26","68,031,499.89","162,145,306.88","209,625,402.23","93,022,793.63","192,237,125.82","236,341,441.23","273,822,480.54","52,664,631.78","83,045,791.17","107,156,570.70","143,338,736.50","16,127,729.05","80,058,069.22","354,447,534.56","458,020,236.73","33,643,119.08","90,710,781.61","284,967,379.94","587,691,113.39","306,890,723.55","684,832,967.39","758,597,060.61","955,415,403.88","125,743,544.68","227,550,969.37","614,927,115.44","1,822,866,452.39","449,993,150.81","949,192,943.81","1,632,761,730.63","2,156,722,422.94","366,750,713.20"
经营活动现金流入小计,"482,973,564.09","348,258,554.56","388,220,733.37","246,902,592.75","503,264,819.03","66,770,827.63","176,804,658.21","260,298,975.99","550,086,115.16","112,077,168.72","243,291,544.60","389,752,062.95","573,040,660.80","144,406,783.74","334,870,421.56","466,140,264.44","688,201,944.15","160,699,741.93","417,417,592.91","642,869,710.77","887,318,544.35","186,306,473.60","484,668,806.25","666,537,279.86","936,752,443.38","230,811,052.46","441,554,465.23","656,942,383.93","1,149,120,918.95","248,576,809.04","637,662,341.29","1,191,862,260.34","1,711,612,636.41","345,279,273.48","956,077,540.63","1,360,673,931.25","1,802,331,008.90","509,316,055.36"
投资活动产生的现金流量净额,"-10,812,473.57","-6,627,641.21","-21,163,871.23","-37,935,298.88","-112,684,332.56","-12,232,216.26","-68,031,499.89","-162,145,306.88","-209,625,402.23","-93,022,793.63","-192,213,125.82","-236,312,441.23","-273,342,169.02","-52,652,631.78","-83,033,791.17","-107,136,570.70","-122,916,077.54","-16,047,729.05","-79,935,069.22","-166,841,622.56","-191,507,306.12","-33,008,783.68","-74,742,258.21","-237,591,600.88","-541,345,306.02","-300,392,525.61","-475,402,393.90","-542,038,365.80","-738,834,830.39","-125,157,547.01","-227,337,249.37","-601,408,503.31","-791,700,639.42","-196,129,876.81","-336,537,141.23","-525,251,944.27","-647,550,261.04","-98,518,926.57"
购买商品、接受劳务支付的现金,"406,676,861.90","240,698,119.60","240,071,316.10","156,589,979.27","351,025,062.82","75,784,755.02","148,380,088.52","220,771,261.44","404,942,076.65","64,521,027.16","158,629,354.11","254,370,048.22","333,029,145.86","92,388,597.03","243,662,653.08","381,029,530.57","473,722,917.55","106,786,654.25","259,021,601.30","434,899,900.61","548,120,272.74","155,142,687.57","301,815,520.34","420,123,341.67","521,715,144.54","168,239,139.50","392,174,344.14","628,186,086.26","1,017,237,097.93","261,439,775.74","528,523,208.62","873,957,321.92","1,054,189,017.29","272,361,579.74","705,192,385.75","1,003,877,178.31","1,031,870,416.10","301,252,322.20"
吸收投资收到的现金,,"15,000,000.00",,,,"755,586,200.00","755,586,200.00","755,586,200.00","750,817,200.00",,,,,,,,,,,,,,,,,"1,020,460,000.00","1,020,460,000.00","1,020,460,000.00","1,020,460,000.00",,"238,850,309.38","238,850,309.38","239,105,026.36",,,,,
支付给职工以及为职工支付的现金,"17,189,034.97","20,068,364.42","24,959,612.07","18,044,463.25","35,465,521.11","14,422,781.09","23,126,554.30","32,696,881.04","50,009,722.09","14,648,264.23","29,480,055.87","45,378,963.75","58,436,329.41","20,125,588.92","42,280,050.88","64,266,746.15","84,917,432.30","27,347,728.99","54,140,529.01","83,067,172.69","114,673,292.97","38,524,608.87","72,829,646.53","107,425,401.36","144,677,652.72","55,348,524.17","89,218,396.91","148,479,910.53","186,599,760.78","67,394,623.08","119,457,818.91","190,452,655.19","259,981,642.29","110,011,988.68","179,501,074.65","260,485,416.13","367,237,000.29","95,952,633.57"
取得借款收到的现金,"35,000,000.00","50,000,000.00","120,000,000.00","87,000,000.00","148,000,000.00","25,000,000.00","25,000,000.00","25,000,000.00","25,000,000.00",,,,,,,,,,,"30,000,000.00","30,000,000.00",,,"147,600,000.00","373,497,279.91","134,690,000.00","134,690,000.00","269,690,000.00","573,335,500.00","225,000,000.00","411,250,000.00","691,250,000.00","853,086,000.00","115,000,000.00","160,000,000.00","385,000,000.00","857,625,000.00","255,000,000.00"
