科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"21,024,663.72","88,839,717.58","44,022,284.93","395,824,176.29","275,962,929.95","267,396,933.75","268,588,431.98","195,978,740.41","122,284,257.17","141,987,910.73","180,524,268.43","121,831,177.07","126,122,614.84","117,415,646.94","176,440,154.91","127,855,029.52","110,610,846.03","104,909,329.21","157,689,423.74","110,708,308.31","76,268,256.61","51,089,603.48","178,726,948.46","96,313,629.85","232,603,154.18","212,825,006.25","440,067,335.32","325,468,556.20","255,597,867.68","275,592,782.69","310,872,958.73","235,311,496.52","282,948,024.52"
短期借款,"25,000,000.00","62,000,000.00","90,000,000.00","90,000,000.00","25,000,000.00","45,000,000.00","25,000,000.00","45,000,000.00","55,000,000.00","87,000,000.00","66,000,000.00","77,000,000.00","137,000,000.00","135,000,000.00","155,000,000.00","170,000,000.00","160,000,000.00","165,000,000.00","190,000,000.00","234,390,000.00","214,250,000.00","203,500,000.00","188,150,000.00","252,100,000.00","252,450,000.00","289,890,000.00","319,890,000.00","284,890,000.00","319,900,000.00","454,900,000.00","340,000,000.00","397,722,111.60","595,142,015.60"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"7,600,000.00","7,000,000.00","520,000.00","2,259,775.50","5,199,351.61","600,000.00","200,000.00",,"30,000.00","130,000.00","5,170,000.00","4,857,000.00","6,211,100.00","949,400.00","213,500.00","8,180,000.00","11,200,000.00","17,037,611.40","8,085,624.00","3,541,145.20","11,584,638.42","3,610,899.96","7,039,117.80","3,443,307.37","12,185,893.93","10,266,804.17","5,158,917.77","3,491,945.00","7,065,972.00","3,517,710.24","6,479,872.17"
应付票据,,,"6,100,000.00","6,100,000.00",,"13,947,700.00","16,763,000.00","7,876,679.00","17,285,699.00",,"6,000,000.00","3,613,174.00",,"6,980,000.00","6,980,000.00",,,,"27,000,000.00","29,290,000.00","21,080,000.00","24,295,616.13","52,245,616.13","36,617,456.70","45,432,542.60","146,879,991.00","164,060,000.00","108,560,000.00","98,200,000.00","126,200,000.00","112,000,000.00","104,437,471.64","127,132,330.07"
应收账款,"41,821,793.61","70,176,914.42","88,014,080.40","85,904,601.52","97,284,999.81","93,881,519.30","111,139,714.82","114,638,459.41","123,153,057.80","113,881,190.36","163,341,933.93","148,878,429.66","179,621,452.19","207,725,901.95","226,411,685.54","226,370,717.83","250,603,024.99","266,119,669.15","226,643,146.84","251,826,003.34","298,650,552.32","370,463,999.30","366,111,088.78","536,413,134.61","555,847,407.83","797,385,450.34","899,299,299.74","743,637,574.91","752,188,731.88","948,805,462.28","1,037,818,097.93","961,974,320.64","1,031,382,921.10"
应付账款,"20,232,260.85","28,475,354.99","33,161,725.34","29,256,890.71","19,348,158.10","23,350,084.23","29,016,368.37","37,268,604.54","37,860,341.12","37,399,840.30","119,197,156.11","88,710,180.43","102,651,249.36","117,195,704.99","99,785,896.84","85,098,848.45","103,557,157.98","140,327,853.04","129,713,444.01","139,624,308.76","157,103,570.05","210,116,060.57","185,454,936.49","214,417,786.66","285,431,197.22","294,819,592.79","392,679,890.57","224,223,635.69","284,974,058.10","300,750,906.65","343,704,500.54","316,603,116.79","376,548,459.53"
预付款项,"3,632,693.86","35,063,189.90","24,048,802.81","46,666,783.10","29,213,327.41","25,593,395.04","22,681,123.29","55,106,227.82","17,033,193.99","19,232,291.10","28,520,828.48","31,236,372.10","36,678,595.56","31,154,059.31","33,909,642.53","48,031,942.95","35,445,790.38","38,102,811.22","117,849,640.46","51,866,127.01","37,603,270.09","41,494,659.89","37,212,407.46","79,671,243.92","50,548,292.08","69,153,718.53","21,726,466.34","39,150,869.49","68,073,028.73","59,332,019.79","10,983,532.13","40,091,372.99","38,943,841.64"
预收款项,"30,053.00","614,501.00","131,758.00","461,037.00","612,537.00","1,280,800.00","8,803,085.98","4,620,950.00","2,053,165.10","2,875,227.54","15,586,123.80","17,927,362.39","22,874,243.90","13,027,549.35","56,197,415.84","62,696,937.22","46,705,591.02","21,519,991.26","27,337,523.97","36,030,351.59","48,608,583.37","13,822,580.33","25,497,644.19","31,210,889.54","16,814,145.29","22,951,257.20","42,963,880.22","21,843,453.85","35,087,021.27","15,977,635.78","22,452,289.38","46,363,774.12","13,259,455.30"
