科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"330,873,510.87","359,375,005.11","527,782,665.47","147,902,270.72","296,248,854.01","457,217,804.13","656,021,927.02","118,907,306.59","291,963,062.86","481,484,577.34","759,752,740.16","222,840,904.31","555,621,208.06","917,493,895.35","1,270,546,785.18","302,773,742.83","644,612,350.42","968,003,141.87","1,354,686,517.38","325,146,573.75","685,061,477.01","1,002,815,693.82","1,483,296,003.21","377,821,550.45","808,783,092.63","1,157,398,617.97","1,627,326,894.26","516,068,446.12","1,060,365,211.91","1,451,284,188.62"
二、营业利润,"25,654,248.61","33,019,266.76","56,372,785.89","16,008,958.54","24,303,320.59","16,218,882.76","11,243,634.36","-12,176,578.89","-849,894.15","1,329,447.55","33,390,198.32","7,678,743.38","36,678,587.95","86,824,601.57","91,032,754.70","34,691,516.97","48,751,867.12","49,811,981.30","58,817,954.57","13,571,298.55","31,928,871.52","17,602,054.87","11,671,702.26","8,279,092.64","35,822,293.30","23,907,840.25","-501,885.44","5,065,221.19","30,568,425.85","34,316,345.41"
减:营业成本,"231,947,893.56","238,739,749.65","340,233,542.69","101,523,727.13","199,163,317.35","319,484,042.74","444,033,205.42","84,900,481.64","188,511,541.59","309,336,413.13","453,719,456.21","153,623,717.21","378,306,442.49","619,951,341.86","836,452,627.06","192,797,940.07","410,072,361.15","630,405,350.99","871,403,399.15","226,271,391.29","473,153,491.20","696,920,434.20","1,030,380,377.72","267,728,057.34","566,530,622.06","819,592,316.82","1,161,541,999.30","400,385,424.71","805,878,042.40","1,102,469,475.10"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,082,753.07","2,357,057.14","2,657,022.92","1,029,458.04","1,782,165.51","2,608,214.61","6,772,842.49","757,050.06","4,179,448.50","6,050,251.20","8,216,885.52","515,124.32","3,065,903.90","4,495,546.89","8,187,475.80","1,331,717.24","4,560,236.19","5,372,437.76","9,578,741.12","164,526.65","3,703,125.08","5,082,880.08","10,171,725.61","2,662,120.79","5,647,843.89","6,332,792.92","11,512,371.06","4,413,672.71","8,582,122.37","10,125,970.10"
营业外收入,"830,402.00","3,710,966.61","5,484,790.59","884,379.02","5,713,146.67","8,793,703.48","13,970,629.98","1,255,694.73","4,756,204.41","11,341,010.02","15,446,228.69",,"1,312,060.45","3,305,433.53","8,928,433.46","398,679.39","2,092,672.49","3,700,608.72","8,734,214.60","60,814.28","88,709.33","2,739,781.27","7,381,677.68","53,939.43","6,018,128.86","12,925,792.80","21,537,369.31","1,728,635.63","3,755,709.48","3,973,265.28"
销售费用,"38,009,062.01","44,465,338.21","57,364,398.77","10,527,488.12","24,994,355.78","45,197,109.87","76,896,821.09","17,707,348.85","36,484,104.53","63,281,298.43","115,667,241.88","26,353,431.24","55,932,410.69","85,860,799.08","147,930,638.07","24,180,964.45","56,779,851.14","97,373,334.30","155,834,398.62","28,784,486.29","65,313,711.22","103,571,008.23","170,595,028.40","31,792,717.72","73,263,428.64","114,998,862.85","189,892,538.10","33,484,392.63","76,513,753.51","133,398,389.25"
减:营业外支出,"349,230.98","179,260.34","230,101.50","39,374.01","132,932.04","938,309.60","1,364,187.81","200,000.00","336,176.77","350,530.04","711,508.47",,"190,424.85","211,426.36","234,411.70","59,621.03","408,130.72","2,582,566.10","3,554,394.20","475,929.70","826,632.80","873,679.93","1,355,329.11","124,607.04","465,713.00","481,934.94","552,702.96","74,815.93","191,304.12","206,800.06"
管理费用,"26,458,455.04","29,558,960.91","63,547,731.68","18,621,601.53","40,647,857.00","68,193,786.87","110,951,760.23","26,096,900.78","53,940,281.25","89,946,761.47","140,030,177.25","29,351,947.89","67,228,278.16","101,790,586.59","168,839,286.87","38,511,819.56","80,335,955.49","127,853,108.22","190,757,174.46","37,890,043.66","86,616,904.92","135,798,252.73","199,006,885.47","47,536,057.33","99,449,827.94","156,584,264.26","228,791,622.25","51,124,323.35","102,613,162.77","157,251,671.81"
其中:非流动资产处置净损失,"104,826.94","13,402.02","122,881.86",,,,"188,990.03",,"6,176.77","18,553.15","53,669.29",,"110,039.20","130,679.52","150,156.02","45,454.03","239,852.46","402,898.59","1,094,726.69","475,929.70","682,308.87","728,356.00","1,200,571.22","119,607.04","450,616.70","464,783.90","522,668.60","74,766.35","118,948.81","128,044.75"
