科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"107,704,732.66","180,732,762.04","254,759,771.89","37,594,658.49","83,936,493.75","116,179,585.18","175,298,798.91","33,977,067.78","150,778,801.45","195,378,294.29","283,235,993.88","81,292,949.92","213,645,546.03","297,336,325.44","581,533,592.20","133,717,797.06","209,311,717.82","292,316,011.55","494,106,381.37","106,517,612.24","318,887,042.09","512,481,569.04","705,101,397.10","126,416,604.30","243,781,605.56","385,463,901.73","381,939,994.93","130,930,332.59","388,693,022.18","492,955,190.81","256,419,817.71","115,088,049.38","193,132,045.35","250,633,619.92","180,937,065.23","43,665,758.16"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"17,409,210.00","17,213,490.00","17,193,330.00","9,007,699.51",,"30,899,748.96","60,714,494.16","38,179,748.96",,"492,658,893.01","492,797,743.01","492,658,893.01",,"-924,049.94","-924,049.94","9,840,397.29",,,,"997,111.05",,,,,
收到的税费返还,"102,339.79","977,970.04","912,175.16","550,649.21","550,649.21","550,649.21","550,649.21",,,,,,"1,480,925.21","3,937,094.85","4,506,778.64","167,667.80","4,983,881.88","6,931,528.55","9,108,380.00","706,508.99","2,754,029.71","4,274,116.24","4,868,117.65","1,871,973.02","1,911,463.87","1,921,835.23","2,044,853.98","14,020.39","479,610.39","1,521,199.77","1,521,878.60","2,261,959.91","4,393,524.93","21,739,316.02","15,002,078.56","307,287.16"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,115.91",,,,,,,"321,269.19",,
收到其他与经营活动有关的现金,"10,915,583.81","9,975,693.22","5,750,060.05","407,018.50","5,353,361.63","8,414,259.93","13,398,648.93","2,127,421.06","4,738,629.61","6,391,827.93","8,822,134.16","4,626,322.83","7,028,614.27","11,668,624.31","17,724,153.62","20,219,873.95","26,264,357.94","10,100,721.09","83,266,438.40","28,952,847.59","45,029,552.78","78,660,223.74","255,426,261.91","10,792,777.51","110,699,098.78","120,747,039.62","503,315,271.92","8,116,569.24","95,843,259.61","127,338,344.64","320,105,882.32","90,686,117.14","114,330,014.98","124,985,771.63","169,997,472.35","4,899,041.16"
投资活动现金流出小计,"6,820,263.84","6,232,105.18","16,766,992.32","121,916.35","4,532,180.98","18,533,124.32","79,994,220.53","35,870,931.15","58,267,522.95","73,352,672.72","87,632,143.93","30,921,601.05","76,454,515.56","139,155,550.49","154,950,315.41","34,351,558.41","58,074,756.49","106,478,064.89","95,707,477.42","66,904,085.12","564,290,218.43","622,558,016.24","675,152,745.94","206,355,939.07","345,159,851.86","378,835,027.95","527,531,422.69","134,893,224.25","328,833,252.39","427,859,563.02","184,516,007.53","5,512,235.26","6,174,583.90","16,782,697.27","5,600,411.13","3,438,599.51"
经营活动现金流入小计,"118,722,656.26","191,686,425.30","261,422,007.10","38,552,326.20","89,840,504.59","125,144,494.32","189,248,097.05","36,104,488.84","155,517,431.06","201,770,122.22","292,058,128.04","85,919,272.75","222,155,085.51","312,942,044.60","603,764,524.46","154,105,338.81","240,559,957.64","309,348,261.19","586,481,199.77","136,176,968.82","366,670,624.58","595,415,909.02","965,395,776.66","139,081,354.83","356,392,168.21","508,132,776.58","887,300,120.83","139,060,922.22","485,015,892.18","621,814,735.22","578,047,578.63","208,036,126.43","311,855,585.26","397,358,707.57","365,936,616.14","48,872,086.48"
投资活动产生的现金流量净额,"-6,820,263.84","8,347,894.82","-16,698,992.32","-121,916.35","-4,532,180.98","-18,533,124.32","-74,573,420.53","-35,870,931.15","-58,152,840.40","-73,067,672.72","-87,347,143.93","-29,522,879.28","-75,071,500.53","-137,774,164.74","-154,909,215.41","-34,351,558.41","-58,074,756.49","-106,478,064.89","-76,707,477.42","-66,904,085.12","-564,290,218.43","-622,558,016.24","-671,532,745.94","-206,355,939.07","-345,162,373.00","-378,837,781.19","-446,304,296.81","-134,893,224.25","-161,851,189.39","-260,826,500.02","-17,183,493.67","-5,512,235.26","-6,087,608.90","-16,695,722.27","831,345.25","-2,475,094.30"
购买商品、接受劳务支付的现金,"67,170,516.96","96,258,531.11","136,810,357.94","33,874,216.78","99,535,200.54","149,330,514.30","160,722,355.94","79,973,428.78","95,499,669.64","207,739,148.47","204,170,904.97","58,486,623.98","168,219,016.14","242,944,489.42","321,614,680.92","107,215,322.47","159,923,867.64","201,446,316.20","337,669,299.45","100,431,371.75","127,184,735.33","237,099,456.99","280,726,662.34","152,652,404.54","208,702,500.13","249,537,662.21","193,700,844.02","97,261,937.07","205,767,613.51","289,254,278.46","199,769,276.48","51,048,695.41","92,217,229.69","127,816,618.58","67,105,669.98","18,284,537.08"
吸收投资收到的现金,,"21,000,000.00",,,"474,304,500.00","474,304,500.00","474,304,500.00","48,000,000.00","48,000,000.00","48,000,000.00","42,780,560.00",,,,"5,072,288.00",,,,,,,,"2,000,000.00",,,"200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","500,000.00",,,,,
支付给职工以及为职工支付的现金,"15,047,562.26","24,007,467.73","23,127,723.73","9,465,195.69","16,063,182.36","22,068,729.27","28,620,218.97","10,508,126.72","21,725,244.76","35,782,277.44","50,315,627.21","19,514,536.19","36,446,470.73","54,930,163.23","78,811,847.29","24,494,114.71","45,474,922.85","66,100,414.26","88,844,702.44","27,741,210.17","49,287,209.90","78,370,949.57","103,573,674.67","32,056,977.87","54,826,194.69","81,160,401.97","109,284,427.66","31,920,906.13","57,528,327.34","85,882,958.65","118,319,107.98","17,108,136.60","31,903,410.27","52,270,928.88","66,663,042.24","13,480,605.07"
取得借款收到的现金,"66,000,000.00","83,180,000.00","100,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","80,000,000.00","70,000,000.00","112,209,402.17","140,471,526.42","183,037,242.37","126,964,292.83","216,487,338.08","338,610,573.18","450,552,047.22","92,076,609.92","657,845,795.10","741,382,860.10","1,124,792,091.46","462,904,941.23","862,584,183.11","966,009,367.14","1,541,882,493.00","631,190,000.00","948,970,000.00","1,266,970,000.00","2,277,773,980.00",,,"8,496,811.49","8,496,811.49",
支付的各项税费,"38,048,415.65","18,961,536.56","24,734,990.30","4,829,710.52","12,770,393.21","23,067,486.35","32,602,557.45","7,127,965.63","15,413,861.90","27,517,759.17","41,700,414.05","9,874,766.01","25,715,013.18","30,381,991.26","37,651,370.90","9,103,449.77","29,797,509.51","40,046,633.13","64,657,733.85","41,170,903.82","72,155,538.17","91,768,165.45","112,684,943.86","10,758,227.05","63,351,948.61","79,039,904.54","111,322,115.25","48,051,759.88","100,203,346.71","128,666,087.52","163,555,135.88","3,005,291.43","8,407,558.57","9,706,367.11","13,103,870.65","2,064,684.45"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,"29,882.85","610,179.53","10,700,000.00",,,"7,000,000.00","7,000,000.00",,"274,316.00",,"98,624,000.00","95,000,000.00","181,120,000.00","181,120,000.00","179,880,000.00",,,,,,,,,
支付其他与经营活动有关的现金,"32,461,130.66","31,584,806.88","30,584,539.13","7,651,530.48","19,048,320.13","27,244,649.27","36,855,273.60","7,968,534.46","22,116,354.92","28,271,581.86","40,900,879.72","10,277,900.37","28,016,448.50","54,959,209.11","64,212,165.77","15,800,680.25","35,009,595.75","49,429,006.52","89,698,517.99","15,777,920.47","34,759,594.28","79,263,695.96","361,304,863.79","94,591,972.32","34,780,251.00","85,027,675.37","489,701,610.87","61,427,142.05","122,083,536.44","239,926,176.21","1,579,549,828.04","51,927,351.30","94,298,370.17","99,014,901.51","137,144,326.12","16,101,671.60"
筹资活动现金流入小计,"66,000,000.00","104,180,000.00","100,000,000.00","30,000,000.00","504,304,500.00","504,304,500.00","534,304,500.00","108,000,000.00","108,000,000.00","108,000,000.00","122,780,560.00","70,000,000.00","112,239,285.02","141,081,705.95","198,809,530.37","126,964,292.83","216,487,338.08","345,610,573.18","457,552,047.22","92,076,609.92","658,120,111.10","741,382,860.10","1,225,416,091.46","557,904,941.23","1,043,704,183.11","1,147,329,367.14","1,721,962,493.00","631,390,000.00","949,170,000.00","1,267,170,000.00","2,278,273,980.00",,,"8,496,811.49","8,496,811.49",
经营活动现金流出小计,"152,727,625.53","170,812,342.28","215,257,611.10","55,820,653.47","147,417,096.24","221,711,379.19","258,800,405.96","105,578,055.59","154,755,131.22","299,310,766.94","337,087,825.95","98,153,826.55","258,396,948.55","383,215,853.02","502,290,064.88","156,613,567.20","270,205,895.75","357,022,370.11","580,870,253.73","185,121,406.21","283,387,077.68","486,502,267.97","858,290,144.66","290,059,581.78","361,660,894.43","494,765,644.09","904,008,997.80","238,661,745.13","485,582,824.00","743,729,500.84","2,061,193,348.38","123,089,474.74","226,826,568.70","288,808,816.08","284,016,908.99","49,931,498.20"
偿还债务支付的现金,"43,000,000.00","84,590,000.00","81,590,000.00","40,000,000.00","40,000,000.00","40,000,000.00","70,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","60,000,000.00","60,000,000.00","63,448,256.86","67,557,593.75","104,754,331.83","93,885,844.14","107,583,965.66","125,295,644.19","185,678,400.55","121,949,531.45","201,875,779.81","326,906,118.75","565,174,782.40","284,080,187.36","656,933,555.35","759,135,286.95","945,599,486.08","447,387,879.37","623,067,122.20","824,442,385.63","1,034,706,071.61","5,023,764.06","11,006,529.68","12,785,739.21","14,029,044.82",
经营活动产生的现金流量净额,"-34,004,969.27","20,874,083.02","46,164,396.00","-17,268,327.27","-57,576,591.65","-96,566,884.87","-69,552,308.91","-69,473,566.75","762,299.84","-97,540,644.72","-45,029,697.91","-12,234,553.80","-36,241,863.04","-70,273,808.42","101,474,459.58","-2,508,228.39","-29,645,938.11","-47,674,108.92","5,610,946.04","-48,944,437.39","83,283,546.90","108,913,641.05","107,105,632.00","-150,978,226.95","-5,268,726.22","13,367,132.49","-16,708,876.97","-99,600,822.91","-566,931.82","-121,914,765.62","-1,483,145,769.75","84,946,651.69","85,029,016.56","108,549,891.49","81,919,707.15","-1,059,411.72"
分配股利、利润或偿还利息支付的现金,"3,832,706.67","9,806,335.24","13,737,581.37","958,438.06","1,395,417.50","2,912,948.11","3,864,163.12","969,786.68","23,023,864.99","24,187,973.36","26,061,946.70","1,307,633.34","15,560,250.49","16,379,933.82","21,967,763.17","2,465,631.92","23,225,604.48","32,760,256.01","40,307,334.71","6,357,330.23","29,823,333.11","48,306,253.66","68,656,878.82","15,885,918.63","38,948,957.40","57,209,968.78","98,373,725.89","31,796,707.52","65,433,182.91","129,814,471.19","187,207,125.88","20,377,122.98","25,203,346.87","39,413,393.31","34,977,490.50","44,693.65"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,"19,000,000.00",,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"808,179.00","6,371,889.48","5,504,089.63","838,473.08","5,327,992.46","7,363,711.92","8,165,811.92",,,,,,"320,221.84","330,942.63",,"158,226.39",,"17,619,310.00","59,960,460.00",,,"384,320.00","523,170.00",,,,"3,500,000.00",,"6,293,335.27","107,586,670.54","133,998,159.02","124,547,709.15","123,347,709.15","123,347,709.15","123,432,677.26",
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,"47,640,885.67","100,768,224.72","100,831,671.00","41,796,911.14","46,723,409.96","50,276,660.03","82,029,975.04","30,969,786.68","53,023,864.99","54,187,973.36","86,061,946.70","61,307,633.34","79,328,729.19","84,268,470.20","126,722,095.00","96,509,702.45","130,809,570.14","175,675,210.20","285,946,195.26","128,306,861.68","231,699,112.92","375,596,692.41","634,354,831.22","299,966,105.99","695,882,512.75","816,345,255.73","1,047,473,211.97","479,184,586.89","694,793,640.38","1,061,843,527.36","1,355,911,356.51","149,948,596.19","159,557,585.70","175,546,841.67","172,439,212.58","44,693.65"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"14,580,000.00","68,000.00",,,,"20,800.00",,"114,682.55","285,000.00","285,000.00","3,381.80",,,"41,100.00",,,,,,,,"3,620,000.00",,"27,200.00","27,200.00","81,227,125.88",,"10,820.00","61,820.00","361,270.86",,"86,975.00","86,975.00","5,662,860.38","963,505.21"
筹资活动产生的现金流量净额,"18,359,114.33","3,411,775.28","-831,671.00","-11,796,911.14","457,581,090.04","454,027,839.97","452,274,524.96","77,030,213.32","54,976,135.01","53,812,026.64","36,718,613.30","8,692,366.66","32,910,555.83","56,813,235.75","72,087,435.37","30,454,590.38","85,677,767.94","169,935,362.98","171,605,851.96","-36,230,251.76","426,420,998.18","365,786,167.69","591,061,260.24","257,938,835.24","347,821,670.36","330,984,111.41","674,489,281.03","152,205,413.11","254,376,359.62","205,326,472.64","922,362,623.49","-149,948,596.19","-159,557,585.70","-167,050,030.18","-163,942,401.09","-44,693.65"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,"-29,721.14","-29,953.24",,,,,,,,,,
四、汇率变动对现金的影响,"-57,178.38","-10,162.42","-44,739.41","-13,558.02","-19,557.18","-43,003.48","-46,671.59","-11,937.17","-8,670.33","-212,118.80","-412,754.79","264,806.39","-175,123.84","207,684.09","284,014.95","145,318.91","-48,651.18","-361,233.28","-739,217.83","-482,695.28","-394,340.58","-150,015.23","-407,767.90","109,522.96","1,167,534.82","1,633,807.29","-551,502.26","-1,887.58","-118,196.62","-58,259.56","-272,386.14","14,791.16","-13,201.16","9,318.89","205,064.23","-108,270.58"
收到其他与投资活动有关的现金,,,,,,,"5,400,000.00",,,,,"1,395,339.97","1,383,015.03","1,381,385.75",,,,,,,,,,,,,,,"166,971,243.00","166,971,243.00","166,971,243.00",,,,"768,896.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"14,580,000.00","68,000.00",,,,"5,420,800.00",,"114,682.55","285,000.00","285,000.00","1,398,721.77","1,383,015.03","1,381,385.75","41,100.00",,,,"19,000,000.00",,,,"3,620,000.00",,"-2,521.14","-2,753.24","81,227,125.88",,"166,982,063.00","167,033,063.00","167,332,513.86",,"86,975.00","86,975.00","6,431,756.38","963,505.21"
五、现金及现金等价物净增加额,"-22,523,297.16","32,623,590.70","28,588,993.27","-29,200,712.78","395,452,760.23","338,884,827.30","308,102,123.93","-28,326,221.75","-2,423,075.88","-117,008,409.60","-96,070,983.33","-32,800,260.03","-78,577,931.58","-151,027,053.32","18,936,694.49","-6,259,877.51","-2,091,577.84","15,421,955.89","99,770,102.75","-152,561,469.55","-54,980,013.93","-148,008,222.73","26,226,378.40","-99,285,807.82","-1,441,894.04","-32,852,730.00","210,924,604.99","-82,290,521.63","91,840,041.79","-177,473,052.56","-578,239,026.07","-70,499,388.60","-80,629,379.20","-75,186,542.07","-80,986,284.46","-3,687,470.25"
购建固定资产、无形资产和其他长期资产支付的现金,"6,820,263.84","6,232,105.18","16,766,992.32","121,916.35","4,532,180.98","18,533,124.32","31,994,220.53","35,870,931.15","58,267,522.95","73,352,672.72","87,632,143.93","13,512,391.05","59,241,025.56","121,962,220.49","145,942,615.90","10,351,558.41","27,175,007.53","45,763,570.73","57,527,728.46","33,904,085.12","38,631,325.42","84,646,170.23","135,379,749.93","206,355,939.07","342,824,070.80","358,823,406.89","507,725,238.49","134,493,224.25","327,833,252.39","426,859,563.02","183,518,896.48","5,512,235.26","6,174,583.90","16,461,428.08","5,600,411.13","3,438,599.51"
期初现金及现金等价物余额,"26,033,945.54","3,510,648.38","36,134,239.08","64,723,232.35","64,723,232.35","64,723,232.35","64,723,232.35","372,825,356.28","372,825,356.28","372,825,356.28","420,825,356.28","312,569,821.44","324,754,372.95","324,754,372.95","324,754,372.95","343,691,067.44","343,691,067.44","343,691,067.44","343,691,067.44","443,691,170.19","443,673,170.19","443,673,170.19","443,461,170.19","469,687,548.59","469,687,548.59","469,687,548.59","469,687,548.59","680,612,153.58","680,612,153.58","680,612,153.58","680,848,153.58","102,463,894.50","102,463,894.50","102,463,894.50","102,373,127.51","21,386,843.05"
投资支付的现金,,,,,,,"48,000,000.00",,,,,,,,,"24,000,000.00",,,,"33,000,000.00","33,000,000.00","45,114,103.00","47,114,103.00",,"3,259,831.00","20,935,671.00","9,935,671.00","400,000.00","1,000,000.00","1,000,000.00",,,,,,
期末现金及现金等价物余额,"3,510,648.38","36,134,239.08","64,723,232.35","35,522,519.57","460,175,992.58","403,608,059.65","372,825,356.28","344,499,134.53","370,402,280.40","255,816,946.68","324,754,372.95","279,769,561.41","246,176,441.37","173,727,319.63","343,691,067.44","337,431,189.93","341,599,489.60","359,113,023.33","443,461,170.19","291,129,700.64","388,693,156.26","295,664,947.46","469,687,548.59","370,401,740.77","468,245,654.55","436,834,818.59","680,612,153.58","598,321,631.95","772,452,195.37","503,139,101.02","102,609,127.51","31,964,505.90","21,834,515.30","27,277,352.43","21,386,843.05","17,699,372.80"
