科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"7,512,694.77","13,331,591.05","18,493,917.26","24,957,778.78","413,637,199.99","377,278,830.74","309,708,588.25","326,358,474.50","284,484,754.26","280,727,980.49","271,921,730.33","267,676,481.59","247,563,349.24","219,183,027.81","221,394,371.83","245,370,762.27","235,453,205.28","129,576,103.87","215,042,140.53","196,220,672.67","73,635,248.10","65,874,953.72","170,952,901.21","87,806,575.93","97,990,226.49","124,511,499.64","241,662,720.31","102,238,243.15","122,637,942.44","54,387,839.63"
短期借款,"32,622,785.62","37,810,000.00","63,430,000.00","84,620,000.00","27,043,831.24","28,000,000.00","1,287,354.52","1,256,926.21",,,,,"15,000,000.00",,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"35,166,896.52","43,604,678.50","73,401,691.74","43,766,719.35","55,035,196.38","57,957,653.31","98,750,549.62","54,827,504.58","43,325,451.75","57,169,520.30","64,253,318.26","55,782,179.74","89,007,599.89","89,183,512.61","103,391,083.69","82,902,818.89","113,233,367.06","90,476,525.17","106,194,230.36","77,637,751.81","105,486,838.22","128,948,873.36","136,109,319.71","129,015,363.96","151,540,594.07","120,729,759.96","128,187,922.20","140,306,994.16","138,511,683.98","117,337,860.76"
应付票据,"965,779.00","2,316,754.00","3,097,741.50","3,836,681.50","3,863,557.00","3,705,195.00","3,436,648.00","5,031,169.00","2,511,748.00","407,880.00","482,130.00","7,272,515.96","6,086,472.18","444,996.00","1,464,940.00","19,721,394.37","19,802,322.37","18,903,668.00","39,971,034.08","29,711,354.08","18,637,640.00","20,374,760.00","17,321,987.01","38,060,759.21","43,496,762.74","9,390,000.00","28,262,760.10","66,151,732.64","53,207,000.00","86,787,000.00"
应收账款,"57,108,915.54","67,763,638.17","101,719,582.64","130,068,451.59","128,862,961.95","124,162,419.52","124,497,202.33","149,329,150.38","127,647,374.46","127,765,410.70","133,785,741.21","146,580,421.35","148,706,869.08","155,485,012.07","168,560,356.55","176,852,751.13","206,921,605.20","191,948,639.43","195,457,952.03","202,767,111.86","211,250,468.64","221,296,085.68","264,215,675.10","266,212,550.67","260,769,263.34","261,554,511.93","311,952,728.76","282,537,487.32","280,939,444.12","271,116,026.74"
应付账款,"12,271,531.91","29,658,835.60","65,183,999.79","54,224,568.70","60,790,486.62","33,720,823.41","41,440,277.91","57,760,915.57","53,539,907.44","64,077,678.24","66,558,405.45","84,487,907.41","89,012,512.99","97,610,465.51","101,239,818.96","95,699,014.53","96,960,042.58","96,613,995.14","103,042,515.00","91,538,677.96","97,080,665.68","108,677,194.70","135,776,944.53","119,208,443.30","119,906,840.18","125,214,541.99","156,327,764.39","143,506,350.16","145,583,484.62","101,369,619.29"
预付款项,"4,888,153.86","9,473,946.38","6,293,694.36","1,326,631.47","22,133,036.83","32,107,681.65","7,165,575.87","6,813,905.71","5,432,354.31","4,650,144.49","4,725,404.06","4,315,217.60","4,796,614.14","4,557,661.97","7,182,209.56","7,983,729.28","5,961,138.20","7,516,613.85","7,616,828.62","2,924,201.07","8,228,055.78","6,224,078.39","3,090,202.91","2,399,743.36","4,071,745.60","3,902,430.53","9,727,402.49","7,218,106.07","4,819,785.42","24,594,064.68"
预收款项,,"347,169.81","605,314.42",,"440,278.28","271,759.67","898,353.09","859,248.25","558,238.60","546,085.92","714,105.64","791,424.30","395,236.81","468,658.23","993,990.12","1,465,965.09","965,665.18","1,000,061.13","1,350,272.71","1,871,695.09","2,701,736.83","2,054,128.80","2,015,080.51","3,081,268.21","2,635,505.46","4,473,368.80","6,226,151.56","7,458,817.28","8,215,268.62","7,151,258.50"
