科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"111,638,861.57","208,708,234.00","317,591,790.57","69,998,231.29","139,993,444.61","200,995,160.39","313,368,199.04","59,691,000.01","151,813,496.79","235,945,053.69","368,084,496.92","98,333,389.83","225,585,497.01","368,538,762.32","544,382,950.79","110,998,942.93","284,074,893.48","490,347,531.85","684,579,887.62","183,019,783.14","367,590,266.89","654,183,204.83","834,392,630.00","179,844,338.29","404,583,694.27","656,139,482.68","820,004,564.46","240,418,835.44","500,650,352.34","869,350,375.98"
取得子公司及其他营业单位支付的现金净额,,"2,351,622.88",,,,,,,,,,,,,,,,,,,,,,,,,"91,848,889.21",,,
收到的税费返还,"327,865.89","313,277.91","1,872,785.07","2,787,464.70","3,366,398.74","4,797,339.70","4,797,055.63","3,138,657.66","4,098,331.49","7,570,398.46","9,170,932.26","2,681,743.39","5,590,165.29","10,114,593.12","13,530,656.11","5,301,864.29",,"18,054,155.67","23,855,709.09","6,571,727.44","12,146,068.19","20,640,478.58","22,268,379.47","983,009.39","3,326,222.53","4,474,630.81","6,065,396.10","7,391,678.45","7,403,330.60","9,755,976.01"
支付其他与投资活动有关的现金,,"2,121,604.49",,,,,,"105,285.86",,,,"4,777.60",,,,501.65,,,"31,000,000.00",,,,"8,000,000.00",,,,"422,334,130.00",,"227,397,000.00","240,397,000.00"
收到其他与经营活动有关的现金,"817,382.91","1,944,731.62","2,717,367.14","248,586.07","491,734.00","3,625,858.83","5,456,393.11","1,852,795.82","9,712,768.18","11,878,866.68","10,608,047.18","2,939,831.78","9,930,488.63","18,011,581.70","37,573,619.94","8,558,087.26","23,989,974.06","18,748,114.96","22,527,447.80","4,675,258.04","8,975,293.30","11,997,784.96","5,700,256.18","4,594,585.35","84,134,625.23","87,894,470.28","101,989,976.58","125,298,141.87","131,337,987.09","140,029,210.25"
投资活动现金流出小计,"5,823,223.96","18,405,194.18","147,099,780.91","2,305,266.71","17,006,347.63","19,251,518.87","27,165,510.35","6,609,234.88","23,820,001.95","38,059,570.94","74,594,154.14","11,022,843.46","64,330,121.51","120,175,586.63","200,989,520.17","79,048,997.19","109,992,417.57","154,707,745.64","269,501,364.42","31,260,080.54","53,206,313.90","71,175,435.38","88,238,048.06","112,138,098.94","161,617,092.26","205,858,335.63","700,919,624.02","38,313,456.24","306,758,332.47","401,263,528.28"
经营活动现金流入小计,"112,784,110.37","210,966,243.53","322,181,942.78","73,034,282.06","143,851,577.35","209,418,358.92","323,621,647.78","64,682,453.49","165,624,596.46","255,394,318.83","387,863,476.36","103,954,965.00","241,106,150.93","396,664,937.14","595,487,226.84","124,858,894.48","308,064,867.54","527,149,802.48","730,963,044.51","194,266,768.62","388,711,628.38","686,821,468.37","862,361,265.65","185,421,933.03","492,044,542.03","748,508,583.77","928,059,937.14","373,108,655.76","639,391,670.03","1,019,135,562.24"
投资活动产生的现金流量净额,"-5,762,223.96","-18,349,694.18","-97,001,973.95","-2,305,266.71","-16,996,347.63","-19,241,518.87","-27,165,510.35","-6,609,234.88","-23,648,442.00","-37,883,362.99","-74,594,154.14","-11,022,743.46","-64,306,532.47","-119,529,422.06","-200,867,314.17","-77,601,265.04","-108,551,806.56","-153,217,134.63","-266,038,710.60","-31,260,080.54","-36,473,156.15","-36,392,969.64","-25,139,184.97","-91,860,538.05","-136,113,270.68","-177,027,911.73","-312,684,026.29","-37,968,610.07","-56,616,981.50","-111,443,265.47"
购买商品、接受劳务支付的现金,"72,237,104.01","137,251,345.44","267,520,114.19","40,446,384.18","86,812,337.68","136,350,015.03","237,962,276.67","28,436,882.74","67,442,890.68","147,112,924.53","231,620,733.66","69,183,064.31","131,696,703.71","196,280,118.28","294,737,978.84","46,903,921.43","159,801,541.77","231,221,355.40","352,167,453.22","172,513,060.29","288,468,749.83","507,243,806.95","654,557,029.43","157,930,233.35","285,960,648.92","485,575,756.20","653,217,218.65","189,370,662.01","355,338,842.39","573,843,136.13"
吸收投资收到的现金,,"63,894,203.61",,,,"272,882,065.28","266,452,252.09",,,,"15,186,300.00",,,"3,425,471.00","3,425,471.00","490,000.00","490,000.00","490,000.00","14,402,021.73",,,,"12,436,332.60","198,300,000.00","197,700,000.00","337,726,166.60","337,652,443.09",,"1,000,000.00","1,000,000.00"
支付给职工以及为职工支付的现金,"10,280,146.10","12,146,844.39","25,467,476.57","7,794,477.85","15,278,888.60","26,422,399.15","42,486,093.60","10,034,295.88","22,008,465.23","35,840,412.71","54,487,443.88","16,596,786.00","36,755,485.31","60,021,697.26","87,750,839.23","26,183,098.92","58,311,899.36","90,329,969.21","134,444,985.67","31,900,859.22","65,213,352.05","98,346,043.36","129,228,516.35","35,213,011.69","74,804,047.85","116,035,891.24","160,236,612.74","50,847,883.32","102,832,792.17","155,365,806.25"
取得借款收到的现金,,,"35,841,021.08","6,742,048.39","17,919,355.93","17,919,355.93","17,919,355.93",,,,,,,"21,684,421.90","21,684,421.90",,"39,000,000.00","53,000,000.00","100,521,980.93","30,000,000.00","64,672,876.11","78,669,876.11","101,809,877.99","10,000,000.00","10,000,000.00","31,483,696.97","37,588,550.67","30,914,000.00","89,100,000.00","125,100,000.00"
支付的各项税费,"4,016,110.55","6,189,276.15","10,300,657.82","4,956,988.23","4,861,601.62","11,641,887.85","12,913,323.18","4,590,674.10","13,852,316.10","20,064,258.04","21,189,547.83","8,024,183.20","18,764,607.25","27,620,648.77","33,518,451.40","15,147,808.49","36,035,699.97","41,193,347.96","39,605,750.07","8,068,500.41","12,086,302.73","35,174,688.41","26,590,431.63","9,026,919.38","20,192,052.51","30,761,902.17","36,380,713.78","5,695,470.66","29,349,005.93","41,687,343.26"
收到其他与筹资活动有关的现金,,,"22,353,838.21",,,,"2,234,500.00",,"17,846,912.00","18,651,753.51","17,846,912.00",,,,"150,000.00",,"51,818,138.30","71,292,025.93",,"43,568,353.58","71,755,361.22","118,757,661.59","165,296,951.21","19,996,890.98","39,338,154.27","82,129,846.92","106,590,231.25","37,316,741.35","87,048,674.69","166,398,785.90"
支付其他与经营活动有关的现金,"14,180,026.04","15,219,214.16","11,245,253.51","7,610,041.91","15,537,765.88","22,931,986.72","21,305,739.23","5,934,155.63","17,117,999.09","24,934,781.29","25,469,811.97","8,820,605.42","20,673,860.41","36,843,511.68","46,010,682.74","14,564,621.00","32,208,956.10","49,164,659.95","52,970,533.70","17,701,914.64","31,655,119.88","48,711,421.55","32,408,866.37","23,343,921.07","63,643,568.26","88,202,811.08","76,357,699.86","21,877,197.46","53,746,556.04","118,711,909.20"
筹资活动现金流入小计,,"63,894,203.61","58,194,859.29","6,742,048.39","17,919,355.93","290,801,421.21","286,606,108.02",,"17,846,912.00","18,651,753.51","33,033,212.00",,,"25,109,892.90","25,259,892.90","490,000.00","91,308,138.30","124,782,025.93","114,924,002.66","73,568,353.58","136,428,237.33","197,427,537.70","279,543,161.80","228,296,890.98","247,038,154.27","451,339,710.49","481,831,225.01","68,230,741.35","177,148,674.69","292,498,785.90"
经营活动现金流出小计,"100,713,386.70","170,806,680.14","314,533,502.09","60,807,892.17","122,490,593.78","197,346,288.75","314,667,432.68","48,996,008.35","120,421,671.10","227,952,376.57","332,767,537.34","102,624,638.93","207,890,656.68","320,765,975.99","462,017,952.21","102,799,449.84","286,358,097.20","411,909,332.52","579,188,722.66","230,184,334.56","397,423,524.49","689,475,960.27","842,784,843.78","225,514,085.49","444,600,317.54","720,576,360.69","926,192,245.03","267,791,213.45","541,267,196.53","889,608,194.84"
偿还债务支付的现金,,,"7,628,284.65",,,"7,200,000.00","14,306,223.57","6,720,000.00","17,846,912.00","17,846,912.00","31,007,720.16",,,,,"21,888,125.16","21,888,125.16","21,888,125.16","44,175,335.78","500,000.00","44,469,920.00","77,969,920.00","123,228,021.15","24,573,078.26","48,573,078.26","70,573,078.26","72,573,078.26","10,000,000.00","10,000,000.00","37,588,550.67"
经营活动产生的现金流量净额,"12,070,723.67","40,159,563.39","7,648,440.69","12,226,389.89","21,360,983.57","12,072,070.17","8,954,215.10","15,686,445.14","45,202,925.36","27,441,942.26","55,095,939.02","1,330,326.07","33,215,494.25","75,898,961.15","133,469,274.63","22,059,444.64","21,706,770.34","115,240,469.96","151,774,321.85","-35,917,565.94","-8,711,896.11","-2,654,491.90","19,576,421.87","-40,092,152.46","47,444,224.49","27,932,223.08","1,867,692.11","105,317,442.31","98,124,473.50","129,527,367.40"
