科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"192,669,752.50","125,060,768.23","283,509,102.60","177,516,013.80","290,520,000.22","484,746,321.69","223,449,531.84","357,285,916.27","408,455,274.45","520,598,519.00","135,764,088.37","249,932,792.39","372,671,811.49","549,976,316.74","354,863,910.33","650,375,818.27","1,004,138,016.64","1,401,204,779.42","475,762,148.42","976,426,024.98","1,903,274,343.10","3,075,385,326.25","1,029,616,732.59","2,272,795,333.69","3,483,661,580.19","5,254,740,867.46","1,163,630,368.83","2,455,431,783.80","3,870,946,794.16","5,189,150,581.63","1,123,784,453.89"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,"-102,813,158.52",,,,,,"-28,751,243.78","-28,751,243.78","163,886,296.96","-771,925.29","-771,925.29","-771,925.29",,,,,,
收到的税费返还,,,,"27,675,952.18","37,532,020.62","43,308,920.45","7,976,032.08","13,532,913.91","18,786,186.38","29,885,178.50","11,463,209.81","13,687,241.45","20,035,259.46","17,756,439.71","3,326,658.73","5,124,994.18","5,206,304.55","2,861,361.70","3,066,984.53","15,312,396.95","26,582,023.39","40,336,478.18","22,094,696.36","31,686,700.23","43,206,956.27","57,435,452.91","11,174,763.49","25,530,668.33","37,349,308.95","50,432,190.98","4,085,476.31"
支付其他与投资活动有关的现金,,,,"310,145.30","2,560,145.30",,,,,,,,,,,,,,,,,,,,,,,,"37,002,500.00",,"35,142,660.00"
收到其他与经营活动有关的现金,"23,683,936.52","19,410,482.48","4,870,537.79","7,174,545.57","7,421,677.14","9,946,488.28","2,568,368.99","6,478,929.11","9,514,012.37","20,425,968.30","2,204,277.16","5,938,423.06","14,233,715.39","47,987,254.14","4,662,387.76","11,700,825.20","18,214,391.79","20,512,726.97","4,480,091.19","7,405,056.77","30,665,845.28","67,409,806.60","-7,575,165.56","19,729,640.96","52,399,942.35","63,562,604.14","47,042,609.60","28,581,090.91","57,854,924.74","54,454,148.77","32,944,386.93"
投资活动现金流出小计,"12,727,773.46","17,092,587.56","179,824,802.45","35,068,595.35","71,690,431.56","151,496,467.10","76,835,939.05","108,893,746.22","141,175,782.81","199,439,893.22","10,802,156.60","47,025,408.31","72,407,882.52","88,477,801.66","63,735,888.92","166,214,882.52","208,058,396.10","415,818,008.22","75,972,338.07","75,802,560.79","178,979,403.46","487,258,180.84","242,572,829.03","330,430,269.81","428,426,233.29","790,140,502.08","190,447,728.36","365,151,231.93","572,952,294.24","855,338,102.80","217,917,639.81"
经营活动现金流入小计,"216,353,689.02","144,471,250.71","288,379,640.39","212,366,511.55","335,473,697.98","538,001,730.42","233,993,932.91","377,297,759.29","436,755,473.20","570,909,665.80","149,431,575.34","269,558,456.90","406,940,786.34","615,720,010.59","362,852,956.82","667,201,637.65","1,027,558,712.98","1,424,578,868.09","483,309,224.14","999,143,478.70","1,960,522,211.77","3,183,131,611.03","1,044,136,263.39","2,324,211,674.88","3,579,268,478.81","5,375,738,924.51","1,221,847,741.92","2,509,543,543.04","3,966,151,027.85","5,294,036,921.38","1,160,814,317.13"
投资活动产生的现金流量净额,"-12,727,773.46","-17,007,587.56","-179,404,802.45","-35,068,595.35","-71,690,431.56","-151,438,667.10","-76,835,939.05","-108,893,746.22","-141,148,582.81","-199,412,693.22","-10,802,156.60","-46,703,208.31","-71,996,463.17","-88,043,982.31","-63,735,888.92","-166,214,882.52","-207,977,596.10","-415,727,227.64","-58,972,338.07","-58,802,560.79","-161,979,403.46","-400,214,982.54","-222,534,689.53","-300,146,000.91","-397,832,064.39","-748,413,430.47","-40,217,580.63","-207,339,292.05","-414,900,354.36","-638,261,004.66","-146,766,899.35"
购买商品、接受劳务支付的现金,"132,351,478.24","69,799,669.73","181,147,368.11","151,852,828.51","231,364,875.16","327,914,420.91","131,481,546.46","213,021,061.89","284,375,469.48","359,325,240.47","66,005,180.68","150,844,299.93","237,037,326.89","364,531,861.83","306,870,909.74","565,708,168.85","885,016,290.45","1,187,498,282.85","409,592,330.63","805,446,804.33","1,783,927,906.98","2,616,615,127.53","807,421,374.43","1,660,817,269.12","2,639,928,221.37","3,955,251,949.19","1,089,954,379.78","2,253,518,537.76","3,390,888,927.80","4,168,494,601.78","919,128,792.59"
吸收投资收到的现金,,"50,000,000.00","67,522,665.06",,"481,373,961.76","481,373,961.76",,,,,,"24,500,000.00","24,500,000.00","56,840,000.00","277,869,988.19","277,869,988.19","277,869,988.19","277,869,988.19",,,,"386,600,000.00",,,,,"59,724,000.00","59,724,000.00","59,724,000.00","120,353,450.00",
支付给职工以及为职工支付的现金,"37,360,080.84","24,399,655.04","50,014,543.91","53,546,611.57","85,769,431.16","125,762,657.68","40,413,292.42","84,854,173.41","113,201,264.37","150,646,533.97","32,251,437.96","63,736,088.92","92,124,176.80","130,399,038.87","75,447,718.98","141,890,619.60","215,887,559.41","279,104,671.93","56,002,735.28","117,026,636.65","262,312,056.69","435,158,630.45","153,961,771.38","339,628,324.78","541,403,325.19","798,265,552.64","230,800,359.72","471,854,702.88","710,677,166.74","966,247,417.71","193,833,028.43"
取得借款收到的现金,"140,000,000.00","75,000,000.00","145,163,178.80","206,233,885.00","325,699,377.00","434,801,347.70","22,554,358.00","102,492,808.00","118,636,068.00","214,544,968.00","11,884,570.00","65,895,706.00","69,663,094.73","148,086,014.00","136,309,638.10","380,023,547.24","516,550,762.81","740,818,363.67","123,354,899.11","318,878,747.42","778,906,561.44","1,211,730,202.42","463,174,883.26","841,526,846.77","1,414,659,808.69","2,185,999,756.69","546,414,324.55","1,677,793,635.84","2,406,445,635.84","3,233,786,270.72","747,415,665.00"
支付的各项税费,"3,540,176.32","8,441,694.07","13,658,193.05","8,653,029.55","13,701,649.53","16,781,760.21","5,848,586.90","11,746,642.96","15,634,000.04","10,726,771.99","1,492,299.88","4,750,986.20","6,164,506.67","14,039,286.87","14,347,223.85","25,625,641.18","33,878,136.06","44,232,131.30","10,865,513.77","27,471,636.55","54,265,280.47","79,855,513.02","30,863,202.93","72,252,611.25","94,912,809.30","114,208,498.75","32,408,297.40","76,082,346.37","111,582,657.49","154,799,972.53","20,904,057.01"
收到其他与筹资活动有关的现金,,"25,000,000.00",,,,,,,,,,,,,"30,013,973.74","52,800,000.00","75,242,698.54","75,240,000.00","42,000,000.00","42,000,000.00","58,500,000.00",,"500,000.00",,,"15,437,800.00","64,595,500.00","32,332,605.99","56,301,736.98","49,305,500.00","21,280,000.00"
支付其他与经营活动有关的现金,"9,422,905.79","4,865,336.78","18,199,958.38","17,874,794.11","24,354,366.66","22,241,834.85","6,825,677.73","16,921,221.33","25,906,863.57","28,898,183.82","8,126,149.52","15,204,939.93","40,310,223.76","29,139,494.22","44,072,654.84","57,728,496.22","66,027,370.96","75,250,158.86","16,568,940.04","40,926,266.92","59,489,061.37","93,429,910.20","44,409,650.71","68,318,613.02","155,872,158.47","202,429,450.09","36,582,709.17","79,798,575.72","128,409,744.82","225,933,034.87","48,221,799.05"
筹资活动现金流入小计,"140,000,000.00","150,000,000.00","212,685,843.86","206,233,885.00","807,073,338.76","916,175,309.46","22,554,358.00","102,492,808.00","118,636,068.00","214,544,968.00","11,884,570.00","90,395,706.00","94,163,094.73","204,926,014.00","444,193,600.03","710,693,535.43","869,663,449.54","1,093,928,351.86","165,354,899.11","360,878,747.42","837,406,561.44","1,598,330,202.42","463,674,883.26","841,526,846.77","1,414,659,808.69","2,201,437,556.69","670,733,824.55","1,769,850,241.83","2,522,471,372.82","3,403,445,220.72","768,695,665.00"
