科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"40,133,671.18","54,462,465.31","101,159,052.55","67,377,872.64","108,970,964.06","146,944,345.96","47,257,432.33","100,893,624.73","147,645,255.90","215,733,309.34","63,088,345.99","137,515,273.44","196,327,000.69","266,418,565.23","47,265,117.49","148,015,045.78","256,867,135.64","374,884,396.83","85,482,619.11","242,159,142.14","408,765,691.82","532,683,886.78","106,962,227.36","283,743,603.50","448,014,511.34","683,707,743.20","210,243,208.32","544,614,941.22","898,572,574.67"
二、营业利润,"11,254,892.13","16,112,880.04","32,849,283.72","20,006,101.17","34,022,341.89","43,509,878.16","14,174,111.60","33,743,370.00","47,623,656.31","71,707,121.42","17,539,155.88","41,415,000.80","58,780,748.20","76,851,180.80","9,271,273.52","29,939,306.04","53,204,879.09","78,425,950.97","9,447,508.99","49,465,236.33","85,245,861.26","89,403,287.27","14,145,551.02","61,494,557.55","108,325,933.90","150,400,917.60","51,451,587.71","137,448,113.84","203,836,188.36"
减:营业成本,"21,913,468.81","27,708,975.00","47,973,588.07","34,463,427.10","55,045,381.02","73,931,923.39","25,363,656.44","53,905,673.42","79,126,775.68","114,061,508.77","33,791,675.68","70,605,236.88","104,645,582.92","146,676,455.73","29,384,903.54","92,994,285.05","158,861,388.57","229,866,175.07","53,674,624.40","142,171,288.64","241,226,400.75","329,266,880.15","66,320,719.08","170,333,553.58","262,493,613.75","426,389,399.34","125,612,716.37","316,551,926.58","541,613,793.03"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,"47,837.11","327,576.84","865,861.67","919,190.44","225,103.59","665,265.86","902,646.86","1,592,856.07","637,530.30","1,148,816.34","1,601,235.29","2,260,025.64","295,999.77","909,825.86","1,314,270.17","2,526,471.81","391,647.33","1,209,765.04","2,462,641.84","4,216,368.32","1,203,495.26","2,028,119.75","2,740,881.32","8,290,190.74","3,694,818.77","7,924,247.01","11,967,853.37"
营业外收入,"701,000.00","391,484.47","2,711,160.87","837,880.50","3,055,757.42","6,359,406.94","346,700.17","607,229.40","1,129,708.63","5,817,700.00","272,279.23","761,101.70","4,184,056.30","15,510,759.85","2,064,227.75","3,358,305.50","3,904,492.15","9,116,214.60","1,590,291.08","6,680,806.55","11,763,945.25","20,939,004.20","4,714,086.41","10,196,310.30","14,625,063.11","18,862,661.58","3,572,606.94","4,801,994.25","13,282,567.93"
销售费用,"2,169,754.41","2,452,354.18","5,080,903.23","2,467,179.33","3,895,096.33","5,511,358.00","1,659,114.59","4,127,512.46","6,755,948.26","8,808,203.58","1,719,877.19","3,905,945.26","5,507,653.22","8,143,835.64","1,147,490.36","3,433,808.41","5,429,530.17","8,429,300.46","4,507,992.46","10,791,045.94","19,359,968.99","30,648,337.46","5,661,370.20","13,021,724.28","18,264,825.52","26,290,705.65","6,515,011.96","15,968,420.21","26,513,178.03"
减:营业外支出,"27,825.77","8,000.00","388,741.10","16,944.83","17,162.58","17,162.58",,"138,872.25","139,712.25","151,166.38","5,456.61","84,041.01","96,678.11","770,657.40",,370.00,785.80,"192,580.72",,"8,742.60","11,941.91","192,017.15","218,263.49","1,779,203.56","1,838,060.62","2,169,556.19","50,124.93","203,547.84","210,806.14"
管理费用,"4,465,059.99","7,214,850.12","11,507,003.20","6,456,216.73","9,796,233.63","16,640,960.66","4,525,032.64","9,503,476.01","14,988,724.56","22,446,553.59","9,273,281.40","19,672,175.37","29,241,056.24","37,488,339.01","8,885,947.94","22,256,978.04","38,116,091.46","57,028,120.18","17,549,259.45","35,667,443.01","54,931,742.38","72,485,579.89","19,286,257.16","42,223,828.37","65,418,282.42","87,416,360.39","25,384,327.95","64,526,012.90","103,059,458.75"
其中:非流动资产处置净损失,,,"3,024.00","16,944.83",,"17,162.58",,"136,195.69","139,712.25","148,489.82",774.96,"83,876.80","96,513.90","765,512.54",,,785.80,"192,580.72",,"8,742.60","11,941.91","132,017.15","218,263.49","230,636.02","289,293.08","421,514.61",,"53,272.30","60,524.37"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"365,294.04","899,268.64","3,295,959.88","2,565,415.82","4,605,195.98","6,223,760.93","618,924.03","-1,884,021.16","-2,505,659.32","-3,858,126.33","-181,602.93","-222,051.28","-4,498,004.96","-6,673,399.45","-2,082,082.69","-2,400,310.34","-2,913,997.84","-4,339,218.03","-503,057.60","-484,372.94","-1,283,023.24","268,999.87","1,972,546.23","-2,640,415.68","-8,090,749.06","-12,675,645.61","-746,755.67","2,253,314.22","9,151,224.00"
三、利润总额,"11,928,066.36","16,496,364.51","35,171,703.49","20,827,036.84","37,060,936.73","49,852,122.52","14,520,811.77","34,211,727.15","48,613,652.69","77,373,655.04","17,805,978.50","42,092,061.49","62,868,126.39","91,591,283.25","11,335,501.27","33,297,241.54","57,108,585.44","87,349,584.85","11,037,800.07","56,137,300.28","96,997,864.60","110,150,274.32","18,641,373.94","69,911,664.29","121,112,936.39","167,094,022.99","54,974,069.72","142,046,560.25","216,907,950.15"
资产减值损失,"-34,798.20","402,904.00","404,477.34","1,091,955.65","740,853.54","207,274.38","691,489.44","832,348.14","753,163.55","975,192.24","308,428.47","990,150.07","1,048,729.78","1,672,127.86","361,585.05","881,152.72","2,854,974.02","2,947,596.37","414,644.08","3,338,736.12","6,822,099.84","8,060,348.76","-132,397.43","1,749,628.98","4,323,399.98","4,052,170.76","30,699.64","3,873,247.77","6,941,248.03"
减:所得税,"4,349.78","1,903,035.22","3,909,779.24","2,603,379.60","4,725,223.78","5,786,038.15","2,281,845.18","5,256,611.29","7,405,022.44","11,135,270.28","2,717,161.05","5,861,457.89","8,918,357.28","13,000,955.64","1,551,928.42","4,870,235.20","9,281,608.81","14,965,815.30","2,187,347.99","9,993,438.94","16,613,315.48","11,856,030.06","2,561,718.50","9,230,987.65","16,447,391.13","22,503,774.26","7,588,014.81","20,156,163.83","29,559,466.51"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,"11,279.15",,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,"328,766.67",,,,,,,,,,,,,,,,,,,,"1,665,914.94","1,495,314.16","4,467,393.33","5,461,676.49","6,445,076.52","1,699,198.41","3,930,341.31","4,510,368.90"
四、净利润,"11,923,716.58","14,593,329.29","31,261,924.25","18,223,657.24","32,335,712.95","44,066,084.37","12,238,966.59","28,955,115.86","41,208,630.25","66,238,384.76","15,088,817.45","36,230,603.60","53,949,769.11","78,590,327.61","9,783,572.85","28,427,006.34","47,826,976.63","72,383,769.55","8,850,452.08","46,143,861.34","80,384,549.12","98,294,244.26","16,079,655.44","60,680,676.64","104,665,545.26","144,590,248.73","47,386,054.91","121,890,396.42","187,348,483.64"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,"1,495,314.16","4,467,393.33",,,"1,699,198.41","3,930,341.31","4,510,368.90"
归属于母公司所有者的净利润,"11,923,716.58","14,593,329.29","31,261,924.25","18,223,657.24","32,335,712.95","44,066,084.37","12,238,966.59","28,955,115.86","41,208,630.25","66,238,384.76","15,088,817.45","36,230,603.60","53,949,769.11","78,590,327.61","9,783,965.75","26,438,868.32","43,505,892.11","63,302,897.96","8,926,272.13","39,855,820.52","69,764,528.31","85,922,268.99","15,107,164.68","54,239,365.11","92,858,932.60","130,396,633.29","44,387,739.13","113,303,612.81","173,322,367.47"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,-392.90,"1,988,138.02","4,321,084.52","9,080,871.59","-75,820.05","6,288,040.82","10,620,020.81","12,371,975.27","972,490.76","6,441,311.53","11,806,612.66","14,193,615.44","2,998,315.78","8,586,783.61","14,026,116.17"
