科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"42,377,111.84","101,402,419.06","178,949,818.91","781,478,276.26","755,259,029.81","761,200,825.75","655,301,156.15","591,068,531.73","662,192,619.79","582,094,253.63","555,831,129.00","532,799,287.71","538,420,861.36","700,012,018.82","639,715,145.40","675,362,113.39","515,486,252.27","470,487,780.63","353,904,390.98","145,686,626.83","548,287,399.21","174,769,560.69","215,787,101.11","120,691,054.87","151,652,334.70","100,598,534.60","323,441,788.60","929,216,388.58"
短期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,000,000.00"
交易性金融资产,"39,420.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"163,101.10",,"103,504.50",,"300,000.00","3,110,360.00","2,706,692.40","2,284,379.09","6,376,129.21","2,529,117.78","3,648,494.02","4,227,882.00","24,385,944.55","18,377,739.17","17,721,738.15","24,749,974.18","43,980,563.34","26,462,137.72","6,727,004.97","10,247,033.34","25,529,349.78","6,872,644.59","20,965,313.81","15,359,359.51","37,501,981.82","49,616,186.80"
应付票据,,,,,"1,750,000.00","1,750,000.00",,,,,,,"1,500,000.00","1,000,000.00",,,,,,,,,,,,,,
应收账款,"5,981,771.51","8,842,400.45","6,328,690.12","19,364,894.81","29,961,120.27","34,853,080.56","13,900,412.74","39,604,413.34","44,484,427.47","60,647,634.00","25,504,397.82","54,734,949.72","72,700,439.00","95,838,465.53","82,512,803.25","106,469,096.14","118,221,529.37","114,726,694.36","78,666,684.79","119,905,370.17","110,742,650.08","130,495,148.19","152,964,377.12","190,389,823.85","171,791,460.14","185,516,866.00","149,991,810.02","254,138,756.79"
应付账款,"3,965,397.01","4,960,590.49","3,230,160.81","7,705,827.26","8,664,030.98","10,472,929.61","8,024,723.80","18,456,754.85","29,401,093.53","33,973,006.37","19,400,271.59","37,903,167.05","37,326,132.48","16,380,025.14","27,753,545.03","29,844,161.91","58,405,899.56","41,683,150.84","33,593,424.04","44,890,356.67","50,813,880.42","44,432,491.10","60,146,813.20","46,011,074.55","65,243,020.10","57,908,533.22","63,960,690.92","78,755,587.84"
预付款项,"1,997,770.49","3,757,062.44","5,509,371.36","5,867,965.40","7,705,661.03","8,568,762.25","6,584,212.14","19,402,680.35","9,099,036.25","10,695,370.63","5,166,835.79","9,271,620.12","9,000,289.77","7,251,878.08","8,032,001.98","16,867,322.23","21,198,991.07","18,561,448.91","9,752,680.91","10,049,702.44","13,652,476.55","9,919,425.41","13,561,384.63","11,797,711.86","14,079,702.97","13,174,292.15","6,772,024.18","15,160,182.20"
预收款项,"3,582,832.86","18,093,156.51","24,681,283.52","7,605,705.40","17,810,749.84","21,694,347.47","26,088,602.78","19,064,723.51","15,634,029.07","25,873,655.35","8,426,159.51","12,088,863.27","10,607,815.00","4,872,650.26","2,664,374.15","7,222,809.45","5,119,475.67","8,159,622.47","7,466,493.62","6,080,986.50","9,713,627.74","13,272,644.33","15,713,824.77","15,031,552.72","32,170,086.45","10,597,955.72","33,488,784.95","32,028,038.38"
其他应收款,"1,005,394.86","927,872.68","3,359,719.29","2,439,210.59","2,100,543.42","9,261,142.86","1,930,489.96","3,100,108.79","3,586,648.58","6,414,897.09","1,738,377.74","3,737,362.61","4,841,354.45","5,716,084.89","2,941,118.26","5,684,921.46","7,566,009.07","8,502,015.89","4,828,081.80","6,764,345.88","7,608,547.88","28,268,475.49","4,855,150.61","9,466,996.56","7,559,495.96","7,932,085.29","3,904,012.90","7,832,707.34"
