科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"76,145,587.29","184,873,788.92","247,604,061.37","65,349,854.71","151,085,444.26","249,539,639.90","374,169,572.37","77,546,969.82","187,492,698.46","322,552,611.14","454,282,948.32","90,074,321.70","229,742,671.42","362,946,218.33","515,719,368.70","125,235,797.58","290,748,583.28","488,773,475.28","666,727,780.68","179,047,977.76","386,122,170.98","613,081,747.57","844,666,664.94","218,911,858.24","525,072,172.67","784,379,665.21"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"2,962,359.86","4,075,725.74","621,495.48","2,019,722.64","2,019,722.64","2,019,722.64","10,107,020.44",,,"9,688,757.16","18,617,562.57","1,434,862.04","1,942,551.20","13,984,790.62","24,967,173.69",,,"15,610,895.76","20,630,390.77","20,675,371.02","20,675,371.02","39,920,942.56","55,410,673.20",,,"37,515,108.23"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,601.65,601.65,601.65,,,,,,,,
收到其他与经营活动有关的现金,"15,793,563.24","8,520,891.75","8,421,314.71","2,764,775.95","7,298,603.70","9,709,962.80","7,895,971.82","2,837,203.46","21,121,403.94","21,925,878.74","23,880,506.23","5,852,603.66","15,001,652.30","15,188,040.07","22,463,100.36","1,380,934.49","25,074,607.04","15,823,216.94","20,440,626.02","5,124,357.23","11,602,815.46","14,817,024.23","16,589,828.73","60,481,143.62","65,295,866.43","67,948,122.54"
投资活动现金流出小计,"9,663,823.92","4,494,207.33","8,235,696.83","2,142,408.06","8,809,152.49","25,785,187.59","193,123,424.13","118,275,204.07","131,883,338.08","353,012,613.88","456,468,071.69","97,600,421.62","171,484,920.63","187,710,939.94","400,231,364.69","153,379,142.35","466,240,134.17","904,291,555.18","1,455,750,085.51","568,174,245.33","574,997,974.46","1,065,579,559.62","1,261,709,017.78","152,736,283.35","355,899,700.74","506,227,307.83"
经营活动现金流入小计,"94,901,510.39","197,470,406.41","256,646,871.56","70,134,353.30","160,403,770.60","261,269,325.34","392,172,564.63","80,384,173.28","208,614,102.40","354,167,247.04","496,781,017.12","97,361,787.40","246,686,874.92","392,119,049.02","563,149,642.75","126,616,732.07","315,823,190.32","520,207,587.98","707,798,797.47","204,847,706.01","418,400,357.46","667,819,714.36","916,667,166.87","279,393,001.86","590,368,039.10","889,842,895.98"
投资活动产生的现金流量净额,"-9,663,823.92","-3,324,756.44","-8,235,696.83","-2,142,408.06","-8,809,152.49","-25,785,187.59","-187,298,363.98","-60,930,395.86","51,213,892.35","-69,405,794.41","-172,861,252.22","-33,636,268.84","13,815,012.96","126,442,882.90","-12,762,264.07","14,158,631.62","-136,690,204.72","-220,590,163.02","-374,040,547.48","-174,834,782.32","182,671,917.38","-272,871,649.42","-302,534,997.99","-122,213,653.21","-52,348,433.16","-203,176,040.25"
购买商品、接受劳务支付的现金,"21,588,517.57","70,805,692.29","74,219,620.86","16,532,322.10","42,422,143.23","75,308,684.04","120,222,535.02","20,101,647.55","62,113,869.43","118,493,429.67","160,867,476.77","28,499,860.35","92,728,536.94","146,259,168.18","168,876,954.52","37,153,089.02","83,236,032.30","160,222,163.57","210,544,158.81","45,558,744.17","99,762,331.03","156,318,168.19","214,318,563.30","73,059,298.36","146,641,930.54","226,754,713.08"
吸收投资收到的现金,,"9,000,000.00",,"588,000,000.00","588,000,000.00","588,000,000.00","588,000,000.00",,,,"25,102,720.00",,,"10,704,160.00","10,072,591.00","15,454,258.07","27,537,921.07","32,538,636.29","32,315,117.81","-9,413,795.34","-9,413,795.34","-9,413,795.34",,,"-8,510,173.49","10,617,426.51"
