科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"90,373,718.04","123,547,125.31","162,079,174.21","51,058,602.99","85,337,060.13","106,872,771.62","116,659,627.85","17,668,036.47","37,402,861.12","60,869,092.03","90,526,150.40","38,360,695.85","58,185,324.15","80,071,890.51","118,746,206.93","19,188,020.43","43,076,710.47","69,286,288.53","121,409,937.40","10,325,244.47","56,687,969.87","82,639,681.04","131,620,384.91","14,564,576.12","70,587,680.36","1,139,473,206.22"
二、营业利润,"35,165,243.91","48,710,713.64","58,135,526.44","17,896,294.95","26,373,084.75","30,014,683.58","31,297,098.44","3,216,952.29","7,388,673.90","7,404,370.06","1,856,948.10","2,345,564.04","-6,312,809.03","-13,946,449.73","2,150,922.74","-4,178,838.06","-5,621,602.12","-6,336,888.28","2,525,295.66","-6,822,315.51","-6,855,293.77","-7,527,675.04","-2,413,803.22","-5,198,807.36","3,637,523.62","146,899,777.81"
减:营业成本,"45,395,266.79","60,789,849.99","80,740,715.14","25,913,033.67","42,993,768.43","53,942,131.37","59,862,062.58","9,447,533.49","20,784,980.80","34,456,050.67","53,853,129.82","25,231,973.04","39,125,540.70","54,847,012.18","80,199,977.80","16,146,460.39","30,937,604.91","50,473,709.26","88,449,923.36","6,930,456.04","40,863,950.05","59,495,451.08","91,398,229.46","9,961,721.83","46,622,762.06","828,135,891.46"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,"62,985.41","1,400,486.77","463,320.92","795,715.62","1,039,721.84","1,099,027.00","92,024.72","260,277.60","401,319.42","569,647.62","552,195.75","660,731.72","663,030.88","825,079.94","144,877.56","217,696.19","246,089.59","1,070,173.16","31,861.19","751,970.98","803,925.09","2,748,156.46","510,994.21","1,438,813.06","3,685,872.72"
营业外收入,"275,000.00","387,910.00","1,563,160.07","3,951.00","158,903.00","3,943,525.00","2,346,471.77","12,997,690.44","13,067,332.44","13,994,882.94","14,355,195.29","3,109,615.56","3,400,463.28","18,074,049.86","6,685,601.28","345,578.00","516,740.00","1,016,345.88","3,847,551.88","348,165.00","13,175,878.39","12,216,955.81","13,373,118.81","821,453.86","748,079.52","2,556,156.31"
销售费用,"2,454,434.39","2,342,021.35","3,084,790.08","1,056,059.78","2,092,107.77","2,708,808.33","3,882,758.93","751,475.13","1,517,632.02","2,234,118.48","3,259,371.94","733,271.05","1,800,026.15","3,336,454.42","4,601,302.37","674,691.42","2,084,370.36","3,100,030.88","3,840,156.95","1,115,911.02","2,146,516.31","2,852,299.59","3,697,149.44","791,846.57","1,671,197.34","18,411,400.53"
减:营业外支出,"8,434.36","162,463.10",,,,"1,557.00","2,830.07",,,,,,"164,074.00","174,215.77","164,074.00",,,,,"23,017.42","30,356.19","30,356.19","48,454.02","4,173.86","4,173.86","262,862.37"
管理费用,"8,878,383.34","10,508,824.15","15,814,217.65","4,917,301.93","9,816,687.76","16,141,415.04","21,740,454.67","4,279,711.52","11,450,504.01","20,649,349.90","31,365,158.46","9,972,779.71","20,287,205.75","29,205,735.94","35,485,413.28","7,449,611.49","15,665,756.01","22,942,114.86","31,746,557.08","10,197,770.02","21,827,643.03","30,492,358.56","40,819,000.89","9,559,294.96","20,094,399.63","117,780,479.93"
其中:非流动资产处置净损失,,"161,742.68",,,,,,,,,,,,,,,,,,,,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"48,004.60","738,185.33","2,152,802.11","812,591.74","1,053,731.76","814,047.42","-3,650,073.39","-119,660.68","-4,676,165.89","-4,953,075.18","-2,702,076.45","-475,087.74","1,907,410.22","3,220,710.96","-4,284,777.01","-1,511,277.05","-1,131,361.65","-463,349.64","-2,978,329.40","-664,285.71","-774,722.43","-1,272,359.31","-1,106,402.77","-343,210.69","-1,020,710.95","19,600,253.11"
三、利润总额,"35,431,809.55","48,936,160.54","59,698,686.51","17,900,245.95","26,531,987.75","33,956,651.58","33,640,740.14","16,214,642.73","20,456,006.34","21,399,253.00","16,212,143.39","5,455,179.60","-3,076,419.75","3,953,384.36","8,672,450.02","-3,833,260.06","-5,104,862.12","-5,320,542.40","6,372,847.54","-6,497,167.93","6,290,228.43","4,658,924.58","10,910,861.57","-4,381,527.36","4,381,429.28","149,193,071.75"
资产减值损失,"-1,567,614.99","394,545.44","750,636.02",,"2,211,964.04","2,211,964.04","2,428,299.62",,"676,958.68","676,958.68","2,323,970.91",,"717,218.64","717,218.64","1,890,676.62",,"-934,640.79","-934,640.79","271,538.73",,"-475,319.46","-920,195.70","-131,268.78",,"788,887.53","9,617,716.47"
减:所得税,"4,160,253.16","7,020,308.77","8,488,277.86","2,685,036.90","3,648,003.56","4,761,703.13","4,864,862.57","2,432,196.41","3,068,400.96","3,209,887.96","1,971,216.33","818,276.94","-82,832.80","522,599.77","506,943.49",,,,"778,878.54",,"968,452.16","509,231.87","856,730.03",,"412,658.71","22,889,185.09"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,"-2,028,177.22","2,122,388.81","-462,494.68","-1,858,887.56","-259,222.65","3,515,378.14","464,152.58","796,774.84","1,284,123.23","3,390,676.57","717,263.40","2,080,191.93","3,810,685.81"
四、净利润,"31,271,556.39","41,915,851.77","51,210,408.65","15,215,209.05","22,883,984.19","29,194,948.45","28,775,877.57","13,782,446.32","17,387,605.38","18,189,365.04","14,240,927.06","4,636,902.66","-2,993,586.95","3,430,784.59","8,165,506.53","-3,833,260.06","-5,104,862.12","-5,320,542.40","5,593,969.00","-6,497,167.93","5,321,776.27","4,149,692.71","10,054,131.54","-4,381,527.36","3,968,770.57","126,303,886.66"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"31,271,556.39","41,915,851.77","51,210,408.65","15,215,209.05","22,883,984.19","29,194,948.45","28,775,877.57","13,782,446.32","17,387,605.38","18,189,365.04","14,240,927.06","4,636,902.66","-2,993,586.95","3,430,784.59","8,165,506.53","-3,833,260.06","-5,104,862.12","-5,320,542.40","5,593,969.00","-6,497,167.93","5,321,776.27","4,149,692.71","10,054,131.54","-4,381,527.36","3,968,770.57","126,303,886.66"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,,,,,,,,,,,,
