科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"41,745,381.37","63,618,712.74","98,624,168.52","95,288,406.91","422,432,139.41","440,273,019.92","477,942,998.91","466,214,282.34","435,196,511.73","426,626,300.40","457,828,285.50","438,889,552.83","439,719,926.57","432,236,659.05","474,191,986.44","455,676,792.47","442,409,272.48","354,683,579.07","165,150,088.56","142,598,614.18","121,911,941.87","207,567,369.65","182,669,034.03","168,325,956.23","97,584,700.91","106,903,922.99","174,379,865.44","154,447,587.25","149,884,979.44"
短期借款,"45,000,000.00","55,000,000.00","35,000,000.00","35,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,"350,000.00",,,,,,,,,,,,,,,
应付票据,"3,208,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"4,317,089.73","5,524,404.30","3,998,322.64","11,863,668.70","14,244,691.34","17,121,898.78","9,376,522.71","25,425,130.21","20,331,785.74","18,334,469.58","10,006,466.03","37,752,089.86","21,420,649.13","18,635,768.13","8,413,233.26","25,234,245.08","23,993,172.74","34,113,060.11","10,140,099.69","32,003,788.86","23,218,681.56","30,086,897.43","14,764,672.52","22,940,795.60","16,426,152.44","22,233,079.81","16,261,882.86","39,284,626.53","28,786,047.51"
应付账款,"22,530,000.65","25,173,584.52","23,196,032.09","25,076,558.36","23,456,321.67","22,730,939.64","32,355,721.57","29,420,672.99","28,538,300.49","28,058,424.68","29,226,792.77","29,324,705.62","26,727,204.44","27,441,377.65","32,797,331.14","32,240,595.04","32,737,182.89","30,664,403.38","36,237,967.51","38,945,166.62","41,028,326.44","38,744,121.32","60,061,368.94","51,719,062.86","51,062,181.31","51,636,270.48","58,638,322.89","49,896,056.72","47,797,583.75"
预付款项,"2,534,111.08","1,497,501.94","1,495,749.47","4,356,429.44","1,887,172.02","3,523,791.11","1,302,399.30","7,039,402.78","4,887,020.92","5,912,282.99","1,413,814.63","4,598,538.60","6,499,770.49","6,759,067.85","1,215,768.54","7,018,386.67","6,071,663.47","6,262,895.32","2,834,635.83","5,522,118.21","5,684,633.61","8,285,040.15","2,371,375.81","13,995,871.60","13,050,915.85","9,587,453.83","4,601,352.20","11,348,038.58","6,174,499.69"
预收款项,"3,702,905.55","6,582,998.21","10,939,277.98","2,755,094.48","3,002,986.96","3,950,715.37","8,570,476.71","3,239,328.21","2,101,758.55","3,136,556.81","2,558,764.43","3,577,508.11","4,565,813.35","2,600,697.14","6,744,123.58","1,785,710.65","2,353,516.96","4,952,507.62","5,015,026.84","3,371,046.16","2,440,401.04","2,294,706.14","9,968,634.75","4,324,265.06","4,141,469.13","3,679,926.84","5,548,986.22","4,848,543.41","3,801,273.80"
其他应收款,"7,791,673.59","1,024,356.10","2,716,723.91","3,657,345.08","1,758,026.40","2,137,650.00","682,874.22","1,539,102.74","1,858,993.95","1,760,607.98","735,324.42","1,650,348.22","1,709,688.96","2,158,710.05","480,661.12","1,573,464.77","2,292,838.34","1,593,933.91","645,230.38","1,045,312.37","912,845.90","829,971.78","280,563.04","1,871,221.91","2,335,648.72","2,056,251.09","349,645.22","1,878,265.47","2,145,838.88"
应付职工薪酬,"5,675,292.38","6,475,503.78","6,810,685.70","3,129,623.90","4,539,996.65","5,673,913.55","9,636,402.09","4,150,481.30","4,748,793.08","6,188,420.63","7,380,679.30","3,102,707.22","4,491,840.58","5,894,297.59","8,081,453.24","3,075,868.91","4,922,149.18","6,290,346.74","8,747,169.18","3,797,347.60","5,489,458.58","7,258,586.84","12,621,906.55","4,453,455.39","5,942,049.15","7,902,953.01","14,926,209.04","4,850,015.10","6,323,663.00"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"4,195,422.85","2,836,153.56","5,040,686.35","5,187,219.04","3,977,427.48","4,910,997.23","6,127,686.89","6,961,858.86","3,260,533.83","3,768,554.81","5,362,917.22","10,338,972.52","5,906,380.50","4,843,676.71","1,746,452.86","4,993,157.79","3,776,413.75","3,480,216.02","3,817,567.43","5,949,666.98","2,725,889.15","4,333,841.77","3,583,525.48","6,538,530.47","225,761.31","4,357,427.36","4,877,741.59","3,949,794.99","1,924,100.67"
应收利息,"306,159.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,"111,813.75","123,325.00","114,329.86","114,329.86",,,,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,"10,112,904.00",,,,,"12,000,000.00",,,,,,,,,,,,,,,,,,,,,,,
存货,"39,186,290.96","41,777,957.69","49,575,071.39","42,404,943.91","43,500,933.62","43,840,100.48","45,044,011.54","40,415,316.04","46,607,886.04","58,313,403.43","49,737,765.22","47,390,585.84","49,692,172.52","54,881,156.74","48,133,532.17","46,144,784.54","52,901,692.95","55,891,771.08","57,788,840.61","59,459,200.17","63,937,911.84","64,323,132.89","70,578,685.28","74,686,029.69","80,227,509.70","85,475,837.85","78,786,933.93","78,940,086.28","85,396,891.35"
其他应付款,"625,799.41","418,830.82","378,755.84","155,729.96","481,951.99","676,691.36","408,389.37","80,903.48","36,711.78","266,442.58","1,849,323.94","737,530.21","906,326.93","853,987.62","370,853.05","65,853.17","103,599.97","144,820.40","982,942.75","222,611.40","347,195.40","242,446.70","1,895,218.47","273,668.72","405,144.97","410,151.97","1,681,123.52","4,601,584.31","4,943,630.44"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
