科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"149,790,265.24","177,690,663.85","206,741,295.51","66,255,431.13","118,157,162.99","176,274,152.01","255,790,389.88","66,516,764.19","111,489,498.86","150,284,860.63","217,245,092.99","58,529,186.53","112,543,437.44","159,661,565.64","227,181,354.40","61,052,616.54","108,341,923.25","157,222,070.10","219,427,411.92","62,362,817.76","111,324,801.53","174,363,876.00","264,948,777.73","76,192,379.36","141,900,191.26","212,633,971.73","303,905,401.69","67,589,393.28","127,744,734.28"
二、营业利润,"30,882,326.95","44,177,688.78","62,723,145.73","23,954,830.83","40,860,194.71","63,273,511.24","85,476,726.91","26,569,806.49","43,425,580.69","54,427,335.98","74,088,970.15","21,028,978.53","37,604,222.10","50,020,657.49","63,620,906.39","19,642,219.44","31,636,837.57","41,418,862.45","52,833,572.74","21,372,320.15","34,306,202.19","52,740,905.54","70,182,874.23","27,241,270.16","44,812,552.28","60,259,984.71","60,459,191.63","18,262,361.94","32,057,277.39"
减:营业成本,"72,372,831.31","81,436,940.48","89,830,388.40","28,479,682.65","50,936,515.19","75,601,365.19","109,807,486.43","28,065,920.68","49,155,590.86","66,045,448.06","98,597,240.88","25,862,989.23","49,315,200.19","71,452,525.36","105,641,230.50","29,389,585.43","50,769,213.42","74,066,325.74","103,515,267.14","28,244,629.00","51,388,650.61","81,407,259.32","123,864,213.20","34,372,356.57","65,341,537.60","100,488,442.15","147,563,778.94","34,548,367.33","65,062,142.57"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,413,214.29","1,706,159.34","1,998,338.04","725,641.26","1,420,145.12","1,968,892.56","2,862,425.76","794,505.78","1,157,791.58","1,461,955.38","2,137,480.28","814,123.98","1,248,413.72","1,802,409.17","2,289,741.18","823,945.91","1,212,304.33","1,602,617.07","2,206,301.17","671,416.39","1,116,148.26","1,675,608.14","2,998,264.76","782,143.23","2,200,597.01","2,843,377.11","5,127,533.42","574,066.16","2,231,267.76"
营业外收入,"3,612,681.62","3,769,196.06","1,394,728.76","165,739.00","224,889.13","364,499.16","2,477,502.07","217,095.53","477,012.98","1,734,267.57","1,902,022.70","465,868.64","495,152.79","907,993.55","1,398,519.72","224,975.08","749,727.30","1,677,119.70","1,897,975.93","172,983.20","3,252,911.56","3,903,530.01","5,264,221.65","268,334.11","36,007.70","97,044.75","206,542.68","17,738.64","144,351.70"
销售费用,"14,204,872.95","14,653,061.98","15,259,584.92","2,677,139.87","7,139,258.95","11,550,029.44","25,441,449.14","2,857,877.14","6,608,795.15","11,253,861.77","20,971,415.96","2,587,417.23","8,379,935.05","12,980,835.53","25,793,578.40","2,726,723.33","7,918,696.68","15,163,005.94","27,776,550.30","4,398,880.96","11,171,393.90","17,741,531.63","34,645,759.32","5,516,238.42","13,810,059.36","24,081,842.13","43,406,750.08","5,979,202.98","17,620,492.17"
减:营业外支出,"368,256.86","2,560,541.42","674,950.49","86,086.39","171,657.18","277,887.85","828,959.34","177,495.53","306,185.72","575,008.68","689,869.60","129,594.86","274,851.24","537,560.97","994,812.57","75,338.13","189,987.01","316,353.04","818,046.18","189,351.60","513,903.26","831,438.92","1,635,037.35","57,355.83","172,482.24","906,871.68","1,813,412.06","78,181.00","1,109,874.17"
管理费用,"26,595,820.31","29,995,852.01","32,281,733.61","8,663,737.36","15,783,129.19","23,309,898.53","33,979,723.34","8,960,238.17","17,419,475.22","25,090,723.98","32,844,204.98","8,844,176.94","19,858,290.62","29,584,976.49","38,919,803.60","9,642,341.25","20,685,046.00","30,103,278.19","40,766,546.92","8,881,095.52","18,226,897.72","27,253,371.95","41,223,863.22","9,853,220.56","21,049,921.18","32,167,405.80","48,246,380.84","10,802,256.36","23,936,421.76"
其中:非流动资产处置净损失,"139,035.60","2,096,077.60","190,021.64",,,360.00,"43,033.78",,,,"16,196.52",,"4,132.91",,"19,977.44",,"6,420.55","9,426.80","25,546.49",,463.69,"170,459.61","154,296.37",,"74,169.15","139,277.06",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"4,679,296.39","6,072,968.93","4,639,409.01","1,273,812.78","1,477,143.49","-195,535.80","-2,023,279.85","-1,716,583.08","-6,906,028.36","-8,544,131.56","-11,600,698.77","-2,115,738.11","-4,538,932.30","-6,776,024.37","-9,129,368.95","-2,080,354.74","-4,947,663.36","-6,848,736.31","-8,118,538.68","-385,308.98","-732,727.68","-1,047,360.71","-1,776,281.30","-166,304.34","-840,979.29","-708,066.95","-795,782.64","1,024,410.63","-1,809,449.92"
三、利润总额,"34,126,751.71","45,386,343.42","63,442,924.00","24,034,483.44","40,913,426.66","63,360,122.55","87,125,269.64","26,609,406.49","43,596,407.95","55,586,594.87","75,301,123.25","21,365,252.31","37,824,523.65","50,391,090.07","64,024,613.54","19,791,856.39","32,196,577.86","42,779,629.11","53,913,502.49","21,355,951.75","37,045,210.49","55,812,996.63","73,812,058.53","27,452,248.44","44,676,077.74","59,450,157.78","58,852,322.25","18,201,919.58","31,091,754.92"
资产减值损失,"-358,096.96","-352,007.67","8,695.80","480,586.38","540,776.34","765,990.85","245,858.15","984,999.01","628,293.72","549,667.02","206,479.51","1,507,238.73","676,308.06","596,185.97","45,463.28","908,155.92","1,067,488.61","1,637,355.59","475,183.97","1,230,634.03","653,430.90","933,708.80","222,781.69","294,032.51","16,354.12","357,948.20","7,837,701.72","880,696.96","743,805.07"
减:所得税,"5,169,244.42","6,794,558.61","9,474,179.85","3,638,630.38","6,234,348.58","9,625,849.46","13,258,434.14","3,983,218.20","6,795,784.84","8,779,742.59","11,229,394.76","5,501,209.06","10,066,486.01","13,738,908.46","10,418,038.54","2,932,166.00","5,175,351.43","7,036,773.48","8,979,300.06","3,294,823.74","5,849,859.70","8,475,576.55","11,646,130.48","7,296,727.14","6,836,622.39","9,216,919.24","11,819,152.82","3,250,376.21","5,853,808.42"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,,,,,"-79,361.43","27,471.64","2,050,849.31","4,805,194.37","6,341,148.67","6,412,697.39","1,700,577.75","3,358,015.86","4,467,929.09","5,448,965.30","4,300,998.08","8,260,251.52"
