科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"52,396,879.40","110,557,786.94","175,492,837.57","37,342,648.62","83,690,512.60","138,084,823.54","215,555,394.13","59,399,473.45","128,194,107.54","240,037,279.96","384,974,573.51","101,758,453.67","317,189,823.05","550,571,899.51","825,568,102.62","180,575,155.33","420,901,241.25","675,473,667.16","1,101,340,093.61","486,656,314.15","952,402,132.10","1,403,575,691.99","1,861,462,244.20","401,602,302.56","808,636,273.96","1,342,214,809.58","1,859,858,997.53","513,271,621.58","1,241,185,381.71","1,751,839,341.88","2,172,627,911.35","277,269,598.90"
取得子公司及其他营业单位支付的现金净额,"3,184,452.63","12,898,999.86","4,137,000.00",,,,,,,"144,078,723.95","144,083,340.96",,"327,452,799.50","559,435,364.89","584,052,349.45","25,023,984.56","414,346,434.99","458,819,275.15","458,819,275.15","332,871,453.55","648,976,868.99","704,321,636.04","583,217,511.02","134,416,455.00","278,860,475.33","278,860,475.33","277,860,475.33","19,420,881.87","22,209,173.02","31,358,175.20","31,358,175.20",
收到的税费返还,,,"1,982,477.31","273,158.47","273,158.47","334,082.12","1,854,974.44","34,352.43","34,352.43","40,038.37","1,135,581.33",,,"19,634.82","4,390,377.62",,,,"3,839,706.26","459,933.19","6,398,661.66","6,517,918.85","10,367,627.29","18,275.95","1,362,805.16","4,972,088.36","4,048,064.11","289,479.39","341,454.97","12,862,731.84","19,296,157.96","700,000.00"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,"2,400,339.37","2,400,339.37","2,401,422.72",,,,,,,,,
收到其他与经营活动有关的现金,"3,008,164.32","14,368,306.29","3,340,618.89","860,146.51","2,701,324.88","6,179,868.08","21,077,297.50","5,106,455.99","8,888,007.82","18,402,588.13","37,606,246.06","14,016,070.83","31,987,658.43","46,727,345.45","48,287,634.54","11,303,605.17","29,636,401.70","36,266,780.54","47,136,507.10","4,044,185.98","19,682,000.66","28,964,923.09","79,764,546.93","5,095,505.92","38,829,448.75","55,276,757.87","171,596,294.69","8,073,389.84","22,736,047.04","37,853,221.79","60,834,461.98","11,081,327.75"
投资活动现金流出小计,"4,445,702.06","287,246,007.28","111,358,222.03","5,181,371.00","124,578,461.81","140,771,188.82","255,783,941.46","18,493,853.22","165,549,411.81","332,935,545.77","372,713,749.28","118,765,068.23","665,595,157.68","921,381,670.22","1,233,444,435.57","123,075,093.78","590,968,721.66","815,861,754.89","1,170,875,162.70","543,270,645.93","1,110,854,937.67","2,380,672,211.62","2,341,476,552.02","187,873,631.57","443,741,425.57","502,576,154.03","495,643,032.10","50,997,517.60","75,319,589.96","102,979,787.76","261,642,040.72","10,475,860.49"
经营活动现金流入小计,"55,405,043.72","124,926,093.23","180,815,933.77","38,475,953.60","86,664,995.95","144,598,773.74","238,487,666.07","64,540,281.87","137,116,467.79","258,479,906.46","423,716,400.90","115,774,524.50","349,177,481.48","597,318,879.78","878,246,114.78","191,878,760.50","450,537,642.95","711,740,447.70","1,152,316,306.97","491,160,433.32","978,482,794.42","1,439,058,533.93","1,951,594,418.42","406,716,084.43","848,828,527.87","1,402,463,655.81","2,035,503,356.33","521,634,490.81","1,264,262,883.72","1,802,555,295.51","2,252,758,531.29","289,050,926.65"
投资活动产生的现金流量净额,"-3,491,263.24","-13,703,713.01","-87,274,152.39","-5,181,321.00","-73,185,411.81","-88,869,826.64","-23,583,481.67","-18,459,853.22","-105,176,316.41","-212,072,039.36","-241,863,907.82","-118,765,068.23","-664,652,530.43","-859,333,209.08","-1,097,703,060.24","-123,075,093.78","-578,730,321.66","-803,374,154.89","-1,002,043,867.59","-543,270,645.93","-1,109,438,991.60","-2,379,075,972.20","-2,266,986,391.89","-176,868,401.15","-421,563,704.50","-235,057,371.06","-178,630,901.44","-39,466,497.35","-52,665,668.94","-58,222,116.74","-195,552,075.34","30,786,018.64"
购买商品、接受劳务支付的现金,"25,666,392.25","49,876,087.47","77,757,722.32","21,245,537.47","36,447,270.01","65,958,214.93","115,604,429.52","31,701,901.43","63,774,374.97","104,143,390.42","149,817,102.04","29,751,918.09","101,513,453.96","171,477,225.11","235,177,680.41","72,889,943.76","127,609,185.49","206,932,322.94","339,497,507.25","150,852,845.53","290,311,177.97","391,430,006.20","558,097,649.82","95,285,304.28","289,098,775.48","539,920,925.64","747,714,504.24","156,449,478.10","250,185,359.19","389,054,682.24","547,295,548.46","94,385,218.28"
吸收投资收到的现金,,"92,978,034.00",,,"608,640,000.00","608,640,000.00","608,640,000.00",,,"265,029,998.60","265,029,998.60",,"838,999,993.27","838,999,993.27","838,999,993.27",,,"27,050,605.72","28,650,538.97","1,488,449,244.46","1,488,449,244.46","1,488,449,244.46","1,488,840,216.81","1,000,000.00","1,000,000.00","1,000,000.00",,,,"900,000.00","3,000,000.00","2,100,000.00"
支付给职工以及为职工支付的现金,"5,869,475.11","13,784,407.79","23,849,800.57","8,254,856.45","13,350,358.34","21,360,731.23","40,642,578.18","7,892,278.85","13,242,289.75","31,561,116.64","49,855,575.62","31,578,227.46","56,442,223.79","93,920,284.63","131,504,915.03","48,094,516.98","87,669,785.48","129,568,840.80","167,448,162.39","75,152,507.89","131,594,722.68","192,981,494.61","269,113,859.67","102,947,590.51","181,243,207.20","285,747,571.93","408,751,133.07","135,258,792.66","244,093,409.30","343,288,421.84","467,354,151.50","151,965,755.94"
取得借款收到的现金,,,,,,,,,,,,,,,"134,618,000.00",,,,"100,000,000.00",,,"60,000,000.00","944,530,000.00",,,,,,,,,
支付的各项税费,"1,504,016.34","11,468,381.00","16,426,194.34","3,069,321.11","7,788,185.61","13,464,965.90","18,814,845.70","7,161,215.59","13,498,671.49","50,699,337.97","32,338,796.53","13,373,977.97","42,945,300.28","48,899,686.40","62,814,254.18","12,909,694.70","39,671,316.35","65,983,902.07","90,895,928.53","36,885,379.32","63,993,161.92","85,272,259.73","99,314,500.18","16,414,772.43","50,389,785.64","62,735,654.17","79,392,431.30","36,417,609.17","75,684,217.92","122,113,106.24","140,209,536.48","14,357,248.58"
收到其他与筹资活动有关的现金,,,,,,,,,,,"2,000,000.00",,,,"9,000,000.00",,,,"145,603,000.00",,,,,,,,,,,,,
支付其他与经营活动有关的现金,"6,952,547.31","7,865,855.44","8,174,870.98","2,382,229.01","8,655,469.66","13,036,213.12","11,141,866.46","6,182,030.19","9,380,958.23","29,679,894.07","51,246,461.91","11,744,837.58","58,581,917.64","93,766,084.21","40,087,425.88","17,651,678.63","34,704,830.75","48,070,518.35","69,801,589.95","21,244,837.13","41,425,415.64","70,925,246.92","149,155,219.43","23,654,804.49","78,339,481.75","109,212,201.12","130,222,777.20","138,566,571.19","178,382,069.62","207,241,556.43","251,996,777.37","23,317,205.33"
筹资活动现金流入小计,,"92,978,034.00",,,"608,640,000.00","608,640,000.00","608,640,000.00",,,"265,029,998.60","267,029,998.60",,"838,999,993.27","838,999,993.27","982,617,993.27",,,"27,050,605.72","274,253,538.97","1,488,449,244.46","2,284,449,244.46","2,344,449,244.46","2,433,370,216.81","1,000,000.00","1,000,000.00","1,000,000.00",,,,"900,000.00","3,000,000.00","2,100,000.00"
经营活动现金流出小计,"39,992,431.01","82,994,731.70","126,208,588.21","34,951,944.04","66,241,283.62","113,820,125.18","186,203,719.86","52,937,426.06","99,896,294.44","216,083,739.10","283,257,936.10","86,448,961.10","259,482,895.67","408,063,280.35","469,584,275.50","151,545,834.07","289,655,118.07","450,555,584.16","667,643,188.12","284,135,569.87","527,324,478.21","740,609,007.46","1,075,681,229.10","238,302,471.71","599,071,250.07","997,616,352.86","1,366,080,845.81","466,692,451.12","748,345,056.03","1,061,697,766.75","1,406,856,013.81","284,025,428.13"
偿还债务支付的现金,,,,,,,,,,,,,,,,,,,"138,738,600.00",,,,"100,000,000.00",,,"220,000,000.00","300,000,000.00",,,"776,221,100.00","776,221,100.00",
经营活动产生的现金流量净额,"15,412,612.71","41,931,361.53","54,607,345.56","3,524,009.56","20,423,712.33","30,778,648.56","52,283,946.21","11,602,855.81","37,220,173.35","42,396,167.36","140,458,464.80","29,325,563.40","89,694,585.81","189,255,599.43","408,661,839.28","40,332,926.43","160,882,524.88","261,184,863.54","484,673,118.85","207,024,863.45","451,158,316.21","698,449,526.47","875,913,189.32","168,413,612.72","249,757,277.80","404,847,302.95","669,422,510.52","54,942,039.69","515,917,827.69","740,857,528.76","845,902,517.48","5,025,498.52"
分配股利、利润或偿还利息支付的现金,,,,,,,"24,549,000.00",,"16,366,000.00","16,366,000.00","16,366,000.00",,"43,211,630.57","43,211,630.57","43,211,630.57","16,800,000.00","59,060,103.20","59,988,033.45","60,705,742.36","21,099,583.33","42,158,083.33","90,340,529.42","91,247,383.59",,"76,240,000.00","128,886,604.60","128,886,604.60",,"50,240,000.00","94,647,625.85","94,647,625.71",
收回投资收到的现金,"954,438.82","273,527,540.38","24,084,069.64",,"51,393,000.00","51,901,312.18","232,200,409.79",,"60,339,095.40","120,829,506.41","130,815,641.46",,,"60,000,000.00","131,432,524.27",,"12,238,400.00","12,486,100.00","53,612,600.00",,"609,760.00","609,760.00","69,360,972.70","2,080,954.52","10,491,068.76","248,528,369.46","258,876,513.08","11,530,000.00","17,530,000.00","39,633,750.00","41,953,509.54","5,172,181.85"
