科目,2009-12-31,2010-12-31,2011-12-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"1,943,677.43","65,685,878.13","67,116,870.78","277,034,278.86","219,960,525.14","200,859,425.39","169,717,997.84","137,130,721.27","101,840,380.14","91,784,507.78","105,581,675.93","107,514,268.28","66,241,902.29","73,396,904.30","94,965,174.35","158,788,267.85","85,466,505.92","131,818,774.21","351,702,424.86","321,246,828.93","275,930,132.27","425,038,958.20","475,451,101.07","529,297,481.03","348,467,629.70"
短期借款,,"20,000,000.00","8,000,000.00",,,"16,947,525.80","12,771,737.68","35,000,000.00","50,000,000.00","111,255,500.10","146,143,747.00","148,130,496.60","143,000,000.00","151,000,000.00","201,000,000.00","150,000,000.00","140,000,000.00","140,000,000.00","120,000,000.00","120,000,000.00","110,000,000.00","90,000,000.00","80,000,000.00","120,000,000.00","150,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,625,000.00","6,388,574.00","32,081,190.46","53,756,299.99","56,774,726.36","51,054,268.00","53,868,996.92","37,545,685.36","42,275,045.76","94,704,293.33","82,717,913.44","58,681,511.75","91,331,731.58","65,791,141.45","41,588,883.00","14,222,653.73","32,054,354.75","18,020,000.00","21,279,906.50","14,602,050.41","33,896,830.41","37,738,851.01","156,859,000.00","172,300,374.40","246,563,957.89"
应付票据,,"41,400,000.00","22,500,000.00","37,000,000.00","17,649,210.00","47,960,470.10","27,435,960.10","15,569,483.12","52,138,487.12","90,454,141.85","86,703,925.78","43,817,539.17","22,048,666.24","13,535,892.80","25,983,006.00","42,507,880.00","24,091,600.40","30,994,909.91","23,328,081.31","17,313,775.00","8,000,000.00","4,250,000.00","28,650,000.00","79,900,808.80","116,704,312.80"
应收账款,"23,935,578.56","26,815,246.84","27,345,547.81","60,385,690.22","74,327,426.24","76,204,757.01","84,755,444.63","117,304,919.06","98,568,627.60","104,054,092.11","117,153,579.58","109,963,505.88","117,625,951.58","104,180,426.07","598,018,517.70","478,764,766.11","509,998,442.66","1,043,904,909.55","1,155,898,433.26","1,303,000,231.61","1,505,270,982.34","1,070,891,110.85","1,039,332,152.78","1,226,959,424.17","1,721,706,097.54"
应付账款,"29,632,182.98","32,652,995.07","26,166,982.23","38,735,365.39","38,246,053.27","30,114,533.37","39,687,342.56","4,760,137.85","37,954,526.01","50,001,440.65","46,717,205.69","72,269,457.74","59,179,179.61","46,891,669.27","320,136,671.85","271,822,517.50","260,070,320.95","573,183,860.98","579,470,466.91","585,094,731.87","653,223,370.76","482,635,683.87","485,858,247.36","531,846,731.85","756,104,440.00"
预付款项,"5,072,015.85","35,987,173.80","12,643,584.51","38,306,279.69","50,855,188.44","100,970,184.27","91,989,663.38","118,884,149.15","38,882,070.17","122,106,042.25","121,111,787.66","150,851,388.95","15,379,953.73","34,377,231.46","34,809,516.98","26,015,685.70","14,933,187.22","20,979,008.60","21,013,005.70","33,330,427.25","17,399,374.39","43,907,093.42","46,713,509.43","59,281,585.10","39,081,600.86"
预收款项,"6,752,300.00","11,621,865.31","12,408,872.45","5,385,826.60","2,433,975.07","12,456,872.18",,"3,026,887.14","5,650,230.72","16,312,609.85","9,550,736.73","2,083,380.87","7,931,599.55","24,304,612.45","15,754,580.34","19,842,205.85","15,454,749.81","12,171,302.38","15,495,101.32","14,540,340.95","5,197,624.23","13,453,775.72","13,424,463.32","20,484,287.55","19,949,050.34"
其他应收款,"22,096.98","5,479,921.56","270,058.23","650,729.39","698,414.58","1,437,324.55","4,289,549.20","6,931,613.16","4,443,790.40","6,828,210.20","9,940,936.82","11,485,756.85","8,161,353.01","8,954,205.78","30,575,155.05","95,045,035.19","64,659,675.93","89,646,979.08","208,565,303.65","181,729,178.67","214,373,438.43","195,048,066.26","55,889,865.88","39,067,048.47","54,447,111.23"
