科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"385,514,576.66","471,395,817.45","356,774,901.63","484,327,843.68","239,998,317.97","388,789,921.09","561,349,257.11","146,374,372.55","309,313,356.01","482,401,035.92","655,137,358.52","145,573,238.45","339,651,322.26","543,745,196.97","831,279,928.64","168,073,013.53","622,175,811.36","872,505,383.88","1,283,717,168.80","261,691,542.95","453,052,241.10","829,351,036.35","1,415,912,428.85","330,106,053.17","707,846,308.80"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,"54,403,883.64",,,,,,,,"1,933,110.21",,
收到的税费返还,,,,,,,"1,281.25",,"1,368.06","4,642.73","7,729.58","9,449.22","11,834.72","264,007.46","737,964.06","1,581,719.66","2,151,683.04","3,136,451.67","4,895,776.68","1,395,130.13","4,032,921.34","6,702,879.88","11,058,444.22","13,053,216.44","27,177,589.11"
支付其他与投资活动有关的现金,"13,579,036.04",,"3,350,000.00","4,410,000.00",,,,,"107,567,120.00","121,982,720.00","443,980,137.94","34,000,000.00","237,676,888.86","167,686,993.66","370,345,516.86","31,000,723.06","60,000,000.00","810,000,000.00","1,048,518,980.68","500,100,000.00","685,100,000.00","1,055,100,000.00","1,353,102,856.50","538,137,891.25","853,420,998.23"
收到其他与经营活动有关的现金,"20,579,273.50","13,305,941.97","6,597,749.62","7,850,660.84","6,574,462.19","10,287,666.96","16,157,615.18","5,085,419.08","6,507,424.16","9,773,588.97","17,506,443.49","6,479,956.68","5,589,944.00","7,916,770.63","9,887,622.81","8,540,608.28","3,890,121.39","8,592,418.19","13,030,989.93","5,704,846.47","8,028,942.07","38,596,243.76","8,314,631.09","11,273,655.83","8,630,825.14"
投资活动现金流出小计,"78,363,289.37","31,526,719.65","55,851,999.02","67,420,512.40","31,520,468.52","53,115,790.22","75,559,866.60","29,551,807.75","158,695,259.84","199,952,278.52","558,993,485.30","66,766,141.89","330,674,418.52","324,924,837.14","656,644,111.43","70,506,607.15","131,049,840.26","915,076,187.53","1,275,254,543.03","749,007,337.06","960,534,358.10","1,475,563,156.89","1,918,220,636.83","594,891,624.90","1,032,488,533.13"
经营活动现金流入小计,"406,093,850.16","484,701,759.42","363,372,651.25","492,178,504.52","246,572,780.16","399,077,588.05","577,508,153.54","151,459,791.63","315,822,148.23","492,179,267.62","672,651,531.59","152,062,644.35","345,253,100.98","551,925,975.06","841,905,515.51","178,195,341.47","628,217,615.79","884,234,253.74","1,301,643,935.41","268,791,519.55","465,114,104.51","874,650,159.99","1,435,285,504.16","354,432,925.44","743,654,723.05"
投资活动产生的现金流量净额,"-39,659,927.75","-29,931,977.34","-54,032,281.12","-53,825,803.76","-31,267,890.50","-52,755,290.37","-75,457,737.46","-29,176,807.75","-156,822,124.89","-197,367,256.60","-271,380,028.22","-24,525,573.98","-56,849,181.38","-52,106,447.70","-106,348,906.91","-70,473,649.64","-70,747,881.34","-854,760,191.63","-1,156,920,159.24","-194,674,795.60","-217,174,894.79","-303,183,087.23","-85,170,410.60","-272,283,913.27","-182,482,327.63"
购买商品、接受劳务支付的现金,"312,723,805.64","353,369,400.19","227,893,296.39","310,850,815.03","160,896,540.73","253,311,362.14","358,139,956.69","104,053,941.31","222,314,795.06","340,343,076.12","419,575,039.04","84,724,966.90","210,233,229.88","340,236,138.18","545,963,861.14","61,801,329.22","403,132,950.44","556,914,221.80","756,116,842.55","151,458,455.96","228,253,817.62","401,648,550.86","760,962,785.28","183,822,696.54","444,699,513.79"
吸收投资收到的现金,,"61,600,000.00","2,500,000.00","2,500,000.00",,,,"243,655,684.47","243,655,684.47","245,155,684.47","245,155,684.47","36,309,000.00","36,309,000.00","36,309,000.00","39,804,000.00",,"19,899,444.00","993,419,434.69","993,399,434.69",,,,,,"25,350,000.00"
支付给职工以及为职工支付的现金,"33,926,677.79","50,287,773.55","43,820,482.70","58,382,091.18","37,632,738.55","57,416,571.75","77,292,929.93","24,666,729.97","48,666,202.96","72,653,960.53","99,385,697.99","29,991,390.03","57,878,861.83","88,401,943.42","124,939,488.12","46,659,364.86","83,819,853.32","125,763,915.55","183,744,108.02","62,780,702.27","115,288,080.96","174,804,313.02","236,632,920.14","85,465,771.36","172,747,750.77"
取得借款收到的现金,"17,000,000.00","23,850,000.00","2,000,000.00","2,000,000.00",,,,,,,,,"5,996,648.71","111,161,308.76","125,940,408.76",,,,"50,000,000.00","285,000,000.00","285,000,000.00","335,000,000.00","485,000,000.00","249,600,000.00","259,650,439.64"
支付的各项税费,"13,353,613.77","28,971,782.15","28,246,213.12","38,299,285.85","16,522,343.02","27,416,486.68","41,495,856.35","9,676,050.74","20,275,493.25","31,934,893.64","45,542,823.24","11,890,471.86","26,417,107.92","39,725,505.47","53,712,067.97","11,181,542.52","26,905,711.16","40,758,873.70","55,439,135.69","12,950,860.16","30,288,850.59","49,191,939.28","68,742,002.58","12,706,038.84","29,899,511.38"
收到其他与筹资活动有关的现金,,,"1,500,000.00","1,500,000.00",,,,,,,,,,"23,471,684.54",,,,,"4,765,185.90",,,,,,
支付其他与经营活动有关的现金,"10,600,927.17","15,488,868.71","14,763,625.68","21,726,380.23","9,518,467.83","12,828,167.24","19,577,689.66","9,209,686.98","14,105,194.86","22,803,316.16","23,074,793.71","6,587,214.73","12,216,163.84","29,388,251.38","32,859,030.90","23,542,826.55","35,479,878.50","67,034,968.67","52,842,535.83","27,365,174.47","49,974,387.69","77,513,460.39","123,555,768.52","30,473,970.51","34,664,445.28"
筹资活动现金流入小计,"17,000,000.00","85,450,000.00","6,000,000.00","6,000,000.00",,,,"243,655,684.47","243,655,684.47","245,155,684.47","245,155,684.47","36,309,000.00","42,305,648.71","170,941,993.30","165,744,408.76",,"19,899,444.00","993,419,434.69","1,048,164,620.59","285,000,000.00","285,000,000.00","335,000,000.00","485,000,000.00","249,600,000.00","285,000,439.64"
经营活动现金流出小计,"370,605,024.37","448,117,824.60","314,723,617.89","429,258,572.29","224,570,090.13","350,972,587.81","496,506,432.63","147,606,409.00","305,361,686.13","467,735,246.45","587,578,353.98","133,194,043.52","306,745,363.47","497,751,838.45","757,474,448.13","143,185,063.15","549,338,393.42","790,471,979.72","1,048,142,622.09","254,555,192.86","423,805,136.86","703,158,263.55","1,189,893,476.52","312,468,477.25","682,011,221.22"
偿还债务支付的现金,"5,000,000.00","39,000,000.00","21,850,000.00","21,850,000.00","2,000,000.00","2,000,000.00","2,000,000.00",,,,,,,,"15,741,808.76",,"12,794,600.00","52,861,400.00","68,769,200.00",,"20,418,000.00","70,418,000.00","222,019,400.00","217,400,000.00","241,622,689.08"
经营活动产生的现金流量净额,"35,488,825.79","36,583,934.82","48,649,033.36","62,919,932.23","22,002,690.03","48,105,000.24","81,001,720.91","3,853,382.63","10,460,462.10","24,444,021.17","85,073,177.61","18,868,600.83","38,507,737.51","54,174,136.61","84,431,067.38","35,010,278.32","78,879,222.37","93,762,274.02","253,501,313.32","14,236,326.69","41,308,967.65","171,491,896.44","245,392,027.64","41,964,448.19","61,643,501.83"
分配股利、利润或偿还利息支付的现金,"2,060,299.44","8,070,575.38","556,497.82","625,263.23","731,333.33","731,333.33","922,708.33",,"17,506,165.50","17,506,165.50","17,528,281.64","160,000.00","28,305,040.00","39,800,613.82","28,791,074.45","269,000.00","25,428,500.00","25,428,500.00","27,385,235.92","136,000.00","61,926,302.22","65,861,576.43","69,929,647.67","4,905,110.12","67,136,244.12"
收回投资收到的现金,"162,832.75",,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"2,980,000.00","600,000.00","400,000.00","400,000.00","534,433.96","602,452.83","748,207.55","2,400,000.00","4,860,000.00","4,860,000.00","6,896,251.41","550,000.00","550,000.00","23,669,528.50","105,937,627.26","28,858.92","779,343.72","1,200,930.95","17,440,028.46",,,,,,
取得投资收益收到的现金,,,,,,,,,,,"2,554,117.81","2,227,287.91","4,712,493.39","5,705,645.69","7,280,795.01","20,137.00","266,958.92","266,958.92","1,582,702.07","10,332,541.46","18,255,983.31","27,276,439.66","47,360,447.07","4,408,602.04","27,375,205.50"
筹资活动现金流出小计,"10,040,299.44","47,670,575.38","22,806,497.82","22,875,263.23","3,265,767.29","3,333,786.16","3,670,915.88","2,400,000.00","22,366,165.50","22,366,165.50","24,424,533.05","710,000.00","28,855,040.00","63,470,142.32","150,470,510.47","297,858.92","39,002,443.72","79,490,830.95","113,594,464.38","136,000.00","82,344,302.22","136,279,576.43","291,949,047.67","222,305,110.12","308,758,933.20"
处置固定资产、无形资产和其他长期资产收回的现金净额,"4,092.08",,,,,,"102,129.14","375,000.00","375,000.00","375,000.00","59,339.27","13,280.00","132,605.81","132,605.81","13,257,382.71","12,820.51","35,000.00","49,036.98","1,207,497.04","4,000,000.00","103,480.00","103,630.00","222,619.16",,"31,000.00"
筹资活动产生的现金流量净额,"6,959,700.56","37,779,424.62","-16,806,497.82","-16,875,263.23","-3,265,767.29","-3,333,786.16","-3,670,915.88","241,255,684.47","221,289,518.97","222,789,518.97","220,731,151.42","35,599,000.00","13,450,608.71","107,471,850.98","15,273,898.29","-297,858.92","-19,102,999.72","913,928,603.74","934,570,156.21","284,864,000.00","202,655,697.78","198,720,423.57","193,050,952.33","27,294,889.88","-23,758,493.56"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-80,358.41","-136,815.81","116,389.60","-93,634.50","-409,353.83","-584,731.95","-756,399.87",-996.34,"-15,347.23","4,193.78","46,291.99","249,380.80","145,043.11","-83,235.46","2,818,385.64","-188,667.55","749,225.97","1,205,804.08","2,361,553.17","-1,843,685.97","-2,788,437.19","-4,297,818.52","-5,597,428.28","-4,227,244.25","-4,382,133.64"
收到其他与投资活动有关的现金,"38,536,436.79","1,594,742.31","1,819,717.90","13,594,708.64","252,578.02","360,499.85",,,"1,498,134.95","2,210,021.92","285,000,000.00","40,000,000.00","268,980,137.94","266,980,137.94","529,757,026.80",,"60,000,000.00","60,000,000.00","115,544,184.68","540,000,000.00","725,000,000.00","1,145,000,000.00","1,785,467,160.00","318,199,109.59","822,600,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"38,703,361.62","1,594,742.31","1,819,717.90","13,594,708.64","252,578.02","360,499.85","102,129.14","375,000.00","1,873,134.95","2,585,021.92","287,613,457.08","42,240,567.91","273,825,237.14","272,818,389.44","550,295,204.52","32,957.51","60,301,958.92","60,315,995.90","118,334,383.79","554,332,541.46","743,359,463.31","1,172,380,069.66","1,833,050,226.23","322,607,711.63","850,006,205.50"
五、现金及现金等价物净增加额,"2,708,240.19","44,294,566.29","-22,073,355.98","-7,874,769.26","-12,940,321.59","-8,568,808.24","1,116,667.70","215,931,263.01","74,912,508.95","49,870,477.32","34,470,592.80","30,191,407.65","-4,745,792.05","109,456,304.43","-3,825,555.60","-35,949,897.79","-10,222,432.72","154,136,490.21","33,512,863.46","102,581,845.12","24,001,333.45","62,731,414.26","347,675,141.09","-207,251,819.45","-148,979,453.00"
