科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"358,055,014.11","413,634,969.90","464,403,761.40","212,560,051.58","336,340,319.15","486,472,263.30","96,743,596.96","226,484,720.51","364,756,710.19","567,325,998.72","141,667,080.93","335,381,059.57","512,289,637.16","758,694,233.74","154,628,959.72","396,309,225.55","607,754,041.47"
二、营业利润,"79,137,887.40","82,275,774.81","91,853,656.53","43,931,323.65","72,096,875.21","94,610,775.03","15,953,934.01","44,037,481.39","72,938,062.34","113,944,336.60","27,390,196.92","78,574,793.75","116,902,070.68","153,917,477.66","38,836,237.67","122,475,266.61","179,821,218.24"
减:营业成本,"167,541,115.86","183,476,717.15","204,918,303.14","95,383,017.88","149,721,562.04","214,739,422.88","41,493,920.26","101,736,555.78","159,007,546.63","233,731,823.54","55,764,176.07","127,161,450.39","188,861,176.00","283,708,617.19","51,930,016.66","144,257,194.63","215,106,524.66"
加:补贴收入,,,,,,,,,,,,,,,,,
营业税金及附加,"2,871,887.39","4,506,754.71","5,025,514.81","1,993,348.11","3,631,628.13","5,339,686.00","1,284,261.60","3,065,817.39","4,527,101.77","7,360,529.40","2,594,027.92","4,112,186.68","6,186,534.75","10,967,736.83","2,821,917.06","6,549,583.25","10,077,269.46"
营业外收入,"9,399,476.69","14,005,178.47","15,135,565.14","6,615,274.11","9,243,282.66","21,115,624.70","4,193,589.00","9,423,372.58","15,504,248.42","29,704,426.42","4,586,789.46","11,692,607.03","15,902,545.56","28,824,495.35","3,875,921.61","5,743,392.64","13,188,175.72"
销售费用,"61,588,523.27","72,804,486.84","80,001,929.16","36,598,517.85","56,366,468.09","82,436,733.98","16,245,120.92","37,379,819.41","63,275,320.61","102,755,006.21","19,214,333.76","47,539,484.00","78,647,836.84","138,416,699.33","24,288,040.58","53,198,209.85","85,800,981.69"
减:营业外支出,"405,796.85","588,608.62","1,074,908.23","140,993.38","783,845.44","1,016,993.62","3,126.72","94,124.39","839,328.75","6,755,587.88","123,814.14","399,315.49","1,482,732.17","1,630,781.16","6,591.14","167,648.81","371,941.81"
管理费用,"41,946,056.15","61,464,005.03","73,353,128.67","35,604,811.66","57,045,507.23","91,258,198.31","25,455,445.80","44,657,710.34","75,606,818.64","119,041,514.34","36,344,462.15","77,233,021.62","119,514,853.58","170,020,134.71","37,443,701.29","79,594,170.01","126,232,656.05"
其中:非流动资产处置净损失,"24,407.34","42,015.70",444.98,"87,748.03",,"305,459.61",,"90,807.83",,"308,509.35",,"295,911.48","735,224.51","741,091.68",,"21,855.57","35,796.92"
堪探费用,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,
财务费用,"2,778,445.75","2,163,431.88","1,324,162.19","-1,158,259.27","-1,911,537.57","-5,355,805.28","-3,149,893.85","-5,605,634.67","-11,341,149.38","-13,945,515.73","1,467,222.92","2,159,566.64","3,716,205.59","3,337,235.05","2,343,997.65","4,497,814.96","8,020,900.95"
三、利润总额,"88,131,567.24","95,692,344.66","105,914,313.44","50,405,604.38","80,556,312.43","114,709,406.11","20,144,396.29","53,366,729.58","87,602,982.01","136,893,175.14","31,853,172.24","89,868,085.29","131,321,884.07","181,111,191.85","42,705,568.14","128,051,010.44","192,637,452.15"
资产减值损失,"2,191,098.29","6,943,799.48","7,927,066.90","386,261.58","-247,126.44","4,078,359.65",,"2,145,970.85","2,093,864.42","6,474,618.50","-381,605.90","-161,148.97","367,611.04","1,084,252.62","-805,534.70","-501,323.61","-420,514.30"
减:所得税,"11,820,942.82","11,469,750.65","12,306,489.11","6,120,772.85","9,129,605.47","13,350,543.75","1,913,967.01","5,341,636.78","8,366,873.89","16,945,187.22","3,365,392.93","11,933,934.53","17,622,222.67","23,590,789.43","5,793,206.46","17,359,521.34","25,680,009.27"
加:公允价值变动净收益,,,,,,,,,,"52,354.43",,,,"-26,802.47",,"-21,455.37","-21,455.37"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,
投资收益,,,,"178,969.88","363,057.54","635,107.27","539,191.78","932,999.98","1,350,854.84","1,983,959.71","725,732.91","1,238,294.54","1,906,651.32","2,784,722.12","2,229,416.49","11,510,208.33","12,039,049.96"
四、净利润,"76,310,624.42","84,222,594.01","93,607,824.33","44,284,831.53","71,426,706.96","101,358,862.36","18,230,429.28","48,025,092.80","79,236,108.12","119,947,987.92","28,487,779.31","77,934,150.76","113,699,661.40","157,520,402.42","36,912,361.68","110,691,489.10","166,957,442.88"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"76,310,624.42","84,222,594.01","93,607,824.33","44,284,831.53","71,426,706.96","101,358,862.36","18,230,429.28","48,025,092.80","76,424,386.88","108,278,048.69","22,292,569.68","62,448,226.58","89,744,445.41","125,136,152.61","27,414,133.96","91,135,203.81","135,001,815.50"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,"2,811,721.24","11,669,939.23","6,195,209.63","15,485,924.18","23,955,215.99","32,384,249.81","9,498,227.72","19,556,285.29","31,955,627.38"
