科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"576,915,573.38","743,099,494.53","1,333,924,805.69","884,110,182.33","1,319,413,913.13","1,549,753,083.39","349,289,503.28","727,214,102.85","1,081,429,796.34","1,471,095,317.09","372,786,624.62","854,044,040.94","1,471,313,036.27","2,046,783,947.73","788,585,447.40","1,671,131,028.83","2,494,708,582.55","3,267,308,075.30","748,845,251.42","1,569,374,816.02"
取得子公司及其他营业单位支付的现金净额,,,,,,"46,080.12",,,,,"400,406,430.52","400,615,999.51","537,185,459.91","519,909,534.62","673,067,342.52","777,835,698.75","779,714,425.47","584,344,728.22","870,484,392.00",
收到的税费返还,"1,728,510.30",,"44,759.74",,"9,921,567.30",,"340,930.79",,"5,087,072.34",,,,,"2,346,917.33",,,,"15,348,777.32",,"3,994,338.04"
支付其他与投资活动有关的现金,,,,,"4,915,559.45","12,293,530.43",,"63,062,751.74","83,231,689.72","171,439,304.84","284,862,661.13","322,126,901.58","327,435,270.12","327,986,344.70",,,"145,000.00","80,272,465.10",,
收到其他与经营活动有关的现金,"21,607,616.46","15,092,152.09","45,737,643.60","24,689,293.60","43,355,255.23","56,913,564.39","14,254,762.56","36,727,523.70","94,463,465.42","195,609,888.20","49,185,517.82","147,130,805.92","160,318,652.33","373,496,051.84","15,416,130.68","49,882,485.10","61,990,042.06","63,936,362.66","219,864,317.63","145,830,326.65"
投资活动现金流出小计,"45,470,591.41","32,261,433.40","28,633,230.58","69,892,102.76","97,239,547.00","190,693,479.85","51,608,019.41","1,561,373,961.02","1,984,624,814.75","2,595,011,973.01","1,274,975,382.46","1,680,666,839.98","3,123,560,722.68","3,440,186,233.66","1,023,334,756.68","1,232,281,798.35","1,412,184,909.99","1,379,805,813.68","1,797,765,150.93","1,112,235,252.50"
经营活动现金流入小计,"600,251,700.14","758,191,646.62","1,379,707,209.03","908,799,475.93","1,372,690,735.66","1,606,666,647.78","363,885,196.63","763,941,626.55","1,180,980,334.10","1,666,705,205.29","421,972,142.44","1,001,174,846.86","1,631,631,688.60","2,422,626,916.90","804,001,578.08","1,721,013,513.93","2,556,698,624.61","3,346,593,215.28","968,709,569.05","1,719,199,480.71"
投资活动产生的现金流量净额,"-45,002,489.80","-32,219,010.49","148,522,963.26","-69,808,725.21","-96,905,999.45","-190,371,341.30","-51,529,919.41","-1,225,533,242.70","-1,334,870,541.13","-1,644,326,783.51","-771,849,157.75","-1,120,475,487.71","-1,794,468,374.38","-1,956,530,908.79","-445,339,955.39","-563,607,744.01","-654,981,559.18","65,038,811.80","-1,689,207,289.28","-614,511,557.41"
购买商品、接受劳务支付的现金,"171,682,817.44","223,195,547.35","514,385,877.56","453,704,891.10","660,898,312.45","638,641,957.88","287,753,019.84","450,600,086.55","572,857,741.21","754,889,162.87","143,337,387.76","463,149,497.82","751,729,635.53","955,927,437.28","200,542,285.40","406,794,990.73","542,318,829.11","707,929,721.28","130,101,802.34","268,673,350.27"
吸收投资收到的现金,"220,548,801.06",,,,,,"1,340,500,000.00","1,340,500,000.00","1,349,268,910.00","1,605,840,385.51",,,,,"599,999,990.40","599,999,990.40","599,999,990.41","602,499,990.40","7,747,788.24","7,748,443.36"
支付给职工以及为职工支付的现金,"112,571,226.01","145,845,993.64","146,297,121.69","82,733,249.10","129,185,282.06","177,590,616.17","54,543,172.16","95,996,120.70","135,834,163.39","176,882,387.75","49,908,832.93","109,798,821.61","164,722,242.20","240,447,086.36","106,464,457.04","221,928,094.16","353,242,008.75","500,734,615.73","140,911,301.95","305,565,093.37"
取得借款收到的现金,,,,,,,,"205,968,837.75","237,496,917.90","239,464,073.04","580,000,000.00","1,428,924,696.58","2,207,812,926.06","2,223,870,454.41","109,861,682.89","404,183,700.54","1,093,633,921.38","1,368,627,557.89","411,805,117.39","881,551,572.97"
支付的各项税费,"35,963,706.54","51,640,974.91","26,588,709.35","23,758,235.80","27,572,965.40","45,803,861.95","8,470,281.25","21,874,869.03","31,453,335.25","39,195,654.93","43,198,544.99","83,111,037.12","126,206,884.98","167,310,361.74","111,152,221.45","228,520,114.07","318,815,754.34","357,649,789.72","56,625,097.21","114,989,000.71"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,"200,000,000.00","440,000,000.00","200,000,000.00",,
支付其他与经营活动有关的现金,"169,928,456.62","215,452,183.87","322,015,478.41","120,579,277.95","222,777,556.91","347,829,992.71","152,925,111.94","285,898,566.87","423,674,719.62","503,584,684.64","163,593,229.54","270,662,355.96","453,279,476.58","701,821,054.63","335,817,040.30","355,780,710.25","593,020,506.96","734,483,103.55","792,818,324.89","717,083,246.22"
筹资活动现金流入小计,"220,548,801.06",,,,,,"1,340,500,000.00","1,546,468,837.75","1,586,765,827.90","1,845,304,458.55","580,000,000.00","1,428,924,696.58","2,207,812,926.06","2,953,870,454.41","709,861,673.29","1,204,183,690.94","2,133,633,911.79","2,411,127,548.29","419,552,905.63","1,039,300,016.33"
经营活动现金流出小计,"490,146,206.61","636,134,699.77","1,009,287,187.01","680,775,653.95","1,040,434,116.82","1,209,866,428.71","503,691,585.19","854,369,643.15","1,163,819,959.47","1,474,551,890.19","400,037,995.22","926,721,712.51","1,495,938,239.29","2,065,505,940.01","753,976,004.19","1,213,023,909.21","1,807,397,099.16","2,300,797,230.28","1,120,456,526.39","1,406,310,690.57"
偿还债务支付的现金,,,,,,,,,,,,"228,745,372.07","975,336,649.96","1,157,484,006.23","144,590,517.65","598,825,044.01","1,290,642,749.24","1,542,069,085.89","167,526,933.88","408,519,482.79"
经营活动产生的现金流量净额,"110,105,493.53","122,056,946.85","370,420,022.02","228,023,821.98","332,256,618.84","396,800,219.07","-139,806,388.56","-90,428,016.60","17,160,374.63","192,153,315.10","21,934,147.22","74,453,134.35","135,693,449.31","357,120,976.89","50,025,573.89","507,989,604.72","749,301,525.45","1,045,795,985.00","-151,746,957.34","312,888,790.14"
分配股利、利润或偿还利息支付的现金,,"40,000,000.00","280,000,000.00","119,900,880.00","154,789,447.80","165,000,000.00",,"142,555.56","63,416,417.49","64,873,857.63","2,682,836.81","112,271,398.19","120,380,155.22","130,689,381.94","11,984,618.87","418,992,165.95","613,563,960.06","837,409,354.54","13,795,948.39","445,982,588.94"
收回投资收到的现金,"468,101.61",,,,,,,"304,964,394.00","585,300,218.98","808,335,824.98","293,937,349.02","341,285,961.06","719,438,100.90","941,424,506.63","573,111,950.67","657,734,168.03","722,948,351.23","1,392,031,323.31","90,359,974.52","374,141,519.43"
支付其他与筹资活动有关的现金,,"850,000.00","1,831,200.00","870,000.00","1,262,200.00","1,640,010.20","2,249,552.36","5,469,552.36","6,698,552.36","61,035,083.35","256,000.00","13,726,863.38","14,106,363.38","17,695,308.38","15,638,258.06","34,230,888.60","111,448,104.04","143,694,111.90","2,827,049.06","1,119,606,042.26"
取得投资收益收到的现金,,,,,,,,"18,264,537.49","51,733,907.35","4,505,602.71","9,119,075.69","18,823,478.33","156,108,233.53","268,458,396.12","4,882,850.62","10,904,917.31","31,687,408.63","47,199,041.61",,"121,180,620.39"
筹资活动现金流出小计,,"40,850,000.00","281,831,200.00","120,770,880.00","156,051,647.80","166,640,010.20","2,249,552.36","5,612,107.92","70,114,969.85","125,908,940.98","2,938,836.81","354,743,633.64","1,109,823,168.56","1,305,868,696.55","172,213,394.58","1,052,048,098.56","2,015,654,813.34","2,523,172,552.33","184,149,931.33","1,974,108,113.99"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"42,422.91","6,719,445.94","83,377.55","333,547.55","322,138.55","78,100.00","356,419.16","369,217.57","369,811.46","69,800.00","81,912.88","89,293.87","315,702.12",,"34,969.00","2,567,590.95","5,614,260.56","2,372,681.25","2,401,555.27"
筹资活动产生的现金流量净额,"220,548,801.06","-40,850,000.00","-281,831,200.00","-120,770,880.00","-156,051,647.80","-166,640,010.20","1,338,250,447.64","1,540,856,729.83","1,516,650,858.05","1,719,395,517.57","577,061,163.19","1,074,181,062.94","1,097,989,757.50","1,648,001,757.86","537,648,278.71","152,135,592.38","117,979,098.45","-112,045,004.04","235,402,974.30","-934,808,097.66"
处置子公司及其他营业单位收到的现金净额,,,"170,436,747.90",,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-3,643,786.21","537,462.62","-10,185,055.21","28,160,028.89","24,820,543.45","5,373,692.91","-1,792,685.12","1,965,031.13","11,773,613.61","22,764,763.45","-8,604,491.36","4,663,850.56","3,309,788.60","13,694,015.27","-795,043.61","-2,918,370.16","-10,044,293.28","-31,295,912.75","-35,730,997.24","-19,000,169.81"
收到其他与投资活动有关的现金,,,,,,,,"12,255,367.67","12,350,929.72","137,473,950.35","200,000,000.00","200,000,000.00","453,456,720.00","273,456,720.00",,,,,"15,825,205.88",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"468,101.61","42,422.91","177,156,193.84","83,377.55","333,547.55","322,138.55","78,100.00","335,840,718.32","649,754,273.62","950,685,189.50","503,126,224.71","560,191,352.27","1,329,092,348.30","1,483,655,324.87","577,994,801.29","668,674,054.34","757,203,350.81","1,444,844,625.48","108,557,861.65","497,723,695.09"
五、现金及现金等价物净增加额,"282,008,018.58","49,525,398.98","226,926,730.07","65,604,245.66","104,119,515.04","45,162,560.48","1,145,121,454.55","226,860,501.66","210,714,305.16","289,986,812.61","-181,458,338.70","32,822,560.14","-557,475,378.97","62,285,841.23","141,538,853.60","93,599,082.93","202,254,771.44","967,493,880.01","-1,641,282,269.56","-1,255,431,034.74"
购建固定资产、无形资产和其他长期资产支付的现金,"37,864,193.88","32,261,433.40","22,749,786.58","23,908,916.84","27,507,423.77","31,326,632.15","2,206,845.41","3,907,836.74","6,180,423.23","8,554,766.47","1,947,572.21","2,981,533.48","6,794,879.96","11,911,169.22","3,971,747.76","6,676,427.34","9,894,482.39","22,524,888.81","10,579,693.23","11,726,534.31"
期初现金及现金等价物余额,"101,202,457.92","383,210,476.50","432,735,875.48","659,662,605.55","659,662,605.55","659,662,605.55","704,825,166.03","704,825,166.03","704,825,166.03","704,825,166.03","994,811,978.64","994,811,978.64","1,047,811,978.64","994,811,978.64","1,057,097,819.87","1,057,097,819.87","1,057,097,819.87","1,057,097,819.87","2,024,591,699.88","2,024,591,699.88"
投资支付的现金,"7,606,397.53",,"5,883,444.00","45,983,185.92","62,312,906.72","147,027,237.15","49,401,174.00","1,494,403,372.54","1,895,212,701.80","2,415,017,901.70","587,758,718.60","954,942,405.41","2,252,145,112.69","2,580,379,185.12","346,295,666.40","447,769,672.26","622,431,002.13","692,663,731.55","916,701,065.70","1,100,508,718.19"
期末现金及现金等价物余额,"383,210,476.50","432,735,875.48","659,662,605.55","725,266,851.21","763,782,120.59","704,825,166.03","1,849,946,620.58","931,685,667.69","915,539,471.19","994,811,978.64","813,353,639.94","1,027,634,538.78","490,336,599.67","1,057,097,819.87","1,198,636,673.47","1,150,696,902.80","1,259,352,591.31","2,024,591,699.88","383,309,430.32","769,160,665.14"
