科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"345,526,113.47","520,177,240.31","653,485,503.44","185,473,701.73","307,490,103.41","455,213,873.01","779,157,663.48","233,612,701.99","444,221,163.90","732,062,087.81","998,990,284.49","519,526,142.60","827,358,666.41","1,264,671,285.27","1,421,756,649.00","332,839,004.67","678,842,364.43","1,051,415,725.67","1,486,944,387.70","344,930,549.04"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"519,513,605.00",,,,,,,,,
收到的税费返还,"1,139,348.38","624,394.44","604,613.94",,,,,,"2,022,089.35","2,022,089.35","2,022,089.35",,,,"123,600.00",,"2,723,365.77","5,122,093.46","4,256,572.34","843,017.43"
支付其他与投资活动有关的现金,,,,,,,,"100,000,000.00","100,000,000.00","100,000,000.00","183,511,853.45",,,,,,,,,
收到其他与经营活动有关的现金,"9,907,057.21","11,969,144.21","7,968,700.17","1,880,396.81","4,409,129.17","6,191,760.05","10,831,804.02","1,799,806.63","3,872,619.65","5,364,893.38","8,186,061.43","18,577,793.06","49,015,448.77","45,464,270.17","23,561,741.48","10,582,468.26","16,831,619.67","26,639,628.66","31,876,532.63","2,862,288.48"
投资活动现金流出小计,"60,341,458.84","71,902,359.91","61,430,596.58","13,591,962.69","279,424,839.66","320,799,819.50","242,699,387.57","177,609,998.98","243,099,602.70","268,059,758.45","892,846,488.34","223,334,440.21","285,226,510.85","339,855,307.64","382,876,999.95","51,176,675.63","87,426,757.35","106,155,258.44","174,225,893.38","85,798,965.72"
经营活动现金流入小计,"356,572,519.06","532,770,778.96","662,058,817.55","187,354,098.54","311,899,232.58","461,405,633.06","789,989,467.50","235,412,508.62","450,115,872.90","739,449,070.54","1,009,198,435.27","538,103,935.66","876,374,115.18","1,310,135,555.44","1,445,441,990.48","343,421,472.93","698,397,349.87","1,083,177,447.79","1,523,077,492.67","348,635,854.95"
投资活动产生的现金流量净额,"-60,228,800.53","-71,625,178.07","-61,189,153.58","-13,591,962.69","-279,153,339.66","-318,478,802.37","-238,662,596.13","-47,105,135.95","-11,887,205.42","-36,846,361.17","-661,262,068.21","-162,862,933.36","-124,227,239.50","-178,856,784.90","-221,874,373.21","-51,050,336.94","-87,418,757.35","-106,128,456.44","-174,135,396.78","-85,798,965.72"
购买商品、接受劳务支付的现金,"188,854,015.15","313,069,319.30","372,562,351.65","114,720,746.08","147,064,860.00","233,180,575.13","501,740,787.58","124,618,539.56","255,081,599.31","393,089,739.89","559,734,412.91","423,838,556.61","574,057,099.27","906,877,163.63","1,177,980,177.31","279,570,806.64","533,522,290.48","796,237,435.83","1,186,635,319.26","201,353,905.50"
吸收投资收到的现金,,,"2,000,000.00","385,830,000.00","385,830,000.00","385,830,000.00","385,830,000.00",,,,"883,550,083.00",,,"2,000,000.00",,,,,,
支付给职工以及为职工支付的现金,"51,436,125.96","70,982,570.51","93,516,148.07","35,408,742.29","60,484,067.12","82,713,775.96","109,663,128.26","38,136,330.21","62,482,062.83","96,608,487.73","125,701,912.61","57,512,544.21","93,971,942.13","132,238,421.20","178,180,082.73","51,646,907.36","91,200,565.62","133,804,856.52","182,370,249.52","55,835,533.55"
取得借款收到的现金,"69,000,000.00","46,000,000.00","34,000,000.00","10,000,000.00","10,000,000.00","20,000,000.00","36,000,000.00",,,"10,000,000.00","10,000,000.00",,"12,000,000.00","66,500,000.00","476,697,397.83","195,577,073.60","317,437,073.60","566,909,576.00","1,036,911,375.47","4,000,000.00"
支付的各项税费,"31,663,170.54","36,609,888.85","55,021,078.70","21,517,406.28","44,379,702.95","55,819,595.80","72,924,709.05","23,975,940.24","46,301,564.58","68,742,188.64","91,478,479.17","59,286,831.64","108,151,603.16","149,003,055.68","190,001,976.73","33,875,893.25","85,810,967.90","113,817,981.34","135,701,214.71","23,864,143.60"
收到其他与筹资活动有关的现金,,,,"19,575.88",,"-214,497.33","668,011.33","168,268.31","75,287,011.19","46,429,172.08","501,683.22","412,680.55","29,674,995.73","114,990,360.73","854,390.38",,,,"112,154.95",
支付其他与经营活动有关的现金,"26,159,566.20","28,310,259.21","27,844,428.01","4,721,209.99","17,729,044.08","22,137,197.66","30,964,884.12","10,014,541.70","19,468,767.14","31,123,418.61","48,040,145.03","23,014,680.44","44,684,810.41","65,577,070.34","110,062,764.20","18,442,204.44","40,290,681.12","57,342,003.73","119,765,132.13","19,953,292.09"
筹资活动现金流入小计,"69,000,000.00","46,000,000.00","36,000,000.00","395,849,575.88","395,830,000.00","405,615,502.67","422,498,011.33","168,268.31","75,287,011.19","56,429,172.08","894,051,766.22","412,680.55","41,674,995.73","183,490,360.73","477,551,788.21","195,577,073.60","317,437,073.60","566,909,576.00","1,037,023,530.42","4,000,000.00"
经营活动现金流出小计,"298,112,877.85","448,972,037.87","548,944,006.43","176,368,104.64","269,657,674.15","393,851,144.55","715,293,509.01","196,745,351.71","383,333,993.86","589,563,834.87","824,954,949.72","563,652,612.90","820,865,454.97","1,253,695,710.85","1,656,225,000.97","383,535,811.69","750,824,505.12","1,101,202,277.42","1,624,471,915.62","301,006,874.74"
偿还债务支付的现金,"58,000,000.00","54,000,000.00","38,000,000.00","8,000,000.00","8,000,000.00","18,000,000.00","34,000,000.00","10,000,000.00","10,000,000.00","20,000,000.00","36,000,000.00",,"34,000,000.00","44,000,000.00","54,100,000.00","40,300,000.00","61,300,000.00","254,343,600.00","506,830,605.65","142,995,700.00"
经营活动产生的现金流量净额,"58,459,641.21","83,798,741.09","113,114,811.12","10,985,993.90","42,241,558.43","67,554,488.51","74,695,958.49","38,667,156.91","66,781,879.04","149,885,235.67","184,243,485.55","-25,548,677.24","55,508,660.21","56,439,844.59","-210,783,010.49","-40,114,338.76","-52,427,155.25","-18,024,829.63","-101,394,422.95","47,628,980.21"
分配股利、利润或偿还利息支付的现金,"3,447,756.47","3,062,532.17","8,102,922.30","513,399.99","37,112,198.87","37,963,924.67","38,182,630.56","76,812,144.13","79,969,398.07","80,255,450.02","80,569,930.86","574,199.99","151,776,166.43","158,994,061.66","160,459,647.62","7,888,126.95","112,648,047.25","115,932,165.47","107,646,366.61","3,144,195.25"
收回投资收到的现金,,,,,,,,"130,000,000.00","230,000,000.00","230,000,000.00","230,000,000.00","60,000,000.00","160,000,000.00","160,000,000.00","160,000,000.00",,,,,
支付其他与筹资活动有关的现金,,,,"9,341,516.50","9,381,516.50","9,381,516.50","9,381,516.50",,"1,740,000.00","3,826,335.41","6,556,325.59",,"10,000,000.00","10,100,000.00","52,500.00","80,500.00","168,000.00","252,000.00","938,351.00","49,000.00"
取得投资收益收到的现金,,,,,,"2,303,017.13","3,927,332.24","504,863.03","1,082,397.28","1,082,397.28","1,082,397.28","301,506.85","753,351.35","752,602.74","752,602.74",,,,,
筹资活动现金流出小计,"61,447,756.47","57,062,532.17","46,102,922.30","17,854,916.49","54,493,715.37","65,345,441.17","81,564,147.06","86,812,144.13","91,709,398.07","104,081,785.43","123,126,256.45","574,199.99","195,776,166.43","213,094,061.66","214,612,147.62","48,268,626.95","174,116,047.25","370,527,765.47","615,415,323.26","146,188,895.25"
处置固定资产、无形资产和其他长期资产收回的现金净额,"112,658.31","277,181.84","241,443.00",,"271,500.00","18,000.00","109,459.20",,"130,000.00","131,000.00","502,022.85","170,000.00","245,920.00","245,920.00","250,024.00","126,338.69","8,000.00","26,802.00","90,496.60",
筹资活动产生的现金流量净额,"7,552,243.53","-11,062,532.17","-10,102,922.30","377,994,659.39","341,336,284.63","340,270,061.50","340,933,864.27","-86,643,875.82","-16,422,386.88","-47,652,613.35","770,925,509.77","-161,519.44","-154,101,170.70","-29,603,700.93","262,939,640.59","147,308,446.65","143,321,026.35","196,381,810.53","421,608,207.16","-142,188,895.25"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-73,436.36","-9,806.73","1,301,762.80","118,033.54","92,207.63","1,097,552.52","1,562,373.56","107,935.65","810,644.27","1,177,474.89","3,495,371.83","229,462.49","62,359.26","-893,925.89","-2,347,143.05","-3,782,206.31","2,324,222.06","6,543,062.25","6,127,146.17","-1,140,025.15"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"112,658.31","277,181.84","241,443.00",,"271,500.00","2,321,017.13","4,036,791.44","130,504,863.03","231,212,397.28","231,213,397.28","231,584,420.13","60,471,506.85","160,999,271.35","160,998,522.74","161,002,626.74","126,338.69","8,000.00","26,802.00","90,496.60",
五、现金及现金等价物净增加额,"5,709,647.85","1,101,224.12","43,124,498.04","375,506,724.14","104,516,711.03","90,443,300.16","178,529,600.19","-94,973,919.21","39,282,931.01","66,563,736.04","297,402,298.94","-188,343,667.55","-222,757,390.73","-152,914,567.13","-172,064,886.16","52,361,564.64","5,799,335.81","78,771,586.71","152,205,533.60","-181,498,905.91"
购建固定资产、无形资产和其他长期资产支付的现金,"60,341,458.84","71,902,359.91","61,430,596.58","13,591,962.69","43,424,839.66","74,799,819.50","106,699,387.57","27,609,998.98","43,099,602.70","68,059,758.45","89,821,029.89","63,334,440.21","125,226,510.85","179,855,307.64","231,876,999.95","51,176,675.63","87,426,757.35","106,155,258.44","174,225,893.38","85,798,965.72"
期初现金及现金等价物余额,"14,395,195.56","20,104,843.41","21,206,067.53","64,330,565.57","64,330,565.57","64,330,565.57","64,330,565.57","242,860,165.76","242,860,165.76","242,860,165.76","242,860,165.76","540,262,464.70","540,262,464.70","540,262,464.70","540,262,464.70","368,197,578.54","368,197,578.54","368,197,578.54","368,197,578.54","520,403,112.14"
投资支付的现金,,,,,"236,000,000.00","246,000,000.00","136,000,000.00","50,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","160,000,000.00","160,000,000.00","160,000,000.00","151,000,000.00",,,,,
期末现金及现金等价物余额,"20,104,843.41","21,206,067.53","64,330,565.57","439,837,289.71","168,847,276.60","154,773,865.73","242,860,165.76","147,886,246.55","282,143,096.77","309,423,901.80","540,262,464.70","351,918,797.15","317,505,073.97","387,347,897.57","368,197,578.54","420,559,143.18","373,996,914.35","446,969,165.25","520,403,112.14","338,904,206.23"
