科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"164,338,753.05","211,177,244.14","225,006,163.77","59,186,400.00","159,234,580.88","250,362,367.62","365,170,909.65","122,992,313.91","326,061,876.35","569,203,201.09","850,490,383.80","242,248,067.60","736,852,723.75","1,186,338,324.85","1,586,331,194.25","385,597,719.72","991,228,915.64","1,366,098,014.26","2,087,285,066.16","457,608,693.35"
二、营业利润,"36,447,409.18","43,164,165.12","46,319,897.92","12,288,900.00","23,494,088.97","41,202,978.37","44,173,268.90","22,052,896.02","57,722,886.88","92,086,955.28","126,593,126.19","29,019,202.58","123,808,472.78","154,798,234.58","251,161,623.36","70,490,005.13","207,166,147.72","244,328,749.48","376,755,015.00","94,208,892.87"
减:营业成本,"95,969,622.87","129,994,391.58","132,699,273.03",,"105,352,162.44","162,477,960.59","238,936,018.12","71,235,028.86","189,212,159.75","343,164,179.54","545,416,980.39","162,664,380.03","483,833,344.44","829,554,518.64","1,071,585,164.47","241,291,467.21","644,516,026.78","898,175,551.19","1,402,639,765.31","275,267,760.70"
加:补贴收入,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,685,981.73","1,606,903.08","1,902,553.76",,"2,006,103.23","2,540,243.94","2,962,116.77","593,578.80","1,600,851.55","3,412,664.43","7,407,424.51","2,064,014.17","7,024,571.30","9,692,599.90","15,478,301.70","4,414,841.14","9,151,916.19","11,898,743.99","18,504,798.90","5,811,547.78"
营业外收入,"5,358,701.11","13,980,834.53","10,644,328.84",,"9,904,081.16","15,995,330.78","23,305,362.33","1,679,170.79","8,136,542.21","16,908,178.89","26,558,300.45","9,098,493.71","10,125,204.11","12,543,156.89","1,952,213.24","323,352.00","372,739.18","4,086,776.72","4,501,140.07","186,760.74"
销售费用,"7,488,895.62","9,352,938.20","9,683,262.86",,"4,787,672.73","9,122,463.86","13,315,420.31","3,926,818.34","13,056,456.78","30,642,828.73","45,289,262.77","7,589,911.17","22,822,611.18","37,210,965.41","56,889,209.89","11,834,024.77","29,066,341.03","47,690,468.28","63,358,185.18","19,154,790.36"
减:营业外支出,,"296,000.00","57,848.00",,"142,571.55","148,935.65","206,865.32","95,800.00","210,303.15","282,143.98","697,173.08","11,024.93","722,406.54","1,131,232.95","249,655.92","184,542.92","1,665,994.95","2,026,194.41","1,634,154.96","138,374.00"
管理费用,"19,451,986.27","24,045,095.69","28,809,331.14",,"18,779,505.46","26,142,846.60","50,886,744.15","22,524,405.14","44,081,138.63","75,046,242.16","94,411,421.87","23,186,806.10","74,023,935.52","116,813,451.18","177,394,938.84","44,965,134.06","96,124,839.51","65,287,600.59","87,108,919.78","24,097,571.78"
其中:非流动资产处置净损失,,,,,,,"68,513.00",,,,"17,463.35",,,"271,313.81",,,,,,
