科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"51,706,877.81","46,921,178.18","47,911,365.94","41,705,256.61","293,457,720.31","218,872,291.10","64,962,007.56","130,461,440.07","176,307,639.99","157,919,011.30","137,896,003.34","142,252,350.72","182,371,017.73","150,095,668.24"
短期借款,"118,191,033.78","166,336,602.76","169,356,348.21","170,531,645.23","169,909,654.20","129,315,347.29","111,543,663.03","43,957,797.65","125,421,727.37","143,753,437.63","138,205,946.90","171,623,755.58","214,063,933.45","195,554,001.11"
交易性金融资产,,,,,,,,,,,,,,"22,400,000.00"
交易性金融负债,,,,,,,,,,,,,,
应收票据,,"1,380,900.00","161,400.00","215,350.00",,,"237,690.00","1,831,357.40","811,603.70","569,834.46","709,814.00",,"1,698,882.35","540,989.34"
应付票据,,,,,,,,,,,,,,
应收账款,"88,576,617.18","106,130,604.86","103,750,539.78","129,179,241.93","108,607,334.15","141,973,106.24","140,428,225.43","136,053,696.14","131,639,060.30","126,977,599.07","152,034,662.19","150,810,551.37","142,409,037.82","177,773,055.90"
应付账款,"75,549,363.77","48,971,536.93","49,489,500.82","63,203,026.82","47,553,082.26","58,734,390.47","57,599,463.68","51,766,468.25","53,390,496.39","44,413,958.06","36,050,258.46","37,866,572.50","25,523,593.23","32,795,191.62"
预付款项,"1,543,196.72","1,800,910.95","1,663,620.30","4,562,529.04","5,975,167.67","10,207,686.91","3,741,420.04","4,357,569.75","6,253,054.60","11,423,039.58","4,363,596.78","4,540,924.98","3,074,476.44","4,452,451.78"
预收款项,"181,380.36","40,898.49","180,584.22","169,041.66","199,513.93","178,847.12","22,525.00","142,402.58","35,065.00","21,777.00","596,485.00",,"48,175.54","78,272.18"
其他应收款,"247,885.03","658,280.10","544,193.18","1,238,281.10","1,119,056.63","1,495,230.62","395,822.15","928,986.87","738,790.90","961,737.96","425,354.95","828,044.24","856,618.06","2,176,188.85"
应付职工薪酬,"2,207,651.17","3,063,915.39","3,593,695.39","3,920,544.21","4,396,053.13","4,263,634.70","4,159,309.84","3,886,029.47","4,066,435.45","4,188,445.91","4,438,928.80","4,384,357.49","4,120,915.53","4,802,249.59"
应收关联公司款,,,,,,,,,,,,,,
应交税费,"3,635,523.41","3,417,079.85","3,884,998.23","2,442,044.53","3,185,750.52","2,429,913.22","2,332,679.74","1,303,667.82","1,784,750.21","1,396,798.12","999,170.02","364,468.59","818,266.67","347,908.68"
应收利息,,,,,,,"949,323.29",,,,"43,162.07","40,991.42","544,136.39","667,035.50"
应付利息,,"443,206.83",,"300,000.00","100,826.50","71,916.46","412,310.42",,"278,473.38","54,608.07","71,479.76","45,674.54","298,787.07","236,807.38"
应收股利,,,,,,,,,,,,,,
应付股利,,,,,,,,,"11,779,194.00",,,,"7,572,339.00",
存货,"59,381,902.10","62,971,986.59","58,799,705.30","62,818,905.80","68,085,996.50","71,679,741.45","74,091,485.97","83,063,209.36","83,445,871.33","92,910,825.88","92,102,126.15","105,133,762.90","102,335,017.23","103,783,807.53"
其他应付款,"1,329,160.92","5,992,297.55","25,362,895.53","11,711,421.26","6,444,364.66","1,042,985.54","1,231,262.60","2,375,102.51","15,192,945.65","12,560,675.45","7,443,529.68","7,084,580.93","16,317,247.51","263,924,289.12"
其中:消耗性生物资产,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,
一年内到期的非流动负债,"3,223,980.04","56,000,000.00",,,,,"8,080,343.17","6,179,776.64","4,203,411.78","2,128,599.02",,,"5,584,188.66","4,978,390.66"
其他流动资产,"2,227,786.35","4,113,471.95","6,398,109.37","8,338,886.64","8,812,085.56","8,628,386.73","155,016,520.29","7,749,525.39","15,527,550.04","13,719,480.81","4,693,521.65","9,955,323.45","8,139,759.44","5,470,734.70"
其他流动负债,,,,,,,,,,,,,,
流动资产合计,"203,684,265.19","223,977,332.63","219,228,933.87","248,058,451.12","486,057,360.82","452,856,443.05","439,822,494.73","364,445,784.98","414,723,570.86","404,481,529.06","392,268,241.13","413,561,949.08","441,428,945.46","467,359,931.84"
流动负债合计,"204,318,093.45","284,265,537.80","251,868,022.40","252,277,723.71","231,789,245.20","196,037,034.80","185,381,557.48","109,611,244.92","216,152,499.23","208,518,299.26","187,805,798.62","221,369,409.63","274,347,446.66","502,717,110.34"
可供出售金融资产,,,,,,,,,,,,,,
长期借款,"110,077,165.15","29,882,267.24","20,154,167.60","34,579,504.63","36,264,607.03","32,979,336.83","21,409,492.19","19,339,854.01","17,200,486.33","14,935,187.86","12,981,684.26","10,439,174.63","2,064,885.15",
持有至到期投资,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,
固定资产,"360,359,729.12","384,001,347.01","375,918,149.28","365,820,923.27","364,431,653.31","358,322,745.17","385,395,921.06","374,532,222.71","364,157,024.26","387,025,617.33","427,266,411.41","415,494,830.08","403,093,291.54","440,931,125.43"
递延所得税负债,,,,,,,"820,136.68","820,136.68","820,136.68","820,136.68","1,511,330.80","1,511,330.80","1,511,330.80","1,511,330.80"
在建工程,"131,862.50","8,472,584.62","26,806,710.83","26,352,502.23","36,022,353.97","38,257,537.54","19,054,860.81","23,147,203.81","93,364,951.50","74,883,083.17","26,594,313.24","58,548,332.28","78,165,626.09","37,292,739.41"
其他非流动负债,,,,,,,,"3,533,474.73",,,,,,"7,094,794.90"
工程物资,,,,,,,,,,,,,,
非流动负债合计,"114,125,330.67","33,630,174.92","23,593,871.84","37,942,158.01","39,550,209.55","36,187,888.49","25,850,505.27","23,693,465.42","21,466,696.07","19,360,881.26","19,368,568.09","16,698,055.75","8,195,763.56","8,606,125.70"
固定资产清理,,,,,,,,,,,,,,
负债合计,"318,443,424.12","317,895,712.72","275,461,894.24","290,219,881.72","271,339,454.75","232,224,923.29","211,232,062.75","133,304,710.34","237,619,195.30","227,879,180.52","207,174,366.71","238,067,465.38","282,543,210.22","511,323,236.04"
生产性生物资产,,,,,,,,,,,,,,
实收资本(或股本),"126,194,200.00","126,194,200.00","126,194,200.00","126,194,200.00","168,274,200.00","168,274,200.00","168,274,200.00","168,274,200.00","168,274,200.00","168,274,200.00","168,274,200.00","168,274,200.00","168,274,200.00","168,274,200.00"
油气资产,,,,,,,,,,,,,,
资本公积,"52,278,058.61","52,278,058.61","52,278,058.61","52,278,058.61","256,892,458.61","256,892,458.61","256,892,458.61","256,892,458.61","256,892,458.61","256,892,458.61","256,892,458.61","256,892,458.61","256,892,458.61","256,892,458.61"
无形资产,"12,654,359.22","12,359,290.09","12,467,330.41","12,400,160.35","12,332,990.29","12,265,820.23","12,190,278.60","12,123,108.54","12,055,938.48","11,988,768.42","11,921,598.36","11,854,428.30","11,787,258.24","11,870,088.18"
盈余公积,"9,328,047.46","14,578,128.18","19,574,885.82","19,574,885.82","19,574,885.82","19,574,885.82","23,653,548.79","23,653,548.79","23,653,548.79","23,653,548.79","26,373,735.60","26,373,735.60","26,373,735.60","26,373,735.60"
开发支出,,,,,,,,,,,,,,"1,694,422.94"
减:库存股,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,"216,853,594.37"
未分配利润,"71,501,295.56","118,840,290.28","164,819,290.22","173,779,597.36","187,982,266.15","199,897,067.18","202,108,306.98","206,289,037.33","202,858,018.48","205,965,763.96","216,356,853.99","218,450,191.26","215,086,124.42","220,421,330.93"
长期待摊费用,,,,,,,,,,,,,,
少数股东权益,,,,,,,,,,,,,,
递延所得税资产,"914,809.72","975,835.44","907,599.37","963,942.39","864,256.17","865,859.80","1,037,338.30","993,921.42","990,957.86","985,289.02","1,234,637.44","1,232,449.28","1,177,491.03","1,217,945.55"
外币报表折算价差,,,,,,,,,,,,,,
其他非流动资产,,,"2,999,605.13","8,450,644.15","4,354,650.77","14,295,129.11","4,659,683.63","13,171,713.61","4,004,978.22","3,300,864.88","15,786,413.33","7,366,061.83","13,517,116.49","6,065,113.46"
非正常经营项目收益调整,,,,,,,,,,,,,,
非流动资产合计,"374,060,760.56","405,809,057.16","419,099,395.02","413,988,172.39","418,005,904.51","424,007,091.85","422,338,082.40","423,968,170.09","474,573,850.32","478,183,622.82","482,803,373.78","494,496,101.77","507,740,783.39","715,925,029.34"
所有者权益(或股东权益)合计,"259,301,601.63","311,890,677.07","362,866,434.65","371,826,741.79","632,723,810.58","644,638,611.61","650,928,514.38","655,109,244.73","651,678,225.88","654,785,971.36","667,897,248.20","669,990,585.47","666,626,518.63","671,961,725.14"
资产总计,"577,745,025.75","629,786,389.79","638,328,328.89","662,046,623.51","904,063,265.33","876,863,534.90","862,160,577.13","788,413,955.07","889,297,421.18","882,665,151.88","875,071,614.91","908,058,050.85","949,169,728.85","1,183,284,961.18"
负债和所有者(或股东权益)合计,"577,745,025.75","629,786,389.79","638,328,328.89","662,046,623.51","904,063,265.33","876,863,534.90","862,160,577.13","788,413,955.07","889,297,421.18","882,665,151.88","875,071,614.91","908,058,050.85","949,169,728.85","1,183,284,961.18"
