科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"77,020,215.30","82,172,347.57","85,072,591.03","59,296,662.58","245,886,113.56","137,993,626.23","113,837,694.11","150,701,351.60","95,495,692.74","80,645,183.44"
短期借款,"49,954,055.14","57,750,492.91","42,574,110.30","11,419,358.63","23,439,420.40","10,336,130.00","20,279,957.00","45,093,856.00","34,597,020.83","35,000,000.00"
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,"25,937,306.85","6,112,769.61","55,239,495.29","31,341,966.16","17,843,429.20","28,889,615.23","44,919,838.98","65,599,448.03","102,347,259.27","110,321,109.60"
应付票据,"4,800,000.00",,,,"3,500,000.00","3,500,000.00",,,,"2,067,520.00"
应收账款,"144,271,101.46","165,085,743.66","150,185,308.46","151,672,562.02","190,144,948.35","166,450,380.95","164,600,392.82","140,782,869.84","193,053,775.61","194,953,522.21"
应付账款,"85,730,452.10","77,834,732.96","115,876,815.66","103,150,105.06","81,540,072.72","99,218,778.31","93,062,648.94","86,946,568.95","126,832,839.15","94,245,591.15"
预付款项,"4,418,121.94","14,971,527.21","10,399,461.33","8,502,480.59","3,378,264.12","20,286,085.80","16,176,024.49","9,801,634.35","8,522,443.11","13,747,599.30"
预收款项,"3,702,796.94","2,618,082.81","1,616,206.19","2,083,308.44","1,735,575.70","9,278,755.89","11,067,798.41","6,884,366.65","3,908,481.04","8,194,581.90"
其他应收款,"1,107,456.17","1,466,103.75","2,035,028.97","1,902,251.32","1,896,307.85","1,722,906.52","3,065,505.53","2,036,980.47","595,099.76","1,851,629.24"
应付职工薪酬,"5,513,541.08","4,170,673.38","4,334,149.62","2,627,845.39","3,195,285.53","6,919,485.46","3,890,302.13","4,211,610.44","4,553,592.58","8,648,079.80"
应收关联公司款,,,,,,,,,,
应交税费,"8,179,153.38","3,552,214.74","4,949,891.00","4,978,420.81","7,660,136.66","2,424,550.10","3,654,800.18","3,382,344.98","2,631,270.71","6,120,652.80"
应收利息,,,,,,,,"183,326.02","361,920.00","289,020.96"
应付利息,,"199,323.30","44,549.92",,"42,490.47","122,372.53",950.00,"3,299.62","5,886.26","48,182.30"
应收股利,,,,,,,,,,
应付股利,,,,,,,,,,
存货,"37,159,521.63","29,107,755.82","40,436,827.48","43,941,762.12","35,499,549.63","38,290,832.79","52,611,532.57","59,381,746.56","58,649,206.93","70,231,478.88"
其他应付款,"3,675,651.70","1,800,281.10","2,119,462.35","1,697,355.78","6,319,044.84","3,221,218.23","1,607,559.63","19,791,093.10","17,311,326.89","17,752,602.79"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,"643,619.30","365,933.69","696,376.74",,,,,,,
其他流动资产,"2,259.98","1,640,296.48","9,569,839.87","9,728,686.96","8,067,878.82","114,875,947.84","116,905,076.01","106,159,427.53","103,465,887.61","76,770,582.38"
其他流动负债,,,,,,,,,,
流动资产合计,"289,915,983.33","300,556,544.10","352,938,552.43","306,386,371.75","502,716,491.53","508,509,395.36","512,116,064.51","534,646,784.40","562,491,285.03","548,810,126.01"
