科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"44,773,465.18","80,939,790.62","133,844,861.58","100,832,015.38","116,134,792.73","146,346,115.98","364,672,189.69","313,936,378.04","343,648,603.76","395,651,947.32"
短期借款,,,,,,,,"10,403,998.70",,"5,000,000.00"
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,,,,,,,,,,
应付票据,,,"3,592,894.00","966,200.00","1,204,948.00","4,801,770.84","1,884,908.00","1,974,252.44","2,137,136.90","2,522,304.35"
应收账款,"8,921,647.82","18,318,395.86","26,752,555.32","27,048,304.87","28,184,957.48","54,344,434.31","52,169,825.82","58,870,635.90","38,317,774.62","52,641,737.94"
应付账款,"2,557,144.76","10,962,198.18","17,750,725.51","14,568,107.53","15,223,651.81","42,701,190.58","24,244,466.99","21,984,304.03","26,213,616.65","45,819,523.31"
预付款项,"21,190,005.92","3,307,479.51","6,680,039.04","6,753,831.97","6,877,632.17","10,146,539.66","6,823,153.50","5,995,066.10","4,265,897.23","6,647,368.34"
预收款项,"3,616,825.28","5,075,135.80","7,332,756.71","8,105,117.71","8,801,488.66","6,794,990.28","8,634,374.95","11,439,703.30","18,942,806.27","35,490,434.29"
其他应收款,"5,227,132.42","15,592,668.44","6,114,742.25","3,519,475.72","3,361,401.78","5,987,846.14","3,739,646.68","9,581,828.41","10,668,538.21","29,103,890.18"
应付职工薪酬,"4,580,904.14","5,676,711.19","9,753,489.63","4,973,547.03","5,364,800.96","11,839,812.95","6,478,869.05","3,711,887.00","3,765,013.50","13,733,314.17"
应收关联公司款,,,,,,,,,,
应交税费,"6,498,617.25","9,840,560.24","2,473,622.05","5,255,756.15","4,018,232.19","5,917,805.68","1,863,032.42","4,036,810.41","2,006,085.83","3,525,173.19"
应收利息,,,,,,,,"700,522.00",,"659,908.45"
应付利息,,,,,,,,"15,082.31",,"6,041.67"
应收股利,,,,,,,,,,
应付股利,,"1,096,500.00",,,,,,,,
存货,"10,274,178.61","33,719,885.21","44,999,988.79","33,945,707.45","36,641,721.16","50,375,994.22","61,816,939.16","73,376,309.52","83,090,316.56","88,010,008.56"
其他应付款,"203,929.47","307,135.44","241,759.18","275,112.30","80,549.00","1,769,932.39","411,755.73","472,955.36","304,281.53","1,559,263.36"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,
其他流动资产,"885,317.67",,,"69,607.46","95,879.47","523,138.17","300,026,786.69","301,440,770.02","300,000,000.00","300,000,000.00"
其他流动负债,,,,,,,,,,
