科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"76,433,651.06","221,665,391.00","149,518,536.31","140,181,251.67","71,454,252.54","110,883,999.15","99,206,738.67","86,578,503.59","115,111,103.66","159,747,632.52","461,444,087.47","531,824,706.11","380,772,218.14","634,608,884.00","353,697,267.47"
短期借款,"35,000,000.00","31,800,000.00",,"48,500,000.00","33,500,000.00","33,500,000.00","21,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,,,"20,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,
应收票据,"4,691,522.98","6,014,755.00","5,733,573.23",,"690,121.80",,"1,729,011.20",,"500,000.00","1,000,000.00","2,300,000.00","810,243.00","2,152,434.00","2,298,800.00","1,851,200.00"
应付票据,"2,025,415.20","1,750,689.72",,"8,107,595.67","12,383,251.76","13,235,448.20","5,678,976.30","6,934,249.50","14,798,210.50","6,911,208.00","6,802,617.50","11,111,599.68",,"6,713,102.91",
应收账款,"117,014,585.63","141,453,296.66","153,602,897.06","220,006,899.42","265,264,254.29","279,611,802.30","356,290,132.46","492,353,808.77","537,911,342.52","532,372,920.10","709,716,293.30","971,726,545.68","958,288,405.62","855,466,082.00","891,351,289.35"
应付账款,"38,926,500.90","38,180,018.55","38,294,141.18","31,769,369.82","24,838,018.68","22,637,538.25","42,258,933.19","39,133,378.78","68,589,703.47","53,647,345.75","70,160,733.03","55,023,865.05",,"91,705,613.09",
预付款项,"18,972,580.87","6,228,588.63","6,040,358.47","7,220,534.09","7,265,982.94","11,738,221.59","20,595,335.41","14,108,105.25","25,154,490.68","4,588,793.39","20,067,431.76","8,135,120.85","25,206,929.31","9,790,891.82","16,534,329.18"
预收款项,"20,701,226.38","26,516,904.33","55,544,109.88","42,139,178.00","50,752,712.00","51,239,830.45","47,042,385.65","47,256,357.27","41,984,837.27","42,729,056.73","41,152,897.77","43,784,596.51","34,207,076.41","33,234,361.03","24,002,801.72"
其他应收款,"5,329,768.03","9,691,336.18","7,794,568.58","11,670,299.12","10,796,823.83","9,678,688.76","11,766,183.11","13,059,965.98","13,343,225.24","11,136,023.56","14,832,890.60","13,726,163.70","14,731,968.94","41,227,152.43","13,967,171.57"
应付职工薪酬,"8,500,816.77","6,475,992.68","9,153,704.03","5,384,096.00","5,529,063.65","10,047,104.93","6,487,357.53","8,829,634.54","8,151,552.07","16,088,164.48","9,740,444.27","10,274,262.85","10,866,690.73","26,853,910.41","11,288,651.89"
应收关联公司款,,,,,,,,,,,,,,,
应交税费,"1,001,150.83","1,298,377.05","6,972,787.30","1,134,305.83","1,633,321.78","9,104,144.94","11,491,938.71","11,470,124.68","31,777,728.55","41,574,241.84","54,612,110.93","68,355,403.92","44,640,223.47","22,364,504.07","15,657,827.87"
应收利息,,,,,,,,,,,,"1,333,188.89",,,"428,341.77"
应付利息,,"74,168.89","422,716.81","475,958.89","517,971.34","538,939.45","519,748.82","478,598.95","462,149.20","479,141.08","605,011.66","806,968.95",,"1,339,851.28","420,811.62"
应收股利,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,
存货,"140,548,703.36","148,928,935.41","110,843,483.97","133,435,738.53","139,037,864.04","141,096,803.76","172,393,383.49","175,520,993.61","194,276,027.28","180,834,199.14","196,294,008.54","194,425,859.65","202,128,725.08","196,086,729.65","225,090,168.04"
其他应付款,"74,822,108.87","79,619,500.43","125,166,344.64","134,128,716.05","172,317,256.77","230,383,846.12","259,857,704.07","344,151,692.14","503,109,438.03","544,825,557.82","649,653,210.16","796,827,653.99","752,871,313.04","738,952,107.49","676,320,016.87"
其中:消耗性生物资产,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,
一年内到期的非流动负债,"83,228,000.00","158,740,000.00","76,212,000.00","43,185,474.00","50,770,948.00","34,356,422.00","17,541,896.00","27,541,896.00","27,741,896.00","45,929,967.00","20,000,000.00","20,000,000.00","49,136,327.35","49,136,327.35","49,136,327.35"
其他流动资产,"16,811,572.52","14,903,899.58","27,639,212.66","3,118,336.55","56,554,723.81","26,800,000.00","25,000,000.00","2,484,001.74","100,000,000.00","100,000,000.00","100,000,000.00","14,000,000.00","133,132,094.42","141,428.90","107,031,225.46"
