科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"304,861,066.90","608,883,664.62","1,154,798,003.20","1,121,580,846.42","682,247,251.69","569,567,347.44","1,299,813,771.42","748,019,298.21","1,460,579,157.85","594,903,216.58","1,277,863,509.40","2,298,427,675.78","1,195,186,630.64","1,233,266,168.53","1,293,805,711.96","1,016,447,115.24","622,907,439.84","515,283,151.86","516,011,601.05","844,599,548.27","614,785,337.33","843,844,459.34","1,147,907,573.51","2,000,407,913.71","2,961,185,286.38","2,592,605,793.97","2,015,886,148.27","907,864,289.35","1,316,234,353.73","921,729,032.39","2,036,736,492.60","3,334,528,941.79","2,504,466,045.94","2,105,964,983.59","3,333,412,721.82","3,869,433,360.00","3,533,928,521.66","3,658,413,372.15","4,303,017,701.87","4,035,476,149.93","3,844,214,649.55","1,583,121,136.11","2,298,293,934.31","2,540,905,096.68","2,407,252,328.72","2,465,154,365.96","2,580,672,340.50","3,463,790,283.69","3,202,551,648.43"
短期借款,"1,559,520,000.00","1,569,618,146.17","1,447,300,000.00","2,851,310,000.00","2,930,000,000.00","2,969,200,000.00","2,778,000,000.00","2,669,590,744.25","2,625,193,182.64","1,587,256,739.82","1,430,713,443.92","1,504,177,502.28","954,636,307.70","1,014,326,969.42","1,012,012,052.68","1,003,964,055.05","815,663,500.00","860,055,953.34","818,131,785.23","826,245,082.52","1,057,901,225.03","1,042,546,333.79","1,097,216,393.16","1,198,978,044.80","1,713,006,251.62","1,679,933,257.56","1,537,567,701.87","1,505,626,894.84","1,480,518,846.44","1,801,850,587.13","1,377,529,033.33","921,106,549.25","607,842,448.23","882,491,722.21","786,134,385.75","1,114,316,511.11","1,173,852,699.95","1,142,819,745.80","1,208,521,277.58","921,000,000.00","970,000,000.00","1,100,000,000.00","1,052,974,264.00","852,973,809.17","862,766,209.53","1,097,974,264.00","1,245,000,000.00","1,191,852,936.03","766,000,000.00"
交易性金融资产,"623,990.00",,"107,600.00",,,"172,335.06","146,297.98","3,145,791.62","170,437.14","185,126.24","182,674.76","206,319.68",,,,,,,,,,,,"10,601,460.00","10,700,785.00","9,800,490.00",,,,,,,,,,,,,,,,"4,311,132.22","110,021,759.14","175,091,943.84","100,329,499.78","4,500,282.32","24,541,893.50","57,498,171.64","75,812,438.37"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"14,167,192.41","1,539,279.08","63,774,599.66","66,009,262.72","31,925,933.91","50,176,719.95","13,369,093.28","61,450,490.34","47,860,186.33","53,145,451.50","60,459,617.98","47,279,931.91","64,578,199.84","44,495,455.14","90,402,836.03","53,784,984.78","75,063,234.99","56,724,443.45","47,599,636.94","55,645,578.52","37,282,583.31","92,665,432.86","67,288,793.04","78,652,388.25","74,534,196.96","78,636,680.82","111,269,454.33","63,621,557.29","125,170,276.75","84,896,488.63","46,410,271.39","108,296,424.51","52,715,323.39","53,191,220.58","93,142,030.29","90,392,107.08","85,697,560.59","105,209,083.06","71,095,624.10","74,310,987.61","121,748,707.15","212,272,910.50","219,009,459.24","233,091,772.28","252,369,090.82","240,054,694.99","239,664,529.22","254,742,902.40","179,301,234.98"
应付票据,"222,000,000.00","281,200,000.00","284,600,000.00","173,000,000.00","148,000,000.00","231,000,000.00","191,681,731.58","155,141,731.58","221,543,229.29","358,964,360.00","408,173,000.00","258,985,000.00","202,275,000.00","230,240,000.00","143,710,000.00","109,560,000.00","159,455,000.00","172,063,843.85","192,831,248.83","200,765,000.00","182,444,000.00","195,225,800.00","159,657,031.71","119,106,751.71","186,843,101.05","159,908,010.72","133,225,639.17","153,030,298.35","447,743,591.74","373,500,344.19","134,129,493.25","465,166,571.86","420,611,155.63","369,364,190.83","380,519,303.81","163,020,090.60","100,271,210.23","102,146,166.10","103,457,972.20","96,238,257.01","37,067,737.68","10,622,857.87","28,558,000.00","42,727,000.00","47,809,699.50","53,241,989.15",,"82,151,967.31",
应收账款,"438,950,745.16","532,385,807.88","485,146,979.43","394,765,025.96","466,326,418.81","449,577,085.35","436,973,354.02","311,039,029.16","332,002,561.63","340,223,563.38","380,462,363.38","419,563,316.07","564,878,246.19","666,025,022.23","603,234,034.48","577,364,468.73","756,267,952.55","691,251,919.23","632,660,688.12","459,112,847.14","646,177,370.94","611,822,353.56","550,989,827.43","679,941,656.76","838,048,661.93","839,816,352.33","818,886,681.76","667,751,192.10","823,302,287.51","833,960,178.06","710,085,686.92","585,141,915.52","665,097,597.19","727,095,164.37","652,364,093.12","578,188,846.98","591,003,982.31","638,439,419.82","658,803,429.82","648,062,969.33","636,228,994.88","659,075,105.59","689,208,058.80","664,305,373.73","670,393,432.50","723,859,182.91","645,505,714.74","580,236,983.48","661,531,186.35"
应付账款,"397,887,579.08","530,284,689.26","462,230,406.65","372,940,727.21","721,529,718.78","577,913,936.78","658,144,042.69","493,839,457.45","457,707,295.16","512,649,362.57","616,430,186.32","599,879,096.69","549,828,318.84","548,984,091.29","382,577,376.50","466,122,256.35","611,052,229.29","741,524,771.87","745,709,146.29","904,489,403.38","1,161,696,497.54","992,011,034.77","880,726,309.53","2,416,317,679.89","2,069,828,802.58","2,323,376,726.99","2,211,164,848.93","2,350,564,077.07","2,100,099,197.78","2,040,200,746.33","1,594,822,385.35","1,556,756,856.66","1,495,576,695.30","1,548,967,047.27","1,406,747,950.54","1,557,735,362.90","1,442,197,498.40","1,450,676,340.54","1,452,131,750.62","1,454,887,612.36","1,404,540,986.54","1,300,255,506.78","1,251,145,502.40","1,208,563,754.31","1,206,752,764.75","1,464,273,864.91",,"1,441,753,292.00",
预付款项,"350,821,917.31","490,720,939.31","497,610,325.37","121,807,886.81","267,499,742.90","232,914,657.42","294,645,451.64","349,741,125.08","491,310,770.55","535,967,137.02","974,041,002.06","934,949,087.78","1,179,638,818.08","1,140,500,422.75","716,864,208.54","1,141,296,164.14","1,194,971,944.19","740,184,600.64","833,820,262.75","774,128,129.14","892,874,104.02","880,616,951.62","1,127,397,774.23","837,871,555.50","852,508,426.29","810,454,631.74","905,024,532.66","995,613,953.37","678,960,964.95","689,449,409.11","399,435,842.65","299,670,478.35","248,708,000.20","218,739,087.07","331,511,786.24","284,159,799.32","517,189,931.38","253,740,469.93","414,915,673.47","342,531,151.43","575,420,001.02","474,044,617.11","594,216,602.76","350,028,046.75","426,433,197.69","305,151,187.69","361,390,510.45","156,136,990.82","220,032,419.77"
预收款项,"126,136,223.12","51,083,739.63","95,797,701.25","381,766,638.06","257,578,538.95","122,475,750.11","513,822,887.04","82,157,099.56","1,247,136,337.99","2,026,016,168.50","2,569,943,908.29","4,245,061,808.43","4,488,910,425.74","5,378,718,418.78","5,912,695,083.62","3,870,920,753.79","3,886,441,454.64","3,385,656,661.25","3,262,952,346.00","1,674,339,176.48","873,293,747.42","1,193,916,470.40","1,949,661,058.73","2,793,755,231.90","3,117,196,656.83","1,450,619,170.13","1,370,095,222.50","1,604,481,928.55","2,809,555,862.69","2,276,405,332.75","2,458,450,622.11","2,581,100,917.70","2,807,255,889.29","2,397,471,072.14","3,108,188,661.86","1,932,275,223.37","2,935,820,583.22","3,487,925,072.29","3,589,104,803.95","3,251,736,568.73","2,351,713,629.35","2,622,790,528.57","3,454,956,281.71","3,570,522,693.34","3,847,856,636.85","3,573,563,564.88","3,757,304,087.69","2,272,098,328.76","2,760,722,817.00"
