科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"100,018,969.18","265,642,617.35","430,247,230.61","646,398,815.91","151,976,991.50","312,166,762.16","467,766,839.46","567,331,625.49","147,312,173.51","278,973,416.23","618,263,032.88","626,460,174.26","83,715,845.88","70,457,946.54","271,956,623.02","318,294,944.14","141,445,846.32","322,249,206.92","473,775,400.23","2,278,419,354.68","479,487,316.41","1,165,299,248.34","2,143,195,114.18","3,053,939,333.97","620,438,259.67","1,202,351,101.90","1,860,321,935.73","2,661,810,487.88","596,168,748.32","1,071,695,047.19","1,659,666,641.04","2,432,380,725.88","541,144,433.54","1,586,821,644.43","2,812,731,029.70","4,556,401,131.92","1,515,247,866.09","3,249,580,862.28","4,576,414,973.57","6,137,683,264.00","1,172,892,960.18","2,199,690,929.15","3,729,235,696.37"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,"16,090,882.90",,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,"36,740.17","36,740.17",,"805,298.00","805,298.00","805,298.00","805,298.00",,"166,131.41","166,131.41",,,,"5,586.41",,,,,,,,,,,,,,,,,,,"66,808,892.39","140,107,806.11"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,"12,909,931.62",,,,,,,"3,160.97",,"498,905.88","235,200,000.00","235,200,652.43",,,,,,,,,,,"70,000,000.00","70,000,000.00","70,000,000.00",,"50,000,000.00","50,000,000.00"
收到其他与经营活动有关的现金,"855,259.22","1,573,905.48","1,605,805.74","8,692,349.04","4,402,776.27","4,328,908.88","4,409,491.74","375,342,741.71","279,148.04","65,858,430.38","311,372,756.52","118,119,597.59","6,631,022.26","27,081,168.46","45,557,654.44","81,931,799.74","29,606.50","61,728,188.67","68,233,248.39","474,247,758.52","386,283,953.49","284,239,702.79","289,835,616.60","262,413,244.84","50,204,092.34","114,390,926.09","240,523,279.33","223,879,773.75","210,309,857.85","260,979,954.28","132,877,317.25","141,652,479.14","11,337,514.15","50,186,827.66","344,659,312.54","179,288,811.63","55,349,151.46","192,365,859.44","272,991,042.09","350,124,856.23","182,797,523.25","454,897,770.68","864,367,051.93"
投资活动现金流出小计,"105,307.50","2,770,431.40","3,948,424.61","5,941,488.04","5,885,833.40","45,893,645.20","51,304,144.45","123,836,853.09",,"230,000.00","147,058,580.00","39,559.45",,"199,707,433.38","194,707,433.38","88,503,373.15",,,"3,870.00","24,896,573.88","434,692.41","368,005,125.15","377,349,869.48","484,230,863.47","3,407,539.88","238,339,553.00","238,530,553.46","5,722,107.78","935,667.00","1,484,947.00","14,666,815.00","160,510,431.00","714,979.96","968,356.65","11,267,277.76","12,308,809.76","54,235.00","170,784,772.72","479,289,224.12","341,591,860.21","106,439,739.21","330,733,462.52","970,596,732.98"
经营活动现金流入小计,"100,874,228.40","267,216,522.83","431,853,036.35","655,091,164.95","156,379,767.77","316,495,671.04","472,176,331.20","942,674,367.20","147,591,321.55","344,868,586.78","929,672,529.57","744,579,771.85","91,152,166.14","98,344,413.00","318,319,575.46","401,032,041.88","141,475,452.82","384,143,527.00","542,174,780.03","2,752,667,113.20","865,771,269.90","1,449,538,951.13","2,433,036,317.19","3,316,352,578.81","670,642,352.01","1,316,742,027.99","2,100,845,215.06","2,885,690,261.63","806,478,606.17","1,332,675,001.47","1,792,543,958.29","2,574,033,205.02","552,481,947.69","1,637,008,472.09","3,157,390,342.24","4,735,689,943.55","1,570,597,017.55","3,441,946,721.72","4,849,406,015.66","6,487,808,120.23","1,355,690,483.43","2,721,397,592.22","4,733,710,554.41"
投资活动产生的现金流量净额,"-105,307.50","-2,770,431.40","-3,948,424.61","-5,941,488.04","-5,885,833.40","-45,893,645.20","-51,304,144.45","-115,756,853.09",,"-230,000.00","-147,058,580.00","1,083,549.46",,"-14,933,770.64","-9,933,770.64","-33,821,933.26",,"74,885.76","75,888.09","4,959,351.84","-434,692.41","-364,236,107.16","-282,424,739.04","-420,015,689.79","-3,380,189.88","-2,811,771.26","-2,997,203.07","55,053,652.13","-566,419.00","-1,444,867.00","6,111,653.00","-132,668,132.23","384,222.37","7,192,841.49","-2,693,958.13","-431,478.73","2,945,765.00","-167,606,453.62","-402,851,673.91","-99,579,436.80","-106,224,227.38","-303,589,628.02","-943,448,389.88"
购买商品、接受劳务支付的现金,"90,213,986.82","279,835,550.85","408,009,770.43","603,066,243.53","81,946,464.34","212,089,746.58","382,369,368.87","442,724,879.29","178,116,644.17","331,771,632.80","779,356,387.81","701,450,129.72","103,226,005.21","95,946,080.91","307,311,868.39","303,288,485.25","146,572,133.15","323,254,467.34","480,919,659.93","2,629,237,952.41","359,488,872.00","613,428,279.10","643,516,830.40","1,195,913,495.48","471,739,823.97","1,197,060,856.74","1,451,754,069.22","2,690,035,871.36","635,267,206.91","1,627,882,104.11","2,230,643,284.87","2,611,276,427.60","803,419,973.67","1,078,831,546.45","1,378,690,364.10","1,868,849,021.70","555,490,936.39","1,356,145,022.16","1,581,768,764.87","2,807,872,688.62","938,476,736.27","3,155,402,438.28","4,636,386,227.81"
吸收投资收到的现金,,,,,,,,"20,000,000.00",,,"20,000,000.00",,,,,"10,000,000.00",,,,"714,500,500.00",,"9,600,000.00","9,600,000.00","9,600,000.00","34,058,092.80","34,058,092.80","34,058,092.80","80,534,892.80",,,,"1,150,749,796.50",,,"3,300,000.00",,,,"9,500,000.00","10,500,000.00",,,"72,220,000.00"
