科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30
货币资金,"825,852,756.44","926,731,506.39","681,296,047.30","1,229,319,713.62","3,036,605,847.67","1,415,014,795.82","1,641,932,983.86","721,649,954.38","1,089,181,879.42","1,483,384,234.61","733,232,097.47","870,420,838.92","1,018,842,958.14","730,255,415.06","691,793,347.27","1,432,385,380.70","1,124,539,095.88","696,677,121.33","524,945,337.88"
短期借款,"2,034,684,000.00","2,009,333,164.73","1,548,325,600.11","1,035,916,700.00","1,080,018,261.88","644,285,856.94","521,057,440.47","199,101,700.00","299,101,700.00","199,062,550.00","399,062,550.00","477,686,822.69","1,117,686,822.69","1,237,376,943.28","976,716,183.50","896,029,150.00","945,714,822.51","456,674,815.37","293,838,200.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,
应收票据,"493,214,895.89","469,576,908.28","641,389,543.29","941,628,714.20","1,230,797,646.02","949,601,212.49","1,209,262,376.46","2,267,016,870.00","1,586,433,892.64","710,345,515.28","1,278,036,752.43","868,338,262.76","944,653,060.61","1,127,357,797.12","1,402,996,925.66","438,083,293.17","372,432,065.14","1,967,593,690.15","2,320,671,035.01"
应付票据,"638,350,000.00","484,200,000.00","547,001,936.85","743,335,009.75","784,758,270.42","1,134,995,879.97","1,264,248,629.04","413,681,313.84","483,555,990.23","508,889,335.69","337,903,639.67","436,640,246.42","337,539,803.41","280,175,361.81","310,552,697.92","567,263,954.39","550,740,134.33","304,597,186.30","184,490,370.06"
应收账款,"264,486,193.11","367,174,824.23","594,910,590.09","599,773,066.06","462,334,978.29","357,575,438.09","1,045,162,156.39","125,933,667.28","69,501,211.64","88,392,980.19","62,016,550.70","55,327,773.91","72,605,509.77","257,199,811.18","216,114,616.31","105,179,939.27","193,061,717.74","113,773,847.98","145,535,189.12"
应付账款,"1,943,904,583.99","1,765,657,040.67","2,046,345,112.46","2,441,072,385.22","2,541,548,763.55","2,562,983,276.64","3,052,114,501.04","2,363,740,708.50","2,073,239,073.57","1,683,162,620.90","1,694,866,858.14","1,845,417,646.39","1,863,463,876.05","2,674,398,402.84","2,756,951,671.38","2,598,548,941.10","2,096,812,128.99","3,467,365,417.11","4,080,188,917.23"
预付款项,"318,892,986.64","344,909,947.63","417,296,302.67","513,154,490.39","522,763,245.01","415,035,425.88","307,170,944.61","129,516,274.04","241,753,885.33","305,769,197.07","243,793,998.83","414,323,581.56","510,450,688.13","481,746,074.65","518,591,915.27","583,625,823.46","520,003,234.42","202,655,320.56","234,724,412.71"
预收款项,"479,107,624.73","519,646,434.74","543,628,575.26","787,521,834.92","813,328,613.56","702,765,138.84","829,273,420.95","798,203,906.77","711,200,990.05","629,161,445.34","880,120,161.41","769,188,413.98","987,229,166.76","697,935,105.66","1,107,672,788.26","851,229,819.28","988,974,558.08","675,232,089.48","663,096,168.79"
其他应收款,"14,483,971.84","12,790,254.22","17,541,108.34","8,656,774.04","10,008,117.65","13,645,742.67","15,029,505.08","10,222,223.52","13,953,892.65","24,663,560.39","33,578,735.25","11,885,199.32","7,767,532.04","7,984,702.75","12,303,893.37","10,654,916.63","8,305,773.10","6,114,953.57","6,018,379.59"
应付职工薪酬,"216,543,190.86","214,757,648.48","250,613,501.56","244,568,352.32","253,681,716.85","266,186,512.79","274,764,265.40","235,867,184.82","204,003,920.22","211,027,482.61","215,184,861.47","225,561,089.65","225,088,431.33","237,788,094.96","199,641,522.13","207,817,364.68","195,217,796.62","214,483,303.45","215,126,519.54"
应收关联公司款,,,,,,,,,,,,,,,,,,,
应交税费,"597,816,665.15","767,705,732.59","786,991,987.73","900,042,611.76","717,606,511.92","683,150,835.91","393,273,749.40","348,225,312.29","788,548.09","38,557,372.85","-9,594,274.09","119,230,507.92","-188,785,576.62","-248,355,130.48","-134,087,555.28","175,621,534.79","-91,946,010.03","-88,677,362.99","18,986,604.76"
应收利息,,,,,,,,,,,,,,,,,,,
