科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"27,579,116.12","67,292,412.08","57,037,120.81","99,395,713.39","88,976,351.07","90,744,792.17","117,303,179.46","99,515,740.08","94,509,277.25","56,195,367.15","130,235,210.71","258,530,676.33","253,206,683.92","233,280,412.18","139,356,673.60","214,945,901.19","285,608,810.93","299,634,060.39","287,759,642.13","312,271,000.45","234,242,591.04","1,313,506,290.80","1,174,711,288.55","1,297,729,630.63","1,281,741,727.42","917,790,629.74","871,701,531.78","1,136,318,382.23","1,012,505,668.39","1,718,457,614.62","732,592,189.96","885,089,703.74","841,475,182.60","1,061,768,919.65","862,904,246.54","796,682,076.07","765,474,283.93","1,014,618,363.68","1,023,525,506.06","973,867,056.00","1,095,600,471.95","977,096,081.25","1,060,578,539.10","1,024,048,159.38"
短期借款,"525,543,506.74","412,972,291.85","271,703,222.39","305,389,030.47","340,329,030.47","312,129,030.47","357,044,053.47","378,936,243.74","454,386,243.74","457,503,643.74","590,738,931.95","612,850,933.95","642,475,933.95","664,240,933.95","617,250,933.95","618,162,002.00","350,962,002.00","303,762,002.00","358,062,002.00","486,262,002.00","409,000,000.00","398,500,000.00","408,245,000.00","445,500,000.00","444,500,000.00","336,000,000.00","352,500,000.00","475,500,000.00","670,500,000.00","715,000,000.00","347,500,000.00","473,000,000.00","492,000,000.00","448,000,000.00","358,000,000.00","513,000,000.00","498,000,000.00","523,000,000.00","620,000,000.00","704,500,000.00","737,500,000.00","724,500,000.00","776,000,000.00","830,000,000.00"
交易性金融资产,"1,184,760.75","1,405,564.80","1,722,520.41","1,697,399.63","1,536,846.64","876,863.85","756,811.74","442,456.60","533,908.04","648,009.55","641,759.54","754,111.29","677,209.72","636,558.72","755,710.55","9,900,411.15","6,468,410.81",,,,,,,,,,,,,,,,,"3,024,840.00","49,977,480.48","66,939,728.20","69,738,453.18","49,244,438.68","49,171,537.78","48,904,762.34","42,874,329.78","38,902,658.98","40,702,980.76","32,620,207.34"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"200,000.00","200,000.00","110,000.00","110,000.00",,"508,055.00","4,934,855.00","800,000.00","512,724.00","750,000.00","1,347,267.48","1,540,267.48","1,400,000.00","1,170,000.00","400,000.00",,"40,000.00","40,000.00","3,328,000.00","3,164,800.00","1,100,000.00","200,000.00","2,300,000.00","300,000.00","1,000,000.00","360,000.00","640,000.00","590,000.00","240,000.00","500,000.00","1,000,000.00","1,500,000.00","1,542,637.52","250,000.00","8,850,524.45","2,810,700.00","850,000.00","740,000.00","38,725,897.40","1,176,624.06","9,309,534.56","14,279,966.38","26,361,718.48"
应付票据,"4,800,000.00","4,970,000.00","4,120,000.00",,,"2,850,000.00","2,850,000.00",,,,,,,"19,472,154.20","19,472,154.20",,,,,,,,,,,,,,,,,,,,,,,,,,"20,000,000.00","20,000,000.00","4,700,000.00","6,278,145.60"
应收账款,"131,702,913.04","166,164,511.03","175,012,508.37","221,403,348.88","260,071,831.49","224,025,482.86","235,620,451.20","245,739,017.90","273,716,788.48","268,865,973.30","284,509,275.44","394,130,456.63","394,898,768.85","492,057,987.13","492,173,343.37","269,014,333.21","292,839,104.43","280,695,230.76","333,187,190.31","347,885,635.46","396,585,101.18","409,660,057.79","483,872,158.81","487,229,314.34","536,802,853.92","508,003,520.36","529,027,967.86","463,311,602.56","530,058,413.31","528,858,335.39","601,241,898.03","607,811,574.63","635,783,308.16","566,343,270.56","671,433,277.32","716,321,837.85","758,729,422.54","521,976,989.12","543,208,196.50","627,480,955.14","695,548,625.92","726,137,299.76","802,562,842.62","980,757,629.43"
应付账款,"117,257,016.21","88,276,862.34","130,114,561.01","199,775,081.32","156,917,149.92","166,388,809.07","162,562,238.76","182,919,367.70","187,709,786.51","167,103,257.48","171,161,105.39","196,098,196.80","173,464,525.67","203,070,950.16","183,112,645.62","68,642,135.45","66,438,121.40","55,855,753.81","57,757,603.32","77,933,325.92","85,292,905.46","91,430,613.53","98,731,749.38","117,854,005.70","132,657,656.71","112,255,597.22","127,589,726.81","146,462,831.92","132,922,662.31","139,028,701.92","152,384,822.66","172,214,925.89","117,770,629.46","107,772,053.76","155,437,573.14","214,665,666.55","198,940,677.55","119,713,684.56","155,649,673.62","196,665,309.68","145,005,827.53","129,964,467.21","168,353,827.93","266,771,780.38"
预付款项,"168,813,665.91","180,416,234.69","233,744,232.47","172,728,692.20","207,735,651.43","201,276,209.40","166,806,667.83","137,166,315.13","139,014,494.99","152,425,281.82","164,577,495.89","260,323,289.39","285,774,752.42","323,173,843.12","332,578,796.63","242,232,600.14","251,848,983.11","201,339,042.83","252,994,122.01","176,612,959.26","227,786,480.47","218,879,531.34","337,374,214.53","385,188,981.91","460,926,799.10","525,268,363.98","597,775,429.31","301,824,618.78","364,240,078.06","402,224,924.27","417,748,842.67","290,272,988.20","349,038,005.52","360,131,961.32","379,990,817.95","301,770,516.58","313,108,888.23","162,070,731.89","225,080,952.76","116,582,688.48","146,020,596.97","235,851,370.91","178,187,324.15","168,631,359.50"
预收款项,"58,423,218.73","63,591,543.32","121,188,367.40","87,024,998.52","118,106,812.22","70,778,554.60","52,566,057.14","35,396,733.21","40,821,250.23","46,659,647.32","53,678,733.14","104,628,271.61","99,468,141.66","83,444,794.82","112,710,701.15","19,044,178.02","43,851,816.61","25,391,191.51","51,051,629.78","44,129,196.93","41,593,985.63","29,314,944.03","68,730,938.78","32,403,807.38","40,293,873.33","57,937,445.03","44,865,731.43","55,183,929.11","42,372,192.68","45,303,301.40","65,317,651.78","130,027,719.45","84,785,884.94","80,637,671.18","123,970,531.24","42,210,095.73","54,314,711.03","25,236,627.01","48,200,280.16","59,010,514.22","54,596,383.18","75,365,573.70","77,267,079.74","39,528,918.53"
