科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"73,560,390.28","205,553,182.74","332,986,882.58","461,853,711.48","130,460,059.21","276,630,932.13","394,568,985.33","508,556,518.25","78,731,418.50","189,293,029.25","319,318,575.42","437,911,576.42","81,316,331.33","184,691,488.12","289,742,164.24","463,168,878.93","65,020,946.88","186,832,207.06","478,883,693.07","678,033,273.21","108,301,915.83","345,179,067.63","435,603,802.75","627,554,786.62","163,588,262.44","330,072,605.26","451,344,828.79","706,195,033.25","124,076,786.86","328,608,690.95","502,184,255.26","587,448,980.00","126,729,119.22","336,725,567.57","590,629,746.00","812,692,922.31","165,551,583.84","327,159,370.75","475,549,144.21","589,848,260.13","147,530,368.29","478,898,516.95","638,862,856.86","530,282,464.76","171,495,183.76"
取得子公司及其他营业单位支付的现金净额,,,,,,,,"22,049,600.00","10,239,996.12","10,239,996.12","10,239,996.12","10,239,996.12",,,"202,170.00",,,,,,,,,"28,742,195.99","1,000,000.00","1,000,000.00","1,000,000.00","30,688,209.96",,,,,,,"-105,092.42",,,,,"1,199,985.00",,,,,
收到的税费返还,"1,198,554.48","1,751,475.24","2,139,829.61","2,171,960.95","696,320.29","1,303,580.34","2,054,291.55","3,338,535.39",,"1,354,982.81","1,354,982.81","1,354,982.81","59,946.86",,,,,,,,,"52,401.31","912,901.21","912,901.21",,"306,386.29","306,386.29","576,478.96","337,814.38","337,814.38","494,642.01","494,642.01","35,320.73","40,849.31","120,909.02","120,909.02","81,466.94","107,498.20","841,934.82","1,912,378.53","338,337.88","820,541.71","1,893,040.25","2,990,330.77","230,353.20"
支付其他与投资活动有关的现金,,,,"8,250.00",,,,,,,,,,,,"10,000,000.00",,,,,,,,,,,,"36,000,000.00","1,034,552.66","50,553.04","50,553.04",,,,,"50,000.00","288,000.00","432,000.00","432,000.00",,,"3,000,000.00","3,000,000.00","3,000,000.00",
收到其他与经营活动有关的现金,"6,329,312.48","22,769,798.41","27,082,469.41","48,150,491.22","8,129,037.84","28,648,291.07","69,967,102.61","93,077,229.71","39,180,896.16","45,272,733.34","91,333,967.90","94,197,814.31","53,031,402.96","19,770,868.21","39,334,988.99","71,490,709.08","46,871,118.18","24,507,253.90","39,475,465.16","62,252,345.84","13,401,781.06","28,100,297.22","34,732,979.87","52,434,223.94","3,644,764.55","23,015,531.49","41,227,347.72","62,460,822.12","20,787,955.55","6,663,371.96","17,825,439.77","16,747,670.86","7,932,375.56","21,870,411.36","28,398,895.50","119,593,094.64","13,348,084.86","13,416,870.71","19,067,259.39","7,865,420.61","11,108,409.03","6,140,957.25","9,609,941.17","175,858,754.64","33,253,597.52"
投资活动现金流出小计,"4,706,055.30","38,827,388.54","72,098,058.71","133,280,324.34","19,495,514.52","39,158,734.58","62,494,821.26","92,668,711.98","13,071,155.66","25,152,533.64","28,173,654.21","46,547,135.88","19,867,479.87","40,607,676.53","100,738,234.94","136,429,132.17","171,534,610.17","372,985,123.53","442,582,547.57","523,065,285.22","76,663,518.32","147,312,452.51","192,483,286.00","321,904,934.50","40,983,228.12","42,076,256.18","69,368,633.11","85,874,167.79","45,288,930.81","48,975,943.24","25,621,461.47","35,184,173.66","12,858,120.20","50,861,169.28","55,468,557.67","145,962,961.72","10,109,940.19","15,572,362.43","281,593,390.59","286,608,869.61","8,191,792.77","15,690,326.39","31,609,754.69","31,742,473.86","2,940,259.80"
经营活动现金流入小计,"81,088,257.24","230,074,456.39","362,209,181.60","512,176,163.65","139,285,417.34","306,582,803.54","466,590,379.49","604,972,283.35","117,912,314.66","235,920,745.40","412,007,526.13","533,464,373.54","134,407,681.15","204,462,356.33","329,077,153.23","534,659,588.01","111,892,065.06","211,339,460.96","518,359,158.23","740,285,619.05","121,703,696.89","373,331,766.16","471,249,683.83","680,901,911.77","167,233,026.99","353,394,523.04","492,878,562.80","769,232,334.33","145,202,556.79","335,609,877.29","520,504,337.04","604,691,292.87","134,696,815.51","358,636,828.24","619,149,550.52","932,406,925.97","178,981,135.64","340,683,739.66","495,458,338.42","599,626,059.27","158,977,115.20","485,860,015.91","650,365,838.28","709,131,550.17","204,979,134.48"
投资活动产生的现金流量净额,"-4,394,889.15","-38,456,222.39","-66,863,711.66","-117,641,003.29","-18,525,514.52","-38,073,734.58","-58,112,921.26","-48,135,252.44","4,898,844.34","-8,037,824.23","-10,614,824.80","16,749,534.38","-10,261,279.87","-30,865,157.12","-90,992,258.63","-77,291,222.17","-142,655,140.72","-263,708,054.08","-317,122,656.12","-407,988,215.77","-76,663,518.32","-146,311,452.51","-191,303,574.00","-311,908,353.00","-39,301,878.12","-40,377,978.34","-67,277,355.27","-76,203,787.15","-42,288,930.81","-32,403,619.52","-8,049,137.75","36,628,150.06","653,143.19","-37,349,905.89","-33,647,491.28","-91,832,205.51","-10,109,940.19","38,476,954.12","-219,541,089.04","-159,220,637.20","-8,191,792.77","48,838,464.14","49,376,341.39","71,039,222.22","14,198,268.18"
购买商品、接受劳务支付的现金,"48,280,085.13","131,260,654.00","206,938,312.28","297,599,829.62","89,200,626.88","198,186,081.47","317,015,149.56","384,137,322.08","70,258,910.32","126,145,727.89","216,286,866.36","310,958,773.71","71,527,771.32","131,232,056.72","245,483,578.41","344,628,519.10","89,024,044.04","166,193,146.72","272,966,012.21","483,614,284.76","126,540,380.88","258,864,382.03","351,711,245.00","428,971,618.53","141,388,992.37","184,260,973.37","293,433,837.07","514,254,004.63","125,752,968.51","205,288,253.96","316,401,395.03","376,190,920.25","31,092,639.14","185,524,753.31","339,320,417.28","405,249,384.84","66,054,826.25","186,523,018.50","260,912,454.33","324,263,194.26","84,292,204.07","344,564,133.54","445,408,120.59","223,060,615.62","58,879,268.48"
吸收投资收到的现金,,"40,000,000.00","45,000,000.00","130,000,000.00",,,,,,,,,,"442,747,000.00","442,747,000.00","442,747,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
