科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"75,643,566.28","81,010,237.00","49,529,322.56","31,448,138.50","35,572,691.30","94,725,816.16","80,348,468.67","58,577,937.48","59,268,035.94","53,669,919.16","47,885,663.55","74,233,055.49","76,089,330.78","82,578,173.69","66,408,651.84","57,476,564.54","76,122,467.65","114,463,520.53","86,604,372.60","88,438,064.30","76,751,298.89","33,063,710.46","93,356,983.75","88,088,881.30","111,257,384.06","90,111,123.62","106,418,143.44","85,315,566.94","257,218,690.25","119,234,252.75","149,068,781.34","110,562,412.74","116,413,652.74","97,987,379.38","114,691,130.03","141,591,829.88","210,003,925.87","205,626,059.67","216,321,408.41","428,933,396.07","493,650,998.13","500,905,741.13","336,663,708.36","392,106,416.17","412,314,934.62"
短期借款,"286,000,000.00","294,500,000.00","336,800,000.00","358,500,000.00","359,000,000.00","444,000,000.00","484,200,000.00","449,500,000.00","437,500,000.00","482,000,000.00","482,000,000.00","518,000,000.00","536,000,000.00","556,000,000.00","536,000,000.00","536,000,000.00","546,000,000.00","552,000,000.00","581,000,000.00","572,000,000.00","524,000,000.00","498,000,000.00","523,000,000.00","588,000,000.00","589,000,000.00","609,000,000.00","650,000,000.00","601,993,000.00","265,093,000.00","170,000,000.00","190,000,000.00","242,500,000.00","249,000,000.00","304,000,000.00","235,000,000.00","310,000,000.00","360,000,000.00","440,000,000.00","420,000,000.00",,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,764,603.86","6,146,800.00","10,803,000.00","13,609,010.00","10,033,800.00","8,824,360.00","7,846,199.00","8,191,256.00","8,940,490.00","9,508,194.00","8,433,398.00","9,777,629.00","9,053,070.00","7,890,360.31","7,675,657.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"37,824,164.69","38,390,963.74","43,026,618.44","17,880,164.60","30,213,793.60","44,108,826.80","37,387,106.71","32,548,475.21","30,959,451.93","40,781,722.89","45,884,663.41","64,387,454.40","80,243,183.26","119,895,010.83","114,402,151.05","93,150,793.14","98,165,161.24","91,214,686.05","131,494,950.98","104,587,102.68","99,729,022.05","90,923,989.95","108,578,984.01","115,015,064.39","100,113,733.12","159,224,689.22","136,793,209.32","142,153,975.93","108,227,835.75","109,934,581.87","144,537,065.10","130,341,205.72","93,317,124.77","114,314,213.00","131,293,458.18","167,387,294.00","114,901,174.49","116,224,900.47","125,071,479.00","122,866,455.93","122,302,608.06","140,990,154.90","139,869,053.54","148,846,714.47","166,117,606.43"
应付票据,"104,661,372.60","150,729,479.27","91,288,444.27","19,016,840.00","82,631,100.00","141,955,852.72","115,034,252.72","96,174,000.00","81,768,350.00","79,941,000.00","60,351,931.96","46,807,791.96","65,413,815.00","84,179,095.00","64,871,140.00","19,040,000.00","51,510,000.00","90,011,382.00","45,881,382.00","14,170,000.00","34,970,000.00","31,820,000.00","36,936,755.65","31,146,755.65","30,560,000.00","53,166,371.75","28,584,693.91","38,568,322.16","41,590,000.00","33,097,000.00","35,922,000.00","46,180,000.00","49,027,000.00","40,957,000.00","27,860,000.00","35,660,000.00","46,073,000.00","38,423,000.00","43,060,000.00","51,110,000.00","55,970,000.00","45,760,000.00","34,420,000.00","56,811,000.00","73,228,000.00"
应收账款,"151,060,134.72","170,120,968.08","158,398,143.33","155,498,737.73","166,694,808.26","168,908,119.88","127,791,219.98","104,891,655.34","128,717,643.14","152,695,863.41","156,276,984.29","164,273,188.11","196,683,673.44","205,919,083.10","190,283,246.62","198,423,983.03","229,934,380.57","243,242,825.65","210,650,255.91","217,567,157.58","231,915,098.39","240,186,920.83","216,039,378.96","222,009,384.66","242,113,759.44","253,917,491.76","252,933,261.66","259,532,599.82","268,623,953.21","276,232,374.42","264,378,690.04","300,674,321.89","318,981,845.48","325,748,517.27","299,747,610.72","321,633,531.98","348,175,544.50","344,041,140.80","329,170,055.67","370,170,537.71","355,913,435.30","397,535,722.18","415,682,628.84","432,912,145.78","467,360,497.42"
应付账款,"73,752,331.75","67,977,104.47","45,161,874.41","57,868,920.23","49,084,374.27","49,510,319.63","42,023,943.18","40,357,311.33","44,366,460.35","41,040,015.38","44,378,522.60","57,662,684.54","53,372,165.14","50,005,864.74","48,737,978.87","53,619,054.08","46,957,719.09","56,577,347.96","55,821,504.65","59,475,653.74","59,257,722.40","57,896,553.33","59,022,947.92","61,250,361.18","77,151,452.93","90,604,783.64","94,955,562.63","83,910,083.80","78,375,839.15","74,742,923.21","81,079,346.92","98,878,071.38","114,467,583.57","121,560,540.26","82,174,130.84","118,641,038.49","105,666,876.50","109,770,843.69","108,832,901.70","126,513,475.50","119,123,983.27","133,606,455.30","131,055,342.06","123,073,434.99","126,635,075.82"
预付款项,"9,565,463.74","9,906,627.91","8,597,638.96","6,060,238.29","11,397,468.38","19,700,123.71","18,095,451.35","12,095,553.08","11,790,185.23","17,130,833.72","17,336,451.77","6,240,950.63","15,161,858.87","16,512,327.83","19,370,944.34","19,060,695.18","27,766,262.63","37,451,178.69","20,154,170.71","43,716,698.15","18,277,990.20","27,525,705.28","34,838,101.93","27,285,525.06","29,467,958.27","17,575,429.74","25,126,294.39","6,819,210.97","15,049,162.37","10,758,124.72","15,376,161.89","12,253,373.62","17,078,854.13","19,222,797.03","19,521,281.08","12,596,891.52","20,469,073.20","22,159,801.59","19,594,788.28","11,821,462.33","19,975,078.74","23,004,788.64","28,090,702.51","17,230,895.86","28,208,587.40"
预收款项,"2,480,211.74","2,455,453.05","2,301,685.09","2,113,437.08","2,583,157.82","3,338,143.85","2,998,383.04","2,337,749.05","6,809,100.62","7,022,031.79","2,189,629.55","4,519,731.68","6,945,511.56","6,753,793.79","6,066,391.10","5,411,446.36","4,453,532.99","5,842,438.61","7,618,769.98","4,026,113.12","3,477,320.55","4,080,702.44","4,828,712.84","4,754,442.28","4,971,757.44","4,347,395.59","3,819,139.40","4,276,192.55","3,973,853.84","4,777,029.35","3,358,247.48","6,283,894.94","4,475,269.36","5,650,464.28","3,407,356.20","5,206,089.60","4,115,369.94","4,426,926.73","4,363,208.40","6,010,227.17","6,448,180.27","10,106,669.60","5,126,062.80","9,014,645.03","6,354,343.28"
