科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"124,166,342.46","274,709,202.57","444,795,682.09","610,225,875.74","149,239,871.41","308,746,420.40","505,216,427.28","676,807,047.42","154,548,136.41","335,827,652.46","547,752,876.50","763,743,171.79","203,061,968.06","407,651,509.08","633,444,764.46","873,946,231.83","214,963,249.61","423,941,567.14","680,746,134.84","952,617,383.41","251,397,106.72","473,387,696.91","763,718,449.77","1,094,240,263.43","304,526,049.93","618,353,961.22","1,025,634,979.61","1,432,263,831.25","364,942,827.24","695,353,844.17","1,043,442,989.33","1,389,234,704.59","355,234,549.67","687,403,422.63","1,078,093,854.37","1,489,241,169.97","310,774,549.73","591,294,943.01","994,414,415.33","1,454,162,671.59","286,689,992.86","567,786,163.21","939,235,625.98","1,365,715,399.26"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"4,870,687.24","4,870,687.24","4,870,687.24",,,"23,620,001.51","23,620,001.51",,,,,,,,,,,,,,,,"1,257,351.18",,,,,,,,,,,,
收到的税费返还,,,,,"20,100.00",,,"1,130,040.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,000,000.00",,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"3,546,243.05","53,724,752.40","19,708,463.93","47,412,525.33","10,732,970.57","23,851,332.11","24,620,781.45","72,047,978.48","10,107,988.13","22,767,314.42","42,308,807.52","69,691,789.91","21,123,080.05","43,975,379.87","49,709,811.28","108,731,537.73","52,781,184.52","102,505,777.41","131,624,766.05","148,962,362.32","32,985,985.47","79,104,227.86","118,998,671.57","134,959,452.15","23,492,509.86","76,169,145.42","160,408,362.72","175,169,716.37","34,176,667.02","75,894,205.29","141,552,817.34","220,857,963.28","44,639,697.27","107,284,159.03","252,286,200.34","176,609,621.70","105,562,421.72","172,482,056.48","235,872,276.42","201,148,610.35","72,088,970.19","99,835,177.30","120,583,105.68","142,574,776.29"
投资活动现金流出小计,"28,602,525.06","79,856,454.01","180,670,822.53","258,699,295.38","31,373,998.94","75,764,340.81","109,500,472.09","181,024,770.79","21,102,553.70","103,506,993.04","152,373,582.48","227,326,859.17","56,835,431.76","88,334,371.82","179,463,210.94","324,318,856.33","72,763,166.87","282,565,224.98","490,572,358.74","801,835,576.20","109,488,110.24","266,604,535.09","309,553,296.46","452,574,479.71","93,303,599.08","192,295,600.96","275,607,029.44","368,186,869.11","53,534,468.75","101,208,601.29","161,170,854.88","368,622,458.55","209,634,029.53","316,015,688.12","402,769,553.59","1,329,941,970.87","393,013,436.27","683,456,623.04","1,075,103,517.88","1,435,725,016.71","342,573,839.54","698,388,968.89","1,076,061,567.38","1,631,931,004.16"
经营活动现金流入小计,"127,712,585.51","328,433,954.97","464,504,146.02","657,638,401.07","159,992,941.98","332,597,752.51","529,837,208.73","749,985,066.58","164,656,124.54","358,594,966.88","590,061,684.02","833,434,961.70","224,185,048.11","451,626,888.95","683,154,575.74","982,677,769.56","267,744,434.13","526,447,344.55","812,370,900.89","1,101,579,745.73","284,383,092.19","552,491,924.77","882,717,121.34","1,229,199,715.58","328,018,559.79","694,523,106.64","1,186,043,342.33","1,607,433,547.62","399,119,494.26","771,248,049.46","1,184,995,806.67","1,610,092,667.87","399,874,246.94","794,687,581.66","1,330,380,054.71","1,665,850,791.67","416,336,971.45","763,776,999.49","1,230,286,691.75","1,655,311,281.94","358,778,963.05","667,621,340.51","1,059,818,731.66","1,508,290,175.55"
投资活动产生的现金流量净额,"-26,096,049.56","-77,349,978.51","-177,929,833.26","-225,561,297.51","9,387,525.30","-34,118,880.73","-64,777,451.89","-135,405,515.80","-19,101,193.70","-95,965,017.15","-140,532,056.59","-205,777,922.53","-56,681,631.76","-80,725,337.54","-171,840,176.66","-310,545,531.55","-71,042,466.87","-192,353,039.65","-392,976,023.41","-565,156,315.87","-106,330,077.44","-64,006,689.82","-93,654,101.19","-210,113,381.44","-33,731,451.08","-106,258,733.08","-184,917,971.56","-195,459,244.22","-38,080,616.14","-53,119,680.19","-108,248,483.78","-213,953,145.63","-110,682,430.32","-160,917,699.87","-235,220,402.38","-686,658,117.19","-8,825,908.89","-3,182,323.99","-157,825,804.17","-213,716,651.26","-170,639,309.00","-182,205,208.46","-327,553,825.60","-398,430,847.43"
购买商品、接受劳务支付的现金,"65,933,339.32","172,763,094.00","195,224,016.61","265,587,479.25","109,506,955.22","197,966,753.05","302,600,224.11","390,214,560.05","116,506,524.12","183,253,871.96","282,099,604.19","421,654,960.18","162,020,973.18","255,731,743.23","360,593,225.45","539,551,937.54","173,657,765.22","345,073,648.15","517,461,284.57","667,439,221.93","191,241,794.20","287,499,099.04","440,269,313.22","636,489,496.15","209,885,974.57","337,052,759.68","575,339,251.45","838,159,896.37","212,563,063.26","426,233,820.77","606,440,569.10","800,012,050.52","208,887,227.42","399,849,485.35","565,135,752.40","774,488,478.67","140,154,634.98","299,784,484.65","475,941,978.48","700,685,731.67","140,759,967.25","281,499,613.72","439,867,418.35","697,621,388.26"
吸收投资收到的现金,,,"800,000.00","800,000.00",,,,,,,,,,"389,993,000.00","413,353,000.00","410,345,934.92",,,,,,"5,400,000.00","5,400,000.00","5,400,000.00",,,,,,,,"12,400,000.00","833,958,786.43","833,958,786.43","833,958,786.43","833,958,786.43",,,,,,,,
支付给职工以及为职工支付的现金,"23,962,385.34","38,948,658.71","59,248,200.37","80,037,851.96","23,640,494.52","46,798,290.02","68,913,455.53","93,873,724.13","31,968,127.33","55,704,288.86","75,408,085.17","100,005,439.12","35,247,266.69","55,957,602.08","77,506,503.88","102,078,389.85","36,517,041.23","65,044,754.45","94,726,040.58","124,624,026.26","38,543,114.64","66,152,552.94","95,982,565.14","143,575,274.50","45,818,861.10","76,065,516.10","108,924,356.23","146,620,432.31","47,314,995.48","80,548,677.85","111,131,683.30","157,015,553.49","64,660,800.50","100,036,343.88","132,111,923.78","174,383,776.24","70,695,092.63","110,214,462.35","156,376,408.96","190,207,982.16","77,229,624.94","121,582,258.24","166,082,151.80","209,793,382.93"
取得借款收到的现金,"127,500,000.00","310,300,000.00","383,300,000.00","570,905,903.33","172,000,000.00","292,000,000.00","423,000,000.00","599,000,000.00","223,000,000.00","448,000,000.00","606,000,000.00","676,000,000.00","288,000,000.00","388,000,000.00","502,000,000.00","592,000,000.00","314,000,000.00","515,000,000.00","699,000,000.00","962,000,000.00","273,000,000.00","397,000,000.00","465,000,000.00","735,770,000.00","635,462,000.00","736,232,000.00","872,232,000.00","1,133,232,000.00","297,000,000.00","387,000,000.00","471,000,000.00","567,000,000.00","80,000,000.00","180,000,000.00","200,000,000.00","200,000,000.00","233,300,000.00","283,300,000.00","313,300,000.00","363,300,000.00","129,498,860.00","263,498,860.00","322,498,860.00","382,498,860.00"
支付的各项税费,"9,954,844.49","21,664,308.20","39,792,521.88","61,431,038.17","7,753,584.74","19,695,392.65","35,165,294.60","50,509,766.14","14,700,186.24","26,860,640.42","44,006,306.20","51,599,453.06","25,699,027.07","32,837,160.80","59,564,158.09","68,883,285.80","16,361,936.17","31,750,905.29","42,981,637.27","61,959,775.21","17,771,978.36","45,876,921.53","80,105,137.39","95,440,239.23","26,018,810.72","46,140,840.84","98,349,159.00","125,184,136.25","30,767,166.23","57,296,589.69","100,329,356.42","128,474,929.77","31,311,974.70","88,282,127.26","129,829,419.27","176,524,780.69","25,094,954.70","75,763,153.12","115,690,545.01","177,784,305.38","22,826,201.27","54,639,634.27","85,768,928.01","108,761,565.55"
收到其他与筹资活动有关的现金,,"29,798,403.33","20,605,903.33",,"6,196,270.00","26,196,270.00","4,674,170.00",,,,,,,,,,,,,,,,,,,"50,000,000.00","130,000,000.00","59,590,000.00","3,420,000.00","8,640,000.00","9,720,000.00","15,480,000.00",,,"40,000,000.00","127,200,000.00",,"4,500,000.00","25,500,000.00","30,000,000.00",,"5,700,000.00","14,430,000.00","23,265,000.00"
支付其他与经营活动有关的现金,"42,637,310.43","28,202,718.87","54,238,948.74","94,795,314.93","31,326,917.46","54,906,958.60","66,973,202.00","88,597,902.13","64,071,866.34","85,896,929.39","93,960,016.54","104,211,197.91","25,949,882.54","69,242,763.25","83,547,406.92","126,562,242.93","28,064,615.13","64,868,889.16","99,035,808.86","134,029,214.57","38,749,973.04","108,224,917.94","141,912,464.37","157,343,461.74","42,047,669.63","82,173,237.38","113,451,765.41","159,018,387.02","38,889,762.83","71,836,274.23","108,252,544.63","167,975,968.98","40,071,902.77","167,173,589.18","295,912,528.12","158,476,497.38","48,533,512.10","74,333,714.26","118,335,150.83","152,418,175.34","32,834,867.99","62,347,467.35","89,688,327.91","143,922,074.94"
筹资活动现金流入小计,"127,500,000.00","340,098,403.33","404,705,903.33","571,705,903.33","178,196,270.00","318,196,270.00","427,674,170.00","599,000,000.00","223,000,000.00","448,000,000.00","606,000,000.00","676,000,000.00","288,000,000.00","777,993,000.00","915,353,000.00","1,002,345,934.92","501,150,000.00","702,150,000.00","886,150,000.00","1,149,150,000.00","273,000,000.00","402,400,000.00","470,400,000.00","741,170,000.00","635,462,000.00","786,232,000.00","1,002,232,000.00","1,192,822,000.00","300,420,000.00","395,640,000.00","480,720,000.00","594,880,000.00","913,958,786.43","1,013,958,786.43","1,073,958,786.43","1,161,158,786.43","233,300,000.00","287,800,000.00","338,800,000.00","393,300,000.00","129,498,860.00","269,198,860.00","336,928,860.00","405,763,860.00"
经营活动现金流出小计,"142,487,879.58","261,578,779.78","348,503,687.60","501,851,684.31","172,227,951.94","319,367,394.32","473,652,176.24","623,195,952.45","227,246,704.03","351,715,730.63","495,474,012.10","677,471,050.27","248,917,149.48","413,769,269.36","581,211,294.34","837,075,856.12","254,601,357.75","506,738,197.05","754,204,771.28","988,052,237.97","286,306,860.24","507,753,491.45","758,269,480.12","1,032,848,471.62","323,771,316.02","541,432,354.00","896,064,532.09","1,268,982,851.95","329,534,987.80","635,915,362.54","926,154,153.45","1,253,478,502.76","344,931,905.39","755,341,545.67","1,122,989,623.57","1,283,873,532.98","284,478,194.41","560,095,814.38","866,344,083.28","1,221,096,194.55","273,650,661.45","520,068,973.58","781,406,826.07","1,160,098,411.68"
偿还债务支付的现金,"110,003,500.00","180,010,500.00","273,010,500.00","480,745,257.03","127,500,000.00","274,700,000.00","300,700,000.00","405,700,000.00","203,000,000.00","311,400,000.00","480,300,000.00","576,100,000.00","203,000,000.00","284,000,000.00","465,563,613.15","537,563,613.15","290,000,000.00","433,000,000.00","566,000,000.00","731,000,000.00","90,500,000.00","346,500,000.00","433,500,000.00","645,500,000.00","168,280,000.00","404,220,000.85","661,358,386.85","951,398,386.85","292,820,000.00","341,540,000.00","504,760,000.00","730,080,000.00","232,973,700.00","333,463,700.00","471,953,700.00","498,953,700.00","243,180,000.00","324,960,000.00","396,740,000.00","468,120,000.00","103,390,000.00","240,917,200.00","258,997,200.00","337,997,200.00"
经营活动产生的现金流量净额,"-14,775,294.07","66,855,175.19","116,000,458.42","155,786,716.76","-12,235,009.96","13,230,358.19","56,185,032.49","126,789,114.13","-62,590,579.49","6,879,236.25","94,587,671.92","155,963,911.43","-24,732,101.37","37,857,619.59","101,943,281.40","145,601,913.44","13,143,076.38","19,709,147.50","58,166,129.61","113,527,507.76","-1,923,768.05","44,738,433.32","124,447,641.22","196,351,243.96","4,247,243.77","153,090,752.64","289,978,810.24","338,450,695.67","69,584,506.46","135,332,686.92","258,841,653.22","356,614,165.11","54,942,341.55","39,346,035.99","207,390,431.14","381,977,258.69","131,858,777.04","203,681,185.11","363,942,608.47","434,215,087.39","85,128,301.60","147,552,366.93","278,411,905.59","348,191,763.87"
分配股利、利润或偿还利息支付的现金,"6,584,952.97","12,446,676.06","21,951,900.81","31,755,851.39","8,666,848.75","21,452,738.25","50,084,622.57","71,979,657.14","9,120,039.29","32,264,489.13","43,257,846.05","55,569,744.87","10,241,686.33","44,814,333.61","56,643,642.57","69,852,135.05","12,571,437.37","54,747,853.69","71,076,034.25","85,808,409.10","28,781,569.73","80,179,152.70","98,459,556.37","118,185,942.70","32,042,344.09","107,244,815.00","131,195,679.85","154,806,747.58","32,286,497.58","56,726,062.08","108,650,394.17","132,462,953.18","28,379,943.87","48,289,539.16","108,268,778.51","125,359,596.38","26,431,186.13","89,528,697.99","101,103,713.45","111,956,719.30","11,480,056.33","94,639,726.67","106,805,823.67","121,072,896.04"
收回投资收到的现金,,,,"32,000,000.00","40,000,000.00","40,000,000.00","42,900,000.00","42,900,000.00",,"200,000.00","2,003,000.00","2,000,000.00",,"1,296,120.00","1,296,120.00","1,296,120.00",,"79,856,000.00","79,856,000.00","188,941,935.33",,"192,124,932.00","192,124,932.00","197,543,260.27","53,168,493.00","73,629,608.31","73,629,608.31","73,629,608.31",,"20,815,068.49","20,815,068.49","20,815,068.49",,"50,239,589.04","50,239,589.04","515,676,233.51","383,916,250.38","656,475,189.69","848,588,847.34","1,109,948,052.74","171,129,269.54","472,757,990.43","704,853,143.02","951,030,036.14"
支付其他与筹资活动有关的现金,,"2,000,000.00","14,000,000.00","21,394,096.67",,,,,,,,,,"279,268.08","1,440,699.47",,,,,"16,150,000.00",,,,"50,000,000.00","80,000,000.00","130,000,000.00","130,000,000.00",,,,,,,,,,,,,,,,,
取得投资收益收到的现金,,,"188,154.77","1,121,299.82","761,524.24","874,388.26","1,047,568.38","936,263.91",,"160,000.00","1,760,000.00","1,760,331.84",,"4,621,714.28","4,621,714.28","4,621,714.28","1,600,000.00","3,879,635.33","3,879,635.33","14,520,000.00",,"5,418,328.27","8,818,328.27","5,400,000.00","3,400,000.00","3,400,000.00","3,400,000.00","16,077,057.01",,"9,600,000.00","14,280,000.00","17,680,000.00",,"5,100,000.00","10,200,000.00","15,816,000.00",,"11,900,000.00","20,459,200.00","20,459,200.00",,"19,680,960.00","19,680,960.00","19,680,960.00"
筹资活动现金流出小计,"116,588,452.97","194,457,176.06","308,962,400.81","533,895,205.09","136,166,848.75","296,152,738.25","350,784,622.57","477,679,657.14","212,120,039.29","343,664,489.13","523,557,846.05","631,669,744.87","213,241,686.33","329,093,601.69","523,647,955.19","607,415,748.20","302,571,437.37","487,747,853.69","637,076,034.25","832,958,409.10","119,281,569.73","426,679,152.70","531,959,556.37","813,685,942.70","280,322,344.09","641,464,815.85","922,554,066.70","1,106,205,134.43","325,106,497.58","398,266,062.08","613,410,394.17","862,542,953.18","261,353,643.87","381,753,239.16","580,222,478.51","624,313,296.38","269,611,186.13","414,488,697.99","497,843,713.45","580,076,719.30","114,870,056.33","335,556,926.67","365,803,023.67","459,070,096.04"
处置固定资产、无形资产和其他长期资产收回的现金净额,"6,475.50","6,475.50","52,834.50","16,698.05",,"271,071.82","275,451.82","278,108.90","1,360.00","114,235.00","114,585.00","1,673,809.91",,,"14,000.00","5,714,290.50","120,700.00","5,521,750.00","12,905,900.00","12,844,775.00","8,832.80","5,385.00","6,735.00","6,735.00","3,655.00","5,655.00","1,057,845.00","69,334,355.00","14,932,303.79","17,152,303.79","17,305,753.79","105,573,353.79","98,394,492.00","99,201,292.00","99,202,892.00","95,384,950.00","271,277.00",,"795,643.80","4,169,103.35","805,261.00","1,972,210.00","2,201,038.76","2,163,293.18"
筹资活动产生的现金流量净额,"10,911,547.03","145,641,227.27","95,743,502.52","37,810,698.24","42,029,421.25","22,043,531.75","76,889,547.43","121,320,342.86","10,879,960.71","104,335,510.87","82,442,153.95","44,330,255.13","74,758,313.67","448,899,398.31","391,705,044.81","394,930,186.72","198,578,562.63","214,402,146.31","249,073,965.75","316,191,590.90","153,718,430.27","-24,279,152.70","-61,559,556.37","-72,515,942.70","355,139,655.91","144,767,184.15","79,677,933.30","86,616,865.57","-24,686,497.58","-2,626,062.08","-132,690,394.17","-267,662,953.18","652,605,142.56","632,205,547.27","493,736,307.92","536,845,490.05","-36,311,186.13","-126,688,697.99","-159,043,713.45","-186,776,719.30","14,628,803.67","-66,358,066.67","-28,874,163.67","-53,306,236.04"
处置子公司及其他营业单位收到的现金净额,,,,,,,,"1,504,882.18",,"5,067,740.89","5,067,740.89","5,070,740.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"222,723,267.41"
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"2,500,000.00","2,500,000.00","2,500,000.00",,,"500,000.00","500,000.00",,"2,000,000.00","2,000,000.00","2,896,200.00","11,044,054.00","153,800.00","1,691,200.00","1,691,200.00","2,141,200.00",,"954,800.00","954,800.00","20,372,550.00","3,149,200.00","5,049,200.00","14,949,200.00","39,511,103.00","3,000,000.00","9,001,604.57","12,601,604.57","13,686,604.57","521,548.82","521,548.82","521,548.82","10,600,890.64","557,107.21","557,107.21","7,906,670.17","16,406,670.17",,"11,899,109.36","47,434,022.57","87,432,009.36",,"21,772,600.00","21,772,600.00","37,902,600.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"2,506,475.50","2,506,475.50","2,740,989.27","33,137,997.87","40,761,524.24","41,645,460.08","44,723,020.20","45,619,254.99","2,001,360.00","7,541,975.89","11,841,525.89","21,548,936.64","153,800.00","7,609,034.28","7,623,034.28","13,773,324.78","1,720,700.00","90,212,185.33","97,596,335.33","236,679,260.33","3,158,032.80","202,597,845.27","215,899,195.27","242,461,098.27","59,572,148.00","86,036,867.88","90,689,057.88","172,727,624.89","15,453,852.61","48,088,921.10","52,922,371.10","154,669,312.92","98,951,599.21","155,097,988.25","167,549,151.21","643,283,853.68","384,187,527.38","680,274,299.05","917,277,713.71","1,222,008,365.45","171,934,530.54","516,183,760.43","748,507,741.78","1,233,500,156.73"
五、现金及现金等价物净增加额,"-29,959,796.60","135,146,423.95","33,814,127.68","-31,963,882.51","39,181,936.59","1,155,009.21","68,297,128.03","112,703,941.19","-70,811,812.48","15,249,729.97","36,497,769.28","-5,483,755.97","-6,655,419.46","406,031,680.36","321,808,149.55","229,986,568.61","140,679,172.14","41,758,254.16","-85,735,928.05","-135,437,217.21","45,464,584.78","-43,547,409.20","-30,766,016.34","-86,278,080.18","325,655,448.60","191,599,203.71","184,738,771.98","229,608,317.02","6,817,392.74","79,586,944.65","17,902,775.27","-125,001,933.70","596,865,053.79","510,633,883.39","465,906,336.68","232,164,631.55","86,721,682.02","73,810,163.13","47,073,090.85","33,721,716.83","-70,882,203.73","-101,010,908.20","-78,016,083.68","-103,545,319.60"
购建固定资产、无形资产和其他长期资产支付的现金,"28,602,525.06","79,856,454.01","137,730,822.53","172,799,295.38","31,373,998.94","73,764,340.81","107,500,472.09","179,024,770.79","21,102,553.70","56,396,305.80","105,262,895.24","180,216,171.93","56,835,431.76","88,334,371.82","155,843,209.43","300,698,854.82","72,763,166.87","202,709,224.98","303,216,358.74","464,479,576.20","79,488,110.24","174,479,603.09","217,428,364.46","320,449,547.71","93,303,599.08","192,295,600.96","275,607,029.44","348,186,869.11","53,534,468.75","101,208,601.29","161,170,854.88","367,365,107.37","209,634,029.53","266,015,688.12","322,769,553.59","430,537,170.87","112,013,436.27","202,456,623.04","354,103,517.88","447,320,216.71","122,573,839.54","228,388,968.89","351,061,567.38","486,931,004.16"
期初现金及现金等价物余额,"171,498,641.41","171,498,641.41","171,498,641.41","171,498,641.41","139,534,758.90","139,534,758.90","139,534,758.90","139,534,758.90","252,238,700.09","252,238,700.09","252,238,700.09","252,238,700.09","246,754,944.12","246,754,944.12","246,754,944.12","246,754,944.12","476,741,510.73","476,741,512.73","476,741,512.73","476,741,512.73","341,304,295.52","341,304,295.52","341,304,295.52","341,304,295.52","255,026,215.34","255,026,215.34","255,026,215.34","255,026,215.34","484,634,532.36","484,634,532.36","484,634,532.36","484,634,532.36","359,632,598.66","359,632,598.66","359,632,598.66","359,632,598.66","591,797,230.21","591,797,230.21","591,797,230.21","591,797,230.21","625,518,947.04","625,518,947.04","625,518,947.04","625,518,947.04"
投资支付的现金,,,"42,940,000.00","85,900,000.00",,"2,000,000.00","2,000,000.00","2,000,000.00",,"42,240,000.00","42,240,000.00","42,240,000.00",,,,,,"79,856,000.00","187,356,000.00","337,356,000.00","30,000,000.00","92,124,932.00","92,124,932.00","132,124,932.00",,,,,,,,,,"50,000,000.00","80,000,000.00","899,404,800.00","281,000,000.00","481,000,000.00","721,000,000.00","988,404,800.00","220,000,000.00","470,000,000.00","725,000,000.00","1,145,000,000.00"
期末现金及现金等价物余额,"141,538,844.81","306,645,065.36","205,312,769.09","139,534,758.90","178,716,695.49","140,689,768.11","207,831,886.93","252,238,700.09","181,426,887.61","267,488,430.06","288,736,469.37","246,754,944.12","240,099,524.66","652,786,624.48","568,563,093.67","476,741,512.73","617,420,682.87","518,499,766.89","391,005,584.68","341,304,295.52","386,768,880.30","297,756,886.32","310,538,279.18","255,026,215.34","580,681,663.94","446,625,419.05","439,764,987.32","484,634,532.36","491,451,925.10","564,221,477.01","502,537,307.63","359,632,598.66","956,497,652.45","870,266,482.05","825,538,935.34","591,797,230.21","678,518,912.23","665,607,393.34","638,870,321.06","625,518,947.04","554,636,743.31","524,508,038.84","547,502,863.36","521,973,627.44"
