科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"308,848,823.05","194,330,808.74","290,150,601.37","397,320,775.72","286,823,950.24","433,064,902.56","364,990,031.58","336,505,922.02","364,130,067.65","527,316,060.85","654,846,506.69","584,941,715.51","550,382,896.41","629,979,060.49","854,353,198.24","899,440,456.10","800,530,109.79","1,030,668,674.70","789,477,026.14","906,299,540.11","554,993,519.34","597,196,000.52","470,315,561.81","636,077,794.14","527,662,911.03","508,885,325.97","530,619,393.42","705,755,861.32","681,297,136.19","1,028,458,195.01","606,255,409.60","801,352,980.86","665,424,602.46","695,521,963.01","491,355,496.03","837,060,645.55","741,157,350.02","901,926,937.41","765,503,954.17","913,308,782.70","837,722,078.41","860,720,181.13","1,154,937,446.43"
短期借款,"397,000,000.00","412,000,000.00","280,000,000.00","371,000,000.00","310,000,000.00","250,215,508.40","268,000,000.00","251,673,071.85","203,672,280.50","10,000,000.00",,"8,000,000.00","32,234,065.00","10,000,000.00","10,000,000.00","10,000,000.00","27,375,145.00","170,000,000.00","215,000,000.00","269,458,850.00","313,428,964.90","385,153,555.50","446,263,629.50","542,254,308.00","618,938,240.00","790,864,044.00","784,879,173.00","906,769,017.50","961,474,125.00","368,000,000.00","300,000,000.00","330,000,000.00","465,889,713.98","562,412,812.80","571,352,199.68","642,242,543.34","658,719,526.21","1,031,765,513.76","946,374,890.91","872,169,890.51","1,118,364,275.82","985,980,851.32","1,363,239,100.48"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"250,408.83",,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"22,318.70","22,318.70","22,318.70",,"22,318.70","22,318.70","22,318.70",,,,"12,935,977.45","19,555,072.48","18,442,723.78","18,195,741.20","46,033,141.11","32,585,176.94","24,041,556.30","36,478,995.84","50,347,509.97","76,670,198.09","59,619,266.39","30,199,313.03","37,158,454.10","95,349,699.99","54,666,416.89","34,409,581.08","82,470,904.21","125,113,836.26","86,847,350.48","67,995,415.35","62,941,356.64","113,150,919.36","139,619,486.73","78,910,461.80","135,951,050.71","122,419,837.48","113,181,241.57","87,532,314.29","44,657,420.06","68,923,601.83","75,139,223.49","72,617,272.44","60,165,799.34"
应付票据,,"4,465,656.00","105,836,250.00","179,912,722.90","168,099,581.61","195,322,812.47","164,778,814.09","112,300,646.54","93,486,179.50","112,414,302.00","100,664,450.00","65,750,423.00","148,115,903.00","196,645,941.00","207,763,172.00","209,000,000.00","244,000,000.00","282,900,000.00","293,700,000.00","391,500,000.00","230,500,000.00","399,600,000.00","386,570,000.00","445,960,000.00","465,050,000.00","551,840,000.00","588,670,000.00","581,300,000.00","469,420,000.00","559,370,000.00","510,560,000.00","568,590,000.00","446,600,000.00","350,000,000.00","350,000,000.00","403,000,000.00","474,000,000.00","552,000,000.00","638,000,000.00","591,000,000.00","570,000,000.00","295,000,000.00","340,000,000.00"
应收账款,"227,400,616.03","280,974,515.02","311,128,505.09","324,135,412.70","311,294,684.85","323,561,851.89","344,464,396.51","346,730,555.50","360,053,731.02","327,793,075.06","382,669,881.21","406,333,280.48","332,019,381.07","475,548,559.77","532,465,536.01","676,614,199.12","632,934,541.25","750,389,553.97","883,595,893.75","815,310,082.52","774,237,466.90","837,257,433.08","939,436,816.14","924,841,142.50","897,650,242.59","934,832,914.53","1,096,053,437.57","1,121,466,002.86","1,078,726,921.77","1,376,760,034.62","1,300,839,497.55","1,262,720,922.78","1,220,014,818.92","1,386,583,572.88","1,453,359,651.59","1,367,488,926.44","1,457,744,898.04","1,616,716,077.59","1,632,862,010.45","1,557,028,523.48","1,524,417,456.13","1,547,700,350.69","1,614,521,095.29"
应付账款,"254,600,883.13","260,584,780.14","213,238,542.29","386,624,300.36","305,744,831.82","289,675,453.38","300,616,855.71","412,758,819.37","352,464,607.01","352,908,787.81","419,856,072.77","661,205,828.93","486,074,260.46","446,558,222.86","508,250,192.08","733,216,173.05","596,707,532.95","692,506,509.11","878,901,384.38","756,532,439.86","750,253,380.89","864,435,753.25","1,130,647,241.97","896,085,622.13","935,972,721.60","909,082,361.67","989,833,580.92","728,550,138.20","772,610,899.65","870,592,373.31","841,291,124.87","895,132,900.38","787,327,642.35","872,552,629.67","947,922,072.22","930,350,833.58","851,565,674.53","803,791,521.31","899,622,708.63","737,255,989.11","605,734,711.31","807,066,767.85","887,228,477.70"
预付款项,"126,240,214.94","110,721,414.33","150,269,916.20","242,621,670.48","240,830,849.29","255,543,504.09","197,498,932.92","306,618,297.37","270,448,677.58","351,227,492.70","265,981,693.56","236,443,699.82","153,710,486.72","192,740,378.66","277,769,107.69","542,268,084.69","415,633,902.03","549,407,150.27","616,158,145.46","597,569,740.17","440,531,295.62","600,989,389.17","601,729,579.67","522,637,505.05","548,491,902.19","583,977,251.30","469,347,341.90","426,175,474.51","534,741,630.74","495,515,634.33","658,755,641.47","294,154,179.73","242,207,745.55","401,424,047.31","424,935,479.70","431,961,048.57","399,472,898.20","491,796,817.20","488,183,004.89","504,451,529.83","404,569,549.35","514,742,071.18","506,297,072.66"
预收款项,"640,534,300.17","561,142,235.25","904,939,651.77","471,007,429.65","495,470,998.40","700,517,656.74","837,891,641.31","439,933,457.84","573,008,988.47","586,014,270.34","1,249,134,998.12","667,950,861.15","758,520,426.47","1,182,064,785.05","1,843,020,211.72","2,345,402,155.67","2,323,443,848.56","2,729,253,270.75","2,115,569,512.20","2,019,350,917.92","1,816,398,891.45","1,977,163,029.35","493,609,981.99","590,311,376.74","520,983,756.87","673,680,725.74","553,256,429.08","832,615,357.59","702,290,949.26","764,871,623.91","700,682,134.51","734,469,865.04","579,122,483.17","722,102,056.20","560,279,307.81","815,466,619.65","688,125,290.30","787,835,393.15","590,696,455.28","875,817,619.38","851,887,457.87","776,971,688.41","761,726,685.74"
