科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"60,529,986.54","137,232,383.37","225,151,800.43","329,389,511.71","90,497,785.74","228,768,063.49","292,869,143.70","212,776,545.68","34,469,120.98","86,863,090.29","126,509,022.98","174,048,837.17","21,288,703.39","53,151,515.56","99,767,433.65","200,706,484.87","23,145,170.33","42,209,615.03","69,323,948.70","159,182,027.99","71,224,548.22","15,093,895.40","25,023,655.91","31,108,795.05","5,626,590.05","14,453,534.12","25,938,882.84","38,257,239.37","7,258,530.30","20,436,236.23","31,564,714.20","37,204,741.63","3,312,284.81","2,796,842.87","2,796,842.87","5,365,943.30",,,"7,000,000.00","7,500,000.00",,"358,541,000.14","699,214,475.11"
取得子公司及其他营业单位支付的现金净额,,,,"18,006,735.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"3,503,447.63","3,503,447.63","3,503,447.63","2,874,554.71","200,768.89","339,940.10","339,940.10","109,016.57","249,665.61","289,533.13","522,411.97","905,510.76","8,230.22","104,571.33","141,820.65","123,771.33",,"12,270.00","12,270.00","28,800.00",,,,"117,863.51",,,,"20,896.63",,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,"150,009,271.34",,,,,,,,,,,"3,378.64",,,"685,625.61","685,625.61","685,625.61",,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"8,578,160.41","9,494,563.99","13,521,822.79","118,880,597.95","35,185,375.13","50,922,173.58","183,993,042.03","191,005,673.72","35,355,181.10","92,578,989.22","132,518,579.07","177,126,633.32","9,440,241.27","28,110,434.32","52,401,908.44","413,699,464.43","3,658,347.82","3,616,485.47","115,400,639.86","11,973,588.94","15,315,211.86","17,795,296.38","18,793,960.87","34,744,044.60","797,560.63","50,496,074.98","65,152,654.42","241,256,932.51","395,788.10","907,565.48","2,147,551.16","8,814,753.82","880,308.30","682,769.68","682,769.68","27,241,590.89","631,925.09","148,275,017.50","165,855,406.11","165,920,448.04","11,000,000.00","12,419,680.73",
投资活动现金流出小计,"684,432.98","1,400,459.26","2,311,276.07","191,391,598.25","1,511,863.78","1,837,271.88","1,762,788.48","239,978,832.59","43,822.53","182,790.54","318,456.79","570,065.86","111,094.68","178,725.37","801,994.89","1,594,126.79","40,434,485.62","644,323.14","902,635.54","101,863,458.50","2,793,555.00","685,625.61","825,452.57","825,452.57","7,520.52","7,520.52","20,820.52","20,820.52","11,332.49","79,459.33","106,217.11","180,892.33","120,478.64","131,649.10","131,649.10","48,835.00","7,100.00","10,500.00","227,890.00","238,937.22",,,
经营活动现金流入小计,"72,611,594.58","150,230,394.99","242,177,070.85","451,144,664.37","125,883,929.76","280,030,177.17","477,202,125.83","403,891,235.97","70,073,967.69","179,731,612.64","259,550,014.02","352,080,981.25","30,737,174.88","81,366,521.21","152,311,162.74","614,529,720.63","26,803,518.15","45,838,370.50","184,736,858.56","171,184,416.93","86,539,760.08","32,889,191.78","43,817,616.78","65,970,703.16","6,424,150.68","64,949,609.10","91,091,537.26","279,535,068.51","7,654,318.40","21,343,801.71","33,712,265.36","46,019,495.45","4,192,593.11","3,479,612.55","3,479,612.55","32,607,534.19","631,925.09","148,275,017.50","172,855,406.11","173,420,448.04","11,002,043.73","370,960,680.87","699,214,475.11"
投资活动产生的现金流量净额,"-682,832.98","30,459,140.74","29,548,323.93","-100,765,957.26","-1,511,863.78","-1,834,238.38","-1,759,961.89","-21,749,929.52","7,556,177.47","8,147,209.46","8,011,543.21","102,798,026.07","108,912,882.87","99,849,252.18","99,225,982.66","98,739,573.21","-434,485.62","-644,323.14","-897,347.76","-101,863,458.50","-2,793,555.00","-656,625.61","-825,452.57","-796,452.57","-7,520.52","-7,520.52","-20,820.52","-20,820.52","-11,332.49","4,743.67","-10,014.11","529,575.98","-120,478.64","-131,649.10","-131,649.10","-184,542.14","-7,100.00","-10,500.00","-227,890.00","-238,937.22",,,
购买商品、接受劳务支付的现金,"47,947,515.61","106,172,641.06","158,578,106.36","225,530,149.93","71,525,058.96","217,514,431.44","271,819,830.15","138,884,835.44","28,848,462.00","67,196,357.84","46,737,215.43","111,521,120.21","16,818,281.43","41,965,463.65","85,020,334.52","174,052,763.90","13,295,769.74","25,415,519.64","45,246,988.35","151,746,302.10","65,182,342.67","9,077,264.76","15,728,373.22","17,928,725.15","3,382,311.99","6,641,537.75","14,295,756.68","15,210,792.66","3,674,332.70","12,318,631.31","16,730,240.22","20,629,306.33","3,315,882.95","2,619,277.73","2,619,277.73","3,723,612.66","59,500,000.00","257,452,830.19","414,866,830.19","388,831,830.19","10,000,000.00","701,373,616.89","1,041,533,202.72"
吸收投资收到的现金,,,,,,,,,,"20,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"820,264,000.00","57,700,000.00","577,000,000.00","577,000,000.00","577,000,000.00",,,
